Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Grande,UKMO,No Change,No Change,1371.21,60.18,17.37,8.91,63.17,12.33,22.11,-0.3,55.22,0,-25.02,0,1255.81,42.82,20.27,0,1318.9,683.21,-4782.23,0,0,High
Feb 2016,Rio_Grande,UKMO,No Change,No Change,1220.35,47.89,20.17,23.95,48.8,15.72,22.13,-0.3,44.18,0,-26.73,0,1128.27,37.76,21.25,0,1187.28,736.19,-4774.45,52.98,7.77999999999975,High
Mar 2016,Rio_Grande,UKMO,No Change,No Change,812.41,55.77,30.82,78.72,35.38,54.92,26.91,1.04,36.1,0,-32.77,0,720.54,60.17,32.99,0.24,813.95,770.45,-4779.43,34.26,-4.98000000000047,High
Apr 2016,Rio_Grande,UKMO,No Change,No Change,514.35,203.09,39.45,50.05,150.34,47.22,55.89,7.98,22.71,0,-35.97,0,288.55,125.34,72.42,14.79,501.09,743.78,-4802.2,-26.6700000000001,-22.7699999999995,High
May 2016,Rio_Grande,UKMO,No Change,No Change,62.79,217.08,73.66,53.73,256,88.84,69.86,11.64,4.1,0,-44.67,0,-158.4,114.51,106.54,51.52,114.17,822.4,-4878.16,78.62,-75.96,High
Jun 2016,Rio_Grande,UKMO,No Change,No Change,870.57,124.22,30.52,73.86,207.07,217.73,74.43,12.96,34.29,0,-9.51,0,712.05,101.05,129.27,72.86,1015.23,941.25,-5028.47,118.85,-150.31,High
Jul 2016,Rio_Grande,UKMO,No Change,No Change,2825.85,87.51,6.49,86.15,162.14,229.66,68.71,12,74.07,0,3.57,0,2664.26,71.79,122.37,74.71,2933.13,862.8,-5138.01,-78.45,-109.54,High
Aug 2016,Rio_Grande,UKMO,No Change,No Change,4472.42,140.46,1.13,76.09,124.97,147.46,56.15,8.94,123.62,0,3.06,0,4208.34,84.94,92.88,62.23,4448.38,729.63,-5191.79,-133.17,-53.7799999999997,High
Sep 2016,Rio_Grande,UKMO,No Change,No Change,7225.9,180.25,0.06,74.35,106.91,83.9,30.15,1.94,170.39,0,6.32,0,6875.25,76.63,46.94,44.66,7043.49,661.47,-5174.55,-68.16,17.2399999999998,High
Oct 2016,Rio_Grande,UKMO,No Change,No Change,5827.62,153.2,0,30.13,94.09,35.53,26.51,0.94,138.1,0,0.94,0,5536.31,63.57,29.53,10.03,5639.45,665.75,-5070.71,4.27999999999997,103.84,High
