Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Grande,UKMO,No Change,Low,1371.21,60.17,17.37,9.25,65.07,15,25.32,-0.3,55.22,0,-24.96,0,1255.82,43.19,22.66,0,1321.67,682.72,-4912.4,0,0,High
Feb 2016,Rio_Grande,UKMO,No Change,Low,1220.35,47.88,20.17,24.29,49.78,17.47,25.34,-0.3,44.18,0,-26.68,0,1128.28,38.13,23.64,0,1190.06,735.75,-4907.76,53.03,4.63999999999942,High
Mar 2016,Rio_Grande,UKMO,No Change,Low,812.41,55.73,30.82,79.06,35.4,55.76,30.12,1.04,36.1,0,-32.67,0,720.59,60.52,35.36,0.24,816.71,770.05,-4915.89,34.3,-8.13000000000011,High
Apr 2016,Rio_Grande,UKMO,No Change,Low,514.35,202.31,39.45,50.39,151.63,48.98,59.11,7.98,22.71,0,-35.98,0,289.33,124.7,74.8,14.79,503.63,743.41,-4941.78,-26.64,-25.8899999999994,High
May 2016,Rio_Grande,UKMO,No Change,Low,62.79,216.29,73.66,54.07,257.46,90.6,73.08,11.65,4.1,0,-44.69,0,-157.61,113.71,108.92,51.52,116.55,822.38,-5020.97,78.97,-79.1900000000005,High
Jun 2016,Rio_Grande,UKMO,No Change,Low,870.57,125.39,30.52,74.18,208,220.22,77.66,12.96,34.29,0,-9.22,0,710.89,103.17,131.66,72.86,1018.58,941.75,-5174.52,119.37,-153.55,High
Jul 2016,Rio_Grande,UKMO,No Change,Low,2825.85,87.48,6.49,86.48,163.13,231.43,71.94,12,74.07,0,3.63,0,2664.3,72.16,124.79,74.71,2935.96,862.56,-5287.01,-79.1900000000001,-112.49,High
Aug 2016,Rio_Grande,UKMO,No Change,Low,4472.42,140.46,1.13,76.41,126.92,150.18,59.38,8.94,123.62,0,3.11,0,4208.34,85.33,95.33,62.23,4451.23,729.4,-5343.96,-133.16,-56.9499999999998,High
Sep 2016,Rio_Grande,UKMO,No Change,Low,7225.9,180.26,0.06,74.63,108.92,86.62,33.38,1.94,170.39,0,6.37,0,6875.24,77.02,49.4,44.66,7046.33,661.25,-5329.89,-68.15,14.0699999999997,High
Oct 2016,Rio_Grande,UKMO,No Change,Low,5827.62,153.46,0,30.46,93.23,33.68,29.75,0.94,138.1,0,0.8,0,5536.06,62.64,31.99,10.03,5640.72,665.6,-5229.23,4.35000000000002,100.660000000001,High
