Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,San_Juan,GFDL,Low,High,299.89,0.56,32.88,139.34,5.52,109.1,0.53,0.09,6.81,0,-3.44,0,292.51,1.13,4.77,0,298.42,1396.75,6373.37,0,0,High
Feb 2016,San_Juan,GFDL,Low,High,153.25,0.81,36.56,59.16,5.52,29.02,0.53,0.09,3.34,0,-0.58,0,149.09,2.3,4.78,0,156.16,1288.82,6376.31,-107.93,2.94000000000051,High
Mar 2016,San_Juan,GFDL,Low,High,446.87,2.39,46.36,48.15,5.52,3.82,0.53,0.09,9.87,0,-2.56,0,434.62,1.46,4.78,0,440.85,1260.98,6378.63,-27.8399999999999,2.31999999999971,High
Apr 2016,San_Juan,GFDL,Low,High,99.43,0.24,92.85,47.07,39.98,1.49,0.53,0.09,2.18,0,1.47,0,97,6.08,5.19,1.7,109.97,1258.34,6385.51,-2.6400000000001,6.88000000000011,High
May 2016,San_Juan,GFDL,Low,High,187.41,0.18,390.8,268.78,98.96,12.43,0.53,0.09,4.24,0,8.58,0,182.98,27.09,19.62,11.84,241.53,1292.07,6387.02,33.73,1.51000000000022,High
Jun 2016,San_Juan,GFDL,Low,High,41.94,0.03,280.28,157.59,119.84,24.62,0.54,0.09,0.94,0,5.04,0,40.97,22.45,35.34,16.76,115.53,1359.42,6387.58,67.3500000000001,0.559999999999491,High
Jul 2016,San_Juan,GFDL,Low,High,878.97,11.72,90.91,53.55,71.94,26.76,0.54,0.09,20.62,0,-4.15,0,846.63,8.05,38.32,17.49,910.49,1419.75,6376.35,60.3299999999999,-11.2299999999996,High
Aug 2016,San_Juan,GFDL,Low,High,1038.15,12.74,65.53,76.13,51.96,50.6,0.53,0.09,23.79,0,-4.2,0,1001.63,4.98,31.15,14.81,1052.57,1427.05,6374.89,7.29999999999995,-1.46000000000004,High
Sep 2016,San_Juan,GFDL,Low,High,957.28,11.96,66.82,83.95,32.33,36.31,0.53,0.09,22.29,0,-4.27,0,923.03,3.08,19.97,11.36,957.45,1397.7,6379.22,-29.3499999999999,4.32999999999993,High
Oct 2016,San_Juan,GFDL,Low,High,446.2,3.88,58.07,68.32,7.65,13.77,0.53,0.09,10.23,0,-4.2,0,432.09,3.94,5.99,3.23,445.25,1374.18,6385.44,-23.52,6.21999999999935,High
