Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,San_Juan,MPIM,Low,High,774.52,8.41,29.88,145.6,5.52,109.1,0.53,0.09,17.42,0,-4.36,0,748.7,0.63,4.77,0,754.1,1396.75,6373.02,0,0,High
Feb 2016,San_Juan,MPIM,Low,High,551.7,3.21,30.44,61.12,5.52,29.02,0.53,0.09,12.4,0,-4.39,0,536.09,0.42,4.78,0,541.29,1288.82,6385.64,-107.93,12.6199999999999,High
Mar 2016,San_Juan,MPIM,Low,High,217.24,1.17,36.51,34.88,5.52,3.82,0.53,0.09,4.84,0,-0.99,0,211.22,2.09,4.78,0,218.09,1260.98,6393.21,-27.8399999999999,7.56999999999971,High
Apr 2016,San_Juan,MPIM,Low,High,217.91,0.56,54.02,15.01,39.25,1.18,0.53,0.09,4.91,0,-1.71,0,212.44,3.2,4.78,0.15,220.56,1258.34,6396.63,-2.6400000000001,3.42000000000007,High
May 2016,San_Juan,MPIM,Low,High,482.53,0.49,154.91,63.3,95.94,11.11,0.53,0.09,11.03,0,-2.1,0,471,9.38,17.91,11.77,510.07,1292.07,6399.26,33.73,2.63000000000011,High
Jun 2016,San_Juan,MPIM,Low,High,173.21,0.14,166.99,61.35,114.01,22.08,0.54,0.09,4.02,0,0.71,0,169.05,13.14,32.04,15.69,229.93,1359.42,6395.99,67.3500000000001,-3.27000000000044,High
Jul 2016,San_Juan,MPIM,Low,High,821.25,10.83,52.43,38.75,63.79,39.72,0.54,0.09,19.08,0,-4.2,0,791.34,4.64,37.84,17.14,850.96,1419.75,6384.59,60.3299999999999,-11.3999999999996,High
Aug 2016,San_Juan,MPIM,Low,High,206.9,0.18,41.46,27.83,63.77,50.26,0.54,0.09,4.77,0,-3.31,0,201.95,3.62,37.79,14.83,258.19,1406.42,6381.88,-13.3299999999999,-2.71000000000004,High
Sep 2016,San_Juan,MPIM,Low,High,366.07,1.12,32.33,22.55,41.99,28.29,0.54,0.09,8.45,0,-4.3,0,356.5,1.49,25.44,11.52,394.96,1382.57,6368.07,-23.8500000000001,-13.8100000000004,High
Oct 2016,San_Juan,MPIM,Low,High,1057.51,17,28.6,52.19,5.52,9.94,0.53,0.09,24.32,0,-4.12,0,1016.19,1.94,4.78,2.55,1025.46,1371.27,6360.25,-11.3,-7.81999999999971,High
Nov 2016,San_Juan,MPIM,Low,High,172.89,0.09,32.76,37.67,5.53,10.29,0.53,0.09,3.82,0,-2.81,0,168.98,2.75,4.78,0,176.51,1362.51,6377.48,-8.75999999999999,17.2299999999996,High
Dec 2016,San_Juan,MPIM,Low,High,453.02,4.67,29.88,92.96,5.53,61.24,0.53,0.09,10.57,0,-4.23,0,437.79,1.53,4.78,0,444.1,1353.41,6378.06,-9.09999999999991,0.580000000000837,High
