Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Texas_Gulf,MPIM,No Change,No Change,168.9,0.42,0,0,0.01,0.92,3.7,0.06,0.31,0,1.32,0,168.17,0.01,2.73,0,170.91,0,-13776.28,0,0,High
Feb 2016,Texas_Gulf,MPIM,No Change,No Change,281.88,0.98,0,0,0.01,0.92,13.4,2.85,0.7,0,1.85,0,280.2,0.04,9.64,0,289.89,0,-13778.29,0,-2.01000000000022,High
Mar 2016,Texas_Gulf,MPIM,No Change,No Change,63.85,0.69,0,0,0.01,0.92,24.02,5.87,0.43,0,1.46,0,62.74,0.13,17.23,0.01,80.11,0,-13786.3,0,-8.0099999999984,High
Apr 2016,Texas_Gulf,MPIM,No Change,No Change,8.17,0.16,0,0,0.01,0.92,122.81,32.95,0.13,0,0.98,0,7.87,0.1,88.94,0.15,97.06,0,-13802.56,0,-16.2600000000002,High
May 2016,Texas_Gulf,MPIM,No Change,No Change,1461.22,3.85,0,0,0.01,0.92,38.81,9.75,2.71,0,4.6,0,1454.66,0.16,28.16,0.18,1483.15,0,-13891.45,0,-88.8900000000012,High
Jun 2016,Texas_Gulf,MPIM,No Change,No Change,225.93,0.51,0,0,0,0.92,157.48,42.53,0.47,0,1.25,0,224.95,0.17,114.03,0.22,339.37,0,-13913.39,0,-21.9399999999987,High
Jul 2016,Texas_Gulf,MPIM,No Change,No Change,409.1,2.63,0,0,0.01,0.92,139.89,37.7,1.74,0,3.42,0,404.73,0.12,101.27,0.22,506.34,0,-14026.83,0,-113.440000000001,High
Aug 2016,Texas_Gulf,MPIM,No Change,No Change,409.58,1.85,0,0,0,0.92,123.69,33.2,1.23,0,2.67,0,406.49,0.1,89.57,0.19,496.35,0,-14124.07,0,-97.2399999999998,High
Sep 2016,Texas_Gulf,MPIM,No Change,No Change,575.69,1.58,0,0,0,0.92,94.61,25.16,1.12,0,2.41,0,572.99,0.09,68.53,0.16,641.77,0,-14210.85,0,-86.7800000000007,High
Oct 2016,Texas_Gulf,MPIM,No Change,No Change,926.87,2.46,0,0,0.01,0.92,15.04,3.23,1.66,0,3.32,0,922.75,0.05,10.9,0.08,933.78,0,-14276.92,0,-66.0699999999997,High
Nov 2016,Texas_Gulf,MPIM,No Change,No Change,128.27,0.6,0,0,0.01,0.92,3.58,0.02,0.4,0,1.5,0,127.27,0.01,2.65,0,129.93,0,-14283.83,0,-6.90999999999985,High
