Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Texas_Gulf,MPIM,Low,High,168.9,0.42,0,0,0.01,0.74,3.23,0.04,0.31,0,1.14,0,168.17,0.01,2.46,0,170.64,0,-13763.91,0,0,Low
Feb 2016,Texas_Gulf,MPIM,Low,High,281.88,0.98,0,0,0.01,0.74,9.05,1.72,0.7,0,1.67,0,280.2,0.04,6.6,0,286.85,0,-13765.64,0,-1.72999999999956,Low
Mar 2016,Texas_Gulf,MPIM,Low,High,63.85,0.69,0,0,0.01,0.74,15.42,3.53,0.43,0,1.28,0,62.74,0.13,11.15,0.01,74.04,0,-13770.61,0,-4.97000000000116,Low
Apr 2016,Texas_Gulf,MPIM,Low,High,8.17,0.16,0,0,0.01,0.74,74.69,19.78,0.13,0,0.81,0,7.87,0.08,54.18,0.15,62.28,0,-13780.8,0,-10.1899999999987,Low
May 2016,Texas_Gulf,MPIM,Low,High,1461.22,3.85,0,0,0.01,0.74,24.3,5.86,2.71,0,4.43,0,1454.66,0.16,17.71,0.18,1472.71,0,-13834.91,0,-54.1100000000006,Low
Jun 2016,Texas_Gulf,MPIM,Low,High,225.93,0.51,0,0,0,0.74,95.5,25.53,0.47,0,1.1,0,224.95,0.15,69.23,0.22,294.55,0,-13846.4,0,-11.4899999999998,Low
Jul 2016,Texas_Gulf,MPIM,Low,High,409.1,2.62,0,0,0.01,0.74,84.94,22.63,1.74,0,3.26,0,404.73,0.1,61.58,0.22,466.63,0,-13915.02,0,-68.6200000000008,Low
Aug 2016,Texas_Gulf,MPIM,Low,High,409.58,1.85,0,0,0,0.74,75.22,19.93,1.23,0,2.5,0,406.5,0.08,54.56,0.19,461.32,0,-13972.56,0,-57.5399999999991,Low
Sep 2016,Texas_Gulf,MPIM,Low,High,575.69,1.58,0,0,0,0.74,57.77,15.1,1.12,0,2.24,0,572.99,0.07,41.94,0.16,615.16,0,-14024.3,0,-51.7399999999998,Low
Oct 2016,Texas_Gulf,MPIM,Low,High,926.87,2.46,0,0,0.01,0.74,10.04,1.95,1.66,0,3.14,0,922.75,0.05,7.36,0.08,930.23,0,-14063.76,0,-39.4600000000009,Low
Nov 2016,Texas_Gulf,MPIM,Low,High,128.27,0.6,0,0,0.01,0.74,3.16,0.02,0.4,0,1.32,0,127.27,0.01,2.4,0,129.69,0,-14067.12,0,-3.36000000000058,Low
Dec 2016,Texas_Gulf,MPIM,Low,High,178.38,0.41,0,0,0.01,0.74,3.16,0.02,0.3,0,1.13,0,177.67,0.01,2.4,0,180.08,0,-14068.54,0,-1.42000000000007,Low
Jan 2017,Texas_Gulf,MPIM,Low,High,184.81,0.3,0,0,0.01,0.74,3.16,0.02,0.25,0,1.02,0,184.26,0.01,2.4,0,186.67,0,-14070.25,0,-1.70999999999913,Low
Feb 2017,Texas_Gulf,MPIM,Low,High,177.99,0.77,0,0,0.01,0.74,3.2,0.04,0.52,0,1.47,0,176.7,0.02,2.43,0,179.16,0,-14072.11,0,-1.86000000000058,Low
Mar 2017,Texas_Gulf,MPIM,Low,High,316.73,1.39,0,0,0.01,0.74,12.24,2.63,0.8,0,1.99,0,314.54,0.13,8.88,0,323.55,0,-14073.28,0,-1.17000000000007,Low
Apr 2017,Texas_Gulf,MPIM,Low,High,468.38,2.79,0,0,0.01,0.74,40.82,10.43,1.66,0,3.42,0,463.93,0.11,29.66,0.14,493.83,0,-14080.1,0,-6.81999999999971,Low
May 2017,Texas_Gulf,MPIM,Low,High,1120.53,3.66,0,0,0.01,0.74,34.07,8.56,2.46,0,4.19,0,1114.41,0.2,24.79,0.19,1139.59,0,-14105.56,0,-25.4599999999991,Low
Jun 2017,Texas_Gulf,MPIM,Low,High,335.05,1.33,0,0,0,0.74,89.18,23.79,0.92,0,1.94,0,332.8,0.12,64.66,0.23,397.81,0,-14124.62,0,-19.0600000000013,Low
Jul 2017,Texas_Gulf,MPIM,Low,High,400.24,1.69,0,0,0,0.74,88.67,23.64,1.15,0,2.34,0,397.4,0.08,64.29,0.22,461.99,0,-14187.37,0,-62.75,Low
Aug 2017,Texas_Gulf,MPIM,Low,High,453.34,2.46,0,0,0.01,0.74,73.89,19.58,1.56,0,3.1,0,449.32,0.09,53.59,0.2,503.18,0,-14249.12,0,-61.75,Low
Sep 2017,Texas_Gulf,MPIM,Low,High,644.66,2.32,0,0,0.01,0.74,51.96,13.5,1.66,0,2.96,0,640.68,0.1,37.72,0.16,678.66,0,-14298.97,0,-49.8499999999985,Low
Oct 2017,Texas_Gulf,MPIM,Low,High,187.88,0.75,0,0,0.01,0.74,53.91,14.06,0.54,0,1.44,0,186.58,0.04,39.12,0.1,225.85,0,-14332.97,0,-34,Low
Nov 2017,Texas_Gulf,MPIM,Low,High,160.37,0.46,0,0,0.01,0.74,4.94,0.54,0.33,0,1.17,0,159.58,0.01,3.67,0,163.26,0,-14370.94,0,-37.9700000000012,Low
Dec 2017,Texas_Gulf,MPIM,Low,High,110.4,0.32,0,0,0.01,0.74,3.16,0.02,0.23,0,1.03,0,109.85,0.01,2.4,0,112.27,0,-14373.83,0,-2.88999999999942,Low
Jan 2018,Texas_Gulf,MPIM,Low,High,42.1,0.24,0,0,0.01,0.74,3.16,0.02,0.17,0,0.95,0,41.68,0.02,2.4,0,44.11,0,-14375.71,0,-1.8799999999992,Low
Feb 2018,Texas_Gulf,MPIM,Low,High,91.13,0.32,0,0,0.01,0.74,3.17,0.03,0.23,0,1.03,0,90.58,0.02,2.41,0,93.01,0,-14377.71,0,-2,Low
Mar 2018,Texas_Gulf,MPIM,Low,High,67.91,0.43,0,0,0.01,0.74,14.74,3.35,0.26,0,1.08,0,67.23,0.07,10.67,0,77.97,0,-14379.6,0,-1.89000000000124,Low
