Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Texas_Gulf,MPIM,High,Low,168.9,0.42,0,0,0.01,1.1,4.13,0.06,0.31,0,1.5,0,168.17,0.01,2.97,0,171.16,0,-13788.64,0,0,High
Feb 2016,Texas_Gulf,MPIM,High,Low,281.88,0.98,0,0,0.01,1.1,13.83,2.85,0.7,0,2.03,0,280.2,0.04,9.88,0,290.13,0,-13790.9,0,-2.26000000000022,High
Mar 2016,Texas_Gulf,MPIM,High,Low,63.85,0.69,0,0,0.01,1.1,24.44,5.87,0.43,0,1.64,0,62.74,0.13,17.47,0.01,80.35,0,-13799.15,0,-8.25,High
Apr 2016,Texas_Gulf,MPIM,High,Low,8.17,0.16,0,0,0.01,1.1,123.23,32.95,0.13,0,1.16,0,7.87,0.1,89.18,0.15,97.3,0,-13815.65,0,-16.5,High
May 2016,Texas_Gulf,MPIM,High,Low,1461.22,3.85,0,0,0.01,1.1,39.24,9.75,2.71,0,4.78,0,1454.66,0.16,28.4,0.18,1483.4,0,-13904.79,0,-89.1400000000012,High
Jun 2016,Texas_Gulf,MPIM,High,Low,225.93,0.51,0,0,0,1.1,157.9,42.53,0.47,0,1.43,0,224.95,0.17,114.27,0.22,339.61,0,-13926.97,0,-22.1799999999985,High
Jul 2016,Texas_Gulf,MPIM,High,Low,409.1,2.63,0,0,0.01,1.1,140.31,37.7,1.74,0,3.6,0,404.73,0.12,101.52,0.22,506.58,0,-14040.65,0,-113.68,High
Aug 2016,Texas_Gulf,MPIM,High,Low,409.58,1.85,0,0,0,1.1,124.11,33.2,1.23,0,2.85,0,406.49,0.1,89.81,0.19,496.59,0,-14138.14,0,-97.4899999999998,High
Sep 2016,Texas_Gulf,MPIM,High,Low,575.69,1.58,0,0,0,1.1,95.03,25.16,1.12,0,2.59,0,572.99,0.09,68.78,0.16,642.01,0,-14225.15,0,-87.0100000000002,High
Oct 2016,Texas_Gulf,MPIM,High,Low,926.87,2.46,0,0,0.01,1.1,15.47,3.23,1.66,0,3.5,0,922.75,0.05,11.15,0.08,934.02,0,-14291.47,0,-66.3199999999997,High
Nov 2016,Texas_Gulf,MPIM,High,Low,128.27,0.6,0,0,0.01,1.1,4,0.02,0.4,0,1.68,0,127.27,0.01,2.89,0,130.17,0,-14298.62,0,-7.15000000000146,High
Dec 2016,Texas_Gulf,MPIM,High,Low,178.38,0.41,0,0,0.01,1.1,4,0.02,0.3,0,1.49,0,177.67,0.01,2.89,0,180.57,0,-14300.52,0,-1.89999999999964,High
Jan 2017,Texas_Gulf,MPIM,High,Low,184.81,0.3,0,0,0.01,1.1,4,0.02,0.25,0,1.38,0,184.26,0.01,2.89,0,187.16,0,-14302.71,0,-2.18999999999869,High
Feb 2017,Texas_Gulf,MPIM,High,Low,177.99,0.77,0,0,0.01,1.1,4.07,0.04,0.52,0,1.83,0,176.7,0.02,2.94,0,179.66,0,-14305.06,0,-2.35000000000036,High
Mar 2017,Texas_Gulf,MPIM,High,Low,316.73,1.38,0,0,0.01,1.1,19.14,4.37,0.8,0,2.38,0,314.55,0.09,13.68,0,328.33,0,-14306.73,0,-1.67000000000007,High
Apr 2017,Texas_Gulf,MPIM,High,Low,468.38,2.8,0,0,0.01,1.1,66.77,17.36,1.66,0,3.84,0,463.92,0.05,48.31,0.14,512.43,0,-14318.32,0,-11.5900000000001,High
May 2017,Texas_Gulf,MPIM,High,Low,1120.53,3.66,0,0,0.01,1.1,55.53,14.25,2.46,0,4.58,0,1114.41,0.18,40.19,0.19,1154.96,0,-14362.38,0,-44.0599999999995,High
Jun 2017,Texas_Gulf,MPIM,High,Low,335.05,1.33,0,0,0,1.1,147.37,39.63,0.92,0,2.29,0,332.8,0.13,106.65,0.23,439.81,0,-14396.81,0,-34.4300000000003,High
Jul 2017,Texas_Gulf,MPIM,High,Low,400.24,1.69,0,0,0,1.1,146.52,39.39,1.15,0,2.69,0,397.4,0.1,106.04,0.22,503.76,0,-14501.57,0,-104.76,High
Aug 2017,Texas_Gulf,MPIM,High,Low,453.34,2.46,0,0,0.01,1.1,121.89,32.61,1.56,0,3.45,0,449.31,0.1,88.19,0.2,537.8,0,-14605.08,0,-103.51,High
