date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,6930.82,133.44,42.54,194.85,95.81,122.94,30.79,2.2,143.14,0,-42.85,0,6654.24,51.15,40.2,0.19,6745.79,2681.09,-34996.04,0.0,0.0
Feb 2016,7996.8,144.99,45.36,115.65,116.52,49.41,47.78,7.99,164.16,0,-49.98,0,7687.65,57.57,55.15,5.79,7806.21,2642.31,-34924.52,-38.78000000000021,71.52000000000409
Mar 2016,2570.02,63.86,57.67,122.88,53.24,98.49,70.46,13.37,63.85,0,-33.36,0,2442.31,77.23,82.46,9.1,2611.13,2694.04,-34855.92,51.73,68.5999999999913
Apr 2016,1391.05,79.41,75.97,103.49,195.5,178.51,273.32,72.48,37.1,0,-24.62,0,1274.53,59.51,258.19,30.36,1622.58,2623.41,-34891.61,-70.6300000000001,-35.6899999999878
May 2016,16531.14,352.56,229.8,195.71,392.14,96.72,145.27,34.13,242.48,0,-62.0,0,15936.08,153.24,179.62,89.75,16358.71,2583.02,-35110.29,-40.3899999999999,-218.68000000000802
Jun 2016,4846.03,121.11,255.34,180.39,418.25,309.08,383.76,101.19,74.55,0,-37.3,0,4650.36,124.21,416.36,143.27,5334.2,2809.95,-35130.7,226.93,-20.4099999999962
Jul 2016,14356.53,239.74,78.55,210.04,314.0,245.55,334.0,88.72,250.86,0,-49.75,0,13865.93,89.59,378.37,148.47,14482.35,2785.32,-35519.3,-24.6300000000006,-388.599999999999
Aug 2016,6271.76,81.67,51.97,117.93,293.71,327.99,321.45,84.52,92.67,0,-19.44,0,6097.42,69.46,365.95,127.58,6660.4,2720.66,-35711.93,-64.6599999999999,-192.62999999999698
Sep 2016,9098.22,131.68,37.08,108.17,213.38,195.69,251.04,64.09,137.59,0,-22.41,0,8828.95,65.29,276.21,101.67,9272.13,2557.33,-36003.21,-163.33,-291.280000000013
Oct 2016,15435.55,249.68,31.73,146.24,167.16,57.44,73.56,15.47,248.21,0,-47.7,0,14937.64,73.16,83.23,27.71,15121.77,2485.79,-36176.68,-71.54,-173.46999999998698
