date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,6930.82,133.35,42.54,195.45,101.16,130.23,40.92,2.2,143.14,0,-42.44,0,6654.33,51.95,48.14,0.19,6754.63,2684.25,-35396.2,0.0,0.0
Feb 2016,7996.8,144.9,45.36,116.27,121.86,56.7,57.92,7.98,164.16,0,-49.57,0,7687.76,58.38,63.09,5.79,7815.04,2645.77,-35334.4,-38.48,61.800000000002896
Mar 2016,2570.02,63.79,57.67,123.51,56.35,103.67,80.61,13.37,63.85,0,-32.84,0,2442.38,78.11,90.29,9.1,2619.89,2697.76,-35275.52,51.9900000000002,58.879999999997395
Apr 2016,1391.05,79.25,75.97,104.32,196.52,181.88,283.48,72.48,37.1,0,-24.09,0,1274.7,60.39,266.07,30.36,1631.5,2627.38,-35320.86,-70.3800000000001,-45.3399999999892
May 2016,16531.14,352.28,229.8,196.53,395.35,102.27,155.46,34.13,242.48,0,-61.56,0,15936.36,154.04,187.69,89.75,16367.84,2586.91,-35549.19,-40.4700000000003,-228.33000000000197
Jun 2016,4846.03,121.01,255.34,181.19,419.7,312.7,393.98,101.19,74.55,0,-36.86,0,4650.46,125.01,424.48,143.27,5343.23,2813.64,-35579.36,226.73,-30.170000000005498
Jul 2016,14356.53,239.66,78.55,211.47,315.71,249.93,344.23,88.72,250.86,0,-49.37,0,13865.98,90.35,386.58,148.47,14491.37,2788.93,-35977.73,-24.71,-398.36999999999495
Aug 2016,6271.76,81.61,51.97,119.37,296.88,333.91,331.68,84.52,92.67,0,-19.01,0,6097.48,70.27,374.13,127.58,6669.46,2723.62,-36180.18,-65.3100000000004,-202.450000000004
Sep 2016,9098.22,131.62,37.08,109.59,218.65,203.7,261.3,64.09,137.59,0,-21.99,0,8829.04,66.15,284.37,101.67,9281.22,2559.61,-36481.27,-164.01,-301.090000000004
Oct 2016,15435.55,249.94,31.73,144.79,170.58,58.76,83.83,15.48,248.21,0,-47.4,0,14937.4,72.45,91.39,27.71,15128.94,2487.41,-36664.56,-72.1999999999998,-183.28999999999402
