date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,3845.06,84.38,71.48,185.65,83.13,121.6,30.66,2.05,82.47,0,-38.61,0,3678.23,47.27,37.9,0.0,3763.38,2681.09,-34928.84,0.0,0.0
Feb 2016,3765.82,70.99,75.65,120.32,72.36,52.18,30.67,2.23,70.75,0,-39.68,0,3624.08,45.79,39.43,0.0,3709.28,2633.33,-34913.58,-47.7600000000002,15.2600000000093
Mar 2016,2387.48,76.31,135.34,189.49,67.04,84.38,46.09,6.72,54.68,0,-44.41,0,2256.49,83.91,64.18,4.49,2409.06,2642.52,-34910.92,9.190000000000051,2.65999999999622
Apr 2016,2488.73,232.81,234.56,223.9,218.79,83.45,210.08,54.5,42.19,0,-41.12,0,2213.72,149.26,211.38,42.41,2616.78,2600.37,-34944.51,-42.1500000000001,-33.5900000000038
May 2016,884.78,234.56,556.04,425.47,395.38,166.93,306.62,78.88,10.42,0,-31.93,0,639.81,168.59,322.21,122.48,1253.09,2679.91,-35141.43,79.54,-196.91999999999803
Jun 2016,4107.39,159.18,697.81,613.72,370.75,287.95,334.32,87.53,68.1,0,-4.71,0,3880.13,165.15,375.73,158.42,4579.45,2813.89,-35513.18,133.98,-371.749999999993
Jul 2016,8048.5,142.4,165.87,258.57,273.82,297.51,343.83,90.53,133.85,0,-23.74,0,7772.23,97.12,387.66,162.61,8419.63,2767.76,-35855.01,-46.1300000000001,-341.830000000009
Aug 2016,13630.75,237.95,82.41,225.36,240.07,226.29,256.75,66.52,225.27,0,-27.8,0,13167.54,108.98,290.82,136.15,13703.49,2609.73,-36160.79,-158.030000000001,-305.779999999992
Sep 2016,26110.13,358.43,55.68,286.91,208.79,127.59,95.21,19.24,357.52,0,-46.92,0,25394.17,92.94,127.53,99.32,25713.96,2522.92,-36289.72,-86.8099999999995,-128.93
Oct 2016,17600.67,271.57,39.22,223.45,128.86,66.09,84.77,17.16,258.63,0,-48.71,0,17070.48,73.29,89.93,30.72,17264.39,2552.56,-36154.39,29.6400000000003,135.329999999994
Nov 2016,5443.71,120.53,59.53,101.9,111.44,51.54,30.91,1.99,124.26,0,-45.65,0,5198.91,63.91,37.6,0.08,5300.49,2593.03,-36042.8,40.4699999999993,111.589999999997
Dec 2016,4660.78,110.51,50.01,127.43,100.34,88.1,30.83,1.93,105.93,0,-37.86,0,4444.35,58.7,36.15,0.0,4539.21,2644.28,-35993.2,51.25,49.5999999999985
Jan 2017,7948.24,143.14,50.42,102.94,104.42,19.67,30.84,2.05,150.56,0,-46.32,0,7654.53,52.23,36.34,0.0,7743.09,2649.23,-35954.03,4.950000000000269,39.1700000000055
Feb 2017,3508.66,70.2,56.25,105.94,58.81,46.3,30.85,2.2,69.52,0,-36.66,0,3368.92,44.68,40.36,0.0,3453.97,2726.43,-35878.58,77.2000000000003,75.44999999999709
Mar 2017,13305.42,271.71,106.37,247.04,112.92,45.67,42.7,5.83,246.6,0,-57.24,0,12787.12,121.05,59.9,8.8,12976.87,2727.22,-35874.38,0.7899999999999641,4.1999999999970905
Apr 2017,15785.71,381.64,353.9,411.1,257.46,35.73,115.6,27.97,305.37,0,-53.62,0,15098.7,156.32,130.33,28.46,15413.8,2771.41,-35730.67,44.1899999999996,143.710000000006
May 2017,2929.85,269.35,633.77,487.81,384.41,125.69,272.41,69.81,55.32,0,-34.84,0,2605.19,191.44,285.97,98.21,3180.81,2950.45,-35595.04,179.04,135.629999999997
Jun 2017,8457.06,285.99,574.18,472.54,403.0,157.18,294.06,76.36,144.15,0,-48.31,0,8026.92,190.11,339.77,153.24,8710.06,3125.77,-35875.35,175.320000000001,-280.309999999998
Jul 2017,8399.09,182.15,246.04,288.22,285.84,224.72,339.45,89.46,146.21,0,-41.21,0,8070.73,120.04,384.7,155.12,8730.58,3249.5,-36150.42,123.73,-275.07000000000704
Aug 2017,18924.21,317.47,162.72,299.44,289.37,196.62,166.45,40.8,266.91,0,-50.32,0,18339.82,138.33,222.26,130.82,18831.2,3175.89,-36450.51,-73.6100000000001,-300.08999999999696
Sep 2017,6627.0,225.67,589.86,613.5,249.71,192.7,245.74,62.84,114.9,0,-11.64,0,6286.41,156.67,269.8,101.62,6814.5,3172.04,-36490.37,-3.84999999999991,-39.8600000000006
Oct 2017,2316.88,107.57,170.5,198.39,121.8,103.63,201.26,48.67,52.92,0,-30.63,0,2156.38,92.11,184.68,35.05,2468.24,3142.17,-36671.62,-29.8699999999999,-181.25
Nov 2017,4579.41,87.48,79.6,89.57,94.14,34.68,31.21,2.02,79.43,0,-43.09,0,4412.5,61.15,39.83,0.16,4513.65,3128.25,-36836.96,-13.9200000000001,-165.340000000004
Dec 2017,547.24,28.65,62.99,103.17,57.91,87.07,31.03,1.95,16.14,0,-31.4,0,502.45,49.04,36.27,0.0,587.74,3177.03,-36829.93,48.7799999999997,7.030000000006111
Jan 2018,1258.52,20.41,59.22,51.4,49.97,19.75,31.05,2.06,26.39,0,-34.15,0,1211.74,32.17,37.9,0.0,1281.79,3140.67,-36874.26,-36.3599999999997,-44.3299999999945
Feb 2018,2351.61,42.49,65.35,96.49,52.2,48.6,31.07,1.99,45.24,0,-36.07,0,2263.9,43.86,42.42,0.0,2350.17,3161.95,-36911.01,21.2799999999997,-36.75
Mar 2018,3629.84,148.17,129.55,186.51,84.73,62.35,52.76,8.09,76.79,0,-43.11,0,3404.85,111.94,76.41,4.41,3597.61,3152.17,-36930.92,-9.779999999999749,-19.9100000000035
Apr 2018,3710.37,364.94,388.06,344.51,387.89,64.56,213.49,55.13,85.0,0,-60.56,0,3260.45,145.69,215.22,43.2,3664.54,3142.81,-36946.31,-9.359999999999669,-15.3900000000067
May 2018,1903.59,201.82,781.47,599.83,380.59,138.31,296.94,74.34,26.94,0,-47.79,0,1674.82,188.95,322.26,123.11,2309.14,3409.3,-37123.4,266.49,-177.090000000004
Jun 2018,10556.47,277.66,431.0,355.26,405.33,213.66,260.03,67.0,173.2,0,-57.15,0,10105.59,218.9,316.49,154.81,10795.77,3551.93,-37489.96,142.63,-366.559999999998
Jul 2018,6804.23,150.85,173.59,222.8,283.31,282.36,345.63,90.08,111.3,0,-27.61,0,6542.1,128.27,401.78,161.22,7233.37,3620.13,-37721.73,68.2000000000003,-231.769999999997
Aug 2018,18343.85,328.06,97.8,256.8,287.29,194.87,234.05,60.35,319.59,0,-49.89,0,17696.21,126.54,272.89,135.78,18231.43,3474.87,-38054.82,-145.26,-333.090000000004
Sep 2018,11109.18,193.45,57.03,151.47,212.64,160.76,204.46,51.29,185.99,0,-34.7,0,10729.75,81.84,234.86,102.55,11149.0,3468.09,-38094.63,-6.77999999999975,-39.809999999990396
Oct 2018,528.93,23.41,49.2,79.28,81.25,121.1,202.63,48.57,4.44,0,-16.15,0,501.1,49.3,191.0,37.82,779.23,3438.28,-38199.06,-29.809999999999498,-104.43
Nov 2018,1291.5,48.22,64.4,71.91,63.65,41.41,40.05,4.67,33.35,0,-29.51,0,1209.94,47.99,49.25,2.07,1309.24,3361.46,-38402.63,-76.82000000000059,-203.57
Dec 2018,2997.31,62.95,55.73,113.17,74.83,85.74,31.24,1.96,55.69,0,-31.19,0,2878.69,47.63,39.1,0.0,2965.4,3369.84,-38436.24,8.380000000000111,-33.6100000000006
Jan 2019,509.17,28.69,55.05,50.64,48.23,19.31,31.25,2.07,15.96,0,-27.6,0,464.52,31.78,39.08,0.0,535.37,3349.09,-38441.01,-20.7500000000005,-4.7699999999967995
Feb 2019,387.81,47.39,74.92,104.6,43.35,56.49,33.41,2.46,10.2,0,-24.74,0,330.22,55.62,47.33,0.5,433.68,3368.09,-38481.79,19.0000000000005,-40.780000000006105
Mar 2019,1447.86,101.96,151.63,198.94,53.22,73.47,90.54,17.66,36.76,0,-26.01,0,1309.13,100.89,104.92,14.51,1529.46,3338.55,-38527.79,-29.54,-46.0000000000073
Apr 2019,2387.39,125.44,355.16,326.24,159.8,83.71,219.11,56.19,43.78,0,-33.33,0,2218.18,111.59,221.1,43.0,2593.88,3286.22,-38604.39,-52.32999999999989,-76.5999999999913
May 2019,1258.03,202.73,775.57,652.94,335.66,168.34,306.68,76.71,15.61,0,-7.08,0,1039.69,165.13,330.46,127.36,1662.64,3304.12,-38799.86,17.8999999999996,-195.470000000001
Jun 2019,8343.02,154.4,425.29,396.93,374.6,248.28,287.39,73.79,135.63,0,-27.78,0,8052.99,84.23,342.99,160.88,8641.09,3370.92,-39148.65,66.8000000000002,-348.790000000001
Jul 2019,10628.12,169.89,119.35,215.14,268.08,255.91,302.49,78.06,168.89,0,-28.54,0,10289.32,90.47,357.26,157.94,10894.99,3367.86,-39415.27,-3.0600000000003997,-266.620000000003
Aug 2019,11956.73,214.21,66.5,198.27,240.88,233.44,274.91,71.26,204.89,0,-26.87,0,11537.63,101.89,313.34,138.08,12090.93,3247.2,-39657.29,-120.66,-242.019999999997
Sep 2019,8847.32,150.11,46.07,130.61,202.92,179.03,231.4,58.37,147.32,0,-26.8,0,8549.89,68.49,261.88,110.21,8990.47,3144.95,-39821.01,-102.25,-163.719999999994
Oct 2019,1724.42,31.83,36.69,72.39,87.37,116.45,207.96,50.22,22.19,0,-16.52,0,1670.38,41.7,196.51,46.15,1954.74,3079.97,-39983.74,-64.9799999999996,-162.730000000003
Nov 2019,1932.7,33.84,47.41,66.36,51.21,41.94,42.53,5.4,33.47,0,-29.28,0,1865.37,34.93,50.63,2.45,1953.38,3012.14,-40181.93,-67.8300000000004,-198.190000000002
Dec 2019,486.5,15.18,41.42,93.44,40.49,86.57,31.43,1.94,14.47,0,-24.42,0,456.84,33.67,37.3,0.0,527.8,3007.9,-40217.3,-4.23999999999978,-35.370000000002605
Jan 2020,1267.72,19.56,41.0,45.23,40.96,19.95,31.44,2.06,36.17,0,-28.49,0,1212.03,22.8,38.69,0.0,1273.51,2954.01,-40256.73,-53.8900000000003,-39.4300000000003
Feb 2020,427.44,9.97,46.57,83.93,43.65,78.67,31.97,1.95,14.32,0,-17.64,0,403.14,25.29,42.14,0.02,470.6,2965.66,-40278.42,11.6500000000001,-21.689999999995102
Mar 2020,247.63,13.83,51.32,110.93,53.54,134.01,128.88,27.78,9.11,0,-15.03,0,224.72,49.73,134.09,16.39,424.9,2918.51,-40311.75,-47.1499999999996,-33.3300000000017
Apr 2020,500.53,72.0,101.63,102.93,164.6,146.72,255.7,63.53,8.41,0,-20.71,0,420.12,73.53,247.86,73.73,815.24,2805.05,-40435.19,-113.46,-123.440000000002
May 2020,5532.9,268.35,305.31,255.96,327.27,138.96,266.21,66.99,95.52,0,-11.8,0,5169.03,141.17,294.21,131.04,5735.46,2767.24,-40713.38,-37.8100000000004,-278.189999999995
Jun 2020,6166.64,141.57,463.87,436.56,325.35,269.69,311.54,79.06,94.46,0,-4.7,0,5930.64,117.92,353.13,159.54,6561.24,2860.54,-40959.92,93.30000000000021,-246.540000000008
Jul 2020,13605.11,233.16,103.72,243.31,249.01,196.98,327.45,85.55,247.24,0,-40.61,0,13124.69,82.15,358.74,158.47,13724.06,2795.54,-41262.2,-65.0,-302.279999999999
Aug 2020,13481.48,206.53,72.8,205.72,236.76,204.67,251.86,64.72,218.13,0,-31.52,0,13056.82,73.07,291.14,138.14,13559.14,2730.71,-41455.91,-64.8299999999999,-193.709999999999
Sep 2020,28701.7,435.29,62.1,279.36,287.86,89.89,95.85,20.62,456.71,0,-73.56,0,27809.72,93.62,119.51,100.02,28122.88,2658.8,-41594.58,-71.90999999999991,-138.669999999991
Oct 2020,11420.48,177.32,70.75,168.0,130.52,66.0,106.65,24.0,191.28,0,-41.8,0,11051.89,57.34,110.55,24.61,11244.37,2812.49,-41386.71,153.69,207.869999999995
