Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,State,MPIM,No Change,No Change,6930.82,133.38,42.54,195.14,98.44,126.53,35.77,2.2,143.14,0,-42.65,0,6654.29,51.53,44.14,0.19,6750.14,2684.74,-35196.52,0,0,High
Feb 2016,State,MPIM,No Change,No Change,7996.8,144.94,45.36,115.95,119.17,53.01,52.78,7.99,164.16,0,-49.78,0,7687.71,57.96,59.08,5.79,7810.56,2646.1,-35129.78,-38.6399999999999,66.7399999999907,High
Mar 2016,State,MPIM,No Change,No Change,2570.02,63.83,57.67,123.18,54.78,101.07,75.47,13.37,63.85,0,-33.1,0,2442.35,77.66,86.33,9.1,2615.45,2697.96,-35065.98,51.8600000000001,63.8000000000102,High
Apr 2016,State,MPIM,No Change,No Change,1391.05,79.33,75.97,103.91,196.01,180.18,278.32,72.48,37.1,0,-24.34,0,1274.61,59.93,262.09,30.36,1626.99,2627.45,-35106.45,-70.5100000000002,-40.4700000000012,High
May 2016,State,MPIM,No Change,No Change,16531.14,352.43,229.8,196.11,393.72,99.47,150.28,34.13,242.48,0,-61.78,0,15936.23,153.63,183.61,89.75,16363.23,2587.02,-35329.87,-40.4299999999998,-223.420000000006,High
Jun 2016,State,MPIM,No Change,No Change,4846.03,121.07,255.34,180.79,418.87,310.81,388.8,101.19,74.55,0,-37.08,0,4650.41,124.63,420.37,143.27,5338.7,2813.82,-35355.09,226.8,-25.2199999999939,High
Jul 2016,State,MPIM,No Change,No Change,14356.53,239.72,78.55,210.74,314.69,247.61,339.04,88.72,250.86,0,-49.55,0,13865.97,90,382.43,148.47,14486.87,2789.11,-35748.5,-24.71,-393.410000000003,High
Aug 2016,State,MPIM,No Change,No Change,6271.76,81.64,51.97,118.64,295.29,330.92,326.48,84.52,92.67,0,-19.23,0,6097.46,69.85,369.99,127.58,6664.87,2724.06,-35945.98,-65.0500000000002,-197.479999999996,High
Sep 2016,State,MPIM,No Change,No Change,9098.22,131.66,37.08,108.88,215.98,199.64,256.12,64.09,137.59,0,-22.2,0,8828.98,65.72,280.25,101.67,9276.61,2560.39,-36242.08,-163.67,-296.100000000006,High
Oct 2016,State,MPIM,No Change,No Change,15435.55,249.64,31.73,145.5,169.8,60.02,78.62,15.48,248.21,0,-47.48,0,14937.69,73.57,87.27,27.71,15126.24,2488.5,-36420.4,-71.8899999999999,-178.319999999992,High
Nov 2016,State,MPIM,No Change,No Change,2295.53,54.53,47.33,60.9,78.35,50.64,38.63,3.24,51.38,0,-36.96,0,2189.61,50.16,45.15,1.67,2286.6,2574.18,-36310.52,85.6800000000003,109.87999999999,High
Dec 2016,State,MPIM,No Change,No Change,4973.57,90.04,44.09,130.09,78.37,85.39,35.6,1.92,80.57,0,-39.67,0,4802.98,50.71,39.2,0,4892.87,2592.15,-36333.16,17.9700000000003,-22.6399999999921,High
Jan 2017,State,MPIM,No Change,No Change,5471.34,96.05,43.31,79.18,80.45,22.91,35.63,2.04,104.8,0,-40.75,0,5270.51,43.39,40.97,0,5354.85,2579.63,-36325.96,-12.5200000000004,7.19999999999709,High
Feb 2017,State,MPIM,No Change,No Change,4286.79,80.64,46.6,94.38,71.64,48.18,36.5,2.44,88.98,0,-41.65,0,4117.19,51.03,46.81,0.32,4215.37,2629.78,-36295.47,50.1499999999996,30.489999999998,High
Mar 2017,State,MPIM,No Change,No Change,5653,118.74,55.24,126.64,84.41,76.59,84.86,14.77,119.84,0,-41.84,0,5414.42,81.34,96.06,8.71,5600.54,2640.47,-36282.52,10.6900000000005,12.9500000000044,High
Apr 2017,State,MPIM,No Change,No Change,6480.91,167.58,102.83,115.67,184.89,78.81,176.84,44.3,123.67,0,-42.69,0,6189.67,91.35,179.16,23.48,6483.64,2622.34,-36283.34,-18.1300000000001,-0.820000000006985,High
May 2017,State,MPIM,No Change,No Change,10399.29,262.48,341.24,219.14,399.68,112.91,197.87,47.71,139.14,0,-67.44,0,9997.66,165.26,237.16,103.73,10503.81,2681.79,-36358.37,59.4499999999998,-75.0299999999988,High
Jun 2017,State,MPIM,No Change,No Change,3813.48,122.35,284.93,135.69,444.07,255.61,386.7,99.9,55.33,0,-64.11,0,3635.79,147.23,437.22,156.69,4376.95,2881.55,-36540.55,199.76,-182.18,High
Jul 2017,State,MPIM,No Change,No Change,8307.54,111.98,77.73,174.7,331.93,350.45,373.94,97.49,123.51,0,-34.23,0,8072.04,67.78,431.52,155.17,8726.52,2919.59,-36992.79,38.04,-452.239999999998,High
Aug 2017,State,MPIM,No Change,No Change,12757.54,219.2,49,153.48,279.88,218.52,307.92,79.84,223.66,0,-36.02,0,12314.67,89.38,344.93,134.02,12883.02,2746.02,-37335.17,-173.57,-342.379999999997,High
Sep 2017,State,MPIM,No Change,No Change,13076.76,211.17,37.94,118.18,247.21,155.52,231.2,57.46,219.04,0,-37.51,0,12646.55,76.76,256.03,104.15,13083.5,2690.52,-37509.62,-55.4999999999995,-174.450000000004,High
Oct 2017,State,MPIM,No Change,No Change,8490.71,145.49,31.13,116.31,126.48,84.68,202.95,49.97,145.17,0,-39.16,0,8200.05,57.67,187.74,31.32,8476.77,2699.87,-37605.97,9.34999999999945,-96.3499999999913,High
Nov 2017,State,MPIM,No Change,No Change,4083.51,72.62,45.69,71.46,80.37,46.21,43.55,4.66,71.33,0,-35.98,0,3939.57,48.67,51.48,2.19,4041.89,2706.89,-37684.24,7.02000000000044,-78.2700000000041,High
Dec 2017,State,MPIM,No Change,No Change,5467.14,101.83,42.95,143.15,79.16,85.46,35.86,1.93,91.18,0,-43.17,0,5274.12,51.07,40.18,0,5365.38,2728.47,-37689.95,21.5799999999999,-5.7100000000064,High
Jan 2018,State,MPIM,No Change,No Change,2395.45,49.49,42.9,48.66,63.2,23.19,35.88,2.05,57.67,0,-34.91,0,2288.29,38.62,40.72,0,2367.65,2715.91,-37675.87,-12.5600000000004,14.080000000009,High
Feb 2018,State,MPIM,No Change,No Change,2408.47,51.99,46.27,86.19,52.34,52.78,36.45,2.27,49.86,0,-33.88,0,2306.61,46.37,46.41,0.22,2399.6,2749.01,-37686.92,33.1000000000004,-11.0500000000029,High
Mar 2018,State,MPIM,No Change,No Change,3516.98,81.59,55.17,131.95,68.32,100.29,91.75,16.04,64.91,0,-36.16,0,3370.46,72.95,102.45,9.01,3554.88,2736.36,-37705.36,-12.6500000000005,-18.4399999999951,High
Apr 2018,State,MPIM,No Change,No Change,3337.23,135.61,77.4,86.84,175.17,105.64,262.36,68.11,76.51,0,-33.2,0,3125.1,89.85,246.99,32.42,3494.34,2677.64,-37761.33,-58.7199999999998,-55.9699999999939,High
May 2018,State,MPIM,No Change,No Change,922.56,99.98,333.61,231.39,341.93,219.18,386.63,97.31,10.86,0,-21.8,0,811.73,101.26,390.28,121.25,1424.5,2694.41,-37944.67,16.77,-183.340000000011,High
Jun 2018,State,MPIM,No Change,No Change,6189.35,100.14,205.14,120.55,396.94,251.95,350.76,89.21,86.28,0,-22.3,0,6002.94,62.06,398.62,157.99,6621.58,2716.24,-38366.21,21.8299999999999,-421.540000000001,High
Jul 2018,State,MPIM,No Change,No Change,8225.96,110.6,73.63,88.58,291.01,204.92,356.3,87.46,128.86,0,-29.57,0,7986.5,39.12,389.89,149.88,8565.38,2724.16,-38721.77,7.92000000000007,-355.559999999998,High
Aug 2018,State,MPIM,No Change,No Change,18801,291.26,47.46,157.33,315.26,155.17,259.37,66.29,306.22,0,-49.5,0,18203.53,70.81,293.5,130.63,18698.5,2689.21,-39041.21,-34.9499999999998,-319.44000000001,High
Sep 2018,State,MPIM,No Change,No Change,5093.45,84.5,38.27,84.98,204.84,201.8,295.98,73.53,89.94,0,-16.6,0,4919.03,51.31,307.84,95.5,5373.68,2748.83,-39108.19,59.6199999999999,-66.9799999999886,High
Oct 2018,State,MPIM,No Change,No Change,10036.32,133.29,29.59,95.54,128.09,85.6,117.69,24.94,134.8,0,-27.29,0,9768.26,52.14,126.14,42,9988.53,2666.47,-39352.8,-82.3599999999997,-244.610000000008,High
Nov 2018,State,MPIM,No Change,No Change,4053.99,97.24,41.66,73.9,97.66,50.73,42.71,4.15,98.62,0,-33.51,0,3858.12,51.61,49.72,1.35,3960.79,2675.58,-39380.05,9.10999999999967,-27.25,High
Dec 2018,State,MPIM,No Change,No Change,4922.87,89.32,38.38,111.17,86.83,85.58,36.09,1.93,87.94,0,-31.69,0,4745.58,46.96,40.09,0,4832.63,2711.35,-39354.84,35.7700000000004,25.2100000000064,High
Jan 2019,State,MPIM,No Change,No Change,1810.65,39.46,38.09,43.1,53.49,23.46,36.11,2.04,48.53,0,-28.64,0,1722.66,33.07,42.78,0,1798.51,2706.69,-39332.75,-4.66000000000031,22.0899999999965,High
Feb 2019,State,MPIM,No Change,No Change,8720.99,152.93,41.44,124.19,105.37,46.84,36.14,2.09,168.21,0,-45.16,0,8399.84,56.81,44.56,0,8501.19,2728,-39346.92,21.3099999999999,-14.1700000000055,High
Mar 2019,State,MPIM,No Change,No Change,478.17,14.31,47.97,109.05,43.4,124.8,63.85,9.37,11.51,0,-20.21,0,452.35,54.85,79.06,5.72,592,2776.05,-39257.89,48.0500000000002,89.0300000000061,High
Apr 2019,State,MPIM,No Change,No Change,5646.76,141.45,77.92,107.74,172.56,97.69,188.07,47.1,109.59,0,-37.49,0,5395.71,74.26,188,28.06,5686.02,2670.06,-39326.81,-105.99,-68.9200000000055,High
May 2019,State,MPIM,No Change,No Change,6033.66,307.93,193.31,127.71,402.13,127.74,304.75,78.47,97.95,0,-43.16,0,5627.78,142.33,319.01,103.13,6192.25,2697.9,-39423.74,27.8399999999997,-96.9300000000003,High
Jun 2019,State,MPIM,No Change,No Change,3314.63,134.48,334.47,256.22,425.08,304.64,393.48,101.93,39.62,0,-7.82,0,3140.51,100.15,442.22,159.86,3842.73,2879.53,-39698.35,181.630000000001,-274.609999999986,High
Jul 2019,State,MPIM,No Change,No Change,4354.06,69.65,109.47,85.26,300.54,237.76,427.51,105.91,64.93,0,-15.57,0,4219.49,46.67,447.97,156.02,4870.16,2849.28,-40117.94,-30.2500000000005,-419.590000000011,High
Aug 2019,State,MPIM,No Change,No Change,20204.5,349.03,52.82,192.29,332.42,172.76,271.67,70.01,344.29,0,-50.28,0,19511.19,100.22,297.14,130.39,20038.93,2785.69,-40546.22,-63.5899999999997,-428.279999999999,High
