Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,State,NCAR,No Change,High,272.92,10.56,41.43,142.12,26.46,124.92,30.73,2.08,7.58,0,-22.46,0,254.76,30.81,40.41,0.05,326.04,2681.09,-35026.63,0,0,No Change
Feb 2016,State,NCAR,No Change,High,5564.36,102.61,45.63,102.59,91.19,60.62,45.66,7.13,109.82,0,-37.84,0,5351.93,52.87,59.01,5.6,5469.41,2570.86,-35070.23,-110.23,-43.5999999999913,No Change
Mar 2016,State,NCAR,No Change,High,1362.2,35.46,58.26,120.98,75.08,139.17,69.51,12.91,36.71,0,-26.72,0,1290.04,63.56,88.21,9.76,1451.56,2580.97,-35042.36,10.1100000000001,27.8699999999953,No Change
Apr 2016,State,NCAR,No Change,High,4265.3,99.74,91.98,123.69,173.03,135.77,209.57,54.49,100.67,0,-33.2,0,4064.9,63.98,208.04,41.14,4378.09,2485.29,-35098.71,-95.6799999999998,-56.3499999999985,No Change
May 2016,State,NCAR,No Change,High,3927.25,57.07,131.94,107.24,288.86,256.76,240.53,60.55,48.23,0,-11.03,0,3821.92,60.71,269.49,115.19,4267.32,2469.57,-35227.52,-15.7200000000003,-128.810000000005,No Change
Jun 2016,State,NCAR,No Change,High,7725.24,97.52,55.04,137.86,263.51,295.48,256.53,65.75,109.67,0,-19.38,0,7518.03,66.05,309.95,157.35,8051.4,2412.16,-35485.48,-57.4099999999999,-257.959999999992,No Change
Jul 2016,State,NCAR,No Change,High,18588.46,264.81,37.05,180,254.75,156.44,200.67,50.66,292.06,0,-44.76,0,18031.61,68.33,247.99,148,18495.93,2260.99,-35743.29,-151.17,-257.810000000005,No Change
Aug 2016,State,NCAR,No Change,High,17691.79,261.45,34.54,150.29,240.52,116.78,180.41,45.11,290.86,0,-49.29,0,17139.49,71.25,215.61,126.5,17552.84,2261.32,-35794.02,0.329999999999927,-50.7299999999959,No Change
Sep 2016,State,NCAR,No Change,High,24672.75,350.88,32.25,235.02,199.69,60.51,118.19,26.53,371.24,0,-62.83,0,23950.63,71.77,138.27,96.37,24257.05,2304.73,-35814.25,43.4100000000003,-20.2300000000032,No Change
Oct 2016,State,NCAR,No Change,High,1995.09,34.87,30.41,71.74,95.52,109.32,224.65,55.15,43.75,0,-21.48,0,1916.47,28.82,202.7,42.07,2190.02,2397.28,-35693.88,92.5499999999997,120.370000000003,No Change
