Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,State,NCAR,Low,High,272.92,10.56,41.43,142.1,26.35,124.75,30.46,2.07,7.58,0,-22.48,0,254.76,30.79,40.17,0.05,325.79,2681.09,-35026.63,0,0,Low
Feb 2016,State,NCAR,Low,High,5564.36,102.61,45.63,104.17,86.72,57.65,41.66,6.12,109.82,0,-37.84,0,5351.93,52.85,54.49,5.6,5464.87,2570.85,-35069.96,-110.24,-43.3299999999872,Low
Mar 2016,State,NCAR,Low,High,1362.2,35.41,58.26,123.31,68.43,134.72,59.56,10.27,36.71,0,-26.8,0,1290.09,63.47,78.55,9.76,1441.85,2580.95,-35039.08,10.0999999999999,30.8799999999901,Low
Apr 2016,State,NCAR,Low,High,4265.3,99.75,91.98,127.92,155.8,123.62,164.6,41.46,100.67,0,-32.3,0,4064.9,63.91,170.44,41.14,4340.43,2485.38,-35088.2,-95.5699999999997,-49.1199999999953,Low
May 2016,State,NCAR,Low,High,3927.25,56.97,131.94,115.25,253.19,221.51,187.8,45.91,48.23,0,-18.39,0,3822.03,60.39,217.14,115.19,4214.75,2470.26,-35184.13,-15.1199999999999,-95.9300000000003,Low
Jun 2016,State,NCAR,Low,High,7725.24,99.62,55.04,137.8,218.44,245.01,199.8,49.81,109.67,0,-22.26,0,7515.93,65.71,247.94,157.35,7986.91,2426.67,-35411.37,-43.5900000000001,-227.239999999998,Low
Jul 2016,State,NCAR,Low,High,18588.46,265.15,37.05,176.91,219.32,115.4,157.91,38.63,292.06,0,-47.07,0,18031.25,68.47,200.1,148,18447.82,2302.17,-35631.3,-124.5,-219.930000000008,Low
Aug 2016,State,NCAR,Low,High,17691.79,261.69,34.54,151.64,208.67,85.31,142.71,34.45,290.86,0,-50.8,0,17139.27,72,174.59,126.5,17512.33,2325.29,-35653.59,23.1199999999999,-22.2899999999936,Low
Sep 2016,State,NCAR,Low,High,24672.75,351.03,32.25,235.18,189.49,49.97,96.06,20.36,371.24,0,-63.39,0,23950.49,71.96,115.66,96.37,24234.47,2382.33,-35648.28,57.04,5.30999999999767,Low
Oct 2016,State,NCAR,Low,High,1995.09,34.54,30.41,90.35,68.24,101.95,175.91,42.21,43.75,0,-22.5,0,1916.81,30.8,164.55,42.07,2154.2,2481.9,-35512.51,99.5700000000002,135.769999999997,Low
Nov 2016,State,NCAR,Low,High,1564.02,34.65,39,52.68,54.95,40.79,42.27,5.26,39.5,0,-27.3,0,1489.86,34.14,47.94,2.8,1574.73,2417.33,-35667.02,-64.5700000000002,-154.510000000002,Low
Dec 2016,State,NCAR,Low,High,1585.39,43.98,38.07,99.53,54.69,84.74,30.54,1.91,40.27,0,-28.91,0,1501.13,41.47,34.33,0,1576.93,2420.56,-35694.61,3.23000000000047,-27.5899999999965,Low
Jan 2017,State,NCAR,Low,High,4337.07,85.14,37.69,60.03,77.88,19.86,30.55,2.03,99.55,0,-36.64,0,4152.38,41.42,35.61,0,4229.42,2384.8,-35711.87,-35.7600000000007,-17.260000000002,Low
Feb 2017,State,NCAR,Low,High,2113.17,37.53,42.56,86.31,45.99,61.75,30.56,2,42.06,0,-28.96,0,2033.58,38.52,37.71,0,2109.81,2435.7,-35677.47,50.9000000000001,34.4000000000015,Low
Mar 2017,State,NCAR,Low,High,2329.42,46.44,49.66,127.4,37.07,97.49,54.4,8.05,49.43,0,-30.9,0,2233.55,59.99,67.35,6.96,2367.86,2410.76,-35692.92,-24.9399999999996,-15.4499999999898,Low
Apr 2017,State,NCAR,Low,High,812.02,30.14,87.04,86.84,135.43,126.56,185.43,46.67,21.95,0,-25.57,0,759.93,47.05,183.14,57.82,1047.95,2329.34,-35727.68,-81.4200000000001,-34.7600000000166,Low
May 2017,State,NCAR,Low,High,4553.34,60.85,155.04,71.73,215.83,95.15,195.28,46.18,53.65,0,-17.54,0,4438.87,41,212.84,123.53,4816.24,2293.85,-35927.91,-35.4900000000002,-200.229999999996,Low
Jun 2017,State,NCAR,Low,High,9663.84,113.77,89.43,57.02,244.19,103.62,166.45,37.52,122.53,0,-36.06,0,9427.56,41.67,202.16,154.04,9825.44,2350.8,-36164.47,56.9500000000003,-236.559999999998,Low
Jul 2017,State,NCAR,Low,High,13972.05,195.64,39.93,114.33,231.74,125.93,189.99,47.17,211.67,0,-38.03,0,13564.75,53.45,231.87,150.96,14001.03,2418.13,-36361,67.3299999999999,-196.529999999992,Low
Aug 2017,State,NCAR,Low,High,14391.76,233.64,35.76,131.06,212.02,89.53,189.09,47.48,253.45,0,-45.45,0,13904.69,61.28,213.48,127.64,14307.1,2434.9,-36481.12,16.77,-120.12000000001,Low
Sep 2017,State,NCAR,Low,High,1401.46,25.47,31.2,62.38,155.37,193.06,221.14,55.23,19.89,0,-10.5,0,1356.09,42.49,237.68,108.37,1744.63,2485.52,-36542.37,50.6199999999999,-61.2499999999927,Low
Oct 2017,State,NCAR,Low,High,18001.83,275.17,36.72,167.33,166.14,35.99,66.19,12.61,296.84,0,-46.77,0,17429.81,61.18,73.37,34.82,17599.18,2376.05,-36807.25,-109.47,-264.879999999997,Low
Nov 2017,State,NCAR,Low,High,1471.94,30.99,45.29,64.54,45.35,36.69,31.92,2.38,34.55,0,-27.44,0,1406.41,30.49,40.18,0.51,1477.6,2486.4,-36645.58,110.35,161.669999999991,Low
Dec 2017,State,NCAR,Low,High,7069.22,98.65,44.01,132.35,78.48,72.6,30.69,1.92,105.11,0,-33.77,0,6865.47,38.19,34.5,0,6938.18,2484.42,-36668.51,-1.98000000000002,-22.9300000000003,Low
Jan 2018,State,NCAR,Low,High,10692.61,193.46,42.05,103.54,133.27,16.75,30.7,2.04,209.26,0,-43.24,0,10289.89,58.74,37.65,0,10386.27,2484.53,-36625.93,0.109999999999673,42.580000000009,Low
Feb 2018,State,NCAR,Low,High,7262.86,147.15,47.24,140.98,78.39,39.9,30.71,2.23,152.98,0,-44.23,0,6962.73,59.14,39.86,0,7061.72,2592.03,-36488.56,107.5,137.369999999995,Low
Mar 2018,State,NCAR,Low,High,10810.38,210.66,64.43,189.42,72.3,42.19,30.86,2.4,211.64,0,-45.92,0,10388.08,101.47,45.68,0.21,10535.44,2619.12,-36408.25,27.0900000000001,80.3099999999904,Low
Apr 2018,State,NCAR,Low,High,8755.01,186.86,115.67,174.51,149.73,65.31,88.57,19.68,196.92,0,-42.63,0,8371.24,86.23,110.82,26.72,8594.99,2632,-36271.19,12.8800000000001,137.060000000005,Low
May 2018,State,NCAR,Low,High,16560.57,315.18,245.63,192.46,358.18,65.55,133.55,32.13,284.19,0,-108.63,0,15961.18,184.34,171.29,120.01,16436.8,2674.47,-36212.49,42.4700000000003,58.7000000000044,Low
Jun 2018,State,NCAR,Low,High,9572.83,177.8,220.52,155.27,306.41,156.76,191.68,46.79,125.06,0,-62.46,0,9269.97,155.86,247.15,155.51,9828.47,2897.23,-36258.34,222.76,-45.8499999999985,Low
Jul 2018,State,NCAR,Low,High,11683.23,193.12,88.05,212.92,206.49,181.13,228.47,58.38,185.44,0,-52.44,0,11304.7,95.33,280.89,155.35,11836.25,2944.66,-36496.14,47.4299999999998,-237.80000000001,Low
Aug 2018,State,NCAR,Low,High,15293.85,253.02,65.47,173.47,221.11,110.62,164.32,40.96,268.1,0,-59.31,0,14772.74,93.88,201.48,129.88,15197.95,2859.18,-36688.58,-85.4799999999996,-192.439999999995,Low
Sep 2018,State,NCAR,Low,High,9113.79,95.76,53.97,132.58,154.89,155.13,144.04,33.38,110.54,0,-28.86,0,8907.47,46.27,182.99,106.98,9243.72,2891.53,-36733.03,32.3499999999995,-44.4499999999971,Low
