Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,State,NCAR,Low,Low,272.92,10.52,41.43,142.63,30.83,131.12,39.8,2.07,7.58,0,-21.98,0,254.8,31.6,47.31,0.05,333.77,2684.25,-35426.64,0,0,Low
Feb 2016,State,NCAR,Low,Low,5564.36,102.55,45.63,104.72,91.7,64.44,51,6.12,109.82,0,-37.42,0,5351.96,53.64,61.82,5.6,5473.02,2574.36,-35478.78,-109.89,-52.1399999999994,Low
Mar 2016,State,NCAR,Low,Low,1362.2,35.34,58.26,123.89,71.32,139.55,68.91,10.28,36.71,0,-26.3,0,1290.15,64.29,85.77,9.76,1449.97,2584.68,-35456.86,10.3200000000006,21.9199999999983,Low
Apr 2016,State,NCAR,Low,Low,4265.3,99.33,91.98,128.69,156.85,126.91,173.96,41.45,100.67,0,-31.85,0,4065.3,64.5,177.78,41.14,4348.75,2489.31,-35514.84,-95.3700000000003,-57.9799999999959,Low
May 2016,State,NCAR,Low,Low,3927.25,56.97,131.94,115.97,256.06,226.6,197.19,45.92,48.23,0,-17.4,0,3822.04,60.91,224.59,115.19,4222.7,2473.98,-35619.67,-15.3300000000004,-104.829999999994,Low
Jun 2016,State,NCAR,Low,Low,7725.24,99.35,55.04,139.22,220.75,250.04,209.18,49.81,109.67,0,-21.87,0,7516.22,66.33,255.51,157.35,7995.42,2430.13,-35855.31,-43.8499999999995,-235.640000000007,Low
Jul 2016,State,NCAR,Low,Low,18588.46,265.02,37.05,185,221.12,128.97,167.31,38.63,292.06,0,-46.06,0,18031.38,71.01,207.83,148,18458.23,2304.69,-36084.21,-125.44,-228.900000000009,Low
Aug 2016,State,NCAR,Low,Low,17691.79,261.6,34.54,155.05,210.79,92.84,152.11,34.45,290.86,0,-50.21,0,17139.32,73.36,181.85,126.5,17521.04,2317.66,-36114.88,12.9699999999998,-30.669999999991,Low
Sep 2016,State,NCAR,Low,Low,24672.75,350.98,32.25,236.49,193.8,56.83,105.47,20.36,371.24,0,-62.99,0,23950.53,72.77,122.94,96.37,24242.61,2371.39,-36118.38,53.7300000000005,-3.5,Low
Oct 2016,State,NCAR,Low,Low,1995.09,34.69,30.41,88.31,73.04,104.51,185.32,42.21,43.75,0,-22.12,0,1916.65,30.38,171.7,42.07,2160.79,2470.49,-35991.59,99.0999999999999,126.789999999994,Low
Nov 2016,State,NCAR,Low,Low,1564.02,34.86,39,53.35,56.43,42.35,51.69,5.26,39.5,0,-26.96,0,1489.66,33.38,55.14,2.8,1580.96,2410.41,-36155.12,-60.0800000000004,-163.529999999999,Low
Dec 2016,State,NCAR,Low,Low,1585.39,44.11,38.07,100.14,56.53,86.76,39.96,1.91,40.27,0,-28.57,0,1501.01,40.84,41.52,0,1583.36,2415.79,-36191.81,5.38000000000011,-36.6900000000023,Low
Jan 2017,State,NCAR,Low,Low,4337.07,85.07,37.69,60.57,82.97,26.69,39.98,2.03,99.55,0,-36.24,0,4152.46,42.15,43,0,4237.62,2382.05,-36218.15,-33.7399999999998,-26.3399999999965,Low
Feb 2017,State,NCAR,Low,Low,2113.17,37.51,42.56,86.84,49.32,66.84,40,2.01,42.06,0,-28.54,0,2033.6,39.28,45.1,0,2118.01,2433.26,-36192.78,51.21,25.3699999999953,Low
Mar 2017,State,NCAR,Low,Low,2329.42,46.38,49.66,127.99,40.07,102.41,63.84,8.1,49.43,0,-30.4,0,2233.62,60.8,74.66,6.96,2376.04,2408.59,-36217.23,-24.6700000000001,-24.4499999999971,Low
Apr 2017,State,NCAR,Low,Low,812.02,29.78,87.04,92.65,136.59,136.76,194.87,46.69,21.95,0,-24.65,0,760.29,49.01,190.4,57.82,1057.51,2327.3,-36260.89,-81.29,-43.6600000000035,Low
May 2017,State,NCAR,Low,Low,4553.34,61.11,155.04,73.02,220.22,102.32,204.75,46.29,53.65,0,-16.55,0,4438.6,41.77,220.51,123.53,4824.4,2284.92,-36469.61,-42.3800000000001,-208.719999999987,Low
Jun 2017,State,NCAR,Low,Low,9663.84,118,89.43,59.85,242.36,106.66,175.89,37.72,122.53,0,-34.64,0,9423.32,46.53,209.97,154.04,9833.85,2340.76,-36714.48,55.8400000000001,-244.87000000001,Low
Jul 2017,State,NCAR,Low,Low,13972.05,204.97,39.93,116.17,236.35,134.08,199.44,47.29,211.67,0,-35.93,0,13555.41,62.39,239.44,150.96,14008.19,2404.68,-36918.84,63.9200000000001,-204.359999999993,Low
Aug 2017,State,NCAR,Low,Low,14391.76,235.23,35.76,133.75,214.51,96.49,198.56,47.48,253.45,0,-44.69,0,13903.08,63.9,220.79,127.64,14315.42,2419.67,-37046.21,14.9899999999998,-127.370000000003,Low
Sep 2017,State,NCAR,Low,Low,1401.46,27.2,31.2,61.27,157.96,196.1,230.62,55.27,19.89,0,-9.7,0,1354.36,44.98,245.05,108.37,1752.77,2467.98,-37116.17,48.3099999999999,-69.9600000000064,Low
Oct 2017,State,NCAR,Low,Low,18001.83,272.94,36.72,168.24,168.35,38.83,75.68,12.61,296.84,0,-46.91,0,17432.06,58.83,80.75,34.82,17606.44,2360.13,-37389.68,-107.85,-273.509999999987,Low
Nov 2017,State,NCAR,Low,Low,1471.94,30.21,45.29,65.3,48.88,41.52,41.41,2.38,34.55,0,-27.17,0,1407.18,30.02,47.43,0.51,1485.13,2471.95,-37237.64,111.82,152.039999999994,Low
Dec 2017,State,NCAR,Low,Low,7069.22,98.01,44.01,133.04,82.37,77.71,40.18,1.92,105.11,0,-33.55,0,6866.09,37.84,41.93,0,6945.88,2470.91,-37269.79,-1.03999999999996,-32.1500000000015,Low
Jan 2018,State,NCAR,Low,Low,10692.61,194.78,42.05,104.13,138.31,23.67,40.22,2.04,209.26,0,-42.65,0,10288.56,60.74,45.08,0,10394.37,2471.88,-37236.49,0.970000000000255,33.2999999999956,Low
Feb 2018,State,NCAR,Low,Low,7262.86,148.38,47.24,141.65,82.94,46.25,40.23,2.23,152.98,0,-43.67,0,6961.49,60.93,47.3,0,7069.75,2579.58,-37108.03,107.7,128.460000000006,Low
Mar 2018,State,NCAR,Low,Low,10810.38,210.61,64.43,190.09,76.13,47.33,40.39,2.4,211.64,0,-45.61,0,10388.13,101.75,53.14,0.21,10543.25,2606.95,-37036.65,27.3699999999999,71.3800000000047,Low
Apr 2018,State,NCAR,Low,Low,8755.01,186.57,115.67,175.49,151,68.95,98.09,19.68,196.92,0,-42.31,0,8371.52,87,118.33,26.72,8603.57,2620.57,-36908.83,13.6199999999999,127.82,Low
May 2018,State,NCAR,Low,Low,16560.57,314.83,245.63,193.92,360.62,70.79,143.09,32.13,284.19,0,-108.3,0,15961.54,185.03,178.73,120.01,16445.31,2662.67,-36859.31,42.1000000000004,49.5199999999895,Low
Jun 2018,State,NCAR,Low,Low,9572.83,177.59,220.52,156.68,307.84,160.69,201.21,46.79,125.06,0,-62.13,0,9270.18,156.4,254.58,155.51,9836.68,2884.71,-36914.38,222.04,-55.0699999999924,Low
Jul 2018,State,NCAR,Low,Low,11683.23,192.96,88.05,214.32,207.66,185.01,238.01,58.38,185.44,0,-52.1,0,11304.85,96.14,288.33,155.35,11844.68,2931.71,-37161.36,47,-246.979999999996,Low
Aug 2018,State,NCAR,Low,Low,15293.85,252.93,65.47,175.18,224.89,117.46,173.86,40.96,268.1,0,-58.97,0,14772.81,94.74,208.92,129.88,15206.37,2845.64,-37363.01,-86.0700000000002,-201.650000000009,Low
Sep 2018,State,NCAR,Low,Low,9113.79,95.64,53.97,130.72,157.97,157.49,153.6,33.38,110.54,0,-28.54,0,8907.59,46.98,190.46,106.98,9251.99,2877.05,-37416.65,31.4100000000003,-53.6399999999921,Low
Oct 2018,State,NCAR,Low,Low,8355.33,105.36,40.79,123.75,102.16,78,144.01,31.46,123.31,0,-36.69,0,8126.65,34.93,145.94,48.96,8356.47,2807.29,-37561.83,-69.7600000000002,-145.180000000008,Low
Nov 2018,State,NCAR,Low,Low,7981.26,154.7,42.28,111.2,120.27,39.11,42.2,2.62,166.96,0,-45.41,0,7659.61,50.01,48.67,1.07,7759.35,2798.05,-37636.72,-9.23999999999978,-74.8899999999921,Low
Dec 2018,State,NCAR,Low,Low,612.01,10.96,40.8,90.5,42.28,79.91,40.42,1.94,14.66,0,-27.12,0,586.38,26,44.81,0,657.2,2870.15,-37555.82,72.1000000000004,80.8999999999942,Low
