date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,134.81,1.7,0,2.45,0.25,0.12,0.1,0.01,2.22,0,-0.97,0,130.9,0.09,0.36,0.0,131.35,30.18,179.03,0.0,0.0
Feb 2016,382.72,4.7,0,6.78,0.48,0.12,0.1,0.01,6.29,0,-2.68,0,371.72,0.25,0.39,0.0,372.37,30.04,180.18,-0.140000000000001,1.15000000000001
Mar 2016,246.49,3.34,0,4.44,0.75,0.12,0.1,0.01,4.05,0,-1.91,0,239.1,0.18,0.51,0.0,239.79,30.1,183.7,0.0600000000000023,3.5199999999999796
Apr 2016,132.86,2.58,0,4.76,0.23,1.07,0.1,0.01,2.18,0,-1.47,0,128.09,0.14,0.63,0.0,128.86,30.31,185.75,0.209999999999997,2.05000000000001
May 2016,853.15,11.64,0,19.09,0.23,1.65,0.1,0.01,14.02,0,-6.64,0,827.49,0.62,0.76,1.45,830.31,28.93,186.37,-1.38,0.620000000000005
Jun 2016,160.36,2.7,0,2.19,4.09,2.19,1.34,0.0,2.64,0,-1.54,0,155.02,0.14,2.94,7.16,165.26,26.83,192.21,-2.1,5.84
Jul 2016,819.7,10.42,0,11.87,7.67,3.72,0.7,0.01,13.47,0,-5.95,0,795.8,0.55,4.07,7.5,807.92,27.13,184.81,0.30000000000000104,-7.400000000000009
Aug 2016,349.24,4.48,0,3.8,6.79,3.8,1.03,0.01,5.74,0,-2.56,0,339.03,0.24,4.11,6.26,349.63,27.69,184.15,0.560000000000002,-0.6599999999999971
Sep 2016,268.22,3.6,0,3.01,5.46,3.01,0.94,0.01,4.41,0,-2.05,0,260.21,0.19,3.31,5.21,268.92,27.6,180.06,-0.0899999999999999,-4.09
Oct 2016,339.73,4.19,0,6.04,0.44,0.12,0.1,0.01,5.58,0,-2.39,0,329.96,0.22,0.46,0.0,330.65,27.67,176.27,0.0700000000000003,-3.7899999999999903
Nov 2016,181.21,2.31,0,3.27,0.35,0.12,0.1,0.01,2.98,0,-1.32,0,175.92,0.12,0.35,0.0,176.39,27.62,179.37,-0.0500000000000007,3.0999999999999903
Dec 2016,77.32,1.11,0,1.46,0.34,0.12,0.1,0.01,1.27,0,-0.63,0,74.94,0.06,0.3,0.0,75.3,27.59,180.94,-0.0300000000000011,1.5699999999999898
Jan 2017,91.57,1.22,0,1.7,0.27,0.12,0.1,0.01,1.5,0,-0.7,0,88.84,0.06,0.33,0.0,89.24,27.61,181.49,0.0199999999999996,0.5500000000000109
Feb 2017,255.83,3.18,0,4.57,0.37,0.12,0.1,0.01,4.2,0,-1.82,0,248.44,0.17,0.43,0.0,249.04,27.51,182.21,-0.0999999999999979,0.719999999999999
Mar 2017,305.51,3.83,0,5.45,0.48,0.12,0.1,0.01,5.02,0,-2.19,0,296.66,0.2,0.45,0.0,297.31,27.43,184.5,-0.0800000000000018,2.2899999999999903
Apr 2017,583.24,8.26,0,12.15,0.51,0.12,0.1,0.01,9.59,0,-4.72,0,565.39,0.44,0.59,0.0,566.42,27.44,187.24,0.0100000000000016,2.7400000000000095
May 2017,676.29,9.38,0,16.34,0.69,2.8,0.15,0.01,11.12,0,-5.35,0,655.79,0.5,0.99,1.98,659.26,27.34,192.02,-0.10000000000000099,4.78
Jun 2017,377.38,5.4,0,4.16,8.2,4.16,1.11,0.01,6.2,0,-3.08,0,365.78,0.29,4.55,7.54,378.15,24.38,195.67,-2.96,3.64999999999998
Jul 2017,366.78,4.66,0,4.05,7.07,4.05,1.21,0.01,6.03,0,-2.66,0,356.1,0.25,4.44,7.81,368.59,24.97,190.15,0.59,-5.519999999999981
Aug 2017,609.67,7.62,0,7.78,8.06,4.27,0.79,0.01,10.02,0,-4.35,0,592.03,0.4,4.46,6.72,603.62,24.75,184.51,-0.219999999999999,-5.6400000000000095
Sep 2017,573.11,7.12,0,8.14,5.57,2.9,0.56,0.01,9.42,0,-4.06,0,556.57,0.38,3.1,5.14,565.19,24.85,182.69,0.10000000000000099,-1.8199999999999898
Oct 2017,221.33,2.78,0,3.98,0.36,0.12,0.1,0.01,3.64,0,-1.59,0,214.91,0.15,0.46,0.0,215.51,24.97,182.35,0.119999999999997,-0.34000000000000297
Nov 2017,104.74,1.52,0,1.96,0.47,0.12,0.1,0.01,1.72,0,-0.87,0,101.49,0.08,0.36,0.0,101.93,24.84,184.31,-0.129999999999999,1.9600000000000102
Dec 2017,105.95,1.38,0,1.96,0.25,0.12,0.1,0.01,1.74,0,-0.79,0,102.83,0.07,0.3,0.0,103.2,24.93,185.07,0.0899999999999999,0.7599999999999909
Jan 2018,111.22,1.62,0,2.08,0.5,0.12,0.1,0.01,1.83,0,-0.92,0,107.77,0.09,0.3,0.0,108.16,24.86,185.93,-0.0700000000000003,0.860000000000014
Feb 2018,117.2,1.59,0,2.17,0.37,0.12,0.1,0.01,1.93,0,-0.91,0,113.68,0.08,0.39,0.0,114.16,25.03,186.74,0.17000000000000198,0.810000000000002
Mar 2018,138.66,1.95,0,2.56,0.51,0.12,0.1,0.01,2.28,0,-1.11,0,134.44,0.1,0.43,0.0,134.98,24.99,187.67,-0.0400000000000027,0.9299999999999781
Apr 2018,398.54,5.16,0,10.17,0.23,2.57,0.1,0.01,6.55,0,-2.94,0,386.83,0.27,0.59,0.0,387.69,25.05,188.74,0.0600000000000023,1.07000000000002
May 2018,69.44,1.71,0,2.86,4.61,4.87,1.01,0.01,1.14,0,-0.98,0,66.58,0.09,3.27,4.92,74.87,22.2,192.26,-2.85,3.5199999999999796
Jun 2018,339.71,5.26,0,3.88,7.99,3.88,1.2,0.01,5.58,0,-3.0,0,328.87,0.28,4.24,7.84,341.23,19.67,186.5,-2.53,-5.759999999999991
Jul 2018,506.16,6.28,0,5.29,9.52,5.29,1.0,0.01,8.32,0,-3.58,0,491.56,0.33,5.35,7.47,504.71,20.73,180.04,1.06,-6.46000000000001
Aug 2018,688.51,8.95,0,9.69,7.6,3.7,0.69,0.01,11.32,0,-5.11,0,668.24,0.48,3.86,6.58,679.15,20.61,176.32,-0.12000000000000098,-3.72
Sep 2018,323.15,4.36,0,3.47,6.61,3.47,0.74,0.01,5.31,0,-2.49,0,313.48,0.23,3.56,4.43,321.7,21.33,175.27,0.719999999999999,-1.04999999999998
Oct 2018,310.68,3.85,0,5.57,0.39,0.12,0.1,0.01,5.11,0,-2.2,0,301.72,0.2,0.45,0.0,302.38,21.65,172.93,0.32,-2.34
Nov 2018,164.94,3.19,0,3.16,1.79,0.12,0.1,0.01,2.71,0,-1.82,0,159.04,0.17,0.33,0.0,159.54,21.57,175.74,-0.0799999999999983,2.81
Dec 2018,173.35,2.43,0,3.18,0.63,0.12,0.1,0.01,2.85,0,-1.39,0,168.07,0.13,0.28,0.0,168.48,23.0,176.55,1.43,0.810000000000002
Jan 2019,92.03,1.3,0,1.73,0.36,0.12,0.1,0.01,1.51,0,-0.74,0,89.22,0.07,0.33,0.0,89.62,23.32,177.91,0.32,1.3599999999999899
Feb 2019,356.39,4.5,0,6.38,0.57,0.12,0.1,0.01,5.86,0,-2.57,0,346.04,0.24,0.36,0.0,346.64,23.32,178.59,0.0,0.6800000000000072
Mar 2019,37.27,1.16,0,0.84,1.03,0.12,0.1,0.01,0.61,0,-0.66,0,35.5,0.06,0.46,0.0,36.02,23.5,181.79,0.18,3.1999999999999904
Apr 2019,360.48,9.4,0,8.41,5.97,0.12,0.1,0.01,5.92,0,-5.37,0,345.16,0.5,0.52,0.0,346.18,24.04,181.65,0.5399999999999989,-0.139999999999986
