date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,134.81,1.7,0,2.47,0.26,0.15,0.12,0.01,2.22,0,-0.97,0,130.9,0.09,0.39,0.0,131.39,30.18,178.22,0.0,0.0
Feb 2016,382.72,4.7,0,6.8,0.48,0.14,0.12,0.01,6.29,0,-2.68,0,371.72,0.25,0.42,0.0,372.4,30.0,179.36,-0.18,1.14000000000001
Mar 2016,246.49,3.34,0,4.46,0.74,0.14,0.12,0.01,4.05,0,-1.91,0,239.1,0.18,0.54,0.0,239.82,30.03,182.86,0.0300000000000011,3.5
Apr 2016,132.86,2.58,0,4.23,0.26,0.57,0.12,0.01,2.18,0,-1.47,0,128.09,0.14,0.66,0.0,128.89,30.2,184.89,0.169999999999998,2.02999999999997
May 2016,853.15,11.64,0,19.66,0.26,2.26,0.12,0.01,14.02,0,-6.64,0,827.49,0.62,0.79,1.45,830.35,29.34,185.5,-0.859999999999999,0.610000000000014
Jun 2016,160.36,2.7,0,2.09,4.09,2.09,1.05,0.0,2.64,0,-1.54,0,155.02,0.14,2.77,7.16,165.09,26.65,191.32,-2.69,5.8199999999999905
Jul 2016,819.7,10.42,0,12.56,6.1,2.84,0.56,0.01,13.47,0,-5.95,0,795.8,0.55,3.29,7.5,807.14,26.92,184.22,0.270000000000003,-7.099999999999991
Aug 2016,349.24,4.48,0,3.72,6.79,3.72,0.81,0.01,5.74,0,-2.56,0,339.03,0.24,4.0,6.26,349.53,27.44,183.7,0.52,-0.52000000000001
Sep 2016,268.22,3.6,0,2.94,5.46,2.94,0.75,0.01,4.41,0,-2.05,0,260.21,0.19,3.22,5.21,268.83,27.32,179.81,-0.12000000000000098,-3.8899999999999904
Oct 2016,339.73,4.19,0,6.06,0.44,0.14,0.12,0.01,5.58,0,-2.39,0,329.96,0.22,0.49,0.0,330.67,27.36,176.23,0.0399999999999991,-3.5800000000000094
Nov 2016,181.21,2.31,0,3.29,0.35,0.14,0.12,0.01,2.98,0,-1.32,0,175.92,0.12,0.38,0.0,176.42,27.27,179.31,-0.0899999999999999,3.0800000000000094
Dec 2016,77.32,1.11,0,1.48,0.34,0.14,0.12,0.01,1.27,0,-0.63,0,74.94,0.06,0.33,0.0,75.33,27.21,180.87,-0.0599999999999987,1.56
Jan 2017,91.57,1.22,0,1.72,0.26,0.14,0.12,0.01,1.5,0,-0.7,0,88.84,0.06,0.36,0.0,89.27,27.19,181.4,-0.0199999999999996,0.530000000000001
Feb 2017,255.83,3.18,0,4.6,0.37,0.14,0.12,0.01,4.2,0,-1.82,0,248.44,0.17,0.46,0.0,249.07,27.06,182.1,-0.130000000000003,0.699999999999989
Mar 2017,305.51,3.83,0,5.47,0.48,0.14,0.12,0.01,5.02,0,-2.19,0,296.66,0.2,0.47,0.0,297.33,26.94,184.38,-0.119999999999997,2.28
Apr 2017,583.24,8.26,0,11.75,0.92,0.14,0.12,0.01,9.59,0,-4.72,0,565.39,0.44,0.61,0.0,566.44,26.92,187.1,-0.0199999999999996,2.72
May 2017,676.29,9.38,0,16.83,0.61,3.21,0.15,0.01,11.12,0,-5.35,0,655.79,0.5,0.96,1.98,659.23,27.2,191.87,0.279999999999998,4.770000000000009
Jun 2017,377.38,5.4,0,4.07,8.2,4.07,0.87,0.01,6.2,0,-3.08,0,365.78,0.29,4.42,7.54,378.02,23.78,195.51,-3.42,3.6399999999999904
Jul 2017,366.78,4.66,0,3.96,7.07,3.96,0.95,0.01,6.03,0,-2.66,0,356.1,0.25,4.3,7.81,368.44,24.34,190.23,0.559999999999999,-5.28
Aug 2017,609.67,7.62,0,8.57,6.25,3.26,0.63,0.01,10.02,0,-4.35,0,592.03,0.4,3.54,6.72,602.71,24.1,184.85,-0.23999999999999802,-5.38
Sep 2017,573.11,7.12,0,8.67,4.36,2.22,0.46,0.01,9.42,0,-4.06,0,556.57,0.38,2.5,5.14,564.59,24.17,183.18,0.0700000000000003,-1.66999999999999
Oct 2017,221.33,2.78,0,4.01,0.36,0.14,0.12,0.01,3.64,0,-1.59,0,214.91,0.15,0.49,0.0,215.54,24.25,182.95,0.0799999999999983,-0.230000000000018
Nov 2017,104.74,1.52,0,1.98,0.47,0.14,0.12,0.01,1.72,0,-0.87,0,101.49,0.08,0.39,0.0,101.96,24.09,184.89,-0.16,1.94
Dec 2017,105.95,1.38,0,1.98,0.26,0.15,0.12,0.01,1.74,0,-0.79,0,102.83,0.07,0.32,0.0,103.22,24.15,185.63,0.0599999999999987,0.7400000000000091
Jan 2018,111.22,1.62,0,2.1,0.5,0.14,0.12,0.01,1.83,0,-0.92,0,107.77,0.09,0.33,0.0,108.19,24.04,186.48,-0.10999999999999902,0.8499999999999941
Feb 2018,117.2,1.59,0,2.19,0.37,0.14,0.12,0.01,1.93,0,-0.91,0,113.68,0.08,0.41,0.0,114.18,24.18,187.27,0.140000000000001,0.79000000000002
Mar 2018,138.66,1.95,0,2.58,0.51,0.14,0.12,0.01,2.28,0,-1.11,0,134.44,0.1,0.46,0.0,135.0,24.11,188.18,-0.0700000000000003,0.909999999999997
Apr 2018,398.54,5.16,0,9.44,0.26,1.88,0.12,0.01,6.55,0,-2.94,0,386.83,0.27,0.61,0.0,387.71,24.13,189.24,0.0199999999999996,1.06
May 2018,69.44,1.71,0,3.2,5.41,6.01,0.8,0.01,1.14,0,-0.98,0,66.58,0.09,3.52,4.92,75.12,22.02,192.74,-2.11,3.5
Jun 2018,339.71,5.26,0,3.79,7.99,3.79,0.94,0.01,5.58,0,-3.0,0,328.87,0.28,4.09,7.84,341.08,18.69,187.2,-3.33,-5.540000000000019
Jul 2018,506.16,6.28,0,6.06,7.7,4.24,0.79,0.01,8.32,0,-3.58,0,491.56,0.33,4.39,7.47,503.75,19.73,181.0,1.04,-6.19999999999999
Aug 2018,688.51,8.95,0,10.38,6.03,2.83,0.56,0.01,11.32,0,-5.11,0,668.24,0.48,3.06,6.58,678.36,19.59,177.49,-0.140000000000001,-3.5099999999999905
Sep 2018,323.15,4.36,0,3.74,5.93,3.05,0.6,0.01,5.31,0,-2.49,0,313.48,0.23,3.17,4.43,321.31,20.28,176.57,0.6900000000000011,-0.9200000000000159
Oct 2018,310.68,3.85,0,5.59,0.38,0.14,0.12,0.01,5.11,0,-2.2,0,301.72,0.2,0.47,0.0,302.4,20.58,174.37,0.29999999999999705,-2.19999999999999
Nov 2018,164.94,3.19,0,3.19,1.78,0.14,0.12,0.01,2.71,0,-1.82,0,159.04,0.17,0.36,0.0,159.57,20.46,177.17,-0.119999999999997,2.79999999999998
Dec 2018,173.35,2.43,0,3.21,0.63,0.14,0.12,0.01,2.85,0,-1.39,0,168.07,0.13,0.31,0.0,168.51,21.85,177.96,1.39,0.79000000000002
Jan 2019,92.03,1.3,0,1.75,0.35,0.14,0.12,0.01,1.51,0,-0.74,0,89.22,0.07,0.36,0.0,89.65,22.14,179.31,0.289999999999999,1.3499999999999899
Feb 2019,356.39,4.5,0,6.4,0.56,0.14,0.12,0.01,5.86,0,-2.57,0,346.04,0.24,0.39,0.0,346.66,22.11,179.97,-0.0300000000000011,0.6599999999999971
Mar 2019,37.27,1.16,0,0.87,1.03,0.14,0.12,0.01,0.61,0,-0.66,0,35.5,0.06,0.48,0.0,36.04,22.25,183.16,0.140000000000001,3.19
Apr 2019,360.48,9.4,0,8.13,6.28,0.14,0.12,0.01,5.92,0,-5.37,0,345.16,0.5,0.53,0.0,346.19,22.77,183.0,0.52,-0.15999999999999698
May 2019,434.67,14.04,0,13.42,9.09,1.2,0.29,0.01,7.14,0,-8.01,0,413.49,0.75,1.77,2.64,418.65,28.48,183.45,5.71,0.449999999999989
Jun 2019,234.99,8.18,0,3.15,12.41,3.15,1.05,0.01,3.86,0,-4.67,0,222.95,0.43,3.95,7.97,235.3,34.88,179.66,6.4,-3.7899999999999903
Jul 2019,201.43,2.67,0,2.44,4.06,2.44,1.12,0.0,3.31,0,-1.53,0,195.45,0.14,3.35,7.86,206.8,41.24,169.84,6.36,-9.81999999999999
Aug 2019,760.13,9.41,0,11.51,5.34,2.57,0.52,0.01,12.49,0,-5.37,0,738.23,0.5,3.19,6.65,748.57,40.61,162.65,-0.6300000000000029,-7.19
Sep 2019,78.08,1.12,0,1.24,1.7,1.24,0.98,0.0,1.28,0,-0.64,0,75.68,0.06,2.0,5.57,83.31,40.69,162.62,0.0799999999999983,-0.0300000000000011
Oct 2019,290.17,3.58,0,5.08,0.57,0.22,0.13,0.01,4.77,0,-2.04,0,281.82,0.19,0.71,0.2,282.92,40.13,156.71,-0.5599999999999951,-5.91
Nov 2019,98.45,2.79,0,2.05,2.32,0.14,0.12,0.01,1.62,0,-1.59,0,94.04,0.15,0.45,0.0,94.64,39.9,159.12,-0.23000000000000398,2.41
Dec 2019,156.52,2.16,0,2.85,0.56,0.14,0.12,0.01,2.57,0,-1.23,0,151.79,0.11,0.37,0.0,152.28,41.74,159.04,1.84,-0.0800000000000125
Jan 2020,118.24,1.83,0,2.21,0.7,0.14,0.12,0.01,1.94,0,-1.04,0,114.47,0.1,0.38,0.0,114.94,41.9,160.27,0.15999999999999698,1.23000000000002
Feb 2020,105.63,2.31,0,2.08,1.57,0.14,0.12,0.01,1.74,0,-1.32,0,101.58,0.12,0.49,0.0,102.2,42.2,161.06,0.30000000000000393,0.7899999999999922
Mar 2020,372.08,5.74,0,6.71,2.13,0.14,0.12,0.01,6.12,0,-3.27,0,360.23,0.3,0.55,0.0,361.08,43.25,161.37,1.05,0.310000000000002
Apr 2020,181.59,8.62,0,4.65,8.57,0.14,0.12,0.01,2.98,0,-4.92,0,169.99,0.46,0.8,0.0,171.24,44.8,164.1,1.55,2.7299999999999907
May 2020,789.61,13.45,0,19.75,0.99,0.33,0.15,0.01,12.98,0,-7.68,0,763.18,0.71,1.34,2.74,767.97,52.54,162.06,7.74,-2.03999999999999
Jun 2020,650.11,15.24,0,10.42,15.52,2.8,0.56,0.01,10.69,0,-8.7,0,624.18,0.81,3.67,6.71,635.36,52.0,164.48,-0.5399999999999989,2.41999999999999
Jul 2020,503.01,7.13,0,5.85,9.2,4.23,0.79,0.01,8.27,0,-4.07,0,487.61,0.38,5.04,7.43,500.47,61.6,159.21,9.6,-5.26999999999998
Aug 2020,225.48,4.49,0,2.69,6.81,2.69,0.94,0.01,3.71,0,-2.56,0,217.29,0.24,3.57,6.37,227.46,62.31,155.2,0.7100000000000011,-4.01000000000002
Sep 2020,38.79,1.12,0,0.92,1.7,0.92,0.99,0.0,0.64,0,-0.64,0,37.03,0.06,1.89,5.32,44.31,63.8,149.04,1.4899999999999898,-6.16
Oct 2020,186.37,2.39,0,3.0,1.17,0.55,0.19,0.01,3.06,0,-1.36,0,180.92,0.13,1.18,0.59,182.82,63.68,142.72,-0.119999999999997,-6.3199999999999905
Nov 2020,43.72,0.65,0,0.87,0.26,0.15,0.12,0.01,0.72,0,-0.37,0,42.35,0.03,0.55,0.0,42.94,63.29,143.66,-0.39000000000000107,0.939999999999998
Dec 2020,237.27,2.94,0,4.16,0.44,0.14,0.12,0.01,3.9,0,-1.68,0,230.43,0.16,0.4,0.0,230.99,62.97,143.9,-0.32,0.24000000000000898
Jan 2021,169.78,2.19,0,3.02,0.44,0.14,0.12,0.01,2.79,0,-1.25,0,164.8,0.12,0.48,0.0,165.39,62.97,146.01,0.0,2.1099999999999897
Feb 2021,76.45,1.19,0,1.45,0.49,0.14,0.12,0.01,1.26,0,-0.68,0,74.01,0.06,0.59,0.0,74.66,62.9,147.44,-0.0700000000000003,1.4300000000000102
Mar 2021,62.79,1.74,0,1.35,1.43,0.14,0.12,0.01,1.03,0,-0.99,0,60.01,0.09,0.85,0.0,60.95,62.78,147.91,-0.119999999999997,0.469999999999999
Apr 2021,263.32,4.4,0,10.86,0.27,4.45,0.12,0.01,4.33,0,-2.51,0,254.6,0.23,1.02,0.0,255.85,63.33,147.84,0.549999999999997,-0.0699999999999932
May 2021,671.31,9.74,0,11.54,3.77,0.53,0.18,0.01,11.03,0,-5.56,0,650.54,0.52,1.56,2.53,655.14,58.23,149.55,-5.1,1.7100000000000102
Jun 2021,185.32,2.86,0,2.29,4.34,2.29,1.07,0.0,3.05,0,-1.63,0,179.41,0.15,3.57,7.65,190.79,60.07,152.33,1.84,2.78
Jul 2021,672.52,8.75,0,9.26,7.46,3.45,0.66,0.01,11.05,0,-4.99,0,652.72,0.46,4.34,7.51,665.03,59.63,145.02,-0.439999999999998,-7.31
Aug 2021,761.35,9.85,0,11.54,5.84,2.43,0.5,0.01,12.51,0,-5.62,0,738.99,0.52,3.26,6.44,749.2,59.95,142.92,0.32,-2.10000000000002
Sep 2021,574.0,7.36,0,8.43,4.97,2.24,0.47,0.01,9.43,0,-4.2,0,557.21,0.39,2.91,5.17,565.69,60.59,142.89,0.640000000000001,-0.0300000000000011
Oct 2021,19.07,0.37,0,0.45,0.27,0.16,0.12,0.01,0.31,0,-0.21,0,18.39,0.02,0.75,0.0,19.15,60.87,142.5,0.279999999999994,-0.38999999999998597
Nov 2021,169.58,2.19,0,3.02,0.44,0.14,0.12,0.01,2.79,0,-1.25,0,164.61,0.12,0.54,0.0,165.26,60.34,142.49,-0.5299999999999939,-0.009999999999990909
Dec 2021,181.52,2.25,0,3.21,0.34,0.14,0.12,0.01,2.98,0,-1.29,0,176.28,0.12,0.48,0.0,176.88,60.21,143.92,-0.130000000000003,1.42999999999998
Jan 2022,208.99,2.6,0,3.69,0.39,0.14,0.12,0.01,3.43,0,-1.48,0,202.96,0.14,0.53,0.0,203.62,60.05,145.51,-0.160000000000004,1.59
Feb 2022,84.66,1.2,0,1.58,0.38,0.14,0.12,0.01,1.39,0,-0.68,0,82.07,0.06,0.58,0.0,82.72,59.89,147.36,-0.15999999999999698,1.85000000000002
Mar 2022,87.79,1.28,0,1.67,0.41,0.14,0.12,0.01,1.44,0,-0.73,0,85.07,0.07,0.84,0.0,85.98,59.65,147.96,-0.24000000000000196,0.5999999999999941
Apr 2022,384.06,4.78,0,12.77,0.27,5.79,0.12,0.01,6.31,0,-2.73,0,372.97,0.25,1.0,0.0,374.23,59.19,148.56,-0.460000000000001,0.5999999999999941
