date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,14.81,0.31,0,0.34,0.22,0.1,0.09,0.01,0.24,0,-0.18,0,14.26,0.02,0.37,0.0,14.64,30.18,179.89,0.0,0.0
Feb 2016,224.88,2.8,0,4.0,0.35,0.1,0.09,0.01,3.7,0,-1.6,0,218.38,0.15,0.36,0.0,218.89,30.02,179.88,-0.16,-0.009999999999990909
Mar 2016,98.6,1.39,0,1.81,0.39,0.1,0.09,0.01,1.62,0,-0.79,0,95.59,0.07,0.5,0.0,96.16,29.99,181.9,-0.0300000000000011,2.0200000000000102
Apr 2016,392.33,5.01,0,11.47,0.19,4.06,0.09,0.01,6.45,0,-2.86,0,380.87,0.27,0.64,0.0,381.78,29.86,182.65,-0.129999999999999,0.75
May 2016,353.74,4.46,0,6.22,4.14,3.58,0.46,0.01,5.81,0,-2.55,0,343.47,0.24,2.79,4.22,350.7,25.42,186.17,-4.44,3.5199999999999796
Jun 2016,500.11,6.89,0,6.03,8.55,4.12,0.75,0.01,8.22,0,-3.93,0,484.99,0.37,4.43,7.7,497.5,23.64,184.77,-1.78,-1.39999999999998
Jul 2016,748.28,9.09,0,10.94,6.06,3.2,0.6,0.01,12.3,0,-5.19,0,726.89,0.48,3.55,7.68,738.61,24.38,180.61,0.7399999999999979,-4.16
Aug 2016,897.75,11.2,0,14.69,4.03,1.72,0.35,0.01,14.76,0,-6.39,0,871.79,0.59,2.1,6.13,880.62,24.28,179.45,-0.0999999999999979,-1.1600000000000301
Sep 2016,586.07,7.43,0,9.11,4.02,1.85,0.38,0.01,9.63,0,-4.24,0,569.0,0.39,2.14,4.74,576.27,24.83,181.34,0.549999999999997,1.8900000000000101
Oct 2016,77.96,1.04,0,1.44,0.23,0.1,0.09,0.01,1.28,0,-0.59,0,75.64,0.06,0.45,0.0,76.15,25.23,181.63,0.400000000000002,0.289999999999992
Nov 2016,109.03,1.38,0,1.98,0.21,0.1,0.09,0.01,1.79,0,-0.79,0,105.86,0.07,0.34,0.0,106.26,24.98,182.24,-0.25,0.610000000000014
Dec 2016,61.75,0.85,0,1.16,0.22,0.1,0.09,0.01,1.01,0,-0.48,0,59.89,0.04,0.26,0.0,60.19,24.83,183.17,-0.15000000000000197,0.9299999999999781
Jan 2017,165.27,2.08,0,2.97,0.28,0.1,0.09,0.01,2.72,0,-1.19,0,160.47,0.11,0.28,0.0,160.87,24.78,183.63,-0.0499999999999972,0.46000000000000796
Feb 2017,67.68,0.92,0,1.26,0.22,0.1,0.09,0.01,1.11,0,-0.52,0,65.65,0.05,0.31,0.0,66.01,24.76,185.08,-0.0199999999999996,1.45000000000002
Mar 2017,106.39,1.48,0,1.99,0.35,0.1,0.09,0.01,1.75,0,-0.84,0,103.16,0.08,0.47,0.0,103.71,24.65,185.59,-0.110000000000003,0.509999999999991
Apr 2017,103.26,1.36,0,7.97,0.19,6.1,0.09,0.01,1.7,0,-0.77,0,100.2,0.07,0.57,0.0,100.85,24.51,186.42,-0.139999999999997,0.8299999999999841
