date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,159.83,0.0,0,0,0.06,0.14,0.35,0.0,0.77,0,0.08,0,159.06,0,0.27,0.0,159.33,0,-1916.02,0,0.0
Feb 2016,251.86,0.0,0,0,0.06,0.14,0.35,0.0,1.21,0,0.08,0,250.65,0,0.27,0.0,250.93,0,-1915.52,0,0.5
Mar 2016,57.37,0.0,0,0,0.06,0.14,0.35,0.0,0.28,0,0.08,0,57.1,0,0.27,0.0,57.37,0,-1914.59,0,0.9300000000000641
Apr 2016,11.35,0.0,0,0,0.06,0.16,0.42,0.01,0.05,0,0.1,0,11.3,0,0.31,0.04,11.65,0,-1914.59,0,0.0
May 2016,518.23,0.09,0,0,0.27,1.29,4.67,0.41,2.48,0,1.11,0,515.65,0,3.25,2.52,521.42,0,-1914.89,0,-0.300000000000182
Jun 2016,173.45,0.03,0,0,2.31,3.36,12.69,2.14,0.83,0,1.08,0,172.59,0,9.49,3.22,185.3,0,-1918.08,0,-3.1899999999998303
Jul 2016,513.51,0.09,0,0,1.47,2.48,9.27,1.42,2.46,0,1.1,0,510.96,0,6.84,3.34,521.14,0,-1929.93,0,-11.850000000000101
Aug 2016,175.81,0.02,0,0,2.17,3.21,12.09,2.02,0.84,0,1.06,0,174.95,0,9.03,2.84,186.82,0,-1937.55,0,-7.619999999999889
Sep 2016,311.04,0.04,0,0,1.57,2.29,8.57,1.43,1.49,0,0.76,0,309.5,0,6.42,2.35,318.27,0,-1948.56,0,-11.01
Oct 2016,513.92,0.01,0,0,0.06,0.14,0.36,0.0,2.46,0,0.09,0,511.45,0,0.28,0.29,512.01,0,-1955.8,0,-7.240000000000009
Nov 2016,47.79,0.0,0,0,0.06,0.14,0.36,0.0,0.23,0,0.08,0,47.56,0,0.28,0.0,47.84,0,-1953.88,0,1.91999999999985
Dec 2016,125.81,0.0,0,0,0.06,0.14,0.36,0.0,0.6,0,0.08,0,125.21,0,0.28,0.0,125.49,0,-1953.93,0,-0.0499999999999545
Jan 2017,124.9,0.0,0,0,0.06,0.14,0.36,0.0,0.6,0,0.08,0,124.3,0,0.28,0.0,124.57,0,-1953.6,0,0.33000000000015506
Feb 2017,121.26,0.0,0,0,0.06,0.14,0.36,0.0,0.58,0,0.08,0,120.68,0,0.28,0.0,120.96,0,-1953.28,0,0.31999999999993606
Mar 2017,151.86,0.0,0,0,0.06,0.14,0.36,0.0,0.73,0,0.08,0,151.13,0,0.28,0.0,151.4,0,-1952.97,0,0.30999999999994504
Apr 2017,122.98,0.0,0,0,0.06,0.14,0.36,0.0,0.59,0,0.08,0,122.39,0,0.28,0.02,122.69,0,-1952.52,0,0.450000000000045
May 2017,307.84,0.06,0,0,0.97,2.12,7.86,1.03,1.48,0,1.21,0,306.31,0,5.67,2.74,314.72,0,-1952.23,0,0.28999999999996395
