date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,48.84,19.67,29.35,51.46,0.7,0.65,1.79,0.01,1.54,0,-2.53,0,27.63,0.04,1.6,0.0,29.27,3.2,-93.7,0.0,0.0
Feb 2016,28.94,16.95,31.4,50.95,0.61,0.66,1.8,0.01,0.91,0,-2.62,0,11.08,0.06,1.6,0.0,12.74,3.44,-96.47,0.24,-2.77
Mar 2016,127.54,53.64,53.01,109.34,0.55,0.66,1.8,0.01,4.02,0,-2.7,0,69.87,0.11,1.61,0.0,71.59,3.57,-99.96,0.13,-3.4899999999999904
Apr 2016,11.8,33.84,48.2,83.65,1.93,0.66,1.83,0.03,0.37,0,-2.97,0,-22.41,0.1,1.67,0.06,-20.58,3.65,-100.41,0.0800000000000001,-0.45000000000000295
May 2016,38.1,55.3,139.76,195.92,4.46,2.42,2.23,0.24,1.2,0,-3.15,0,-18.4,0.24,3.11,0.98,-14.07,5.04,-104.88,1.39,-4.47
Jun 2016,15.17,19.79,70.71,81.18,33.64,21.05,2.74,0.32,0.48,0,-3.44,0,-5.11,0.17,15.01,3.92,13.99,5.96,-109.8,0.92,-4.92
Jul 2016,319.1,56.71,42.92,94.77,22.22,14.04,2.35,0.18,10.06,0,-3.51,0,252.32,0.19,10.36,3.91,266.77,5.96,-119.1,0.0,-9.3
Aug 2016,370.91,73.38,36.95,109.17,13.09,8.41,2.16,0.13,11.7,0,-3.73,0,285.83,0.2,6.72,3.23,295.98,5.96,-118.62,0.0,0.47999999999999
Sep 2016,234.64,45.36,30.16,74.74,12.98,8.33,2.19,0.14,7.4,0,-4.01,0,181.88,0.15,6.69,2.4,191.1,5.96,-115.92,0.0,2.7
Oct 2016,81.22,32.27,20.79,57.34,0.53,0.67,1.86,0.04,2.56,0,-4.22,0,46.39,0.08,1.67,0.11,48.25,5.96,-116.96,0.0,-1.03999999999999
Nov 2016,271.28,73.73,45.85,124.08,0.48,0.66,1.81,0.01,8.56,0,-4.4,0,188.99,0.08,1.61,0.0,190.69,5.96,-120.55,0.0,-3.59
Dec 2016,35.07,24.49,25.02,54.44,0.47,0.66,1.81,0.01,1.11,0,-4.78,0,9.48,0.03,1.61,0.0,11.12,5.96,-118.19,0.0,2.36
Jan 2017,182.48,58.16,41.82,104.99,0.48,0.66,1.82,0.01,5.76,0,-4.89,0,118.57,0.06,1.61,0.0,120.24,5.96,-123.66,0.0,-5.47
Feb 2017,140.3,38.22,41.97,85.47,0.48,0.66,1.82,0.01,4.43,0,-5.18,0,97.66,0.08,1.62,0.0,99.35,5.96,-124.59,0.0,-0.9300000000000072
Mar 2017,252.4,72.4,61.03,138.84,0.49,0.67,1.82,0.01,7.96,0,-5.37,0,172.04,0.13,1.63,0.0,173.8,5.96,-127.16,0.0,-2.56999999999999
Apr 2017,99.82,80.24,68.77,154.73,0.51,0.67,1.82,0.01,3.15,0,-5.71,0,16.44,0.14,1.65,0.0,18.23,5.96,-126.37,0.0,0.7899999999999922
May 2017,140.26,63.65,167.33,236.02,2.75,2.0,2.01,0.1,4.42,0,-6.07,0,72.18,0.29,2.65,0.92,76.04,5.96,-130.74,0.0,-4.37
Jun 2017,68.08,58.16,177.4,230.09,30.66,19.23,2.64,0.27,2.15,0,-6.39,0,7.77,0.43,13.8,3.65,25.64,5.96,-135.22,0.0,-4.479999999999991
Jul 2017,327.3,71.06,98.87,168.21,21.76,13.8,2.35,0.17,10.32,0,-6.66,0,245.91,0.43,10.19,3.78,260.32,5.96,-145.48,0.0,-10.26
Aug 2017,343.4,91.85,72.69,166.5,14.03,9.39,2.22,0.15,10.83,0,-7.01,0,240.72,0.4,7.14,3.33,251.59,5.91,-147.78,-0.0499999999999998,-2.30000000000001
Sep 2017,182.71,49.5,47.53,99.47,15.06,10.25,2.27,0.16,5.76,0,-7.48,0,127.44,0.23,7.55,2.3,137.52,5.5,-149.37,-0.41,-1.59
Oct 2017,279.33,64.4,55.12,127.07,0.67,0.67,1.83,0.01,8.81,0,-7.76,0,206.12,0.2,1.64,0.0,207.96,4.87,-155.5,-0.63,-6.13
Nov 2017,112.72,47.26,62.02,117.34,0.62,0.67,1.83,0.01,3.56,0,-8.12,0,61.91,0.11,1.63,0.0,63.65,5.05,-156.26,0.18,-0.7599999999999909
Dec 2017,62.33,21.22,37.71,67.34,0.61,0.67,1.83,0.01,1.97,0,-8.4,0,39.14,0.04,1.63,0.0,40.81,5.19,-162.65,0.140000000000001,-6.3900000000000095
Jan 2018,116.93,21.66,44.56,74.81,0.56,0.67,1.84,0.01,3.69,0,-8.54,0,91.58,0.06,1.63,0.0,93.28,5.32,-170.9,0.13,-8.25
Feb 2018,79.42,15.73,49.04,73.45,0.59,0.67,1.84,0.01,2.5,0,-8.69,0,61.19,0.09,1.63,0.0,62.91,5.4,-177.58,0.0800000000000001,-6.6800000000000095
Mar 2018,186.64,58.65,71.51,139.0,0.49,0.68,1.84,0.01,5.89,0,-8.81,0,122.1,0.15,1.65,0.0,123.9,5.51,-185.59,0.10999999999999902,-8.009999999999991
Apr 2018,80.39,16.49,98.88,124.45,0.53,0.68,1.84,0.01,2.54,0,-9.13,0,61.36,0.2,1.67,0.0,63.24,5.5,-190.34,-0.00999999999999979,-4.75
May 2018,97.96,0.87,272.86,261.53,5.75,4.43,2.25,0.21,3.09,0,10.42,0,94.0,0.47,3.97,1.28,99.72,5.52,-198.76,0.0199999999999996,-8.419999999999991
Jun 2018,100.02,15.1,164.9,177.06,30.14,18.5,2.62,0.26,3.15,0,-9.1,0,81.77,0.4,13.31,3.64,99.12,4.91,-188.58,-0.609999999999999,10.18
Jul 2018,287.98,43.07,67.47,111.18,21.89,13.74,2.42,0.19,9.08,0,-9.08,0,235.83,0.29,10.22,3.89,250.24,5.6,-200.52,0.69,-11.94
Aug 2018,148.55,12.24,47.12,59.19,26.91,17.7,2.55,0.23,4.69,0,-9.31,0,131.63,0.26,12.3,3.39,147.58,5.76,-206.64,0.16,-6.119999999999981
Sep 2018,249.55,28.2,32.29,64.22,16.09,10.6,2.25,0.13,7.87,0,-9.39,0,213.49,0.16,7.92,2.38,223.95,4.99,-216.97,-0.77,-10.33
Oct 2018,181.54,36.72,25.66,71.72,0.81,0.69,1.88,0.03,5.73,0,-9.56,0,139.1,0.09,1.69,0.14,141.03,4.67,-222.99,-0.32,-6.020000000000009
Nov 2018,113.55,31.27,34.48,75.54,0.62,0.68,1.85,0.01,3.58,0,-9.78,0,78.7,0.06,1.65,0.0,80.41,4.95,-228.81,0.28,-5.8199999999999905
Dec 2018,64.24,23.48,29.18,62.64,0.66,0.68,1.86,0.01,2.03,0,-9.99,0,38.73,0.03,1.65,0.0,40.41,5.08,-236.85,0.13,-8.03999999999999
Jan 2019,76.82,14.98,34.05,59.23,0.59,0.68,1.86,0.01,2.42,0,-10.15,0,59.41,0.05,1.65,0.0,61.11,5.24,-246.65,0.16,-9.80000000000001
Feb 2019,143.28,41.78,44.48,96.5,0.64,0.68,1.86,0.01,4.52,0,-10.28,0,96.98,0.08,1.66,0.0,98.73,5.35,-256.23,0.10999999999999902,-9.580000000000009
Mar 2019,54.3,24.87,46.28,81.62,0.65,0.69,1.86,0.01,1.71,0,-10.54,0,27.71,0.1,1.68,0.0,29.49,5.49,-263.83,0.140000000000001,-7.59999999999997
Apr 2019,111.77,33.77,111.01,155.1,0.86,0.69,1.86,0.01,3.53,0,-10.71,0,74.47,0.23,1.69,0.01,76.39,5.63,-274.5,0.14,-10.67
May 2019,56.09,1.11,247.1,256.7,2.14,1.75,2.25,0.22,1.77,0,-9.31,0,53.22,0.42,2.6,0.83,57.08,5.96,-283.54,0.33,-9.040000000000019
Jun 2019,31.0,3.26,115.21,117.7,32.78,21.33,2.77,0.3,0.98,0,-10.96,0,26.77,0.28,14.72,3.84,45.61,5.78,-293.94,-0.18,-10.4
