date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,48.84,19.67,29.35,51.46,0.7,0.65,1.79,0.01,1.54,0,-2.53,0,27.63,0.04,1.6,0.0,29.27,3.2,-93.7,0.0,0.0
Feb 2016,28.94,16.95,31.4,50.95,0.61,0.66,1.8,0.01,0.91,0,-2.62,0,11.08,0.06,1.6,0.0,12.74,3.44,-96.47,0.24,-2.77
Mar 2016,127.54,53.64,53.01,109.34,0.55,0.66,1.8,0.01,4.02,0,-2.7,0,69.87,0.11,1.61,0.0,71.59,3.57,-99.96,0.13,-3.4899999999999904
Apr 2016,11.8,33.92,48.2,83.74,1.91,0.66,1.82,0.02,0.37,0,-2.97,0,-22.49,0.1,1.66,0.06,-20.67,3.65,-100.41,0.0800000000000001,-0.45000000000000295
May 2016,38.1,56.22,139.89,197.49,3.26,1.71,2.06,0.15,1.2,0,-3.15,0,-19.32,0.24,2.53,0.98,-15.58,5.04,-104.87,1.39,-4.46000000000001
Jun 2016,15.17,22.6,65.97,84.35,20.4,12.89,2.36,0.2,0.48,0,-3.44,0,-7.92,0.16,9.67,3.92,5.84,5.96,-109.71,0.92,-4.83999999999999
Jul 2016,319.1,58.76,35.19,92.47,13.54,8.69,2.13,0.11,10.06,0,-3.52,0,250.27,0.15,6.88,3.91,261.21,5.96,-118.76,0.0,-9.05000000000001
Aug 2016,370.91,74.38,35.03,110.22,8.06,5.31,2.02,0.08,11.7,0,-3.76,0,284.83,0.19,4.69,3.23,292.95,5.96,-118.15,0.0,0.609999999999999
Sep 2016,234.64,46.65,22.34,70.2,7.99,5.26,2.04,0.09,7.4,0,-4.04,0,180.59,0.11,4.67,2.4,187.76,5.96,-115.38,0.0,2.7700000000000093
Oct 2016,81.22,32.62,15.63,52.6,0.52,0.67,1.84,0.03,2.56,0,-4.26,0,46.04,0.06,1.66,0.11,47.86,5.96,-116.36,0.0,-0.980000000000004
Nov 2016,271.28,73.51,45.85,123.9,0.48,0.66,1.81,0.01,8.56,0,-4.45,0,189.21,0.08,1.61,0.0,190.91,5.96,-119.98,0.0,-3.62
Dec 2016,35.07,24.41,25.02,54.41,0.47,0.66,1.81,0.01,1.11,0,-4.82,0,9.55,0.03,1.61,0.0,11.19,5.96,-117.67,0.0,2.31
Jan 2017,182.48,57.95,41.82,104.83,0.48,0.66,1.82,0.01,5.76,0,-4.93,0,118.77,0.06,1.61,0.0,120.44,5.96,-123.18,0.0,-5.51000000000001
Feb 2017,140.3,38.09,41.96,85.39,0.48,0.66,1.82,0.01,4.43,0,-5.23,0,97.78,0.08,1.62,0.0,99.48,5.96,-124.16,0.0,-0.97999999999999
Mar 2017,252.4,72.22,61.02,138.7,0.49,0.67,1.82,0.01,7.96,0,-5.42,0,172.21,0.13,1.63,0.0,173.98,5.96,-126.76,0.0,-2.60000000000001
Apr 2017,99.82,80.14,68.76,154.67,0.51,0.67,1.82,0.01,3.15,0,-5.75,0,16.53,0.14,1.65,0.0,18.32,5.96,-126.02,0.0,0.7400000000000091
May 2017,140.26,63.9,167.39,236.72,1.86,1.47,1.93,0.07,4.42,0,-6.11,0,71.93,0.29,2.26,0.92,75.4,5.96,-130.43,0.0,-4.41000000000001
Jun 2017,68.08,59.35,180.47,239.01,18.61,11.81,2.31,0.17,2.15,0,-6.44,0,6.58,0.44,8.95,3.65,19.62,5.96,-134.91,0.0,-4.479999999999991
Jul 2017,327.3,72.33,100.67,174.52,13.29,8.54,2.14,0.11,10.32,0,-6.71,0,244.65,0.44,6.79,3.78,255.65,5.96,-144.99,0.0,-10.08
Aug 2017,343.4,92.8,73.76,170.31,8.62,5.71,2.07,0.09,10.83,0,-7.07,0,239.77,0.41,4.95,3.33,248.46,5.96,-147.19,0.0,-2.19999999999999
Sep 2017,182.71,50.57,48.28,103.19,9.24,6.28,2.09,0.1,5.76,0,-7.54,0,126.38,0.23,5.2,2.3,134.11,5.89,-148.72,-0.0700000000000003,-1.53
Oct 2017,279.33,64.26,55.11,126.99,0.67,0.67,1.83,0.01,8.81,0,-7.82,0,206.25,0.2,1.64,0.0,208.1,5.64,-154.8,-0.25,-6.08000000000001
Nov 2017,112.72,47.14,62.02,117.29,0.62,0.67,1.83,0.01,3.56,0,-8.19,0,62.02,0.11,1.63,0.0,63.77,5.82,-155.63,0.180000000000001,-0.8299999999999841
Dec 2017,62.33,21.14,37.71,67.45,0.48,0.67,1.83,0.01,1.97,0,-8.47,0,39.22,0.04,1.63,0.0,40.89,5.96,-162.08,0.14,-6.450000000000019
Jan 2018,116.93,21.55,44.56,74.85,0.48,0.67,1.84,0.01,3.69,0,-8.61,0,91.68,0.06,1.63,0.0,93.38,5.96,-170.4,0.0,-8.31999999999999
Feb 2018,79.42,15.64,49.04,73.53,0.49,0.67,1.84,0.01,2.5,0,-8.75,0,61.28,0.09,1.64,0.0,63.0,5.96,-177.14,0.0,-6.739999999999981
Mar 2018,186.64,58.51,71.51,138.92,0.49,0.68,1.84,0.01,5.89,0,-8.88,0,122.24,0.15,1.65,0.0,124.04,5.96,-185.21,0.0,-8.07000000000002
Apr 2018,80.39,16.4,98.88,124.43,0.52,0.68,1.84,0.01,2.54,0,-9.19,0,61.45,0.2,1.67,0.0,63.33,5.96,-190.03,0.0,-4.8199999999999905
May 2018,97.96,0.87,273.08,262.82,3.64,2.67,2.09,0.13,3.09,0,9.7,0,94.0,0.47,3.06,1.28,98.81,5.96,-198.52,0.0,-8.490000000000009
Jun 2018,100.02,16.2,167.89,186.17,18.03,11.37,2.31,0.16,3.15,0,-9.16,0,80.67,0.41,8.67,3.64,93.4,5.82,-188.97,-0.14,9.55000000000001
Jul 2018,287.98,44.48,69.46,118.05,13.26,8.52,2.19,0.12,9.08,0,-9.15,0,234.42,0.3,6.81,3.89,245.43,5.96,-200.76,0.14,-11.79
Aug 2018,148.55,14.52,40.07,58.04,16.35,10.64,2.27,0.14,4.69,0,-9.38,0,129.35,0.22,8.06,3.39,141.02,5.96,-206.8,0.0,-6.040000000000019
Sep 2018,249.55,29.09,32.98,67.98,9.85,6.45,2.09,0.08,7.87,0,-9.48,0,212.59,0.16,5.43,2.38,220.56,5.74,-217.01,-0.22,-10.21
Oct 2018,181.54,36.65,25.66,71.79,0.76,0.69,1.87,0.02,5.73,0,-9.65,0,139.16,0.09,1.68,0.14,141.09,5.72,-223.0,-0.0200000000000005,-5.990000000000009
Nov 2018,113.55,31.14,34.48,75.62,0.49,0.68,1.85,0.01,3.58,0,-9.88,0,78.83,0.06,1.65,0.0,80.55,5.96,-228.92,0.24,-5.91999999999999
Dec 2018,64.24,23.36,29.18,62.78,0.49,0.68,1.86,0.01,2.03,0,-10.08,0,38.85,0.03,1.65,0.0,40.54,5.96,-237.05,0.0,-8.130000000000019
Jan 2019,76.82,14.85,34.05,59.3,0.49,0.68,1.86,0.01,2.42,0,-10.25,0,59.54,0.05,1.65,0.0,61.25,5.96,-246.95,0.0,-9.89999999999998
Feb 2019,143.28,41.6,44.48,96.55,0.5,0.68,1.86,0.01,4.52,0,-10.37,0,97.16,0.08,1.67,0.0,98.9,5.96,-256.62,0.0,-9.67000000000002
Mar 2019,54.3,24.75,46.28,81.72,0.51,0.69,1.86,0.01,1.71,0,-10.63,0,27.84,0.1,1.68,0.0,29.61,5.96,-264.31,0.0,-7.69
Apr 2019,111.77,33.65,111.01,155.4,0.53,0.69,1.86,0.01,3.53,0,-10.81,0,74.59,0.23,1.69,0.01,76.52,5.96,-275.08,0.0,-10.77
May 2019,56.09,1.11,247.14,257.73,1.52,1.23,2.1,0.14,1.77,0,-10.2,0,53.22,0.42,2.24,0.83,56.72,5.96,-284.22,0.0,-9.14000000000004
Jun 2019,31.0,4.55,118.55,126.63,19.88,12.64,2.41,0.19,0.98,0,-11.06,0,25.47,0.29,9.52,3.84,39.13,5.96,-295.43,0.0,-11.21
