date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,145.78,49.29,38.16,90.1,0.5,0.67,1.82,0.01,4.6,0,-2.53,0,91.89,0.05,1.62,0.0,93.56,3.2,-94.03,0.0,0.0
Feb 2016,204.81,46.68,50.88,100.29,0.61,0.67,1.82,0.01,6.46,0,-2.76,0,151.67,0.09,1.62,0.0,153.39,3.23,-93.77,0.0299999999999998,0.260000000000005
Mar 2016,78.36,21.83,47.63,72.39,0.63,0.67,1.82,0.01,2.47,0,-3.0,0,54.07,0.1,1.64,0.0,55.81,3.35,-91.89,0.12,1.88
Apr 2016,28.64,8.18,27.53,38.41,1.02,0.67,1.83,0.01,0.9,0,-3.11,0,19.56,0.06,1.65,0.0,21.27,3.48,-94.22,0.13,-2.33
May 2016,292.28,53.83,115.82,171.7,1.84,0.93,1.87,0.04,9.22,0,-3.17,0,229.23,0.2,1.87,0.41,231.7,3.99,-98.24,0.51,-4.02
Jun 2016,91.45,16.97,93.22,102.34,29.67,18.6,2.59,0.25,2.88,0,-3.44,0,71.59,0.23,12.98,3.51,88.31,4.88,-94.43,0.89,3.8099999999999903
Jul 2016,343.33,48.91,49.81,93.96,21.13,13.08,2.34,0.16,10.83,0,-3.51,0,283.59,0.22,9.74,3.79,297.34,5.31,-100.84,0.43,-6.41
Aug 2016,106.08,17.17,49.89,61.26,27.72,18.48,2.56,0.24,3.35,0,-3.7,0,85.56,0.28,12.61,3.23,101.69,5.79,-99.48,0.48,1.36
Sep 2016,159.51,29.08,33.62,59.95,18.75,12.46,2.34,0.17,5.03,0,-3.71,0,125.41,0.16,9.01,2.4,136.97,4.74,-105.39,-1.05,-5.91
Oct 2016,296.89,59.92,25.67,89.33,0.7,0.67,1.84,0.01,9.36,0,-3.87,0,227.6,0.09,1.64,0.05,229.39,4.19,-108.64,-0.55,-3.25
Nov 2016,64.51,27.27,37.06,68.48,0.64,0.68,1.84,0.01,2.03,0,-4.19,0,35.2,0.07,1.64,0.0,36.91,4.4,-105.02,0.21,3.62
Dec 2016,70.69,30.55,29.02,63.94,0.6,0.68,1.84,0.01,2.23,0,-4.33,0,37.92,0.03,1.63,0.0,39.58,4.56,-109.0,0.159999999999999,-3.98
Jan 2017,102.6,31.57,35.41,71.47,0.61,0.68,1.85,0.01,3.24,0,-4.47,0,67.8,0.05,1.64,0.0,69.49,4.68,-112.93,0.12,-3.9300000000000095
Feb 2017,107.26,27.59,43.35,75.57,0.6,0.68,1.85,0.01,3.38,0,-4.63,0,76.29,0.08,1.65,0.0,78.01,4.8,-115.99,0.12,-3.0599999999999903
Mar 2017,156.27,37.4,54.0,96.14,0.59,0.68,1.85,0.01,4.93,0,-4.76,0,113.94,0.12,1.65,0.0,115.71,4.91,-119.07,0.11,-3.08
Apr 2017,119.51,38.58,67.97,110.98,1.03,0.68,1.85,0.01,3.77,0,-4.92,0,77.16,0.14,1.67,0.0,78.97,5.0,-120.74,0.0899999999999999,-1.67
May 2017,169.63,30.16,177.7,210.71,5.15,3.22,2.07,0.11,5.35,0,-5.08,0,134.12,0.3,3.45,1.12,138.99,5.52,-123.73,0.52,-2.9900000000000095
Jun 2017,70.67,15.23,176.3,185.0,32.71,21.37,2.71,0.28,2.23,0,-5.24,0,53.21,0.43,14.65,3.89,72.19,5.96,-126.55,0.44,-2.8199999999999905
Jul 2017,143.97,14.4,54.38,63.46,30.63,20.26,2.66,0.26,4.54,0,-5.29,0,125.03,0.24,13.8,4.0,143.06,5.09,-135.89,-0.87,-9.339999999999991
Aug 2017,309.2,54.59,40.27,93.01,19.45,12.48,2.34,0.16,9.75,0,-5.35,0,244.86,0.22,9.28,3.42,257.79,4.06,-143.03,-1.03,-7.1400000000000095
Sep 2017,257.12,51.79,33.3,85.87,13.16,8.48,2.23,0.13,8.11,0,-5.62,0,197.22,0.16,6.77,2.47,206.62,3.94,-144.24,-0.12,-1.21000000000001
Oct 2017,153.14,36.95,20.21,62.97,0.7,0.69,1.88,0.02,4.83,0,-5.9,0,111.36,0.07,1.68,0.06,113.18,3.94,-146.32,0.0,-2.07999999999998
