date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,145.78,49.3,38.11,90.04,0.49,0.65,1.79,0.01,4.6,0,-2.53,0,91.89,0.05,1.6,0.0,93.54,3.2,-94.03,0.0,0.0
Feb 2016,204.81,46.68,50.82,100.24,0.6,0.66,1.8,0.01,6.46,0,-2.76,0,151.67,0.09,1.6,0.0,153.36,3.23,-93.75,0.0299999999999998,0.280000000000001
Mar 2016,78.36,21.83,47.58,72.34,0.62,0.66,1.8,0.01,2.47,0,-3.0,0,54.06,0.1,1.61,0.0,55.78,3.35,-91.83,0.12,1.92
Apr 2016,28.64,8.19,27.47,38.36,1.01,0.66,1.8,0.01,0.9,0,-3.11,0,19.55,0.06,1.63,0.0,21.23,3.48,-94.14,0.13,-2.31
May 2016,292.28,53.94,115.77,171.83,1.66,0.81,1.83,0.03,9.22,0,-3.17,0,229.13,0.2,1.76,0.41,231.49,3.99,-98.14,0.51,-4.0
Jun 2016,91.45,18.14,96.1,110.5,18.0,11.05,2.26,0.16,2.88,0,-3.44,0,70.42,0.23,8.44,3.51,82.6,4.88,-94.29,0.89,3.8499999999999903
Jul 2016,343.33,50.19,51.19,99.71,13.07,8.11,2.11,0.1,10.83,0,-3.51,0,282.32,0.22,6.5,3.79,292.83,5.49,-100.46,0.61,-6.16999999999999
Aug 2016,106.08,20.1,32.32,50.31,16.82,11.18,2.24,0.15,3.35,0,-3.72,0,82.64,0.18,8.21,3.23,94.26,5.96,-98.94,0.47,1.52
Sep 2016,159.51,30.54,24.26,54.51,11.44,7.53,2.11,0.11,5.03,0,-3.74,0,123.95,0.12,6.05,2.4,132.51,5.48,-104.63,-0.48,-5.69
Oct 2016,296.89,59.79,25.6,89.17,0.7,0.66,1.81,0.01,9.36,0,-3.9,0,227.73,0.09,1.62,0.05,229.5,5.34,-107.74,-0.140000000000001,-3.11
Nov 2016,64.51,27.21,37.0,68.39,0.63,0.66,1.81,0.01,2.03,0,-4.22,0,35.27,0.07,1.61,0.0,36.95,5.55,-104.13,0.21,3.61
Dec 2016,70.69,30.46,29.61,64.47,0.59,0.66,1.81,0.01,2.23,0,-4.36,0,38.01,0.04,1.61,0.0,39.65,5.71,-108.11,0.16,-3.98
Jan 2017,102.6,31.47,35.35,71.34,0.6,0.66,1.82,0.01,3.24,0,-4.5,0,67.9,0.05,1.61,0.0,69.56,5.83,-112.05,0.12,-3.94
Feb 2017,107.26,27.51,43.29,75.55,0.5,0.66,1.82,0.01,3.38,0,-4.66,0,76.37,0.08,1.63,0.0,78.07,5.95,-115.11,0.12,-3.06
Mar 2017,156.27,37.29,53.94,96.09,0.49,0.67,1.82,0.01,4.93,0,-4.8,0,114.05,0.12,1.63,0.0,115.79,5.96,-118.2,0.00999999999999979,-3.09
Apr 2017,119.51,38.51,67.89,111.38,0.51,0.67,1.82,0.01,3.77,0,-4.96,0,77.22,0.14,1.65,0.0,79.01,5.96,-119.87,0.0,-1.67
May 2017,169.63,30.45,177.76,212.18,3.03,2.19,1.95,0.07,5.35,0,-5.11,0,133.83,0.3,2.72,1.12,137.98,5.96,-122.86,0.0,-2.9899999999999904
Jun 2017,70.67,16.47,179.17,193.39,19.82,12.74,2.34,0.17,2.23,0,-5.27,0,51.97,0.44,9.45,3.89,65.75,5.96,-125.63,0.0,-2.77
Jul 2017,143.97,17.35,43.18,59.28,18.57,12.18,2.31,0.16,4.54,0,-5.33,0,122.08,0.19,8.94,4.0,135.2,5.77,-134.74,-0.19,-9.11000000000001
Aug 2017,309.2,55.95,38.24,95.18,11.88,7.68,2.12,0.1,9.75,0,-5.4,0,243.5,0.21,6.22,3.42,253.36,5.36,-141.67,-0.409999999999999,-6.929999999999981
Sep 2017,257.12,52.64,31.81,87.24,8.09,5.35,2.05,0.09,8.11,0,-5.69,0,196.37,0.15,4.72,2.47,203.72,5.36,-142.76,0.0,-1.09
Oct 2017,153.14,36.85,20.14,62.86,0.69,0.67,1.84,0.02,4.83,0,-5.96,0,111.46,0.07,1.65,0.06,113.25,5.34,-144.77,-0.0200000000000005,-2.0100000000000198
Nov 2017,78.57,25.73,32.41,64.17,0.76,0.67,1.83,0.01,2.48,0,-6.18,0,50.36,0.06,1.63,0.0,52.05,5.53,-147.79,0.19,-3.0199999999999796
Dec 2017,67.35,30.71,29.93,67.07,0.55,0.67,1.83,0.01,2.12,0,-6.34,0,34.51,0.04,1.63,0.0,36.18,5.8,-153.31,0.27,-5.520000000000009
Jan 2018,65.53,19.42,34.04,60.03,0.58,0.67,1.84,0.01,2.07,0,-6.52,0,44.04,0.05,1.63,0.0,45.72,5.87,-159.35,0.0700000000000003,-6.03999999999999
Feb 2018,61.33,18.25,37.14,62.15,0.49,0.67,1.84,0.01,1.93,0,-6.65,0,41.14,0.07,1.64,0.0,42.85,5.96,-165.62,0.0899999999999999,-6.270000000000009
Mar 2018,65.26,22.31,45.39,74.55,0.5,0.68,1.84,0.01,2.06,0,-6.77,0,40.89,0.1,1.65,0.0,42.64,5.96,-172.16,0.0,-6.53999999999999
Apr 2018,67.2,38.23,57.36,102.53,0.52,0.68,1.84,0.01,2.12,0,-6.89,0,26.84,0.12,1.67,0.0,28.63,5.96,-178.7,0.0,-6.53999999999999
May 2018,9.65,13.0,92.02,109.78,7.25,5.1,2.19,0.17,0.3,0,-7.06,0,-3.66,0.16,4.52,1.76,2.78,5.96,-185.3,0.0,-6.600000000000019
Jun 2018,94.92,6.45,42.85,49.35,18.53,11.62,2.34,0.17,2.99,0,-7.06,0,85.47,0.1,8.85,3.96,98.38,5.61,-195.84,-0.35,-10.54
Jul 2018,165.26,12.6,35.05,48.55,17.39,11.45,2.29,0.15,5.21,0,-6.99,0,147.45,0.15,8.48,3.82,159.89,5.83,-206.02,0.22,-10.18
Aug 2018,380.18,56.26,28.87,88.23,9.97,6.17,2.08,0.08,11.99,0,-7.06,0,311.93,0.16,5.26,3.28,320.63,5.43,-213.77,-0.4,-7.75
Sep 2018,110.81,27.79,27.73,59.53,9.25,6.05,2.14,0.12,3.5,0,-7.34,0,79.52,0.13,5.23,2.0,86.89,5.96,-214.11,0.53,-0.34000000000000297
Oct 2018,137.0,27.67,17.29,52.55,0.54,0.69,1.88,0.03,4.32,0,-7.5,0,105.01,0.06,1.7,0.14,106.9,5.96,-221.98,0.0,-7.869999999999981
Nov 2018,140.56,40.14,29.98,77.92,0.49,0.68,1.85,0.01,4.43,0,-7.67,0,95.98,0.05,1.65,0.0,97.69,5.96,-227.15,0.0,-5.1700000000000195
Dec 2018,99.97,28.0,25.16,61.24,0.49,0.68,1.86,0.01,3.15,0,-7.91,0,68.81,0.03,1.65,0.0,70.49,5.96,-232.23,0.0,-5.0799999999999805
Jan 2019,62.55,14.82,25.99,49.05,0.49,0.68,1.86,0.01,1.97,0,-8.09,0,45.76,0.04,1.66,0.0,47.45,5.96,-238.83,0.0,-6.600000000000019
Feb 2019,203.24,42.65,42.43,93.38,0.5,0.68,1.86,0.01,6.41,0,-8.2,0,154.18,0.08,1.66,0.0,155.92,5.96,-246.79,0.0,-7.959999999999981
Mar 2019,9.7,1.79,29.34,39.69,0.51,0.69,1.86,0.01,0.31,0,-8.45,0,7.61,0.06,1.68,0.0,9.34,5.96,-250.42,0.0,-3.63
Apr 2019,112.31,28.1,40.25,76.93,0.52,0.69,1.86,0.01,3.54,0,-8.5,0,80.67,0.08,1.69,0.0,82.44,5.96,-260.41,0.0,-9.99000000000004
May 2019,122.3,63.39,106.02,177.17,2.75,2.02,2.02,0.09,3.86,0,-8.68,0,55.06,0.18,2.67,0.96,58.87,5.96,-267.22,0.0,-6.81
Jun 2019,40.91,24.42,55.97,81.73,20.5,12.97,2.41,0.19,1.29,0,-9.0,0,15.2,0.14,9.75,3.97,29.06,5.96,-274.94,0.0,-7.71999999999997
Jul 2019,84.96,12.12,38.66,52.63,20.83,13.71,2.41,0.18,2.68,0,-9.13,0,70.16,0.17,9.88,3.96,84.17,5.96,-288.85,0.0,-13.91
Aug 2019,434.83,85.01,33.07,124.4,7.84,5.12,2.06,0.07,13.71,0,-9.23,0,336.1,0.18,4.59,3.28,344.16,5.43,-301.49,-0.53,-12.64
Sep 2019,15.57,10.85,23.12,38.23,16.59,11.27,2.33,0.16,0.49,0,-9.69,0,4.23,0.11,8.18,2.78,15.31,5.55,-302.27,0.12,-0.779999999999973
Oct 2019,250.87,40.54,19.52,69.79,0.72,0.73,1.88,0.02,7.91,0,-9.79,0,202.42,0.07,1.71,0.2,204.41,4.86,-316.42,-0.69,-14.15
Nov 2019,110.96,41.27,27.55,78.31,1.19,0.69,1.88,0.01,3.5,0,-10.04,0,66.19,0.05,1.67,0.0,67.91,5.0,-320.37,0.14,-3.9499999999999904
Dec 2019,85.86,25.93,25.52,61.72,0.67,0.69,1.88,0.01,2.71,0,-10.28,0,57.22,0.03,1.67,0.0,58.92,5.69,-328.77,0.69,-8.39999999999998
Jan 2020,98.27,24.71,29.03,64.24,0.6,0.69,1.88,0.01,3.1,0,-10.44,0,70.46,0.04,1.67,0.0,72.17,5.86,-338.21,0.17,-9.44
Feb 2020,74.94,9.86,29.27,49.86,0.51,0.69,1.88,0.01,2.36,0,-10.6,0,62.72,0.05,1.68,0.0,64.45,5.96,-347.42,0.0999999999999996,-9.21000000000004
Mar 2020,107.55,23.34,45.4,79.51,0.51,0.69,1.88,0.01,3.39,0,-10.68,0,80.82,0.1,1.69,0.0,82.61,5.96,-357.52,0.0,-10.1
Apr 2020,51.46,69.6,88.44,168.84,0.53,0.7,1.89,0.01,1.62,0,-10.82,0,-19.76,0.18,1.71,0.0,-17.88,5.96,-366.68,0.0,-9.16000000000003
May 2020,142.73,57.78,139.89,207.77,2.89,2.11,2.03,0.08,4.5,0,-11.12,0,80.45,0.24,2.73,1.01,84.43,5.96,-377.75,0.0,-11.07
Jun 2020,171.9,97.49,92.03,195.09,15.33,9.81,2.27,0.13,5.42,0,-11.32,0,68.99,0.22,7.67,3.42,80.29,5.96,-387.33,0.0,-9.57999999999998
Jul 2020,150.93,95.66,41.55,141.81,19.13,12.15,2.36,0.15,4.76,0,-11.75,0,50.51,0.18,9.18,3.83,63.7,5.96,-398.79,0.0,-11.46
Aug 2020,81.97,79.95,37.76,123.55,17.06,10.88,2.35,0.16,2.59,0,-12.23,0,-0.56,0.21,8.37,3.24,11.26,5.96,-411.82,0.0,-13.03
Sep 2020,9.24,17.3,33.04,57.02,16.14,10.31,2.33,0.16,0.29,0,-12.67,0,-8.35,0.16,8.01,2.56,2.38,5.96,-426.89,0.0,-15.07
Oct 2020,121.24,49.07,21.83,83.73,0.6,0.72,1.98,0.06,3.82,0,-12.8,0,68.35,0.08,1.8,0.29,70.53,5.96,-444.01,0.0,-17.12
Nov 2020,23.99,14.72,24.84,52.81,0.51,0.7,1.9,0.01,0.76,0,-13.11,0,8.52,0.04,1.69,0.0,10.26,5.96,-455.2,0.0,-11.19
Dec 2020,241.01,61.85,37.41,112.64,0.5,0.7,1.9,0.01,7.6,0,-13.23,0,171.56,0.04,1.69,0.0,173.29,5.96,-469.43,0.0,-14.23
Jan 2021,152.14,43.09,38.63,95.44,0.51,0.7,1.9,0.01,4.8,0,-13.59,0,104.26,0.06,1.69,0.0,106.0,5.96,-476.94,0.0,-7.509999999999991
Feb 2021,40.13,4.84,32.32,51.14,0.52,0.7,1.9,0.01,1.27,0,-13.85,0,34.03,0.06,1.7,0.0,35.79,5.96,-487.61,0.0,-10.67
Mar 2021,30.37,0.52,37.22,50.58,0.53,0.7,1.9,0.01,0.96,0,-12.75,0,28.9,0.08,1.71,0.0,30.69,5.96,-502.08,0.0,-14.47
