date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,9.22,4.66,19.5,26.74,0.46,0.53,1.47,0.01,0.29,0,-2.54,0,4.26,0.03,1.3,0.0,5.59,3.2,-80.62,0.0,0.0
Feb 2016,137.93,34.01,35.79,72.3,0.51,0.53,1.47,0.01,4.35,0,-2.54,0,99.57,0.07,1.3,0.0,100.94,3.29,-84.31,0.0899999999999999,-3.69
Mar 2016,37.85,12.11,32.16,46.95,0.49,0.53,1.47,0.01,1.19,0,-2.71,0,24.55,0.07,1.32,0.0,25.93,3.42,-83.96,0.13,0.3500000000000089
Apr 2016,117.18,21.99,37.09,61.72,0.59,0.53,1.47,0.02,3.7,0,-2.77,0,91.49,0.08,1.34,0.02,92.93,3.51,-86.93,0.0899999999999999,-2.9700000000000095
May 2016,39.28,0.36,61.22,51.93,10.03,6.75,1.98,0.25,1.24,0,6.28,0,37.68,0.1,4.87,1.55,44.2,3.69,-87.48,0.18,-0.549999999999997
Jun 2016,139.74,8.67,37.37,37.63,29.86,18.66,2.24,0.25,4.41,0,-2.9,0,126.67,0.09,12.85,3.96,143.57,3.83,-83.25,0.14,4.23
Jul 2016,363.72,46.32,24.65,66.91,19.25,12.39,1.96,0.16,11.47,0,-2.91,0,305.92,0.11,8.9,3.82,318.75,4.18,-87.69,0.35,-4.44
Aug 2016,380.98,51.75,29.64,78.83,14.8,9.32,1.83,0.12,12.02,0,-3.1,0,317.22,0.16,7.03,3.16,327.58,3.94,-84.75,-0.24,2.94
Sep 2016,353.69,50.47,26.68,77.49,7.79,4.99,1.69,0.09,11.16,0,-3.27,0,292.07,0.13,4.25,2.16,298.61,4.11,-80.7,0.17,4.05
Oct 2016,40.29,8.45,8.49,20.65,0.45,0.66,1.56,0.06,1.27,0,-3.53,0,30.58,0.03,1.4,0.13,32.14,4.26,-76.58,0.149999999999999,4.12
Nov 2016,57.79,14.77,24.76,43.24,0.37,0.53,1.48,0.01,1.82,0,-3.59,0,41.2,0.04,1.31,0.0,42.56,4.15,-80.48,-0.10999999999999902,-3.9000000000000097
Dec 2016,37.15,23.79,22.94,50.46,0.44,0.53,1.48,0.01,1.17,0,-3.67,0,12.19,0.03,1.3,0.0,13.52,4.14,-83.71,-0.0100000000000007,-3.2299999999999907
Jan 2017,124.95,31.62,30.64,66.04,0.48,0.53,1.48,0.01,3.94,0,-3.77,0,89.38,0.04,1.31,0.0,90.73,4.21,-87.67,0.0700000000000003,-3.9600000000000097
Feb 2017,53.91,14.31,24.56,42.82,0.46,0.53,1.48,0.01,1.7,0,-3.92,0,37.9,0.04,1.31,0.0,39.26,4.32,-88.96,0.11,-1.28999999999999
Mar 2017,54.56,14.3,32.42,50.7,0.47,0.53,1.48,0.01,1.72,0,-3.99,0,38.54,0.07,1.33,0.0,39.93,4.4,-92.65,0.0800000000000001,-3.6900000000000097
Apr 2017,18.23,4.73,33.59,42.38,0.44,0.54,1.49,0.02,0.57,0,-4.03,0,12.92,0.07,1.35,0.03,14.37,4.48,-96.39,0.0800000000000001,-3.7399999999999904
May 2017,46.85,4.99,39.33,43.47,14.6,9.79,2.07,0.25,1.48,0,-4.01,0,40.37,0.07,7.19,2.08,49.71,4.51,-101.35,0.0299999999999994,-4.95999999999999
Jun 2017,142.53,6.49,29.19,28.52,29.79,18.66,2.25,0.24,4.5,0,-4.05,0,131.55,0.07,13.14,3.89,148.65,3.94,-107.78,-0.57,-6.4300000000000095
Jul 2017,253.26,29.91,12.64,37.53,24.28,15.28,2.11,0.21,7.99,0,-4.04,0,215.36,0.06,10.94,3.85,230.21,3.94,-113.22,0.0,-5.44
Aug 2017,316.86,51.85,20.1,70.6,14.8,9.4,1.9,0.15,9.99,0,-4.17,0,255.02,0.11,7.13,3.19,265.46,3.92,-115.04,-0.02,-1.82000000000001
Sep 2017,18.76,0.83,2.18,2.86,6.69,4.44,2.23,0.25,0.59,0,-2.1,0,17.34,0.01,4.22,2.65,24.22,3.94,-114.16,0.02,0.88000000000001
Oct 2017,355.38,52.96,23.73,80.89,0.68,0.54,1.49,0.01,11.21,0,-4.43,0,291.21,0.09,1.32,0.08,292.7,3.94,-120.3,0.0,-6.14
Nov 2017,44.68,12.13,17.68,34.45,0.58,0.54,1.49,0.01,1.41,0,-4.71,0,31.14,0.03,1.32,0.0,32.49,4.23,-115.07,0.29,5.23
Dec 2017,102.17,21.13,25.4,51.35,0.48,0.54,1.49,0.01,3.22,0,-4.8,0,77.82,0.03,1.32,0.0,79.17,4.43,-119.85,0.19999999999999898,-4.78
Jan 2018,255.05,63.23,36.09,104.21,0.52,0.54,1.49,0.01,8.04,0,-4.92,0,183.77,0.05,1.32,0.0,185.14,4.54,-122.9,0.11,-3.0500000000000096
Feb 2018,164.42,52.93,35.29,93.4,0.56,0.54,1.49,0.01,5.19,0,-5.26,0,106.3,0.06,1.32,0.0,107.69,4.68,-121.26,0.14,1.64
Mar 2018,293.34,59.14,52.77,117.51,0.39,0.54,1.5,0.01,9.25,0,-5.55,0,224.94,0.11,1.33,0.0,226.39,4.85,-122.82,0.17,-1.5599999999999898
Apr 2018,213.49,38.51,54.68,98.95,0.51,0.54,1.5,0.01,6.73,0,-5.85,0,168.25,0.11,1.35,0.01,169.72,4.85,-120.6,0.0,2.22
May 2018,409.27,18.04,206.48,228.23,5.54,3.59,1.69,0.09,12.91,0,-6.02,0,378.33,0.35,3.41,1.97,384.06,4.96,-121.21,0.11,-0.609999999999999
Jun 2018,146.9,22.89,141.75,159.21,30.4,19.29,2.27,0.24,4.63,0,-6.03,0,119.38,0.34,13.41,3.95,137.09,5.1,-117.89,0.14,3.3199999999999905
Jul 2018,240.72,34.8,70.08,100.0,27.6,16.99,2.18,0.22,7.59,0,-6.04,0,198.34,0.31,12.07,4.0,214.7,4.83,-125.27,-0.27,-7.38
Aug 2018,370.02,61.38,71.11,133.12,14.13,8.94,1.87,0.13,11.67,0,-6.21,0,296.97,0.39,6.85,3.21,307.42,5.33,-129.67,0.5,-4.399999999999991
Sep 2018,97.72,3.52,41.61,42.58,26.08,17.21,2.16,0.21,3.08,0,-6.52,0,91.12,0.2,11.67,2.74,105.72,5.41,-129.16,0.0800000000000001,0.509999999999991
Oct 2018,110.59,9.06,26.29,41.96,0.46,0.62,1.59,0.06,3.49,0,-6.55,0,98.05,0.1,1.43,0.19,99.77,4.56,-137.28,-0.8500000000000011,-8.12
Nov 2018,210.89,49.35,40.13,96.07,0.51,0.54,1.5,0.01,6.65,0,-6.62,0,154.89,0.07,1.33,0.0,156.29,4.49,-142.06,-0.0699999999999994,-4.78
Dec 2018,13.98,3.13,25.08,35.18,0.44,0.54,1.51,0.01,0.44,0,-6.9,0,10.41,0.03,1.33,0.0,11.77,4.61,-143.52,0.12,-1.4600000000000102
Jan 2019,177.11,46.58,39.76,93.29,0.48,0.54,1.51,0.01,5.59,0,-6.95,0,124.94,0.06,1.33,0.0,126.33,4.67,-151.47,0.0599999999999996,-7.94999999999999
Feb 2019,52.23,9.42,31.24,47.86,0.5,0.54,1.51,0.01,1.65,0,-7.21,0,41.17,0.06,1.34,0.0,42.56,4.77,-154.32,0.0999999999999996,-2.8499999999999903
Mar 2019,176.04,39.52,49.59,96.45,0.39,0.55,1.51,0.01,5.55,0,-7.29,0,130.97,0.11,1.35,0.0,132.43,4.88,-161.38,0.11,-7.06
Apr 2019,63.01,13.86,72.43,93.77,0.44,0.55,1.51,0.02,1.99,0,-7.53,0,47.16,0.15,1.37,0.01,48.68,4.87,-164.61,-0.00999999999999979,-3.2300000000000204
May 2019,176.09,1.73,361.22,357.27,2.24,1.34,1.79,0.17,5.55,0,4.16,0,168.81,0.62,2.12,0.93,172.47,4.9,-171.67,0.0300000000000002,-7.05999999999997
Jun 2019,162.11,34.36,353.88,384.78,28.46,18.25,2.24,0.23,5.11,0,-7.62,0,122.64,0.86,12.65,3.87,140.03,5.31,-164.51,0.409999999999999,7.16
Jul 2019,363.48,61.68,127.91,188.67,20.88,12.71,2.01,0.16,11.46,0,-7.81,0,290.33,0.56,9.29,3.87,304.05,4.87,-172.9,-0.44,-8.39000000000001
Aug 2019,268.13,53.72,88.44,142.81,18.38,11.38,2.01,0.17,8.46,0,-8.13,0,205.95,0.49,8.47,3.29,218.19,5.6,-174.96,0.73,-2.06
Sep 2019,100.69,30.05,49.34,80.35,20.67,13.43,2.11,0.21,3.18,0,-8.43,0,67.46,0.24,9.56,2.58,79.85,5.96,-179.76,0.36,-4.79999999999998
Oct 2019,119.5,35.07,43.27,86.86,0.5,0.56,1.57,0.04,3.77,0,-8.62,0,80.66,0.16,1.41,0.12,82.35,5.53,-189.5,-0.43,-9.740000000000009
Nov 2019,158.14,44.52,50.07,103.21,0.68,0.55,1.52,0.01,4.99,0,-8.83,0,108.63,0.09,1.35,0.0,110.06,5.58,-195.99,0.0499999999999998,-6.490000000000009
Dec 2019,154.49,54.17,45.32,108.59,0.49,0.55,1.52,0.01,4.87,0,-9.09,0,95.44,0.05,1.35,0.0,96.84,5.87,-201.35,0.29,-5.3599999999999905
Jan 2020,204.78,61.6,52.39,123.46,0.39,0.55,1.52,0.01,6.46,0,-9.39,0,136.72,0.07,1.35,0.0,138.14,5.96,-207.06,0.0899999999999999,-5.71000000000001
Feb 2020,153.67,33.69,51.06,94.53,0.4,0.55,1.52,0.01,4.85,0,-9.73,0,115.14,0.09,1.36,0.0,116.58,5.96,-211.5,0.0,-4.44
Mar 2020,41.36,35.73,59.45,105.12,0.41,0.55,1.52,0.01,1.3,0,-9.93,0,4.33,0.13,1.37,0.0,5.82,5.96,-217.88,0.0,-6.38
Apr 2020,122.39,43.21,172.8,225.91,0.42,0.55,1.52,0.01,3.86,0,-10.12,0,75.31,0.35,1.38,0.0,77.05,5.96,-228.01,0.0,-10.13
