date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,126.65,0,0,0,0,0.45,1.95,0.08,0.01,0,0.45,0,126.65,0,1.43,0.0,128.07,0,-5211.24,0,0.0
Feb 2016,236.77,0,0,0,0,0.45,9.9,2.37,0.01,0,0.45,0,236.76,0,7.08,0.01,243.85,0,-5212.66,0,-1.42000000000007
Mar 2016,20.97,0,0,0,0,0.45,16.98,4.41,0.0,0,0.45,0,20.97,0,12.13,0.01,33.11,0,-5219.74,0,-7.07999999999993
Apr 2016,5.41,0,0,0,0,0.45,20.75,5.49,0.0,0,0.45,0,5.41,0,14.81,0.02,20.24,0,-5231.88,0,-12.1400000000003
May 2016,1171.56,0,0,0,0,0.45,6.89,1.5,0.05,0,0.45,0,1171.51,0,4.94,0.02,1176.47,0,-5246.71,0,-14.8299999999999
Jun 2016,184.97,0,0,0,0,0.45,25.22,6.78,0.01,0,0.45,0,184.96,0,18.0,0.02,202.98,0,-5251.62,0,-4.90999999999985
Jul 2016,189.82,0,0,0,0,0.45,26.13,7.04,0.01,0,0.45,0,189.81,0,18.64,0.02,208.48,0,-5269.64,0,-18.020000000000397
Aug 2016,225.97,0,0,0,0,0.45,22.58,6.02,0.01,0,0.45,0,225.96,0,16.11,0.02,242.09,0,-5288.3,0,-18.659999999999897
Sep 2016,445.04,0,0,0,0,0.45,16.02,4.13,0.02,0,0.45,0,445.02,0,11.44,0.02,456.48,0,-5304.42,0,-16.1199999999999
Oct 2016,634.82,0,0,0,0,0.45,6.71,1.45,0.03,0,0.45,0,634.8,0,4.81,0.01,639.62,0,-5315.86,0,-11.4399999999996
Nov 2016,81.38,0,0,0,0,0.45,1.85,0.05,0.0,0,0.45,0,81.38,0,1.35,0.0,82.73,0,-5320.66,0,-4.800000000000179
Dec 2016,154.2,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,154.19,0,1.35,0.0,155.54,0,-5322.01,0,-1.35000000000036
Jan 2017,169.32,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,169.31,0,1.35,0.0,170.66,0,-5323.36,0,-1.3499999999994499
Feb 2017,123.17,0,0,0,0,0.44,1.91,0.07,0.01,0,0.44,0,123.17,0,1.39,0.0,124.56,0,-5324.7,0,-1.34000000000015
Mar 2017,196.32,0,0,0,0,0.44,13.77,3.48,0.01,0,0.44,0,196.31,0,9.84,0.01,206.17,0,-5326.09,0,-1.3900000000003303
Apr 2017,220.61,0,0,0,0,0.44,15.73,4.05,0.01,0,0.44,0,220.61,0,11.23,0.02,231.86,0,-5335.94,0,-9.849999999999449
May 2017,832.44,0,0,0,0,0.44,10.69,2.6,0.03,0,0.44,0,832.4,0,7.65,0.02,840.07,0,-5347.18,0,-11.240000000000698
Jun 2017,195.41,0,0,0,0,0.44,25.43,6.84,0.01,0,0.44,0,195.4,0,18.15,0.02,213.57,0,-5354.81,0,-7.630000000000111
Jul 2017,257.77,0,0,0,0,0.44,24.93,6.7,0.01,0,0.44,0,257.75,0,17.79,0.02,275.57,0,-5372.97,0,-18.159999999999897
Aug 2017,210.17,0,0,0,0,0.44,23.7,6.34,0.01,0,0.44,0,210.16,0,16.91,0.02,227.1,0,-5390.78,0,-17.809999999999498
Sep 2017,460.59,0,0,0,0,0.44,15.45,3.97,0.02,0,0.44,0,460.57,0,11.04,0.02,471.63,0,-5407.7,0,-16.9200000000001
Oct 2017,114.21,0,0,0,0,0.44,16.88,4.38,0.0,0,0.44,0,114.2,0,12.06,0.01,126.27,0,-5418.74,0,-11.04
