date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,126.65,0,0,0,0,0.66,2.44,0.08,0.01,0,0.66,0,126.65,0,1.69,0.0,128.34,0,-5225.25,0,0.0
Feb 2016,236.77,0,0,0,0,0.66,10.38,2.37,0.01,0,0.66,0,236.76,0,7.35,0.01,244.12,0,-5226.93,0,-1.68000000000029
Mar 2016,20.97,0,0,0,0,0.66,17.46,4.41,0.0,0,0.66,0,20.97,0,12.39,0.01,33.37,0,-5234.28,0,-7.349999999999451
Apr 2016,5.41,0,0,0,0,0.66,21.24,5.49,0.0,0,0.66,0,5.41,0,15.08,0.02,20.51,0,-5246.69,0,-12.4099999999999
May 2016,1171.56,0,0,0,0,0.66,7.37,1.5,0.05,0,0.66,0,1171.51,0,5.2,0.02,1176.74,0,-5261.79,0,-15.100000000000401
Jun 2016,184.97,0,0,0,0,0.66,25.71,6.78,0.01,0,0.66,0,184.96,0,18.26,0.02,203.25,0,-5266.96,0,-5.17000000000007
Jul 2016,189.82,0,0,0,0,0.66,26.61,7.04,0.01,0,0.66,0,189.81,0,18.91,0.02,208.75,0,-5285.24,0,-18.2799999999997
Aug 2016,225.97,0,0,0,0,0.66,23.06,6.02,0.01,0,0.66,0,225.96,0,16.38,0.02,242.36,0,-5304.17,0,-18.9300000000003
Sep 2016,445.04,0,0,0,0,0.66,16.5,4.13,0.02,0,0.66,0,445.02,0,11.71,0.02,456.74,0,-5320.56,0,-16.3900000000003
Oct 2016,634.82,0,0,0,0,0.66,7.19,1.45,0.03,0,0.66,0,634.8,0,5.08,0.01,639.89,0,-5332.26,0,-11.6999999999998
Nov 2016,81.38,0,0,0,0,0.66,2.33,0.05,0.0,0,0.66,0,81.38,0,1.62,0.0,82.99,0,-5337.33,0,-5.06999999999971
Dec 2016,154.2,0,0,0,0,0.66,2.33,0.05,0.01,0,0.66,0,154.19,0,1.62,0.0,155.81,0,-5338.94,0,-1.6099999999996697
Jan 2017,169.32,0,0,0,0,0.66,2.33,0.05,0.01,0,0.66,0,169.31,0,1.62,0.0,170.93,0,-5340.55,0,-1.6100000000005799
Feb 2017,123.17,0,0,0,0,0.66,2.39,0.07,0.01,0,0.66,0,123.17,0,1.66,0.0,124.83,0,-5342.16,0,-1.6099999999996697
Mar 2017,196.32,0,0,0,0,0.66,14.25,3.48,0.01,0,0.66,0,196.31,0,10.11,0.01,206.43,0,-5343.82,0,-1.65999999999985
Apr 2017,220.61,0,0,0,0,0.66,16.21,4.05,0.01,0,0.66,0,220.61,0,11.5,0.02,232.12,0,-5353.93,0,-10.1100000000006
May 2017,832.44,0,0,0,0,0.66,11.17,2.6,0.03,0,0.66,0,832.4,0,7.91,0.02,840.34,0,-5365.43,0,-11.5
Jun 2017,195.41,0,0,0,0,0.66,25.91,6.84,0.01,0,0.66,0,195.4,0,18.41,0.02,213.83,0,-5373.33,0,-7.89999999999964
Jul 2017,257.77,0,0,0,0,0.66,25.41,6.7,0.01,0,0.66,0,257.75,0,18.05,0.02,275.83,0,-5391.76,0,-18.4300000000003
Aug 2017,210.17,0,0,0,0,0.66,24.18,6.34,0.01,0,0.66,0,210.16,0,17.18,0.02,227.36,0,-5409.83,0,-18.0699999999997
Sep 2017,460.59,0,0,0,0,0.66,15.93,3.97,0.02,0,0.66,0,460.57,0,11.3,0.02,471.9,0,-5427.02,0,-17.190000000000502
Oct 2017,114.21,0,0,0,0,0.66,17.36,4.38,0.0,0,0.66,0,114.2,0,12.32,0.01,126.54,0,-5438.32,0,-11.2999999999993
Nov 2017,138.18,0,0,0,0,0.66,4.75,0.75,0.01,0,0.66,0,138.18,0,3.34,0.0,141.52,0,-5450.65,0,-12.3299999999999
Dec 2017,91.27,0,0,0,0,0.66,2.33,0.05,0.0,0,0.66,0,91.26,0,1.61,0.0,92.88,0,-5453.99,0,-3.3400000000001495
Jan 2018,21.28,0,0,0,0,0.66,2.33,0.05,0.0,0,0.66,0,21.28,0,1.61,0.0,22.9,0,-5455.6,0,-1.6100000000005799
Feb 2018,71.27,0,0,0,0,0.66,2.34,0.06,0.0,0,0.66,0,71.27,0,1.63,0.0,72.9,0,-5457.22,0,-1.61999999999989
Mar 2018,36.98,0,0,0,0,0.66,17.15,4.32,0.0,0,0.66,0,36.98,0,12.17,0.01,49.16,0,-5458.84,0,-1.61999999999989
Apr 2018,57.75,0,0,0,0,0.66,21.47,5.56,0.0,0,0.66,0,57.75,0,15.25,0.02,73.02,0,-5471.02,0,-12.1800000000003
May 2018,79.99,0,0,0,0,0.66,25.94,6.85,0.0,0,0.66,0,79.99,0,18.43,0.02,98.44,0,-5486.29,0,-15.269999999999499
Jun 2018,475.58,0,0,0,0,0.66,21.4,5.54,0.02,0,0.66,0,475.56,0,15.2,0.03,490.78,0,-5504.74,0,-18.4499999999998
Jul 2018,223.73,0,0,0,0,0.66,26.06,6.88,0.01,0,0.66,0,223.72,0,18.52,0.02,242.26,0,-5519.94,0,-15.1999999999998
Aug 2018,494.12,0,0,0,0,0.66,19.62,5.03,0.02,0,0.66,0,494.1,0,13.93,0.02,508.05,0,-5538.48,0,-18.54
Sep 2018,245.55,0,0,0,0,0.66,19.26,4.93,0.01,0,0.66,0,245.54,0,13.67,0.02,259.23,0,-5552.41,0,-13.9300000000003
Oct 2018,782.22,0,0,0,0,0.66,6.72,1.32,0.03,0,0.66,0,782.18,0,4.75,0.01,786.94,0,-5566.09,0,-13.6800000000003
Nov 2018,38.02,0,0,0,0,0.66,4.05,0.55,0.0,0,0.66,0,38.02,0,2.84,0.0,40.86,0,-5570.82,0,-4.72999999999956
Dec 2018,159.41,0,0,0,0,0.66,2.32,0.05,0.01,0,0.66,0,159.41,0,1.61,0.0,161.02,0,-5573.66,0,-2.8400000000001495
Jan 2019,20.45,0,0,0,0,0.66,2.32,0.05,0.0,0,0.66,0,20.45,0,1.61,0.0,22.06,0,-5575.27,0,-1.6100000000005799
Feb 2019,253.96,0,0,0,0,0.66,2.32,0.05,0.01,0,0.66,0,253.95,0,1.61,0.0,255.56,0,-5576.88,0,-1.6099999999996697
Mar 2019,20.49,0,0,0,0,0.66,6.64,1.3,0.0,0,0.66,0,20.49,0,4.69,0.0,25.18,0,-5578.48,0,-1.5999999999994499
Apr 2019,371.54,0,0,0,0,0.66,12.52,2.99,0.02,0,0.66,0,371.53,0,8.87,0.01,380.42,0,-5583.17,0,-4.690000000000509
May 2019,311.88,0,0,0,0,0.66,20.6,5.31,0.01,0,0.66,0,311.87,0,14.63,0.02,326.52,0,-5592.04,0,-8.86999999999989
Jun 2019,415.85,0,0,0,0,0.66,22.31,5.81,0.02,0,0.66,0,415.84,0,15.85,0.03,431.71,0,-5606.68,0,-14.6400000000003
Jul 2019,68.85,0,0,0,0,0.66,29.61,7.91,0.0,0,0.66,0,68.85,0,21.04,0.03,89.91,0,-5622.54,0,-15.8599999999997
Aug 2019,350.1,0,0,0,0,0.66,22.15,5.76,0.01,0,0.66,0,350.09,0,15.73,0.02,365.85,0,-5643.61,0,-21.0699999999997
Sep 2019,206.77,0,0,0,0,0.65,21.45,5.56,0.01,0,0.65,0,206.76,0,15.24,0.02,222.02,0,-5659.35,0,-15.740000000000698
Oct 2019,112.32,0,0,0,0,0.65,17.61,4.45,0.0,0,0.65,0,112.31,0,12.5,0.01,124.83,0,-5674.6,0,-15.25
Nov 2019,38.3,0,0,0,0,0.65,3.21,0.31,0.0,0,0.65,0,38.3,0,2.24,0.0,40.54,0,-5687.11,0,-12.509999999999302
Dec 2019,111.49,0,0,0,0,0.65,2.32,0.05,0.0,0,0.65,0,111.48,0,1.61,0.0,113.09,0,-5689.35,0,-2.24000000000069
Jan 2020,139.29,0,0,0,0,0.65,2.32,0.05,0.01,0,0.65,0,139.28,0,1.61,0.0,140.89,0,-5690.96,0,-1.6099999999996697
Feb 2020,111.6,0,0,0,0,0.65,2.32,0.05,0.0,0,0.65,0,111.59,0,1.61,0.0,113.2,0,-5692.56,0,-1.60000000000036
Mar 2020,95.76,0,0,0,0,0.65,2.32,0.05,0.0,0,0.65,0,95.75,0,1.61,0.0,97.36,0,-5694.16,0,-1.5999999999994499
Apr 2020,75.9,0,0,0,0,0.65,18.28,4.65,0.0,0,0.65,0,75.89,0,12.98,0.02,88.89,0,-5695.77,0,-1.6100000000005799
May 2020,744.75,0,0,0,0,0.65,12.71,3.04,0.03,0,0.65,0,744.72,0,9.01,0.02,753.75,0,-5708.76,0,-12.9899999999998
Jun 2020,448.47,0,0,0,0,0.65,20.86,5.39,0.02,0,0.65,0,448.45,0,14.82,0.02,463.3,0,-5717.76,0,-9.0
Jul 2020,301.66,0,0,0,0,0.65,24.76,6.51,0.01,0,0.65,0,301.65,0,17.6,0.02,319.27,0,-5732.58,0,-14.8199999999997
Aug 2020,187.24,0,0,0,0,0.65,23.95,6.28,0.01,0,0.65,0,187.23,0,17.02,0.02,204.27,0,-5750.19,0,-17.6099999999997
Sep 2020,259.71,0,0,0,0,0.65,19.7,5.06,0.01,0,0.65,0,259.69,0,13.99,0.02,273.7,0,-5767.22,0,-17.030000000000697
Oct 2020,48.56,0,0,0,0,0.65,19.93,5.12,0.0,0,0.65,0,48.56,0,14.15,0.01,62.73,0,-5781.22,0,-14.0
Nov 2020,23.2,0,0,0,0,0.65,4.31,0.63,0.0,0,0.65,0,23.2,0,3.03,0.0,26.23,0,-5795.39,0,-14.1700000000001
Dec 2020,171.34,0,0,0,0,0.65,2.31,0.05,0.01,0,0.65,0,171.33,0,1.61,0.0,172.94,0,-5798.42,0,-3.0299999999997502
Jan 2021,43.58,0,0,0,0,0.65,2.31,0.05,0.0,0,0.65,0,43.58,0,1.61,0.0,45.18,0,-5800.02,0,-1.60000000000036
Feb 2021,11.76,0,0,0,0,0.65,2.38,0.07,0.0,0,0.65,0,11.76,0,1.65,0.0,13.41,0,-5801.62,0,-1.5999999999994499
Mar 2021,22.6,0,0,0,0,0.65,18.99,4.85,0.0,0,0.65,0,22.6,0,13.49,0.01,36.1,0,-5803.27,0,-1.6500000000005501
Apr 2021,146.24,0,0,0,0,0.65,18.47,4.7,0.01,0,0.65,0,146.23,0,13.11,0.02,159.36,0,-5816.77,0,-13.5
May 2021,840.92,0,0,0,0,0.65,11.31,2.64,0.03,0,0.65,0,840.88,0,8.02,0.02,848.92,0,-5829.9,0,-13.1299999999992
Jun 2021,472.77,0,0,0,0,0.65,20.97,5.42,0.02,0,0.65,0,472.75,0,14.89,0.02,487.67,0,-5837.9,0,-8.0
Jul 2021,563.62,0,0,0,0,0.65,19.25,4.93,0.02,0,0.65,0,563.6,0,13.67,0.02,577.3,0,-5852.8,0,-14.900000000000501
Aug 2021,582.45,0,0,0,0,0.65,17.04,4.29,0.02,0,0.65,0,582.42,0,12.09,0.02,594.54,0,-5866.47,0,-13.6700000000001
Sep 2021,1025.2,0,0,0,0,0.65,8.6,1.87,0.04,0,0.65,0,1025.15,0,6.09,0.02,1031.26,0,-5878.56,0,-12.0900000000001
Oct 2021,49.48,0,0,0,0,0.65,18.95,4.84,0.0,0,0.65,0,49.48,0,13.45,0.01,62.95,0,-5884.63,0,-6.069999999999711
Nov 2021,90.16,0,0,0,0,0.65,4.5,0.69,0.0,0,0.65,0,90.16,0,3.17,0.0,93.33,0,-5898.09,0,-13.46
Dec 2021,23.9,0,0,0,0,0.65,2.3,0.05,0.0,0,0.65,0,23.9,0,1.6,0.0,25.5,0,-5901.26,0,-3.1700000000000697
Jan 2022,87.06,0,0,0,0,0.65,2.3,0.05,0.0,0,0.65,0,87.06,0,1.6,0.0,88.66,0,-5902.86,0,-1.5999999999994499
Feb 2022,82.9,0,0,0,0,0.65,13.46,3.26,0.0,0,0.65,0,82.89,0,9.55,0.01,92.45,0,-5904.46,0,-1.60000000000036
Mar 2022,104.68,0,0,0,0,0.65,16.13,4.03,0.0,0,0.65,0,104.67,0,11.45,0.01,116.14,0,-5914.01,0,-9.55000000000018
Apr 2022,26.61,0,0,0,0,0.65,22.24,5.79,0.0,0,0.65,0,26.61,0,15.8,0.02,42.43,0,-5925.47,0,-11.46
May 2022,221.9,0,0,0,0,0.65,21.67,5.63,0.01,0,0.65,0,221.89,0,15.4,0.02,237.31,0,-5941.29,0,-15.8199999999997
Jun 2022,13.53,0,0,0,0,0.65,30.68,8.22,0.0,0,0.65,0,13.53,0,21.81,0.03,35.37,0,-5956.69,0,-15.399999999999599
Jul 2022,354.09,0,0,0,0,0.65,23.27,6.09,0.01,0,0.65,0,354.07,0,16.53,0.02,370.63,0,-5978.53,0,-21.8400000000001
Aug 2022,191.55,0,0,0,0,0.65,24.71,6.5,0.01,0,0.65,0,191.54,0,17.56,0.02,209.13,0,-5995.07,0,-16.54
Sep 2022,612.05,0,0,0,0,0.65,14.1,3.45,0.03,0,0.65,0,612.02,0,10.01,0.02,622.05,0,-6012.65,0,-17.5799999999999
Oct 2022,163.08,0,0,0,0,0.65,15.82,3.95,0.01,0,0.65,0,163.07,0,11.23,0.01,174.32,0,-6022.65,0,-10.0
Nov 2022,148.27,0,0,0,0,0.65,4.14,0.58,0.01,0,0.65,0,148.27,0,2.91,0.0,151.18,0,-6033.88,0,-11.230000000000501
Dec 2022,12.4,0,0,0,0,0.65,2.3,0.05,0.0,0,0.65,0,12.4,0,1.6,0.0,14.0,0,-6036.79,0,-2.9099999999998505
Jan 2023,12.64,0,0,0,0,0.65,2.3,0.05,0.0,0,0.65,0,12.64,0,1.6,0.0,14.24,0,-6038.39,0,-1.60000000000036
Feb 2023,320.29,0,0,0,0,0.64,8.57,1.86,0.01,0,0.64,0,320.28,0,6.06,0.01,326.35,0,-6039.98,0,-1.58999999999924
Mar 2023,119.59,0,0,0,0,0.64,14.57,3.59,0.0,0,0.64,0,119.58,0,10.34,0.01,129.93,0,-6046.04,0,-6.0600000000004
Apr 2023,346.24,0,0,0,0,0.64,15.01,3.71,0.01,0,0.64,0,346.22,0,10.65,0.02,356.89,0,-6056.39,0,-10.350000000000401
May 2023,386.57,0,0,0,0,0.64,19.95,5.13,0.02,0,0.64,0,386.55,0,14.17,0.02,400.75,0,-6067.05,0,-10.6599999999999
Jun 2023,473.53,0,0,0,0,0.64,21.15,5.48,0.02,0,0.64,0,473.51,0,15.02,0.03,488.56,0,-6081.23,0,-14.179999999999401
Jul 2023,284.45,0,0,0,0,0.64,25.32,6.68,0.01,0,0.64,0,284.44,0,18.0,0.02,302.46,0,-6096.26,0,-15.0300000000007
Aug 2023,880.98,0,0,0,0,0.64,12.91,3.11,0.04,0,0.64,0,880.94,0,9.16,0.02,890.13,0,-6114.27,0,-18.0100000000002
Sep 2023,659.82,0,0,0,0,0.64,12.26,2.92,0.03,0,0.64,0,659.79,0,8.69,0.02,668.5,0,-6123.41,0,-9.13999999999942
Oct 2023,55.94,0,0,0,0,0.64,18.42,4.7,0.0,0,0.64,0,55.94,0,13.08,0.01,69.03,0,-6132.09,0,-8.68000000000029
Nov 2023,217.57,0,0,0,0,0.64,3.01,0.26,0.01,0,0.64,0,217.56,0,2.11,0.0,219.67,0,-6145.19,0,-13.099999999999499
Dec 2023,47.3,0,0,0,0,0.64,2.29,0.05,0.0,0,0.64,0,47.3,0,1.59,0.0,48.89,0,-6147.29,0,-2.10000000000036
Jan 2024,10.41,0,0,0,0,0.64,2.29,0.05,0.0,0,0.64,0,10.41,0,1.59,0.0,12.01,0,-6148.88,0,-1.59000000000015
Feb 2024,197.66,0,0,0,0,0.64,2.29,0.05,0.01,0,0.64,0,197.65,0,1.59,0.0,199.24,0,-6150.47,0,-1.59000000000015
Mar 2024,46.94,0,0,0,0,0.64,3.75,0.47,0.0,0,0.64,0,46.94,0,2.63,0.0,49.58,0,-6152.06,0,-1.59000000000015
Apr 2024,152.8,0,0,0,0,0.64,18.9,4.83,0.01,0,0.64,0,152.79,0,13.43,0.02,166.24,0,-6154.69,0,-2.6299999999992
May 2024,778.01,0,0,0,0,0.64,11.92,2.83,0.03,0,0.64,0,777.98,0,8.45,0.02,786.45,0,-6168.13,0,-13.4400000000005
Jun 2024,212.08,0,0,0,0,0.64,24.31,6.39,0.01,0,0.64,0,212.07,0,17.28,0.02,229.37,0,-6176.57,0,-8.4399999999996
Jul 2024,451.16,0,0,0,0,0.64,21.26,5.51,0.02,0,0.64,0,451.15,0,15.11,0.02,466.28,0,-6193.87,0,-17.3000000000002
Aug 2024,363.81,0,0,0,0,0.64,20.59,5.32,0.01,0,0.64,0,363.8,0,14.63,0.02,378.45,0,-6208.98,0,-15.1099999999997
Sep 2024,571.09,0,0,0,0,0.64,13.79,3.36,0.02,0,0.64,0,571.07,0,9.78,0.02,580.87,0,-6223.61,0,-14.6300000000001
Oct 2024,320.48,0,0,0,0,0.64,13.73,3.35,0.01,0,0.64,0,320.47,0,9.75,0.01,330.23,0,-6233.39,0,-9.780000000000651
Nov 2024,255.37,0,0,0,0,0.64,2.37,0.08,0.01,0,0.64,0,255.36,0,1.65,0.0,257.01,0,-6243.14,0,-9.75
