date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,502.38,1.83,3.51,2.25,5.58,0.97,4.75,0.87,6.0,0,-1.9,0,494.55,0.38,6.12,0.19,501.25,83.06,-9692.18,0.0,0.0
Feb 2016,1052.47,6.18,12.89,1.71,17.78,2.0,10.38,3.47,12.56,0,-1.88,0,1033.74,3.46,12.01,5.78,1054.99,85.42,-9692.15,2.36,0.0300000000006548
Mar 2016,107.2,3.93,15.41,1.64,17.86,12.83,16.88,4.38,1.28,0,-1.89,0,101.99,14.56,17.81,8.88,143.24,96.1,-9694.16,10.68,-2.01000000000022
Apr 2016,10.38,0.01,4.03,24.0,14.71,39.15,41.08,14.81,0.12,0,-1.56,0,10.25,6.04,41.87,16.96,75.12,95.82,-9716.15,-0.280000000000001,-21.9899999999998
May 2016,3974.65,37.98,44.56,35.89,40.15,3.13,16.96,5.39,47.44,0,-1.9,0,3889.22,11.53,18.97,19.79,3939.52,55.78,-9760.81,-40.04,-44.6599999999999
Jun 2016,1063.05,1.15,23.53,18.31,36.98,39.95,47.84,16.99,12.69,0,-1.64,0,1049.22,10.97,47.9,23.81,1131.89,85.4,-9746.63,29.62,14.1800000000003
Jul 2016,1638.83,12.2,21.21,33.57,32.04,34.84,46.61,16.6,19.56,0,-1.91,0,1607.07,4.55,46.68,23.65,1681.95,65.39,-9790.24,-20.01,-43.6100000000006
Aug 2016,1038.23,3.42,17.42,7.84,22.28,11.09,44.91,15.95,12.39,0,-1.87,0,1022.41,3.68,42.25,20.62,1088.96,45.91,-9826.25,-19.48,-36.010000000000204
Sep 2016,1913.54,14.54,16.0,17.54,16.8,5.48,31.54,10.83,22.84,0,-1.87,0,1876.16,3.55,30.0,17.5,1927.21,43.81,-9865.31,-2.09999999999999,-39.0599999999995
Oct 2016,2438.98,20.79,13.27,26.11,11.66,3.94,13.42,4.14,29.11,0,-1.9,0,2389.07,2.13,13.57,10.64,2415.41,45.85,-9882.55,2.04,-17.2399999999998
Nov 2016,218.75,0.18,1.94,15.73,2.78,15.11,6.98,1.72,2.61,0,-1.87,0,215.96,0.58,7.64,1.67,225.85,49.29,-9875.26,3.44,7.28999999999905
Dec 2016,573.31,3.44,2.59,4.7,3.86,0.94,4.54,0.67,6.84,0,-1.86,0,563.03,0.27,4.6,0.0,567.9,34.58,-9881.45,-14.71,-6.19000000000051
Jan 2017,633.71,4.19,2.75,2.59,6.84,0.94,4.54,0.78,7.56,0,-1.85,0,621.96,0.3,4.67,0.0,626.93,36.78,-9880.35,2.2,1.1000000000003602
Feb 2017,509.62,2.46,5.6,1.23,8.18,1.0,4.89,1.01,6.08,0,-1.85,0,501.08,1.5,5.55,0.32,508.45,41.77,-9878.4,4.99,1.9500000000007298
Mar 2017,487.94,6.28,9.53,1.35,14.03,6.72,14.83,3.38,5.82,0,-1.86,0,475.83,9.0,13.53,8.56,506.93,47.28,-9878.37,5.51,0.0299999999988358
Apr 2017,627.91,2.18,9.51,11.75,11.66,11.57,33.72,12.09,7.5,0,-1.87,0,618.24,1.71,32.47,15.82,668.24,52.51,-9894.42,5.23,-16.0499999999993
May 2017,2388.52,21.2,29.28,18.19,31.0,4.43,27.57,9.38,28.51,0,-1.86,0,2338.81,7.58,27.41,20.73,2394.53,41.76,-9926.24,-10.75,-31.8199999999997
Jun 2017,782.9,0.85,18.4,11.64,26.85,24.38,51.5,18.35,9.35,0,-1.78,0,772.71,6.93,49.71,25.18,854.53,59.1,-9938.51,17.34,-12.270000000000401
Jul 2017,1189.24,8.52,10.75,19.29,22.09,22.56,49.63,17.7,14.2,0,-1.85,0,1166.53,2.31,47.37,24.2,1240.4,44.99,-9989.26,-14.11,-50.75
Aug 2017,1386.65,9.22,19.18,5.74,27.12,6.65,44.69,15.87,16.55,0,-1.87,0,1360.89,4.05,41.22,21.5,1427.65,29.09,-10033.05,-15.9,-43.789999999999104
Sep 2017,2073.65,15.13,18.19,12.2,25.03,6.08,30.48,10.43,24.75,0,-1.86,0,2033.77,4.03,28.68,17.43,2083.91,37.16,-10068.68,8.07,-35.630000000001004
Oct 2017,925.94,5.41,6.12,17.84,10.91,16.31,29.51,10.11,11.05,0,-1.89,0,909.48,0.98,27.44,12.02,949.93,47.47,-10083.26,10.31,-14.5799999999999
Nov 2017,624.09,4.04,2.0,12.38,3.4,8.07,7.1,1.76,7.45,0,-1.89,0,612.6,0.22,7.49,2.18,622.48,34.03,-10105.53,-13.44,-22.2700000000004
Dec 2017,335.65,1.24,2.06,3.35,2.67,1.08,4.56,0.67,4.01,0,-1.86,0,330.4,0.22,4.55,0.0,335.16,27.2,-10107.48,-6.83,-1.94999999999891
Jan 2018,186.83,0.08,1.93,0.59,3.43,0.95,4.56,0.78,2.23,0,-1.82,0,184.52,0.75,4.48,0.0,189.76,28.14,-10109.22,0.9400000000000011,-1.7399999999997802
Feb 2018,293.87,0.64,4.33,0.82,5.82,0.99,4.81,0.9,3.51,0,-1.84,0,289.72,1.16,5.13,0.22,296.23,29.92,-10112.59,1.78,-3.3700000000008
Mar 2018,188.45,2.22,6.82,1.22,8.58,5.38,16.2,3.05,2.25,0,-1.82,0,183.98,6.45,13.35,8.74,212.52,33.54,-10115.06,3.62,-2.46999999999935
Apr 2018,124.81,0.08,5.07,4.04,14.79,14.57,41.49,14.97,1.49,0,-1.72,0,123.24,2.61,38.8,18.06,182.72,36.54,-10136.53,3.0,-21.4700000000012
