date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,16.83,0.01,1.31,1.13,1.64,2.07,4.59,0.82,0.2,0,-1.76,0,16.62,2.38,5.91,0.05,24.95,83.06,-9700.03,0.0,0.0
Feb 2016,683.5,3.14,11.3,1.72,13.59,2.03,12.84,3.55,8.16,0,-1.88,0,672.2,3.03,12.9,5.53,693.66,80.49,-9705.4,-2.57000000000001,-5.3699999999989805
Mar 2016,30.47,2.36,14.25,1.85,17.5,14.32,21.08,4.9,0.36,0,-1.88,0,27.74,13.46,19.59,9.24,70.03,88.45,-9713.93,7.96000000000001,-8.530000000000651
Apr 2016,343.54,0.23,9.61,20.5,17.62,30.33,48.86,17.78,4.1,0,-1.76,0,339.21,3.8,48.57,18.21,409.79,88.22,-9740.87,-0.23000000000000398,-26.940000000000502
May 2016,577.3,3.04,30.02,14.45,25.53,12.79,54.07,19.25,6.89,0,-1.89,0,567.37,7.77,51.37,22.13,648.64,58.03,-9787.82,-30.19,-46.949999999998894
Jun 2016,1275.71,7.19,24.3,13.22,32.22,19.01,55.57,19.89,15.23,0,-1.85,0,1253.3,6.91,52.95,24.82,1337.98,54.21,-9839.77,-3.82,-51.950000000000706
Jul 2016,2855.54,24.28,22.52,25.41,25.11,6.69,42.43,15.03,34.08,0,-1.86,0,2797.17,4.83,41.44,22.95,2866.39,50.16,-9886.89,-4.05,-47.119999999998996
Aug 2016,2724.53,20.87,27.68,20.61,29.97,6.03,38.91,13.72,32.52,0,-1.83,0,2671.14,5.85,37.6,20.79,2735.38,54.54,-9905.02,4.38,-18.130000000000997
Sep 2016,4047.48,33.21,27.7,33.48,27.76,4.6,20.77,6.79,48.31,0,-1.87,0,3965.95,6.15,21.55,17.07,4010.71,66.07,-9920.32,11.53,-15.2999999999993
Oct 2016,60.1,0.06,2.18,30.24,17.51,47.49,46.88,16.59,0.72,0,-1.71,0,59.33,3.69,44.04,12.98,120.03,81.67,-9904.93,15.6,15.389999999999402
Nov 2016,157.23,0.13,1.92,12.12,4.73,14.21,10.63,3.18,1.88,0,-1.81,0,155.23,1.23,10.83,2.65,169.93,37.94,-9949.18,-43.73,-44.25
Dec 2016,21.6,0.01,0.94,1.88,1.36,2.49,4.51,0.67,0.26,0,-1.73,0,21.33,1.94,4.39,0.0,27.65,25.08,-9959.21,-12.86,-10.0299999999988
Jan 2017,361.16,0.95,3.34,0.93,5.75,0.93,4.51,0.78,4.31,0,-1.83,0,355.9,0.36,4.32,0.0,360.58,23.4,-9964.52,-1.68,-5.31000000000131
Feb 2017,242.86,0.11,4.63,0.65,5.6,0.93,4.51,0.74,2.9,0,-1.82,0,239.85,1.24,4.55,0.0,245.64,27.63,-9965.77,4.23,-1.25
Mar 2017,75.84,1.74,7.17,1.09,7.44,4.56,16.49,3.31,0.91,0,-1.83,0,73.2,6.78,13.52,6.01,99.51,31.51,-9968.46,3.88,-2.68999999999869
Apr 2017,51.19,0.03,2.32,3.48,16.48,18.48,51.64,17.96,0.61,0,-1.7,0,50.55,2.57,46.26,17.9,117.27,34.04,-9988.57,2.53,-20.1100000000006
May 2017,914.13,8.54,15.74,3.62,27.14,8.74,51.6,18.28,10.91,0,-1.81,0,894.68,4.07,46.67,22.13,967.55,19.46,-10041.23,-14.58,-52.6599999999999
Jun 2017,2103.37,19.09,21.65,7.55,36.05,7.18,45.42,16.1,25.11,0,-1.83,0,2059.17,6.16,42.2,24.23,2131.76,24.51,-10087.58,5.05,-46.3500000000004
Jul 2017,2168.6,16.05,15.01,13.04,26.59,9.97,50.24,18.0,25.89,0,-1.82,0,2126.67,3.22,47.86,23.89,2201.63,40.49,-10117.86,15.98,-30.2800000000007
Aug 2017,1671.02,11.84,18.51,12.24,24.78,8.73,50.37,18.03,19.95,0,-1.85,0,1639.23,3.91,46.92,21.0,1711.06,41.49,-10149.92,1.0,-32.0599999999995
Sep 2017,245.1,0.15,9.93,7.14,18.72,18.43,56.28,19.12,2.93,0,-1.71,0,242.02,4.37,49.83,17.91,314.13,42.96,-10185.15,1.47,-35.2299999999996
Oct 2017,3264.95,30.34,18.0,26.17,23.39,2.27,13.81,4.23,38.97,0,-1.85,0,3195.64,2.89,13.41,12.31,3224.24,30.57,-10239.0,-12.39,-53.8500000000004
Nov 2017,157.93,0.13,1.22,15.75,1.42,15.06,5.44,1.08,1.89,0,-1.83,0,155.92,1.07,5.93,0.51,163.43,47.86,-10223.76,17.29,15.2399999999998
Dec 2017,1443.86,13.35,5.37,9.35,11.59,0.93,4.52,0.67,17.23,0,-1.85,0,1413.27,0.56,4.41,0.0,1418.24,32.65,-10228.57,-15.21,-4.809999999999491
Jan 2018,1439.35,11.23,8.43,4.51,17.02,0.93,4.52,0.78,17.18,0,-1.86,0,1410.94,0.91,4.77,0.0,1416.62,42.76,-10217.03,10.11,11.539999999999099
Feb 2018,533.08,2.47,5.85,2.35,7.2,0.93,4.52,0.98,6.36,0,-1.87,0,524.25,1.57,5.28,0.0,531.1,57.82,-10205.45,15.06,11.5799999999999
Mar 2018,1189.33,16.96,15.64,3.86,19.15,3.33,4.68,1.15,14.2,0,-1.85,0,1158.18,14.77,6.23,0.21,1179.39,62.36,-10204.5,4.54,0.950000000000728
Apr 2018,942.99,3.94,9.32,19.47,11.35,17.36,29.44,10.71,11.26,0,-1.88,0,927.79,1.68,30.92,14.02,974.41,75.47,-10195.89,13.11,8.61000000000058
May 2018,2235.44,17.79,34.76,19.81,31.5,5.87,39.74,14.04,26.68,0,-1.89,0,2190.96,9.0,39.31,22.37,2261.63,57.27,-10219.26,-18.2,-23.3700000000008
Jun 2018,2636.21,17.89,25.42,26.49,34.85,23.36,42.1,14.8,31.47,0,-1.89,0,2586.85,7.23,42.22,24.19,2660.48,69.31,-10242.54,12.04,-23.2800000000007
Jul 2018,1284.47,8.11,14.67,26.93,24.79,30.16,61.31,22.13,15.33,0,-1.92,0,1261.02,3.15,59.78,24.6,1348.55,65.87,-10264.44,-3.44,-21.8999999999996
Aug 2018,1735.06,13.49,24.06,11.4,30.31,7.34,50.54,18.12,20.71,0,-1.9,0,1700.86,5.08,47.06,22.13,1775.14,39.9,-10314.8,-25.97,-50.3599999999988
Sep 2018,2431.45,20.96,17.9,21.89,28.32,13.39,31.81,10.83,29.02,0,-1.93,0,2381.47,3.97,30.15,17.59,2433.17,48.24,-10350.55,8.34,-35.75
