date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,359.01,0.58,3.02,2.15,3.94,0.93,4.51,0.78,4.29,0,-1.89,0,354.14,0.33,5.32,0.0,359.79,83.06,-9679.4,0.0,0.0
Feb 2016,466.97,1.05,9.97,2.85,8.29,0.93,4.51,0.98,5.57,0,-1.87,0,460.35,2.67,5.6,0.0,468.63,84.49,-9680.74,1.42999999999999,-1.34000000000015
Mar 2016,99.07,3.46,14.62,1.0,18.13,12.99,10.39,2.73,1.18,0,-1.87,0,94.43,13.81,12.29,4.13,124.65,89.79,-9680.57,5.30000000000001,0.170000000000073
Apr 2016,389.09,0.26,7.72,23.07,14.02,30.77,38.91,14.03,4.64,0,-1.75,0,384.18,3.41,39.97,17.7,445.27,90.3,-9693.05,0.509999999999991,-12.479999999999599
May 2016,90.23,0.07,26.81,12.13,23.19,17.18,51.6,18.36,1.08,0,-1.66,0,89.09,10.41,49.58,23.19,172.26,58.46,-9732.74,-31.84,-39.6900000000005
Jun 2016,502.83,0.54,20.25,6.27,26.66,18.36,55.15,19.7,6.0,0,-1.69,0,496.28,7.91,52.23,25.98,582.41,48.13,-9789.75,-10.33,-57.0100000000002
Jul 2016,694.27,2.7,10.45,10.01,22.24,19.51,56.76,20.38,8.29,0,-1.83,0,683.28,2.24,53.36,25.66,764.55,39.65,-9846.88,-8.48,-57.1299999999992
Aug 2016,1835.54,14.33,19.41,7.53,30.38,6.51,42.37,14.99,21.91,0,-1.77,0,1799.3,4.1,39.09,22.22,1864.71,25.39,-9902.46,-14.26,-55.57999999999989
Sep 2016,6001.81,60.18,21.53,41.5,39.7,2.47,10.97,3.07,71.64,0,-1.8,0,5869.99,4.78,11.78,16.47,5903.01,37.57,-9931.93,12.18,-29.470000000001196
Oct 2016,2804.26,25.65,12.03,43.4,7.54,13.3,12.97,3.86,33.47,0,-1.89,0,2745.14,1.93,14.06,11.77,2772.9,70.91,-9886.45,33.34,45.4799999999996
Nov 2016,579.54,2.74,4.25,23.59,3.49,18.66,4.62,0.72,6.92,0,-1.89,0,569.88,0.46,5.2,0.08,575.62,60.2,-9875.75,-10.71,10.7000000000007
Dec 2016,271.95,0.17,3.44,4.35,3.67,3.15,4.52,0.67,3.25,0,-1.85,0,268.53,0.6,4.8,0.0,273.93,43.73,-9874.7,-16.47,1.04999999999927
Jan 2017,804.29,5.32,4.62,2.47,9.75,0.93,4.53,0.78,9.6,0,-1.85,0,789.37,0.5,4.62,0.0,794.49,43.3,-9877.16,-0.43,-2.45999999999913
Feb 2017,445.44,1.52,5.41,1.5,6.77,0.93,4.53,0.94,5.32,0,-1.85,0,438.6,1.45,5.16,0.0,445.21,51.25,-9873.16,7.95,4.0
Mar 2017,1258.22,17.52,16.24,1.5,21.62,2.84,13.15,3.62,15.02,0,-1.86,0,1225.68,15.34,13.52,8.55,1263.09,55.51,-9873.28,4.26,-0.12000000000080001
Apr 2017,1855.58,12.56,18.11,20.73,12.02,3.46,24.58,8.67,22.15,0,-1.89,0,1820.87,3.26,25.49,16.03,1865.65,70.3,-9878.2,14.79,-4.92000000000007
May 2017,423.24,0.31,16.81,13.34,20.74,23.62,45.14,15.94,5.05,0,-1.64,0,417.88,8.3,44.01,20.77,490.95,69.29,-9889.89,-1.00999999999999,-11.689999999998697
Jun 2017,1273.05,9.2,18.45,22.01,22.59,20.31,47.98,17.06,15.2,0,-1.89,0,1248.65,5.25,46.34,25.13,1325.37,51.6,-9936.44,-17.69,-46.550000000001106
Jul 2017,731.61,1.58,10.36,6.14,22.01,16.56,56.21,20.19,8.73,0,-1.87,0,721.29,2.22,52.88,25.4,801.79,38.47,-9979.19,-13.13,-42.75
Aug 2017,3463.76,32.91,20.76,20.97,34.8,4.61,27.67,9.42,41.34,0,-1.87,0,3389.5,4.38,26.35,21.51,3441.75,27.06,-10033.74,-11.41,-54.549999999999294
Sep 2017,494.31,0.3,11.99,8.86,17.56,16.29,41.7,14.65,5.9,0,-1.82,0,488.11,3.99,38.68,16.23,547.0,49.15,-10034.04,22.09,-0.300000000001091
Oct 2017,61.89,0.06,1.43,13.18,13.32,25.35,36.39,12.66,0.74,0,-1.78,0,61.09,2.12,32.99,11.96,108.16,38.8,-10073.24,-10.35,-39.1999999999989
Nov 2017,935.88,7.86,2.59,10.93,2.97,1.83,4.63,0.72,11.17,0,-1.9,0,916.85,0.28,4.35,0.16,921.64,17.51,-10109.98,-21.29,-36.739999999999796
Dec 2017,24.84,0.02,0.51,1.67,1.27,2.39,4.54,0.67,0.3,0,-1.76,0,24.53,1.74,4.23,0.0,30.5,18.2,-10104.77,0.689999999999998,5.2099999999991295
Jan 2018,208.84,0.09,1.26,1.0,2.86,0.94,4.54,0.78,2.49,0,-1.85,0,206.26,0.27,4.18,0.0,210.71,16.71,-10110.11,-1.49,-5.34000000000015
Feb 2018,402.23,1.88,4.22,1.41,6.35,0.94,4.54,0.71,4.8,0,-1.85,0,395.55,1.13,4.42,0.0,401.1,18.21,-10113.22,1.5,-3.1099999999987595
Mar 2018,190.16,2.1,4.84,0.76,6.15,2.7,10.12,1.81,2.27,0,-1.83,0,185.79,4.57,8.79,3.98,203.14,23.04,-10114.11,4.83,-0.8900000000012371
Apr 2018,362.04,0.75,7.55,2.83,16.47,10.51,39.31,13.95,4.32,0,-1.84,0,356.97,1.36,35.94,17.52,411.79,26.0,-10125.96,2.96,-11.8499999999985
May 2018,355.87,0.48,10.92,2.59,15.63,7.81,48.55,15.33,4.25,0,-1.84,0,351.14,2.83,41.55,22.48,418.0,21.37,-10166.36,-4.63,-40.400000000001505
Jun 2018,1568.21,13.14,17.6,5.12,29.43,6.99,44.88,15.9,18.72,0,-1.82,0,1536.35,5.01,41.47,25.16,1607.99,20.86,-10219.64,-0.510000000000002,-53.2799999999988
Jul 2018,854.91,3.01,8.94,3.79,22.8,14.71,55.43,19.19,10.2,0,-1.84,0,841.7,1.92,50.71,25.73,920.06,30.8,-10256.88,9.94,-37.239999999999796
