date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,359.01,0.58,3.02,2.16,3.94,0.93,4.53,0.78,4.29,0,-1.89,0,354.14,0.33,5.33,0.0,359.8,83.06,-9679.4,0.0,0.0
Feb 2016,466.97,1.05,9.97,2.86,8.29,0.93,4.53,0.98,5.57,0,-1.87,0,460.35,2.67,5.61,0.0,468.64,84.49,-9680.76,1.42999999999999,-1.3600000000005799
Mar 2016,99.07,3.48,14.63,1.11,18.14,13.09,11.88,3.08,1.18,0,-1.87,0,94.41,13.82,13.35,4.13,125.71,89.79,-9680.6,5.30000000000001,0.159999999999854
Apr 2016,389.09,0.26,7.63,21.75,17.35,32.69,47.53,17.27,4.64,0,-1.76,0,384.18,3.25,47.46,17.7,452.6,90.29,-9694.22,0.5,-13.619999999999001
May 2016,90.23,0.07,26.61,9.98,27.6,19.37,63.39,22.78,1.08,0,-1.67,0,89.09,10.13,59.75,23.19,182.15,57.75,-9739.3,-32.54,-45.07999999999989
Jun 2016,502.83,0.54,19.93,4.82,29.8,20.0,67.83,23.96,6.0,0,-1.71,0,496.28,7.56,62.41,25.98,592.24,46.85,-9803.69,-10.9,-64.39000000000121
Jul 2016,694.27,2.97,10.13,7.2,27.46,21.9,69.83,25.31,8.29,0,-1.83,0,683.01,2.17,64.66,25.66,775.5,38.11,-9869.25,-8.74,-65.5599999999995
Aug 2016,1835.54,14.55,19.11,5.16,34.14,7.91,51.85,18.57,21.91,0,-1.77,0,1799.08,4.04,47.27,22.22,1872.61,23.53,-9932.97,-14.58,-63.719999999999295
Sep 2016,6001.81,60.29,21.3,40.53,41.0,2.87,12.6,3.69,71.64,0,-1.8,0,5869.88,4.73,13.19,16.47,5904.27,35.78,-9968.34,12.25,-35.37000000000079
Oct 2016,2804.26,25.72,11.99,42.37,8.52,13.21,15.1,4.66,33.47,0,-1.89,0,2745.07,1.92,15.89,11.77,2774.65,69.63,-9923.88,33.85,44.460000000000896
Nov 2016,579.54,2.74,4.26,23.24,3.53,18.34,4.66,0.73,6.92,0,-1.89,0,569.88,0.46,5.22,0.08,575.65,59.48,-9914.51,-10.15,9.369999999998981
Dec 2016,271.95,0.17,3.45,4.3,3.69,3.11,4.54,0.67,3.25,0,-1.85,0,268.53,0.6,4.81,0.0,273.94,43.37,-9913.49,-16.11,1.0200000000004399
Jan 2017,804.29,5.32,4.63,2.47,9.76,0.94,4.54,0.78,9.6,0,-1.85,0,789.37,0.5,4.63,0.0,794.51,43.02,-9915.97,-0.349999999999994,-2.4799999999995603
Feb 2017,445.44,1.52,5.37,1.48,6.77,0.94,4.55,0.93,5.32,0,-1.85,0,438.6,1.44,5.17,0.0,445.21,50.98,-9911.99,7.95999999999999,3.9799999999995603
Mar 2017,1258.22,17.51,16.21,1.68,21.58,2.99,15.32,4.07,15.02,0,-1.86,0,1225.69,15.31,15.05,8.55,1264.59,55.25,-9912.14,4.27,-0.14999999999963598
Apr 2017,1855.58,12.63,18.28,19.77,14.07,4.33,29.61,10.58,22.15,0,-1.89,0,1820.81,3.29,29.87,16.03,1870.0,70.05,-9918.78,14.8,-6.64000000000124
May 2017,423.24,0.31,16.59,11.5,24.39,25.45,55.31,19.75,5.05,0,-1.65,0,417.88,8.11,52.8,20.77,499.55,68.94,-9933.59,-1.11,-14.8099999999995
