date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,75.15,1.12,8.56,9.52,0.01,2.11,5.68,0.0,0.58,0,0.58,0,73.46,1.68,3.58,0.0,78.71,0,-744.34,0,0.0
Feb 2016,0.78,0.01,27.61,22.2,0.57,2.45,5.95,0.09,0.01,0,1.87,0,0.76,5.42,3.98,0.0,10.17,0,-748.86,0,-4.51999999999998
Mar 2016,34.74,0.52,108.92,71.03,29.79,20.18,19.84,4.52,0.27,0,7.4,0,33.96,21.4,24.94,0.1,80.39,0,-752.84,0,-3.9800000000000204
Apr 2016,2.69,0.04,88.21,49.33,45.02,29.41,27.08,6.83,0.02,0,5.99,0,2.63,17.33,35.86,0.17,55.99,0,-760.61,0,-7.769999999999981
May 2016,9.08,0.14,99.5,55.94,49.56,32.17,29.24,7.52,0.07,0,6.76,0,8.87,19.55,39.12,0.19,67.72,0,-775.02,0,-14.41
Jun 2016,11.44,0.17,127.75,72.56,60.22,38.64,34.32,9.13,0.09,0,8.67,0,11.19,25.1,46.76,0.23,83.29,0,-790.11,0,-15.09
Jul 2016,566.46,8.44,144.19,103.9,32.35,21.74,21.08,4.91,4.33,0,9.79,0,553.69,28.33,26.78,0.21,609.01,0,-806.77,0,-16.66
Aug 2016,468.04,6.97,115.12,80.66,33.34,22.34,21.55,5.06,3.58,0,7.82,0,457.48,22.62,27.5,0.19,507.79,0,-809.02,0,-2.25
Sep 2016,493.11,7.35,74.0,54.41,24.13,16.75,17.18,3.66,3.77,0,5.02,0,481.99,14.54,20.89,0.16,517.58,0,-814.3,0,-5.279999999999969
Oct 2016,137.47,2.05,17.18,13.11,14.69,13.11,20.4,2.75,1.05,0,1.17,0,134.37,3.38,19.23,0.11,157.1,0,-819.17,0,-4.87
Nov 2016,274.29,4.09,4.53,9.5,0.11,2.19,5.77,0.02,2.1,0,0.31,0,268.11,0.89,3.67,0.0,272.67,0,-834.72,0,-15.5500000000001
Dec 2016,31.79,0.47,0.1,2.67,0.01,2.13,5.73,0.0,0.24,0,0.01,0,31.08,0.02,3.6,0.0,34.7,0,-838.07,0,-3.35000000000002
Jan 2017,161.62,2.41,9.63,11.62,0.01,2.13,5.73,0.0,1.24,0,0.65,0,157.98,1.89,3.61,0.0,163.47,0,-843.54,0,-5.469999999999911
Feb 2017,69.46,1.03,28.42,24.07,0.01,2.13,5.74,0.0,0.53,0,1.93,0,67.89,5.58,3.61,0.0,77.08,0,-847.38,0,-3.8400000000000296
Mar 2017,118.15,1.76,109.5,83.84,1.52,3.06,6.46,0.23,0.9,0,7.43,0,115.48,21.51,4.7,0.01,141.7,0,-850.66,0,-3.27999999999997
Apr 2017,37.11,0.55,87.84,52.37,37.95,25.15,23.78,5.76,0.28,0,5.96,0,36.27,17.26,30.82,0.14,84.49,0,-848.55,0,2.11000000000001
May 2017,44.67,0.67,99.34,57.16,47.56,30.98,28.35,7.21,0.34,0,6.75,0,43.66,19.52,37.71,0.19,101.08,0,-860.47,0,-11.9200000000001
Jun 2017,118.01,1.76,127.97,77.23,52.87,34.2,30.88,8.02,0.9,0,8.69,0,115.35,25.14,41.53,0.22,182.24,0,-874.7,0,-14.23
Jul 2017,586.33,8.73,141.68,102.74,31.39,21.18,20.67,4.76,4.49,0,9.62,0,573.11,27.83,26.12,0.21,627.28,0,-888.19,0,-13.49
