date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,115.67,0.72,5.91,8.77,0.04,0.65,1.9,0.19,0.94,0,-1.67,0,114.01,0.13,1.1,0.0,115.25,0,0.0,0,0.0
Feb 1975,109.14,3.74,1.28,7.18,0.04,0.65,1.9,0.19,2.13,0,-1.66,0,103.27,0.11,1.1,0.0,104.48,0,-2.44,0,-2.44
Mar 1975,70.11,0.0,70.38,31.12,3.06,2.26,2.49,0.59,0.01,0,2.67,0,70.1,35.79,2.71,0.01,108.61,0,-3.68,0,-1.24
Apr 1975,2.22,0.0,70.86,38.41,51.15,27.81,11.92,6.98,0.15,0,-0.56,0,2.08,9.67,28.29,0.15,40.18,0,-2.92,0,0.76
May 1975,37.74,0.0,79.37,40.12,61.36,33.24,13.92,8.33,0.19,0,-0.36,0,37.55,11.48,33.72,0.19,82.94,0,-8.43,0,-5.51
Jun 1975,1.1,0.0,99.71,49.82,77.35,41.73,17.06,10.46,0.24,0,-0.02,0,0.86,14.3,42.22,0.24,57.62,0,-14.38,0,-5.95
Jul 1975,435.76,0.0,90.08,47.54,53.74,29.19,12.44,7.32,0.2,0,0.42,0,435.55,17.57,29.67,0.2,482.99,0,-21.0,0,-6.62
Aug 1975,268.4,0.0,103.58,53.78,57.29,31.07,13.14,7.79,0.2,0,1.06,0,268.2,22.53,31.56,0.2,322.49,0,-25.7,0,-4.7
Sep 1975,628.44,10.75,47.26,47.04,26.53,14.73,7.12,3.71,5.01,0,-1.58,0,612.68,0.77,15.2,0.15,628.8,0,-29.99,0,-4.29
Oct 1975,96.6,28.84,0.2,13.01,38.43,21.06,9.45,5.29,12.1,0,-1.61,0,55.66,0.26,21.53,0.11,77.56,0,-30.12,0,-0.130000000000003
Nov 1975,87.21,6.68,0.18,9.04,0.04,0.67,1.94,0.19,3.3,0,-1.69,0,77.23,0.13,1.12,0.0,78.48,0,-23.9,0,6.22
Dec 1975,101.08,6.36,0.18,8.79,0.04,0.67,1.94,0.19,3.18,0,-1.71,0,91.54,0.09,1.12,0.0,92.75,0,-24.04,0,-0.140000000000001
Jan 1976,39.85,0.0,20.35,15.08,0.06,0.71,2.08,0.19,0.0,0,-0.91,0,39.85,6.84,1.24,0.0,47.93,0,-24.32,0,-0.280000000000001
Feb 1976,105.56,0.0,25.76,14.65,1.0,1.2,2.22,0.31,0.0,0,-0.31,0,105.56,11.62,1.71,0.0,118.89,0,-27.12,0,-2.8
Mar 1976,5.93,0.0,85.2,38.81,46.38,24.62,8.54,6.17,0.12,0,1.12,0,5.82,23.51,24.14,0.12,53.58,0,-29.34,0,-2.22
Apr 1976,75.15,0.0,94.06,50.0,52.22,27.64,9.36,6.92,0.16,0,0.54,0,75.0,18.94,27.03,0.16,121.12,0,-30.6,0,-1.26
May 1976,180.17,0.0,105.31,58.03,56.46,29.82,9.96,7.47,0.19,0,0.66,0,179.98,19.98,29.12,0.19,229.28,0,-32.5,0,-1.9
Jun 1976,119.52,0.0,97.69,50.61,72.62,38.16,12.21,9.55,0.23,0,-0.22,0,119.3,12.86,37.11,0.23,169.49,0,-34.33,0,-1.83
Jul 1976,405.99,0.0,78.24,47.01,55.37,29.27,9.82,7.33,0.2,0,-1.02,0,405.78,6.14,28.59,0.2,440.72,0,-37.21,0,-2.88
Aug 1976,147.73,0.0,112.39,55.52,68.8,36.2,11.69,9.06,0.2,0,1.11,0,147.52,23.16,35.23,0.2,206.11,0,-40.71,0,-3.5
Sep 1976,422.83,0.62,47.42,31.56,37.32,19.95,7.31,5.0,1.03,0,-1.61,0,421.18,0.72,19.67,0.15,441.73,0,-42.23,0,-1.52
Oct 1976,240.02,21.57,0.18,13.87,20.53,11.29,4.97,2.84,9.2,0,-1.6,0,209.25,0.23,11.38,0.07,220.94,0,-45.27,0,-3.0400000000000094
Nov 1976,138.6,8.07,0.19,10.47,0.06,0.73,2.13,0.2,3.83,0,-1.66,0,126.7,0.12,1.26,0.0,128.08,0,-39.88,0,5.39
Dec 1976,26.6,7.21,0.2,9.67,0.06,0.73,2.13,0.2,3.5,0,-1.68,0,15.89,0.09,1.26,0.0,17.24,0,-39.64,0,0.24000000000000196
Jan 1977,129.17,4.93,0.17,7.38,0.06,0.73,2.14,0.2,2.61,0,-1.7,0,121.63,0.08,1.28,0.0,122.99,0,-39.75,0,-0.10999999999999902
Feb 1977,12.03,2.32,0.18,4.79,0.06,0.73,2.15,0.2,1.58,0,-1.71,0,8.13,0.08,1.28,0.0,9.49,0,-40.79,0,-1.04
