date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,155.94,2.32,9.51,11.46,0.01,2.15,5.77,0.0,1.19,0,0.65,0,152.42,1.87,3.63,0.0,157.92,0,-743.24,0,0.0
Feb 2016,150.44,2.24,29.47,26.06,0.01,2.15,5.78,0.0,1.15,0,2.0,0,147.05,5.79,3.63,0.0,156.47,0,-747.17,0,-3.92999999999995
Mar 2016,6.91,0.1,108.45,80.73,3.3,4.15,7.35,0.5,0.05,0,7.36,0,6.76,21.31,6.0,0.02,34.08,0,-749.8,0,-2.63
Apr 2016,6.85,0.1,89.06,58.27,24.13,16.78,17.25,3.66,0.05,0,6.05,0,6.69,17.5,20.93,0.15,45.27,0,-749.24,0,0.559999999999945
May 2016,203.93,3.04,103.76,72.65,22.52,15.81,16.49,3.42,1.56,0,7.04,0,199.34,20.38,19.79,0.18,239.68,0,-756.88,0,-7.639999999999991
Jun 2016,165.51,2.47,130.51,89.02,29.49,20.04,19.81,4.47,1.27,0,8.86,0,161.78,25.64,24.78,0.22,212.41,0,-761.53,0,-4.64999999999998
Jul 2016,261.2,3.89,138.6,96.58,29.03,19.77,19.6,4.41,2.0,0,9.41,0,255.31,27.23,24.46,0.22,307.22,0,-766.95,0,-5.42000000000007
Aug 2016,117.8,1.75,108.64,71.96,30.18,20.46,20.15,4.58,0.9,0,7.38,0,115.15,21.34,25.28,0.19,161.96,0,-770.95,0,-4.0
Sep 2016,229.13,3.41,67.58,46.46,22.43,15.77,16.47,3.4,1.75,0,4.59,0,223.97,13.28,19.73,0.16,257.14,0,-778.44,0,-7.490000000000009
Oct 2016,352.12,5.25,21.52,18.72,11.49,9.13,11.28,1.75,2.69,0,1.46,0,344.18,4.23,11.89,0.11,360.41,0,-785.32,0,-6.88
Nov 2016,15.25,0.23,0.1,2.47,0.01,2.17,5.83,0.0,0.12,0,0.01,0,14.9,0.02,3.66,0.0,18.58,0,-790.81,0,-5.4899999999999
