date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.12,0.03,7.29,7.16,0.03,1.79,4.93,0.01,0.02,0,0.49,0,2.07,1.43,3.15,0.0,6.66,0,-713.35,0,0.0
Feb 2016,88.06,1.31,28.89,17.45,17.52,12.4,13.24,2.66,0.67,0,1.96,0,86.08,5.68,15.7,0.07,107.52,0,-717.75,0,-4.39999999999998
Mar 2016,5.76,0.09,108.83,71.35,26.87,18.08,17.69,4.08,0.04,0,7.39,0,5.63,21.38,22.41,0.11,49.53,0,-725.77,0,-8.019999999999982
Apr 2016,7.12,0.11,88.61,53.48,34.55,22.73,21.34,5.24,0.05,0,6.02,0,6.96,17.41,27.91,0.16,52.44,0,-732.06,0,-6.289999999999959
May 2016,2.7,0.04,101.04,59.55,42.18,27.36,24.97,6.4,0.02,0,6.86,0,2.64,19.85,33.39,0.2,56.08,0,-742.25,0,-10.1900000000001
Jun 2016,93.61,1.39,129.74,80.73,45.46,29.35,26.53,6.9,0.72,0,8.81,0,91.5,25.49,35.74,0.24,152.97,0,-754.15,0,-11.9
Jul 2016,504.38,7.51,90.26,64.43,28.62,19.14,18.53,4.34,3.86,0,6.13,0,493.0,17.73,23.67,0.21,534.61,0,-764.5,0,-10.35
Aug 2016,343.45,5.12,78.32,52.09,31.58,20.94,19.95,4.79,2.63,0,5.32,0,335.71,15.39,25.8,0.19,377.08,0,-768.91,0,-4.40999999999997
Sep 2016,782.07,11.65,63.58,56.4,9.68,7.66,9.54,1.47,5.98,0,4.32,0,764.43,12.49,10.09,0.15,787.16,0,-776.31,0,-7.399999999999981
Oct 2016,19.13,0.28,15.47,11.24,11.66,11.24,19.32,2.37,0.15,0,1.05,0,18.7,3.04,17.37,0.12,39.23,0,-774.23,0,2.07999999999993
Nov 2016,15.44,0.23,0.08,2.56,0.29,2.56,7.29,0.2,0.12,0,0.01,0,15.09,0.02,4.82,0.02,19.94,0,-790.1,0,-15.87
Dec 2016,8.06,0.12,0.08,1.97,0.01,1.8,4.96,0.0,0.06,0,0.01,0,7.88,0.02,3.16,0.0,11.06,0,-797.09,0,-6.990000000000009
Jan 2017,71.43,1.06,8.4,9.03,0.01,1.8,4.96,0.0,0.55,0,0.57,0,69.82,1.65,3.17,0.0,74.63,0,-801.97,0,-4.88
Feb 2017,46.85,0.7,28.39,23.37,0.01,1.8,4.96,0.0,0.36,0,1.93,0,45.8,5.58,3.17,0.0,54.54,0,-805.81,0,-3.83999999999992
Mar 2017,19.67,0.29,108.98,78.61,9.26,7.42,9.37,1.41,0.15,0,7.4,0,19.23,21.41,9.8,0.04,50.49,0,-808.48,0,-2.6700000000000697
Apr 2017,0.77,0.01,73.4,42.29,34.33,22.62,21.28,5.21,0.01,0,4.98,0,0.75,14.42,27.78,0.16,43.11,0,-808.93,0,-0.44999999999993195
May 2017,50.22,0.75,16.19,12.96,12.66,12.96,23.93,2.79,0.38,0,1.1,0,49.09,3.18,20.82,0.2,73.3,0,-820.18,0,-11.25
Jun 2017,25.18,0.38,20.1,15.18,15.16,15.18,27.72,3.35,0.19,0,1.36,0,24.61,3.95,24.34,0.24,53.14,0,-840.02,0,-19.84
Jul 2017,299.49,4.46,31.61,19.9,27.72,19.9,22.93,4.53,2.29,0,2.15,0,292.73,6.21,26.21,0.22,325.38,0,-863.07,0,-23.0500000000001
Aug 2017,302.77,4.51,37.34,21.33,31.98,21.33,20.64,4.88,2.32,0,2.54,0,295.95,7.34,26.41,0.19,329.89,0,-877.25,0,-14.1799999999999
Sep 2017,25.68,0.38,36.74,19.87,27.41,19.87,23.36,4.52,0.2,0,2.49,0,25.1,7.22,26.37,0.16,58.86,0,-888.35,0,-11.1
Oct 2017,616.13,9.18,26.91,28.22,6.51,5.76,8.08,0.99,4.71,0,1.83,0,602.24,5.29,7.85,0.11,615.48,0,-904.66,0,-16.3099999999999
Nov 2017,29.83,0.44,0.14,2.17,0.55,2.17,5.36,0.09,0.23,0,0.01,0,29.15,0.03,3.64,0.0,32.83,0,-905.32,0,-0.6600000000000821
Dec 2017,220.65,3.29,3.0,7.3,0.01,1.82,5.0,0.0,1.69,0,0.2,0,215.68,0.59,3.19,0.0,219.46,0,-910.35,0,-5.029999999999969
Jan 2018,223.85,3.33,10.28,12.71,0.01,1.82,5.0,0.0,1.71,0,0.7,0,218.81,2.02,3.19,0.0,224.02,0,-913.45,0,-3.10000000000002
