date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,79.31,1.18,8.06,8.88,0.01,1.78,4.92,0.0,0.61,0,0.55,0,77.52,1.58,3.14,0.0,82.24,0,-712.52,0,0.0
Feb 2016,71.13,1.06,28.66,23.92,0.01,1.78,4.92,0.0,0.54,0,1.95,0,69.52,5.63,3.14,0.0,78.3,0,-716.28,0,-3.7599999999999905
Mar 2016,16.56,0.25,108.42,78.69,7.86,6.55,8.66,1.2,0.13,0,7.36,0,16.18,21.3,8.78,0.03,46.29,0,-718.71,0,-2.43000000000006
Apr 2016,21.85,0.33,87.62,50.01,42.05,27.28,24.91,6.38,0.17,0,5.95,0,21.35,17.21,33.29,0.16,72.03,0,-718.71,0,0.0
May 2016,0.79,0.01,99.21,53.69,53.57,34.27,30.39,8.13,0.01,0,6.74,0,0.78,19.49,41.56,0.21,62.03,0,-731.28,0,-12.569999999999899
Jun 2016,48.21,0.72,128.08,73.82,58.19,37.07,32.58,8.83,0.37,0,8.7,0,47.13,25.16,44.87,0.23,117.39,0,-747.01,0,-15.73
Jul 2016,229.3,3.42,138.11,86.11,52.56,33.66,29.91,7.97,1.75,0,9.38,0,224.13,27.13,40.83,0.23,292.33,0,-761.93,0,-14.92
Aug 2016,387.65,5.77,113.56,76.06,38.23,24.98,23.11,5.8,2.97,0,7.71,0,378.91,22.31,30.57,0.2,431.99,0,-772.97,0,-11.0400000000001
Sep 2016,1013.9,15.1,81.31,74.32,6.08,5.48,7.83,0.93,7.76,0,5.52,0,991.04,15.98,7.51,0.15,1014.68,0,-779.79,0,-6.819999999999941
Oct 2016,651.24,9.7,28.32,30.09,5.67,5.23,7.64,0.86,4.98,0,1.92,0,636.56,5.56,7.22,0.11,649.44,0,-773.57,0,6.219999999999911
Nov 2016,81.84,1.22,0.51,3.38,0.01,1.8,4.95,0.0,0.63,0,0.03,0,79.99,0.1,3.16,0.0,83.25,0,-773.54,0,0.0300000000000864
Dec 2016,74.53,1.11,0.56,3.31,0.01,1.8,4.96,0.0,0.57,0,0.04,0,72.85,0.11,3.16,0.0,76.12,0,-777.83,0,-4.29000000000008
Jan 2017,207.75,3.09,10.24,12.42,0.01,1.8,4.96,0.0,1.59,0,0.7,0,203.07,2.01,3.17,0.0,208.24,0,-782.17,0,-4.33999999999992
