date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,148.7,5.87,54.93,47.32,5.58,7.35,12.07,0.62,3.16,0,2.34,0,139.67,12.92,9.69,0.0,162.27,46.74,-3304.14,0.0,0.0
Feb 2016,74.5,2.67,53.71,43.31,5.64,7.35,12.09,0.62,1.58,0,2.26,0,70.25,12.53,9.75,0.0,92.52,46.74,-3310.09,0.0,-5.950000000000269
Mar 2016,272.7,10.3,96.08,74.46,14.43,7.36,12.1,0.62,5.8,0,3.62,0,256.6,21.23,9.83,0.0,287.66,46.74,-3317.72,0.0,-7.629999999999651
Apr 2016,21.54,0.41,95.38,67.98,19.1,17.11,12.92,0.62,0.46,0,3.93,0,20.68,21.88,14.38,3.64,60.58,55.46,-3319.78,8.72,-2.0600000000003997
May 2016,72.79,2.72,208.89,147.71,40.42,32.79,13.96,0.62,1.55,0,8.57,0,68.52,47.71,20.96,12.99,150.18,55.38,-3331.33,-0.0799999999999983,-11.549999999999699
Jun 2016,27.49,1.05,87.06,54.88,50.26,39.89,14.46,0.62,0.58,0,3.41,0,25.85,19.46,24.2,17.17,86.69,55.38,-3347.54,0.0,-16.21
Jul 2016,771.34,36.79,101.58,103.37,35.48,29.0,13.71,0.62,16.41,0,4.38,0,718.14,24.15,19.57,16.41,778.26,55.38,-3374.56,0.0,-27.02
Aug 2016,867.73,38.6,118.28,118.43,30.28,25.27,13.48,0.62,18.46,0,5.17,0,810.68,28.27,17.87,13.98,870.8,55.38,-3383.26,0.0,-8.70000000000027
Sep 2016,654.63,33.34,98.96,100.72,26.02,22.16,13.23,0.62,13.92,0,4.25,0,607.36,23.47,16.46,11.13,658.43,55.38,-3386.48,0.0,-3.2199999999998
Oct 2016,218.7,9.99,58.29,50.94,16.42,15.23,12.8,0.62,4.65,0,2.46,0,204.06,13.67,13.37,3.37,234.47,55.38,-3392.04,0.0,-5.55999999999995
Nov 2016,627.56,25.93,124.93,117.3,5.7,7.4,12.18,0.62,13.35,0,5.46,0,588.28,29.79,9.87,0.0,627.93,55.38,-3400.46,0.0,-8.420000000000071
Dec 2016,75.93,3.2,56.17,45.69,5.62,7.41,12.19,0.62,1.61,0,2.36,0,71.12,13.1,9.79,0.0,94.01,55.38,-3393.21,0.0,7.25
Jan 2017,474.46,18.59,109.77,99.31,5.64,7.41,12.21,0.62,10.09,0,4.77,0,445.78,26.05,9.81,0.0,481.64,55.38,-3400.81,0.0,-7.599999999999911
Feb 2017,325.19,14.38,89.87,80.9,5.7,7.42,12.22,0.62,6.92,0,3.86,0,303.89,21.22,9.88,0.0,334.99,55.38,-3397.53,0.0,3.2799999999997502
Mar 2017,591.47,26.34,153.75,138.84,5.9,7.42,12.23,0.62,12.58,0,6.59,0,552.55,36.18,10.09,0.0,598.81,55.38,-3398.35,0.0,-0.8199999999997092
Apr 2017,197.37,7.97,195.3,150.76,7.99,8.82,12.36,0.62,4.2,0,8.18,0,185.21,45.15,10.92,0.55,241.82,55.38,-3390.78,0.0,7.569999999999711
May 2017,236.44,9.82,270.27,195.68,42.43,30.25,13.91,0.62,5.03,0,10.92,0,221.59,61.32,19.98,12.9,315.79,55.38,-3390.7,0.0,0.080000000000382
Jun 2017,139.69,7.03,240.66,160.65,62.18,36.67,14.36,0.62,2.97,0,8.98,0,129.69,52.55,22.99,16.15,221.38,60.86,-3400.93,5.48,-10.23
Jul 2017,770.29,37.14,174.77,156.75,35.26,28.39,13.79,0.62,16.38,0,7.4,0,716.77,40.89,19.82,15.95,793.43,77.12,-3418.87,16.26,-17.9400000000001
Aug 2017,797.93,34.62,172.72,164.64,31.02,39.21,13.73,0.62,16.97,0,8.17,0,746.34,42.72,19.1,14.34,822.5,77.33,-3424.2,0.209999999999994,-5.32999999999993
Sep 2017,479.64,24.43,104.03,98.64,28.5,28.37,13.56,0.62,10.2,0,4.65,0,445.01,25.05,17.86,11.14,499.06,63.16,-3426.51,-14.17,-2.3100000000003997
Oct 2017,699.91,34.33,127.18,127.31,5.84,7.62,12.32,0.62,14.89,0,5.57,0,650.69,30.42,10.23,0.5,691.84,58.38,-3435.75,-4.7799999999999905,-9.23999999999978
Nov 2017,228.07,7.86,118.43,93.92,7.51,7.47,12.32,0.62,4.85,0,4.93,0,215.35,27.39,9.95,0.0,252.7,58.06,-3427.49,-0.32,8.26000000000022
Dec 2017,128.29,7.1,69.3,58.93,5.85,7.47,12.33,0.62,2.73,0,2.91,0,118.47,16.17,9.88,0.0,144.52,59.84,-3429.4,1.78,-1.91000000000031
Jan 2018,274.65,11.67,78.12,69.92,5.49,7.48,12.34,0.62,5.84,0,3.37,0,257.13,18.49,9.94,0.0,285.56,60.05,-3435.46,0.209999999999994,-6.05999999999995
Feb 2018,165.75,7.43,76.65,66.44,4.87,8.87,12.35,0.62,3.53,0,3.37,0,154.8,18.27,9.95,0.0,183.02,59.84,-3437.97,-0.209999999999994,-2.50999999999976
Mar 2018,504.92,21.17,144.32,128.8,4.88,8.63,12.36,0.62,10.74,0,6.28,0,473.0,34.17,10.14,0.0,517.32,57.62,-3442.8,-2.22000000000001,-4.830000000000379
Apr 2018,168.28,7.03,127.6,100.07,10.26,10.6,12.64,0.62,3.58,0,5.35,0,157.67,29.56,11.76,1.22,200.21,55.46,-3437.52,-2.16,5.2800000000002
May 2018,204.05,9.92,264.1,191.16,43.45,31.01,14.08,0.62,4.34,0,10.63,0,189.79,59.8,20.41,13.41,283.41,55.38,-3441.83,-0.0799999999999983,-4.30999999999995
Jun 2018,224.64,11.51,180.59,121.8,59.84,34.97,14.36,0.62,4.78,0,6.51,0,208.35,38.92,22.36,15.95,285.58,60.86,-3453.73,5.48,-11.9000000000001
Jul 2018,720.28,32.95,116.52,109.55,37.98,30.42,14.08,0.62,15.32,0,4.95,0,672.01,27.41,20.8,16.52,736.73,77.12,-3472.13,16.26,-18.4000000000001
Aug 2018,312.15,15.05,62.42,63.6,39.94,45.84,14.3,0.62,6.64,0,3.31,0,290.46,16.46,21.94,14.51,343.38,77.33,-3481.84,0.209999999999994,-9.71000000000004
Sep 2018,557.71,30.16,68.61,78.99,26.3,26.75,13.56,0.62,11.86,0,3.19,0,515.68,17.04,17.28,11.2,561.2,63.16,-3500.08,-14.17,-18.2399999999998
