date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,436.06,17.19,92.62,85.17,4.78,6.2,10.32,0.62,9.27,0,4.04,0,409.6,22.02,8.29,0.0,439.91,46.74,-3230.43,0.0,0.0
Feb 2016,432.97,18.6,105.06,87.01,15.68,6.2,10.33,0.62,9.21,0,3.94,0,405.16,23.23,8.32,0.0,436.71,46.74,-3226.82,0.0,3.60999999999967
Mar 2016,144.86,5.33,75.58,62.97,4.01,7.26,10.34,0.62,3.08,0,3.3,0,136.45,17.9,8.62,0.0,162.98,57.62,-3223.39,10.88,3.43000000000029
Apr 2016,67.54,2.04,44.06,34.53,7.53,7.95,10.5,0.62,1.44,0,1.82,0,64.06,10.17,9.54,0.57,84.35,55.46,-3226.73,-2.16,-3.3400000000001495
May 2016,524.32,25.37,177.09,149.43,25.13,20.97,11.55,0.62,11.15,0,7.51,0,487.8,41.36,15.09,9.0,553.26,55.38,-3233.93,-0.0799999999999983,-7.19999999999982
Jun 2016,199.79,10.22,103.72,77.25,42.41,33.57,12.33,0.62,4.25,0,4.2,0,185.31,23.65,20.55,15.53,245.04,55.38,-3235.21,0.0,-1.2800000000001999
Jul 2016,721.18,32.75,98.31,96.35,35.99,28.84,12.03,0.62,15.34,0,4.23,0,673.09,23.33,18.56,16.23,731.21,55.38,-3253.99,0.0,-18.7799999999997
Aug 2016,182.37,8.0,63.13,45.55,42.62,33.88,12.38,0.62,3.88,0,2.52,0,170.49,14.32,20.5,13.93,219.25,55.38,-3262.06,0.0,-8.07000000000016
Sep 2016,379.05,20.23,62.14,59.54,31.02,25.32,11.76,0.62,8.06,0,2.59,0,350.76,14.53,16.85,11.2,393.34,55.38,-3281.36,0.0,-19.3000000000002
Oct 2016,821.26,40.93,96.99,110.86,6.16,7.0,10.47,0.62,17.47,0,4.33,0,762.85,23.57,9.01,2.01,797.45,55.38,-3293.05,0.0,-11.6900000000001
Nov 2016,91.21,3.0,74.04,58.04,4.92,6.24,10.41,0.62,1.94,0,3.11,0,86.28,17.21,8.47,0.0,111.96,55.38,-3283.12,0.0,9.93000000000029
Dec 2016,222.93,10.73,67.47,60.87,4.81,6.24,10.42,0.62,4.74,0,2.88,0,207.46,15.87,8.37,0.0,231.7,55.38,-3287.86,0.0,-4.74000000000024
Jan 2017,279.12,10.83,74.37,65.85,4.83,6.25,10.43,0.62,5.94,0,3.21,0,262.35,17.57,8.39,0.0,288.31,55.38,-3290.05,0.0,-2.19000000000005
Feb 2017,216.51,8.87,79.94,67.94,5.0,6.25,10.44,0.62,4.61,0,3.4,0,203.04,18.73,8.57,0.0,230.33,55.38,-3290.72,0.0,-0.6699999999996179
Mar 2017,327.37,13.27,102.36,88.48,5.03,6.26,10.45,0.62,6.96,0,4.37,0,307.13,24.01,8.61,0.0,339.75,55.38,-3292.53,0.0,-1.8100000000004
Apr 2017,202.72,8.31,117.99,94.45,7.1,7.59,10.58,0.62,4.31,0,4.96,0,190.09,27.38,9.46,0.52,227.46,55.38,-3291.04,0.0,1.4900000000002398
May 2017,188.25,8.58,215.24,158.04,37.82,30.3,12.21,0.62,4.0,0,8.89,0,175.66,49.37,19.1,13.44,257.57,55.38,-3292.24,0.0,-1.19999999999982
Jun 2017,59.97,2.7,186.36,128.58,49.01,38.43,12.79,0.62,1.28,0,7.57,0,55.99,42.33,22.75,17.29,138.36,55.38,-3304.38,0.0,-12.1400000000003
Jul 2017,311.25,14.19,66.44,53.09,45.78,36.11,12.64,0.62,6.62,0,2.68,0,290.44,15.19,21.69,17.14,344.46,55.38,-3324.99,0.0,-20.6099999999997
Aug 2017,710.16,32.87,96.72,96.13,33.1,26.79,11.99,0.62,15.1,0,4.17,0,662.18,22.99,17.68,14.6,717.45,55.38,-3344.84,0.0,-19.8500000000004
Sep 2017,593.9,29.15,89.46,88.79,27.55,22.76,11.7,0.62,12.63,0,3.84,0,552.12,21.2,15.87,11.41,600.59,55.38,-3351.54,0.0,-6.69999999999982
Oct 2017,431.95,21.09,68.3,70.05,9.82,9.78,10.8,0.62,9.19,0,2.97,0,401.67,16.32,10.23,2.16,430.38,55.38,-3357.56,0.0,-6.019999999999981
Nov 2017,187.31,8.15,66.73,57.69,4.99,6.29,10.52,0.62,3.98,0,2.84,0,175.17,15.66,8.6,0.0,199.44,55.38,-3357.74,0.0,-0.179999999999836
Dec 2017,202.38,9.17,70.78,61.77,4.86,6.3,10.53,0.62,4.3,0,3.01,0,188.91,16.6,8.48,0.0,213.98,55.38,-3360.83,0.0,-3.0900000000001495
Jan 2018,133.14,4.75,62.11,51.13,4.85,6.3,10.54,0.62,2.83,0,2.64,0,125.56,14.54,8.47,0.0,148.56,55.38,-3363.43,0.0,-2.5999999999999104
Feb 2018,133.6,5.57,64.52,53.61,5.01,6.31,10.55,0.62,2.84,0,2.72,0,125.19,15.05,8.64,0.0,148.88,55.38,-3367.88,0.0,-4.450000000000269
Mar 2018,150.93,6.26,78.25,64.27,5.11,6.31,10.56,0.62,3.21,0,3.28,0,141.47,18.16,8.74,0.0,168.37,55.38,-3372.25,0.0,-4.36999999999989
Apr 2018,111.07,3.56,107.35,81.83,8.5,8.67,10.78,0.62,2.36,0,4.47,0,105.15,24.77,9.99,0.81,140.72,55.38,-3375.7,0.0,-3.44999999999982
May 2018,22.03,0.97,110.32,73.06,43.23,34.3,12.59,0.62,0.47,0,4.41,0,20.6,24.89,20.9,14.48,80.86,55.38,-3379.84,0.0,-4.14000000000033
Jun 2018,157.96,6.84,62.55,42.71,47.44,37.28,12.82,0.62,3.36,0,2.46,0,147.76,14.06,22.36,17.49,201.67,55.38,-3401.41,0.0,-21.5699999999997
Jul 2018,304.01,13.42,49.2,39.98,44.9,35.52,12.71,0.62,6.47,0,1.98,0,284.13,11.28,21.47,16.46,333.34,55.38,-3425.29,0.0,-23.8800000000001
Aug 2018,920.9,42.89,90.47,102.47,28.13,23.15,11.85,0.62,19.59,0,4.0,0,858.42,21.9,16.21,14.06,910.59,55.38,-3445.39,0.0,-20.0999999999999
Sep 2018,203.29,8.94,47.22,36.83,34.89,28.3,12.21,0.62,4.32,0,1.91,0,190.03,10.82,18.18,10.71,229.74,55.38,-3447.09,0.0,-1.70000000000027
Oct 2018,246.31,12.38,55.38,50.55,16.9,15.06,11.31,0.62,5.24,0,2.35,0,228.69,13.04,12.53,3.98,258.23,55.38,-3463.15,0.0,-16.0599999999999
Nov 2018,302.49,11.74,81.55,71.85,5.0,6.35,10.64,0.62,6.43,0,3.52,0,284.31,19.28,8.67,0.0,312.26,55.38,-3470.23,0.0,-7.07999999999993
Dec 2018,205.84,10.17,63.16,57.19,4.89,6.35,10.65,0.62,4.38,0,2.7,0,191.3,14.9,8.57,0.0,214.76,55.38,-3470.3,0.0,-0.0700000000001637
Jan 2019,123.12,4.41,50.84,42.58,4.94,6.36,10.66,0.62,2.62,0,2.16,0,116.1,11.93,8.62,0.0,136.65,55.38,-3473.25,0.0,-2.94999999999982
Feb 2019,437.36,19.07,96.92,90.18,5.0,6.36,10.67,0.62,9.3,0,4.2,0,408.99,22.97,8.69,0.0,440.64,55.38,-3478.5,0.0,-5.25
Mar 2019,17.12,0.51,42.19,32.4,5.22,6.36,10.67,0.62,0.36,0,1.73,0,16.24,9.72,8.91,0.0,34.87,55.38,-3475.05,0.0,3.44999999999982
Apr 2019,212.68,8.59,93.88,77.33,6.67,7.35,10.77,0.62,4.52,0,3.96,0,199.57,21.86,9.47,0.38,231.28,55.38,-3483.01,0.0,-7.960000000000041
May 2019,225.09,10.29,195.85,146.25,35.19,28.46,12.37,0.62,4.79,0,8.12,0,210.02,45.04,18.47,11.8,285.33,55.38,-3485.06,0.0,-2.04999999999973
Jun 2019,53.75,2.55,96.97,63.28,49.47,38.82,13.03,0.62,1.14,0,3.83,0,50.06,21.76,23.06,17.49,112.37,55.38,-3495.69,0.0,-10.6300000000001
Jul 2019,151.31,7.73,39.07,26.34,48.69,38.34,13.0,0.62,3.22,0,1.46,0,140.36,8.64,22.74,17.03,188.77,55.38,-3520.61,0.0,-24.9200000000001
Aug 2019,1110.34,51.53,127.42,138.43,24.97,20.83,11.79,0.62,23.62,0,5.64,0,1035.19,30.74,15.31,14.02,1095.26,55.38,-3545.35,0.0,-24.7399999999998
Sep 2019,30.71,0.94,19.35,10.39,30.34,25.1,12.68,0.62,0.65,0,0.64,0,29.11,4.03,17.3,12.27,62.71,55.38,-3541.28,0.0,4.06999999999971
Oct 2019,657.49,34.08,75.98,87.68,12.02,11.44,11.14,0.62,13.98,0,3.36,0,609.43,18.42,11.11,4.57,643.53,55.38,-3564.32,0.0,-23.04
Nov 2019,302.94,11.05,83.18,72.37,5.03,6.4,10.75,0.62,6.44,0,3.59,0,285.45,19.64,8.75,0.0,313.85,55.38,-3562.07,0.0,2.25
Dec 2019,170.96,7.67,64.22,55.56,4.91,6.41,10.76,0.62,3.64,0,2.73,0,159.66,15.09,8.64,0.0,183.39,55.38,-3562.17,0.0,-0.0999999999999091
Jan 2020,267.09,10.47,67.61,60.68,4.9,6.41,10.77,0.62,5.68,0,2.92,0,250.94,15.99,8.64,0.0,275.57,55.38,-3565.94,0.0,-3.7699999999999796
Feb 2020,181.76,8.48,52.61,47.85,5.02,6.41,10.78,0.62,3.87,0,2.24,0,169.41,12.39,8.76,0.0,190.56,55.38,-3567.49,0.0,-1.54999999999973
Mar 2020,185.69,6.97,86.1,70.65,5.14,6.42,10.79,0.62,3.95,0,3.64,0,174.77,20.07,8.89,0.0,203.72,55.38,-3571.54,0.0,-4.05000000000018
Apr 2020,99.69,3.38,193.33,145.0,5.96,6.87,10.83,0.62,2.12,0,8.06,0,94.19,44.55,9.3,0.14,148.19,55.38,-3574.12,0.0,-2.5799999999999303
May 2020,176.18,7.45,226.67,165.68,36.34,29.35,12.54,0.62,3.75,0,9.4,0,164.98,52.06,18.91,11.78,247.74,55.38,-3574.29,0.0,-0.170000000000073
Jun 2020,211.94,8.84,195.48,142.69,42.72,33.95,12.8,0.62,4.51,0,8.06,0,198.59,44.81,20.96,15.33,279.68,55.38,-3584.85,0.0,-10.5599999999999
Jul 2020,258.41,12.88,136.1,102.74,45.58,36.07,12.95,0.62,5.5,0,5.57,0,240.04,31.16,21.84,16.58,309.62,55.38,-3599.8,0.0,-14.950000000000301
Aug 2020,152.64,6.55,119.01,84.67,43.81,34.88,12.88,0.62,3.25,0,4.84,0,142.84,27.12,21.19,14.1,205.26,55.38,-3617.65,0.0,-17.8499999999999
Sep 2020,13.82,0.91,53.33,32.27,40.8,32.7,12.72,0.62,0.29,0,2.05,0,12.62,11.82,20.2,11.7,56.34,55.38,-3635.92,0.0,-18.27
Oct 2020,338.16,12.72,86.41,71.17,25.63,21.62,12.04,0.62,7.19,0,3.68,0,318.25,20.26,15.43,6.97,360.91,55.38,-3657.38,0.0,-21.46
