date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,21.38,0.8,28.28,22.41,4.04,5.1,8.69,0.62,0.45,0,1.17,0,20.13,6.55,7.02,0.0,33.7,46.74,-3156.48,0.0,0.0
Feb 2016,317.54,13.91,75.17,69.1,4.06,5.1,8.7,0.62,6.75,0,3.24,0,296.88,17.79,7.04,0.0,321.7,46.74,-3162.93,0.0,-6.44999999999982
Mar 2016,80.78,2.63,50.75,33.49,12.92,5.1,8.7,0.62,1.72,0,1.63,0,76.43,10.44,7.18,0.0,94.05,46.74,-3161.01,0.0,1.91999999999962
Apr 2016,232.76,9.25,65.34,55.88,9.41,8.78,9.03,0.62,4.95,0,2.77,0,218.57,15.31,9.12,1.95,244.94,55.46,-3165.74,8.72,-4.72999999999956
May 2016,37.81,0.97,48.51,29.62,34.24,27.04,10.31,0.62,0.8,0,1.88,0,36.04,10.79,16.88,14.07,77.78,55.38,-3168.38,-0.0799999999999983,-2.64000000000033
Jun 2016,275.14,13.29,49.3,41.5,35.9,28.09,10.38,0.62,5.85,0,1.98,0,255.99,11.3,17.57,17.42,302.29,55.38,-3189.46,0.0,-21.0799999999999
Jul 2016,803.79,37.23,75.41,85.45,27.75,22.16,9.98,0.62,17.1,0,3.33,0,749.47,18.26,14.95,16.25,798.93,55.38,-3208.81,0.0,-19.3499999999999
Aug 2016,816.65,37.48,85.7,94.15,24.07,19.55,9.81,0.62,17.37,0,3.79,0,761.81,20.72,13.71,13.78,810.02,55.38,-3214.0,0.0,-5.19000000000005
Sep 2016,949.29,49.49,84.89,107.75,14.96,12.85,9.31,0.62,20.19,0,3.8,0,879.61,20.72,10.81,10.77,921.9,55.38,-3215.81,0.0,-1.8099999999999499
Oct 2016,127.17,4.72,22.67,19.22,14.98,13.05,9.39,0.62,2.7,0,0.94,0,119.75,5.29,10.71,3.78,139.52,55.38,-3211.28,0.0,4.529999999999751
Nov 2016,101.35,3.83,44.17,36.76,4.18,5.14,8.78,0.62,2.16,0,1.86,0,95.37,10.33,7.2,0.0,112.9,55.38,-3220.19,0.0,-8.90999999999985
Dec 2016,116.22,4.52,52.64,43.73,4.05,5.14,8.79,0.62,2.47,0,2.23,0,109.23,12.3,7.07,0.0,128.59,55.38,-3224.32,0.0,-4.13000000000011
Jan 2017,309.81,12.57,68.0,62.56,4.06,5.15,8.79,0.62,6.59,0,2.95,0,290.65,16.15,7.08,0.0,313.88,55.38,-3227.79,0.0,-3.4699999999998
Feb 2017,134.09,5.99,45.0,39.56,4.13,5.15,8.8,0.62,2.85,0,1.9,0,125.24,10.56,7.16,0.0,142.96,55.38,-3226.42,0.0,1.36999999999989
Mar 2017,128.62,4.98,54.48,45.31,4.46,5.19,8.81,0.62,2.74,0,2.27,0,120.9,12.62,7.47,0.02,141.0,55.38,-3229.85,0.0,-3.42999999999984
Apr 2017,28.7,0.72,41.43,26.96,23.15,19.08,10.02,0.62,0.61,0,1.68,0,27.37,9.44,13.47,5.85,56.13,55.38,-3233.06,0.0,-3.21000000000004
May 2017,36.01,1.66,39.44,23.51,35.1,27.67,10.45,0.62,0.77,0,1.48,0,33.58,8.67,17.26,14.82,74.33,55.38,-3246.02,0.0,-12.96
Jun 2017,152.78,6.64,47.89,33.61,37.94,29.66,10.6,0.62,3.25,0,1.87,0,142.89,10.77,18.26,17.16,189.08,55.38,-3268.41,0.0,-22.3899999999999
Jul 2017,611.08,28.61,45.04,54.38,31.0,24.6,10.26,0.62,13.0,0,1.96,0,569.47,10.9,16.04,16.47,612.88,55.38,-3290.43,0.0,-22.02
Aug 2017,762.32,33.6,78.63,84.98,25.3,20.5,9.99,0.62,16.21,0,3.47,0,712.51,18.97,14.17,13.82,759.48,55.38,-3301.58,0.0,-11.1500000000001
Sep 2017,33.82,1.52,5.46,5.03,14.67,14.1,10.36,0.62,0.72,0,0.17,0,31.58,1.22,11.45,11.74,55.99,55.38,-3305.09,0.0,-3.51000000000022
Oct 2017,843.65,42.8,85.17,103.73,5.55,6.04,8.95,0.62,17.94,0,3.85,0,782.9,20.89,7.83,2.58,814.2,54.24,-3325.68,-1.14,-20.589999999999698
Nov 2017,94.92,3.61,36.54,31.04,4.19,5.19,8.88,0.62,2.02,0,1.54,0,89.29,8.57,7.27,0.0,105.13,54.24,-3314.8,0.0,10.879999999999699
Dec 2017,222.91,11.33,53.57,51.05,4.05,5.2,8.89,0.62,4.74,0,2.3,0,206.84,12.69,7.13,0.0,226.66,54.24,-3319.5,0.0,-4.699999999999821
Jan 2018,572.54,23.07,107.91,101.58,4.12,5.2,8.9,0.62,12.18,0,4.73,0,537.29,25.75,7.2,0.0,570.24,54.24,-3320.73,0.0,-1.23000000000002
Feb 2018,447.21,17.92,98.19,89.7,4.17,5.2,8.91,0.62,9.51,0,4.25,0,419.78,23.21,7.25,0.0,450.24,54.24,-3312.1,0.0,8.630000000000111
Mar 2018,557.1,23.15,123.26,112.87,4.3,5.21,8.92,0.62,11.85,0,5.32,0,522.1,29.12,7.39,0.0,558.61,54.24,-3306.64,0.0,5.460000000000041
Apr 2018,522.19,22.13,103.64,96.77,7.01,7.0,9.09,0.62,11.11,0,4.48,0,488.95,24.52,8.47,1.35,523.29,54.24,-3297.77,0.0,8.86999999999989
May 2018,835.07,40.87,233.24,205.61,21.38,17.51,9.84,0.62,17.76,0,9.94,0,776.43,54.69,13.09,14.57,858.79,54.24,-3292.0,0.0,5.769999999999981
Jun 2018,270.31,13.94,165.15,126.75,35.4,27.8,10.57,0.62,5.75,0,6.81,0,250.62,37.93,17.54,17.2,323.29,54.24,-3288.09,0.0,3.9099999999998505
Jul 2018,618.68,30.27,108.55,102.33,31.04,24.65,10.36,0.62,13.16,0,4.6,0,575.25,25.49,16.13,16.85,633.73,54.24,-3302.67,0.0,-14.5799999999999
Aug 2018,778.56,34.28,139.7,130.07,25.37,20.59,10.11,0.62,16.56,0,6.04,0,727.72,33.09,14.27,13.98,789.05,54.24,-3311.5,0.0,-8.829999999999929
Sep 2018,160.4,9.28,40.45,32.95,30.27,24.26,10.33,0.62,3.41,0,1.59,0,147.71,9.18,15.73,11.94,184.56,54.24,-3312.37,0.0,-0.869999999999891
Oct 2018,349.45,19.85,45.82,51.09,14.03,12.37,9.53,0.62,7.43,0,1.97,0,322.17,10.95,10.57,4.98,348.67,54.24,-3329.01,0.0,-16.6400000000003
Nov 2018,513.09,20.5,100.14,93.44,4.2,5.24,9.0,0.62,10.91,0,4.38,0,481.68,23.87,7.33,0.0,512.88,54.24,-3333.51,0.0,-4.5
Dec 2018,26.16,0.85,36.9,28.77,4.16,5.25,9.0,0.62,0.56,0,1.53,0,24.75,8.55,7.29,0.0,40.59,54.24,-3326.59,0.0,6.92000000000007
Jan 2019,440.22,17.34,96.5,87.85,4.13,5.25,9.01,0.62,9.36,0,4.2,0,413.52,22.91,7.27,0.0,443.7,54.24,-3332.89,0.0,-6.299999999999731
Feb 2019,121.32,5.48,50.11,42.8,4.25,5.26,9.02,0.62,2.58,0,2.11,0,113.26,11.7,7.39,0.0,132.35,54.24,-3327.71,0.0,5.17999999999984
Mar 2019,381.35,15.15,100.02,88.27,4.4,5.26,9.03,0.62,8.11,0,4.28,0,358.1,23.49,7.55,0.0,389.13,54.24,-3331.43,0.0,-3.7199999999998
Apr 2019,173.65,6.48,96.17,75.99,8.66,8.27,9.3,0.62,3.69,0,4.02,0,163.48,22.25,9.07,1.47,196.26,54.24,-3327.45,0.0,3.9800000000000204
May 2019,407.06,18.01,363.14,228.51,87.04,20.75,10.18,0.62,8.66,0,11.78,0,380.4,74.56,14.35,12.38,481.69,54.24,-3329.88,0.0,-2.43000000000029
Jun 2019,298.41,15.14,391.73,221.93,124.36,27.33,10.64,0.71,6.35,0,11.32,0,276.92,76.59,18.72,17.01,389.24,115.74,-3331.39,61.5,-1.5099999999997602
Jul 2019,847.03,40.69,197.73,262.97,27.31,128.66,10.26,0.75,18.02,0,14.35,0,788.32,62.45,16.97,16.34,884.08,203.98,-3340.66,88.24,-9.269999999999982
Aug 2019,638.49,28.66,153.42,158.73,26.09,51.55,10.32,0.82,13.58,0,8.24,0,596.25,40.58,16.04,14.18,667.05,95.16,-3334.13,-108.82,6.52999999999975
Sep 2019,237.15,10.81,87.06,72.23,27.95,26.88,10.42,0.62,5.04,0,3.85,0,221.29,20.73,15.65,11.74,269.42,63.16,-3336.0,-32.0,-1.86999999999989
Oct 2019,327.11,14.33,89.52,77.98,12.43,11.46,9.6,0.62,6.96,0,3.84,0,305.82,21.06,10.27,3.63,340.77,58.38,-3348.64,-4.7799999999999905,-12.6399999999999
Nov 2019,322.73,12.74,103.07,88.2,4.25,5.3,9.11,0.62,6.86,0,4.42,0,303.12,24.24,7.44,0.0,334.8,58.06,-3350.45,-0.32,-1.8099999999999499
Dec 2019,511.94,24.65,113.28,105.73,6.18,5.3,9.12,0.62,10.89,0,4.79,0,476.4,26.53,7.39,0.0,510.32,58.06,-3347.65,0.0,2.79999999999973
Jan 2020,561.02,21.12,128.17,114.64,3.98,5.31,9.13,0.62,11.93,0,5.59,0,527.97,30.39,7.39,0.0,565.75,60.05,-3340.47,1.9899999999999898,7.180000000000289
Feb 2020,325.21,13.92,97.99,87.48,3.36,6.61,9.14,0.62,6.92,0,4.32,0,304.37,23.36,7.49,0.0,335.22,59.84,-3331.46,-0.209999999999994,9.00999999999976
Mar 2020,82.49,2.84,109.43,85.04,3.36,6.39,9.14,0.62,1.75,0,4.68,0,77.9,25.57,7.65,0.0,111.12,57.62,-3328.74,-2.22000000000001,2.7200000000002498
Apr 2020,214.08,7.81,237.4,180.54,7.06,7.18,9.31,0.62,4.55,0,9.95,0,201.72,54.84,8.66,0.87,266.09,55.46,-3330.83,-2.16,-2.09000000000015
May 2020,190.96,8.67,633.01,201.32,361.69,25.19,10.6,0.62,4.06,0,8.06,0,178.22,95.81,16.38,14.06,304.48,55.38,-3325.89,-0.0799999999999983,4.94000000000005
Jun 2020,217.14,10.27,372.45,217.89,106.99,28.56,10.84,0.84,4.62,0,11.53,0,202.25,74.86,22.35,16.88,316.35,385.47,-3337.81,330.09,-11.9200000000001
Jul 2020,857.06,39.21,237.15,259.0,27.09,89.2,10.41,0.86,18.23,0,13.84,0,799.62,65.64,19.88,16.47,901.6,451.54,-3348.55,66.07,-10.740000000000201
Aug 2020,876.77,40.16,180.23,266.69,23.48,146.14,10.23,0.86,18.65,0,14.78,0,817.96,61.58,17.23,14.06,910.82,379.11,-3342.5,-72.43,6.05000000000018
Sep 2020,590.11,31.06,121.7,259.18,19.54,196.98,10.06,0.86,12.55,0,15.21,0,546.5,55.82,14.79,10.81,627.92,248.6,-3332.5,-130.51,10.0
Oct 2020,610.99,30.79,128.37,128.98,6.73,13.95,9.36,0.82,13.0,0,5.93,0,567.21,31.46,8.82,2.34,609.82,65.56,-3324.75,-183.04,7.75
Nov 2020,585.29,25.24,139.04,125.0,6.04,5.35,9.21,0.62,12.45,0,5.93,0,547.6,32.67,7.49,0.0,587.76,58.06,-3316.69,-7.5,8.05999999999995
Dec 2020,410.0,17.92,123.5,108.06,4.4,5.35,9.22,0.62,8.72,0,5.29,0,383.35,29.03,7.44,0.0,419.83,59.84,-3306.9,1.78,9.78999999999996
Jan 2021,269.75,10.36,92.95,78.8,4.0,5.36,9.23,0.62,5.74,0,3.99,0,253.66,21.87,7.46,0.0,282.99,60.05,-3301.49,0.209999999999994,5.41000000000031
Feb 2021,156.1,6.83,73.13,62.63,3.39,6.64,9.24,0.62,3.32,0,3.21,0,145.95,17.38,7.58,0.0,170.91,59.84,-3300.37,-0.209999999999994,1.11999999999989
Mar 2021,142.6,5.34,95.66,77.37,3.43,6.38,9.25,0.62,3.03,0,4.12,0,134.23,22.46,7.83,0.02,164.54,57.62,-3302.46,-2.22000000000001,-2.09000000000015
Apr 2021,210.83,8.5,216.04,162.45,20.5,17.3,10.29,0.62,4.48,0,9.04,0,197.85,49.85,12.95,5.45,266.1,55.46,-3303.95,-2.16,-1.4899999999997802
