date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,88.86,1.97,1.13,1.67,3.85,1.02,0.49,0.21,1.65,0,-1.55,0,85.24,0.15,3.04,0.0,88.43,297.36,1767.18,0.0,0.0
Feb 2016,53.29,1.15,1.04,7.74,3.28,7.58,0.49,0.21,0.99,0,-1.38,0,51.15,0.13,3.54,0.0,54.82,297.43,1767.0,0.0699999999999932,-0.180000000000064
Mar 2016,379.05,8.49,5.1,16.54,15.55,12.32,0.49,0.21,7.03,0,-6.82,0,363.52,0.65,4.61,0.0,368.78,289.88,1766.33,-7.55000000000001,-0.670000000000073
Apr 2016,38.21,0.78,8.04,12.77,7.81,3.11,0.61,0.21,0.71,0,-9.55,0,36.72,0.9,7.44,4.08,49.14,288.77,1766.27,-1.11000000000001,-0.0599999999999454
May 2016,226.1,5.13,2.29,41.22,8.52,40.32,0.66,0.21,4.2,0,-2.23,0,216.77,0.22,10.8,14.1,241.9,286.43,1752.95,-2.33999999999997,-13.319999999999899
Jun 2016,78.89,1.74,1.94,34.4,7.0,36.08,0.72,0.21,1.46,0,-1.81,0,75.69,0.16,10.76,18.98,105.59,244.28,1740.37,-42.15,-12.5800000000002
Jul 2016,1538.35,35.63,7.64,29.56,26.63,3.87,0.62,0.21,28.55,0,-10.4,0,1474.17,1.35,8.95,17.54,1502.02,204.94,1720.53,-39.34,-19.839999999999897
Aug 2016,1549.92,35.47,11.96,30.63,34.01,2.95,0.61,0.21,28.76,0,-16.11,0,1485.68,1.86,7.19,14.76,1509.49,219.16,1720.72,14.22,0.19000000000005499
Sep 2016,863.33,19.96,4.32,27.73,6.26,4.72,0.61,0.21,16.02,0,-5.7,0,827.35,0.72,7.79,12.43,848.29,243.42,1718.22,24.26,-2.5
Oct 2016,314.04,7.31,2.1,12.17,3.66,3.89,0.58,0.21,5.83,0,-2.86,0,300.9,0.34,4.29,3.11,308.64,237.57,1715.71,-5.849999999999991,-2.50999999999999
Nov 2016,699.48,16.0,6.34,7.85,22.63,0.33,0.49,0.21,12.98,0,-8.68,0,670.5,0.87,2.54,0.0,673.91,233.41,1715.2,-4.16,-0.509999999999991
Dec 2016,132.47,3.03,1.39,1.72,4.73,0.33,0.49,0.21,2.46,0,-1.88,0,126.98,0.18,2.37,0.0,129.53,253.46,1719.23,20.05,4.02999999999997
Jan 2017,471.7,10.73,3.74,5.8,13.74,0.33,0.49,0.21,8.75,0,-5.28,0,452.21,0.54,2.27,0.0,455.01,255.77,1719.52,2.31,0.28999999999996395
Feb 2017,447.15,10.28,3.51,7.87,11.78,1.5,0.49,0.21,8.3,0,-4.86,0,428.57,0.5,2.59,0.0,431.65,267.2,1722.72,11.43,3.20000000000005
Mar 2017,873.58,20.15,6.99,15.06,22.81,2.14,0.49,0.21,16.21,0,-9.58,0,837.22,0.98,4.33,0.0,842.53,275.18,1725.87,7.980000000000019,3.14999999999986
Apr 2017,508.59,11.52,8.09,9.41,20.07,0.5,0.52,0.21,9.44,0,-10.44,0,487.63,1.07,5.79,0.87,495.37,291.8,1732.22,16.62,6.350000000000139
May 2017,977.99,22.46,15.79,23.93,39.35,7.02,0.61,0.21,18.15,0,-19.98,0,937.38,1.98,8.37,11.13,958.86,305.89,1730.04,14.09,-2.18000000000006
Jun 2017,493.36,11.54,2.35,27.22,9.48,20.74,0.67,0.21,9.16,0,-2.37,0,472.67,0.3,12.66,17.1,502.73,330.25,1716.67,24.36,-13.3699999999999
Jul 2017,1645.89,38.16,7.88,27.51,31.56,3.59,0.62,0.21,30.54,0,-10.87,0,1577.18,1.42,10.49,17.08,1606.18,306.8,1705.89,-23.45,-10.78
Aug 2017,1409.82,32.16,10.75,29.15,29.8,3.3,0.63,0.21,26.16,0,-14.46,0,1351.5,1.71,9.23,15.25,1377.69,324.69,1708.08,17.89,2.1899999999998303
Sep 2017,822.18,19.1,3.26,23.6,6.47,3.97,0.61,0.21,15.26,0,-4.32,0,787.82,0.58,8.77,11.71,808.89,342.37,1704.12,17.68,-3.96000000000004
Oct 2017,1308.1,30.74,6.94,28.5,17.87,0.33,0.49,0.21,24.27,0,-9.59,0,1253.08,1.23,3.91,0.57,1258.8,336.49,1702.95,-5.88,-1.16999999999985
Nov 2017,284.7,6.36,4.01,10.57,4.83,0.33,0.5,0.21,5.28,0,-5.28,0,273.05,0.58,3.01,0.0,276.64,350.41,1716.78,13.92,13.8299999999999
Dec 2017,324.0,7.7,1.2,7.19,3.51,0.33,0.5,0.21,6.01,0,-1.71,0,310.29,0.24,2.67,0.0,313.19,352.19,1716.5,1.7799999999999698,-0.27999999999997305
Jan 2018,366.48,8.47,2.12,9.6,3.97,0.33,0.5,0.21,6.8,0,-3.02,0,351.21,0.38,2.95,0.0,354.53,352.98,1720.51,0.79000000000002,4.009999999999991
Feb 2018,291.15,6.68,2.69,11.62,2.38,1.43,0.5,0.21,5.4,0,-3.61,0,279.07,0.42,3.02,0.0,282.5,353.95,1724.01,0.9699999999999699,3.5
