date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,20.25,0.45,0.34,1.06,1.11,0.97,0.37,0.21,0.38,0,-0.45,0,19.42,0.04,3.15,0.0,22.62,297.36,1772.33,0.0,0.0
Feb 2016,438.93,10.04,4.0,12.37,12.81,6.23,0.37,0.21,8.15,0,-5.47,0,420.75,0.55,3.24,0.0,424.53,294.5,1772.09,-2.8600000000000096,-0.24000000000000898
Mar 2016,98.91,2.16,1.81,14.51,4.46,12.86,0.37,0.21,1.84,0,-2.38,0,94.91,0.24,5.29,0.0,100.44,298.01,1774.61,3.5099999999999905,2.51999999999998
Apr 2016,608.43,13.79,12.97,15.35,27.17,1.16,0.53,0.21,11.29,0,-16.28,0,583.34,1.69,6.77,3.35,595.15,284.49,1773.9,-13.52,-0.7099999999998091
May 2016,422.96,9.58,4.17,42.9,8.77,33.55,0.6,0.21,7.85,0,-4.92,0,405.53,0.54,11.64,13.74,431.45,304.05,1765.25,19.56,-8.65000000000009
Jun 2016,843.78,19.33,5.24,39.15,11.05,20.06,0.61,0.21,15.66,0,-6.34,0,808.8,0.77,12.69,18.03,840.29,268.02,1754.06,-36.03,-11.1900000000001
Jul 2016,1882.08,43.53,10.18,33.34,36.57,4.06,0.53,0.21,34.93,0,-13.88,0,1803.62,1.75,9.9,17.15,1832.42,246.72,1744.95,-21.3,-9.1099999999999
Aug 2016,1939.87,44.64,14.29,36.66,42.29,2.86,0.5,0.21,36.0,0,-19.34,0,1859.23,2.17,7.8,14.27,1883.47,269.65,1748.52,22.93,3.56999999999994
Sep 2016,1683.56,39.29,8.68,32.33,28.49,2.34,0.46,0.21,31.24,0,-11.97,0,1613.03,1.47,7.23,11.4,1633.12,301.57,1750.63,31.92,2.11000000000013
Oct 2016,90.8,2.0,1.44,15.44,2.85,13.13,0.54,0.21,1.68,0,-1.91,0,87.11,0.2,5.86,4.1,97.27,320.74,1758.25,19.17,7.619999999999889
Nov 2016,175.34,3.99,1.98,2.29,6.29,0.22,0.38,0.21,3.25,0,-2.65,0,168.1,0.27,3.34,0.0,171.7,304.92,1753.6,-15.82,-4.65000000000009
Dec 2016,71.34,1.55,1.16,0.77,3.73,0.37,0.38,0.21,1.32,0,-1.56,0,68.46,0.14,2.41,0.0,71.02,307.81,1754.04,2.8899999999999904,0.44000000000005496
Jan 2017,323.84,7.33,2.97,3.9,10.34,0.22,0.38,0.21,6.01,0,-4.14,0,310.51,0.41,2.42,0.0,313.34,308.92,1753.64,1.11000000000001,-0.399999999999864
Feb 2017,149.85,3.43,1.26,4.62,4.36,2.7,0.38,0.21,2.78,0,-1.75,0,143.64,0.18,3.02,0.0,146.84,316.79,1755.35,7.87,1.7099999999998101
Mar 2017,153.64,3.45,2.0,7.61,4.61,4.4,0.38,0.21,2.85,0,-2.65,0,147.33,0.28,5.61,0.04,153.26,315.58,1756.22,-1.2100000000000402,0.8700000000001179
Apr 2017,89.21,1.94,7.96,14.39,5.62,1.47,0.57,0.21,1.66,0,-9.56,0,85.61,0.92,7.31,3.44,97.29,310.35,1756.21,-5.2299999999999605,-0.009999999999990909
May 2017,560.48,13.09,2.7,30.9,9.49,22.03,0.58,0.21,10.4,0,-2.95,0,537.0,0.37,12.01,14.61,563.98,307.55,1744.51,-2.8000000000000096,-11.7
Jun 2017,1430.8,33.2,9.7,29.52,29.12,4.81,0.55,0.21,26.55,0,-12.43,0,1371.05,1.49,11.38,17.64,1401.55,283.37,1736.99,-24.18,-7.519999999999981
Jul 2017,1286.87,29.83,5.07,29.72,16.47,5.54,0.57,0.21,23.88,0,-6.67,0,1233.16,0.92,12.09,17.44,1263.61,296.65,1733.13,13.28,-3.8599999999999
Aug 2017,1355.38,31.03,9.32,30.27,25.15,4.14,0.55,0.21,25.15,0,-12.42,0,1299.2,1.5,9.21,14.59,1324.49,295.85,1732.53,-0.799999999999955,-0.600000000000136
Sep 2017,136.23,3.15,1.24,25.23,6.51,26.26,0.6,0.21,2.53,0,-1.2,0,130.55,0.12,8.89,12.68,152.23,307.99,1730.34,12.14,-2.19000000000005
Oct 2017,1680.01,39.54,8.91,24.16,35.52,0.29,0.39,0.21,31.18,0,-12.39,0,1609.29,1.45,3.98,3.16,1617.88,279.75,1718.6,-28.24,-11.74
Nov 2017,103.77,2.35,1.26,1.16,4.2,0.22,0.38,0.21,1.93,0,-1.69,0,99.5,0.16,3.04,0.0,102.7,311.17,1734.05,31.42,15.45
Dec 2017,477.47,11.17,3.0,6.6,11.5,0.22,0.38,0.21,8.86,0,-4.16,0,457.44,0.44,2.13,0.0,460.02,312.28,1734.12,1.10999999999996,0.0699999999999363
Jan 2018,820.21,18.92,5.19,10.67,20.28,0.22,0.38,0.21,15.22,0,-7.4,0,786.07,0.78,2.79,0.0,789.65,321.59,1738.66,9.31,4.54000000000019
Feb 2018,417.91,9.43,4.57,9.75,9.93,0.22,0.38,0.21,7.76,0,-6.14,0,400.73,0.68,3.26,0.0,404.67,339.02,1746.31,17.43,7.649999999999861
Mar 2018,1219.87,28.24,8.91,41.42,6.6,0.22,0.38,0.21,22.64,0,-12.11,0,1168.99,1.46,4.26,0.0,1174.71,345.63,1747.76,6.610000000000009,1.4500000000000501
Apr 2018,833.9,18.62,14.34,37.93,12.08,0.49,0.42,0.21,15.47,0,-18.52,0,799.8,1.97,6.68,1.23,809.69,347.91,1758.12,2.28000000000003,10.3599999999999
May 2018,2363.58,54.34,27.0,98.56,15.25,1.26,0.47,0.21,43.86,0,-35.15,0,2265.38,3.94,9.18,13.44,2291.93,353.03,1753.64,5.11999999999995,-4.47999999999979
Jun 2018,1048.02,24.51,4.37,42.8,10.64,20.01,0.58,0.21,19.45,0,-5.24,0,1004.06,0.7,14.28,18.0,1037.04,358.1,1748.66,5.07000000000005,-4.98000000000002
Jul 2018,1087.73,25.23,4.25,34.6,12.2,12.75,0.59,0.21,20.18,0,-5.29,0,1042.31,0.72,13.82,18.0,1074.85,334.81,1744.5,-23.29,-4.16000000000008
Aug 2018,1855.47,42.69,13.22,34.63,40.2,3.16,0.52,0.21,34.43,0,-17.84,0,1778.35,2.08,8.92,14.67,1804.01,320.82,1741.02,-13.99,-3.4800000000000204
Sep 2018,795.2,18.68,2.98,26.97,9.0,11.37,0.54,0.21,14.76,0,-3.41,0,761.77,0.47,10.55,12.55,785.34,349.25,1742.63,28.43,1.61000000000013
Oct 2018,434.35,10.25,1.49,17.57,5.56,9.59,0.51,0.21,8.06,0,-2.09,0,416.04,0.29,6.29,5.16,427.78,336.66,1741.1,-12.59,-1.5300000000001999
Nov 2018,479.27,10.98,3.92,5.45,14.55,0.22,0.38,0.21,8.89,0,-5.44,0,459.4,0.55,3.02,0.0,462.97,326.64,1741.61,-10.02,0.509999999999991
Dec 2018,51.14,1.15,0.73,0.69,2.43,0.35,0.38,0.21,0.95,0,-0.98,0,49.04,0.09,2.99,0.0,52.12,338.12,1744.9,11.48,3.29000000000019
Jan 2019,448.46,10.14,4.14,6.63,13.0,0.22,0.38,0.21,8.32,0,-5.73,0,430.0,0.61,2.49,0.0,433.1,337.37,1744.7,-0.75,-0.200000000000045
Feb 2019,162.63,3.71,1.64,6.14,2.83,1.67,0.38,0.21,3.02,0,-2.2,0,155.9,0.25,3.51,0.0,159.66,347.83,1747.13,10.46,2.43000000000006
Mar 2019,572.56,13.01,6.03,22.69,4.25,0.78,0.38,0.21,10.62,0,-8.05,0,548.92,0.91,5.27,0.0,555.1,345.65,1747.77,-2.18000000000001,0.6399999999998729
