date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,20.25,0.45,0.38,1.08,1.21,1.0,0.48,0.21,0.38,0,-0.5,0,19.42,0.05,3.22,0.0,22.69,297.36,1767.19,0.0,0.0
Feb 2016,438.93,10.04,4.04,12.36,13.03,6.34,0.48,0.21,8.15,0,-5.52,0,420.75,0.55,3.35,0.0,424.65,294.62,1766.79,-2.7400000000000095,-0.40000000000009095
Mar 2016,98.91,2.16,1.85,14.5,4.68,12.97,0.49,0.21,1.84,0,-2.43,0,94.91,0.24,5.4,0.0,100.56,298.22,1769.14,3.60000000000002,2.35000000000014
Apr 2016,608.43,13.79,13.02,15.35,27.37,1.26,0.64,0.21,11.29,0,-16.33,0,583.34,1.69,6.89,3.35,595.27,284.8,1768.27,-13.42,-0.8700000000001179
May 2016,422.96,9.58,4.21,42.86,8.88,33.52,0.71,0.21,7.85,0,-4.97,0,405.53,0.54,11.76,13.74,431.57,304.45,1759.46,19.65,-8.809999999999949
Jun 2016,843.78,19.33,5.28,39.12,11.15,20.04,0.72,0.21,15.66,0,-6.39,0,808.8,0.77,12.81,18.03,840.42,268.55,1748.1,-35.9,-11.3600000000001
Jul 2016,1882.08,43.53,10.23,33.33,36.78,4.16,0.64,0.21,34.93,0,-13.94,0,1803.62,1.75,10.03,17.15,1832.55,247.36,1738.82,-21.19,-9.279999999999971
Aug 2016,1939.87,44.64,14.34,36.65,42.52,2.96,0.61,0.21,36.0,0,-19.4,0,1859.23,2.18,7.93,14.27,1883.6,270.38,1742.22,23.02,3.40000000000009
Sep 2016,1683.56,39.29,8.73,32.32,28.71,2.45,0.57,0.21,31.24,0,-12.03,0,1613.03,1.47,7.35,11.4,1633.24,302.41,1744.16,32.03,1.9400000000000501
Oct 2016,90.8,2.0,1.49,15.41,2.95,13.12,0.65,0.21,1.68,0,-1.97,0,87.11,0.2,5.98,4.1,97.39,321.69,1751.61,19.28,7.44999999999982
Nov 2016,175.34,3.99,2.03,2.28,6.49,0.32,0.49,0.21,3.25,0,-2.71,0,168.1,0.27,3.45,0.0,171.82,305.97,1746.8,-15.72,-4.80999999999995
Dec 2016,71.34,1.55,1.2,0.76,3.94,0.48,0.49,0.21,1.32,0,-1.62,0,68.46,0.15,2.53,0.0,71.14,308.96,1747.07,2.98999999999995,0.26999999999998203
Jan 2017,323.84,7.33,3.02,3.9,10.55,0.32,0.49,0.21,6.01,0,-4.19,0,310.51,0.41,2.54,0.0,313.46,310.17,1746.5,1.2100000000000402,-0.569999999999936
Feb 2017,149.85,3.43,1.31,4.6,4.57,2.81,0.49,0.21,2.78,0,-1.81,0,143.64,0.18,3.14,0.0,146.96,318.13,1748.05,7.959999999999981,1.5499999999999499
Mar 2017,153.64,3.45,2.04,7.59,4.83,4.5,0.49,0.21,2.85,0,-2.71,0,147.33,0.29,5.73,0.04,153.4,317.02,1748.75,-1.11000000000001,0.700000000000045
Apr 2017,89.21,1.94,8.01,14.36,5.84,1.57,0.68,0.21,1.66,0,-9.61,0,85.61,0.92,7.45,3.44,97.42,311.89,1748.57,-5.13,-0.180000000000064
May 2017,560.48,13.09,2.75,30.85,9.59,21.97,0.69,0.21,10.4,0,-3.01,0,537.0,0.38,12.15,14.61,564.13,309.19,1736.7,-2.6999999999999904,-11.8699999999999
Jun 2017,1430.8,33.2,9.75,29.5,29.38,4.91,0.67,0.21,26.55,0,-12.5,0,1371.05,1.49,11.52,17.64,1401.7,285.14,1729.01,-24.05,-7.69000000000005
Jul 2017,1286.87,29.83,5.12,29.68,16.73,5.64,0.69,0.21,23.88,0,-6.74,0,1233.16,0.92,12.24,17.44,1263.76,298.54,1724.97,13.4,-4.03999999999996
Aug 2017,1355.38,31.03,9.38,30.22,25.43,4.24,0.66,0.21,25.15,0,-12.49,0,1299.2,1.5,9.35,14.59,1324.64,297.86,1724.2,-0.6800000000000072,-0.7699999999999821
Sep 2017,136.23,3.15,1.29,25.23,6.61,26.26,0.72,0.21,2.53,0,-1.25,0,130.55,0.12,9.03,12.68,152.38,310.14,1721.82,12.28,-2.38000000000011
Oct 2017,1680.01,39.54,8.96,24.15,35.76,0.4,0.5,0.21,31.18,0,-12.46,0,1609.29,1.45,4.11,3.16,1618.02,281.96,1709.91,-28.18,-11.9099999999999
Nov 2017,103.77,2.35,1.3,1.15,4.41,0.32,0.49,0.21,1.93,0,-1.75,0,99.5,0.17,3.17,0.0,102.83,313.5,1725.19,31.54,15.28
Dec 2017,477.47,11.17,3.05,6.59,11.72,0.32,0.49,0.21,8.86,0,-4.21,0,457.44,0.45,2.26,0.0,460.14,314.69,1725.09,1.19,-0.10000000000013601
