date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,252.9,5.72,2.75,3.55,8.84,0.54,0.48,0.21,4.69,0,-3.75,0,242.49,0.36,2.7,0.0,245.56,297.36,1767.39,0.0,0.0
Feb 2016,284.53,6.52,2.71,10.68,8.77,6.9,0.48,0.21,5.28,0,-3.69,0,272.73,0.37,3.14,0.0,276.24,303.23,1768.07,5.87,0.6799999999998361
Mar 2016,174.38,3.93,2.31,15.11,6.85,12.96,0.48,0.21,3.24,0,-3.07,0,167.21,0.3,5.26,0.0,172.77,302.23,1769.39,-1.0,1.32000000000016
Apr 2016,347.45,8.08,8.86,19.47,8.38,1.19,0.6,0.21,6.45,0,-10.82,0,332.92,1.1,7.03,2.55,343.6,291.13,1769.29,-11.1,-0.10000000000013601
May 2016,94.28,2.11,1.85,50.74,7.86,53.06,0.8,0.21,1.75,0,-1.73,0,90.42,0.16,11.13,15.05,116.75,291.67,1761.98,0.54000000000002,-7.30999999999995
Jun 2016,566.01,12.9,4.25,47.04,15.87,41.93,0.81,0.21,10.5,0,-4.29,0,542.61,0.47,14.35,18.39,575.81,235.92,1746.36,-55.75,-15.6200000000001
Jul 2016,706.34,16.23,3.73,40.27,15.97,32.89,0.81,0.21,13.11,0,-3.84,0,677.0,0.46,13.56,19.01,710.04,196.1,1733.59,-39.82,-12.77
Aug 2016,1342.74,31.16,5.16,40.48,12.21,10.52,0.7,0.21,24.92,0,-6.78,0,1286.66,0.93,9.1,15.75,1312.45,166.23,1723.24,-29.87,-10.3499999999999
Sep 2016,1475.01,34.5,5.99,30.65,20.66,3.74,0.61,0.21,27.37,0,-8.18,0,1413.14,1.1,6.38,11.63,1432.25,159.29,1725.15,-6.94,1.91000000000008
Oct 2016,1054.0,24.96,4.1,22.36,12.5,0.76,0.54,0.21,19.56,0,-5.85,0,1009.49,0.8,3.25,2.59,1016.13,170.23,1732.31,10.94,7.15999999999985
