date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,252.9,5.72,2.73,3.56,8.74,0.48,0.43,0.21,4.69,0,-3.72,0,242.49,0.36,2.65,0.0,245.5,297.36,1769.96,0.0,0.0
Feb 2016,284.53,6.52,2.69,10.68,8.66,6.84,0.43,0.21,5.28,0,-3.66,0,272.73,0.36,3.09,0.0,276.19,303.18,1770.72,5.8199999999999905,0.7599999999999909
Mar 2016,174.38,3.93,2.28,15.07,6.81,12.93,0.43,0.21,3.24,0,-3.04,0,167.21,0.3,5.21,0.0,172.72,302.13,1772.12,-1.05000000000001,1.3999999999998602
Apr 2016,347.45,8.08,8.84,16.31,11.28,0.97,0.52,0.21,6.45,0,-10.8,0,332.92,1.1,6.83,2.55,343.4,291.02,1772.1,-11.11,-0.0199999999999818
May 2016,94.28,2.11,1.71,46.02,7.07,47.81,0.68,0.21,1.75,0,-1.61,0,90.42,0.15,10.78,15.05,116.39,294.81,1764.89,3.7900000000000205,-7.209999999999809
Jun 2016,566.01,12.9,4.12,41.63,12.72,33.37,0.69,0.21,10.5,0,-4.46,0,542.61,0.5,13.04,18.39,574.54,243.76,1749.52,-51.05,-15.3700000000001
Jul 2016,706.34,16.23,3.58,34.52,13.28,24.58,0.69,0.21,13.11,0,-3.89,0,677.0,0.48,12.61,19.01,709.11,210.55,1736.7,-33.21,-12.819999999999899
Aug 2016,1342.74,31.16,5.04,36.44,10.56,4.89,0.6,0.21,24.92,0,-6.86,0,1286.66,0.95,8.48,15.75,1311.84,187.12,1726.42,-23.43,-10.28
Sep 2016,1475.01,34.5,6.55,28.2,23.63,3.0,0.53,0.21,27.37,0,-8.96,0,1413.14,1.19,6.13,11.63,1432.08,184.7,1728.34,-2.42000000000002,1.91999999999985
Oct 2016,1054.0,24.96,4.07,20.18,14.5,0.62,0.47,0.21,19.56,0,-5.82,0,1009.49,0.8,3.43,2.59,1016.31,199.5,1734.81,14.8,6.47000000000003
Nov 2016,491.44,11.23,4.77,5.58,16.53,0.27,0.43,0.21,9.12,0,-6.48,0,471.09,0.64,2.16,0.0,473.9,210.21,1745.69,10.71,10.8800000000001
Dec 2016,356.93,8.14,3.45,4.35,11.76,0.27,0.43,0.21,6.62,0,-4.71,0,342.17,0.47,2.18,0.0,344.81,224.52,1748.12,14.31,2.42999999999984
Jan 2017,447.04,10.24,3.05,5.88,11.59,0.27,0.43,0.21,8.3,0,-4.36,0,428.5,0.46,1.91,0.0,430.86,234.05,1749.82,9.53,1.7000000000000501
