date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,304.41,1.74,0.92,1.59,1.09,0.51,2.47,0.9,1.09,0,0.47,0,301.58,0.03,4.42,0.0,306.03,194.18,-17712.29,0.0,0.0
Feb 2016,695.28,3.98,1.93,4.91,0.99,0.51,2.47,0.9,2.5,0,0.45,0,688.81,0.06,4.18,0.0,693.05,191.9,-17712.3,-2.28,-0.009999999998399291
Mar 2016,495.51,2.8,0.85,2.8,1.14,0.69,3.99,1.3,1.78,0,0.35,0,490.93,0.05,6.17,0.03,497.18,189.77,-17710.92,-2.13,1.3800000000010202
Apr 2016,152.48,0.71,9.75,6.46,9.11,6.52,83.18,22.04,0.55,0,1.29,0,151.22,0.13,65.99,1.17,218.51,186.76,-17711.52,-3.01000000000002,-0.600000000002183
May 2016,2720.45,15.13,8.11,15.36,10.61,3.68,29.54,8.02,9.76,0,0.68,0,2695.55,0.26,26.39,4.65,2726.85,184.48,-17771.99,-2.28,-60.4700000000012
Jun 2016,422.43,2.15,17.25,9.45,17.35,9.6,118.09,31.43,1.52,0,1.97,0,418.76,0.23,92.99,5.9,517.88,186.55,-17787.71,2.07000000000002,-15.7199999999975
Jul 2016,1873.91,10.82,10.56,13.63,15.82,9.27,95.42,25.51,6.73,0,0.93,0,1856.37,0.26,77.41,6.08,1940.13,187.98,-17876.79,1.42999999999998,-89.0800000000017
Aug 2016,1338.51,7.82,11.07,10.01,16.22,8.72,85.89,22.96,4.8,0,1.17,0,1325.89,0.21,69.6,5.0,1400.71,187.02,-17945.12,-0.95999999999998,-68.32999999999811
Sep 2016,1096.8,6.26,10.45,10.89,12.19,7.77,70.18,18.78,3.94,0,1.23,0,1086.6,0.18,57.59,4.24,1148.62,187.85,-18007.08,0.8299999999999841,-61.96000000000279
Oct 2016,1672.3,9.79,5.05,12.35,3.0,1.32,6.66,1.94,6.0,0,0.67,0,1656.51,0.14,7.77,0.91,1665.34,186.07,-18057.56,-1.78,-50.4799999999996
