date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,619.87,1.9,0,2.21,0.03,0.12,1.52,0.05,0.92,0,-0.22,0,617.05,0.0,1.39,0.0,618.44,0,-711.41,0,0.0
Feb 2016,454.92,1.38,0,1.7,0.03,0.12,1.52,0.05,0.67,0,-0.23,0,452.86,0.0,1.39,0.0,454.25,0,-712.2,0,-0.7900000000000771
Mar 2016,163.02,0.41,0,0.72,0.03,0.12,1.53,0.05,0.24,0,-0.23,0,162.37,0.0,1.39,0.0,163.76,0,-713.23,0,-1.0299999999999698
Apr 2016,140.77,0.37,0,0.69,0.03,0.12,1.53,0.05,0.21,0,-0.23,0,140.19,0.0,1.39,0.0,141.58,0,-714.7,0,-1.4700000000000302
May 2016,475.16,1.35,0,1.66,0.05,0.14,1.55,0.05,0.7,0,-0.23,0,473.11,0.0,1.42,0.2,474.73,0,-716.2,0,-1.5
Jun 2016,189.76,0.4,0,0.72,0.15,0.24,1.73,0.07,0.28,0,-0.24,0,189.08,0.0,1.57,0.89,191.55,0,-717.44,0,-1.24000000000001
Jul 2016,895.21,2.68,0,2.99,0.13,0.21,1.69,0.07,1.32,0,-0.24,0,891.2,0.01,1.54,0.93,893.69,0,-719.95,0,-2.50999999999999
Aug 2016,237.3,0.54,0,0.86,0.15,0.24,1.73,0.07,0.35,0,-0.23,0,236.4,0.0,1.57,0.8,238.78,0,-721.42,0,-1.46999999999991
Sep 2016,390.1,1.03,0,1.33,0.12,0.21,1.68,0.07,0.58,0,-0.22,0,388.49,0.0,1.53,0.64,390.67,0,-723.76,0,-2.3400000000000296
Oct 2016,1041.87,3.18,0,3.48,0.03,0.12,1.53,0.05,1.54,0,-0.22,0,1037.15,0.01,1.4,0.02,1038.57,0,-725.66,0,-1.89999999999998
Nov 2016,75.24,0.09,0,0.41,0.03,0.12,1.53,0.05,0.11,0,-0.23,0,75.04,0.0,1.4,0.0,76.44,0,-725.85,0,-0.19000000000005499
Dec 2016,494.13,1.45,0,1.76,0.03,0.12,1.53,0.05,0.73,0,-0.23,0,491.95,0.0,1.4,0.0,493.35,0,-727.45,0,-1.60000000000002
Jan 2017,455.43,1.4,0,1.72,0.03,0.12,1.53,0.05,0.67,0,-0.23,0,453.36,0.0,1.4,0.0,454.76,0,-728.44,0,-0.9900000000000091
Feb 2017,241.14,0.63,0,0.96,0.03,0.12,1.53,0.05,0.36,0,-0.24,0,240.16,0.0,1.4,0.0,241.55,0,-729.48,0,-1.0399999999999598
Mar 2017,366.44,1.13,0,1.46,0.03,0.12,1.53,0.05,0.54,0,-0.24,0,364.77,0.0,1.4,0.0,366.17,0,-730.85,0,-1.37
Apr 2017,193.37,0.52,0,0.85,0.03,0.12,1.53,0.05,0.29,0,-0.24,0,192.56,0.0,1.4,0.0,193.97,0,-732.04,0,-1.18999999999994
May 2017,96.55,0.11,0,0.44,0.09,0.17,1.62,0.06,0.14,0,-0.24,0,96.29,0.0,1.48,0.42,98.19,0,-733.48,0,-1.4400000000000501
Jun 2017,16.55,0.0,0,0.22,0.06,0.2,1.78,0.06,0.02,0,-0.07,0,16.52,0.0,1.57,1.0,19.1,0,-735.57,0,-2.09000000000003
Jul 2017,574.92,1.59,0,1.92,0.15,0.24,1.74,0.07,0.85,0,-0.24,0,572.47,0.01,1.58,0.98,575.04,0,-738.33,0,-2.7599999999999905
Aug 2017,842.77,2.42,0,2.74,0.12,0.21,1.69,0.07,1.25,0,-0.24,0,839.1,0.01,1.53,0.84,841.48,0,-740.37,0,-2.03999999999996
Sep 2017,750.34,2.24,0,2.57,0.1,0.19,1.66,0.06,1.11,0,-0.25,0,747.0,0.01,1.51,0.66,749.17,0,-741.83,0,-1.46000000000004
Oct 2017,691.1,2.01,0,2.34,0.04,0.12,1.54,0.05,1.02,0,-0.25,0,688.07,0.0,1.4,0.02,689.49,0,-743.22,0,-1.38999999999999
Nov 2017,233.77,0.56,0,0.9,0.03,0.12,1.54,0.05,0.35,0,-0.26,0,232.86,0.0,1.4,0.0,234.27,0,-743.97,0,-0.75
Dec 2017,495.14,1.45,0,1.8,0.03,0.12,1.54,0.05,0.73,0,-0.26,0,492.95,0.0,1.4,0.0,494.36,0,-745.37,0,-1.39999999999998
Jan 2018,149.38,0.3,0,0.65,0.03,0.12,1.54,0.05,0.22,0,-0.26,0,148.86,0.0,1.4,0.0,150.27,0,-746.39,0,-1.01999999999998
Feb 2018,172.78,0.37,0,0.72,0.03,0.12,1.54,0.05,0.26,0,-0.26,0,172.16,0.0,1.41,0.0,173.57,0,-747.93,0,-1.53999999999996
Mar 2018,310.68,0.88,0,1.23,0.03,0.12,1.54,0.05,0.46,0,-0.26,0,309.35,0.0,1.41,0.0,310.76,0,-749.43,0,-1.5
Apr 2018,174.43,0.48,0,0.84,0.03,0.12,1.54,0.05,0.26,0,-0.27,0,173.69,0.0,1.41,0.0,175.1,0,-750.73,0,-1.30000000000007
May 2018,31.34,0.0,0,0.24,0.09,0.19,1.68,0.06,0.05,0,-0.13,0,31.29,0.0,1.52,0.6,33.41,0,-752.23,0,-1.5
Jun 2018,118.59,0.18,0,0.54,0.15,0.25,1.78,0.08,0.18,0,-0.27,0,118.24,0.0,1.61,1.02,120.86,0,-754.54,0,-2.3099999999999503
Jul 2018,325.06,0.82,0,1.18,0.16,0.25,1.76,0.08,0.48,0,-0.27,0,323.75,0.0,1.6,0.94,326.3,0,-757.35,0,-2.81000000000006
