date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,24.6,0.0,0,0.22,0.04,0.15,1.73,0.05,0.04,0,-0.11,0,24.56,0.0,1.57,0.0,26.14,0,-719.32,0,0.0
Feb 2016,348.02,1.02,0,1.35,0.04,0.15,1.73,0.05,0.51,0,-0.22,0,346.49,0.0,1.57,0.0,348.07,0,-721.08,0,-1.7599999999999898
Mar 2016,157.82,0.45,0,0.78,0.04,0.15,1.73,0.05,0.23,0,-0.22,0,157.14,0.0,1.57,0.0,158.71,0,-722.47,0,-1.38999999999999
Apr 2016,174.25,0.53,0,0.86,0.04,0.15,1.73,0.05,0.26,0,-0.22,0,173.46,0.0,1.58,0.0,175.04,0,-724.15,0,-1.67999999999995
May 2016,18.76,0.0,0,0.25,0.07,0.21,1.88,0.06,0.03,0,-0.11,0,18.73,0.0,1.69,0.57,20.98,0,-725.8,0,-1.64999999999998
Jun 2016,239.64,0.57,0,0.9,0.19,0.3,2.01,0.08,0.35,0,-0.22,0,238.72,0.0,1.82,1.01,241.56,0,-728.28,0,-2.48000000000002
Jul 2016,861.73,2.48,0,2.8,0.15,0.26,1.94,0.07,1.27,0,-0.22,0,857.97,0.01,1.76,0.93,860.67,0,-731.09,0,-2.81000000000006
Aug 2016,898.82,2.59,0,2.9,0.13,0.24,1.91,0.07,1.33,0,-0.22,0,894.9,0.01,1.73,0.79,897.43,0,-732.84,0,-1.75
Sep 2016,1610.2,4.89,0,5.2,0.07,0.18,1.8,0.05,2.38,0,-0.21,0,1602.93,0.01,1.63,0.61,1605.19,0,-734.36,0,-1.51999999999998
Oct 2016,289.84,0.9,0,1.23,0.04,0.15,1.74,0.05,0.43,0,-0.22,0,288.52,0.0,1.58,0.02,290.12,0,-734.55,0,-0.189999999999941
Nov 2016,70.39,0.06,0,0.4,0.04,0.15,1.74,0.05,0.1,0,-0.23,0,70.23,0.0,1.58,0.0,71.81,0,-736.06,0,-1.5099999999999898
Dec 2016,241.08,0.68,0,1.02,0.04,0.15,1.74,0.05,0.36,0,-0.23,0,240.04,0.0,1.58,0.0,241.62,0,-737.87,0,-1.8100000000000602
Jan 2017,374.75,1.05,0,1.39,0.04,0.15,1.74,0.05,0.55,0,-0.23,0,373.15,0.0,1.59,0.0,374.73,0,-739.44,0,-1.57000000000005
Feb 2017,180.87,0.41,0,0.75,0.04,0.15,1.74,0.05,0.27,0,-0.23,0,180.19,0.0,1.59,0.0,181.78,0,-740.81,0,-1.36999999999989
Mar 2017,324.41,0.98,0,1.32,0.04,0.15,1.75,0.05,0.48,0,-0.23,0,322.96,0.0,1.59,0.0,324.55,0,-742.47,0,-1.66000000000008
Apr 2017,32.18,0.01,0,0.3,0.04,0.15,1.75,0.05,0.05,0,-0.18,0,32.12,0.0,1.59,0.01,33.72,0,-743.93,0,-1.4599999999999198
May 2017,31.49,0.0,0,0.26,0.09,0.25,2.01,0.07,0.05,0,-0.1,0,31.44,0.0,1.78,0.86,34.08,0,-745.77,0,-1.84000000000003
Jun 2017,79.67,0.06,0,0.45,0.12,0.27,2.04,0.07,0.12,0,-0.23,0,79.49,0.0,1.81,0.98,82.29,0,-748.61,0,-2.8400000000000296
Jul 2017,852.09,2.55,0,2.88,0.16,0.27,1.97,0.07,1.26,0,-0.23,0,848.28,0.01,1.78,0.94,851.01,0,-751.68,0,-3.06999999999994
Aug 2017,1069.92,3.28,0,3.62,0.13,0.24,1.91,0.07,1.58,0,-0.24,0,1065.06,0.01,1.73,0.79,1067.59,0,-753.48,0,-1.80000000000007
Sep 2017,36.22,0.01,0,0.32,0.08,0.24,1.99,0.07,0.05,0,-0.15,0,36.16,0.0,1.77,0.67,38.61,0,-754.76,0,-1.2799999999999698
Oct 2017,825.29,2.4,0,2.75,0.04,0.15,1.75,0.05,1.22,0,-0.24,0,821.67,0.0,1.6,0.02,823.3,0,-757.46,0,-2.70000000000005
Nov 2017,82.5,0.09,0,0.45,0.04,0.15,1.76,0.05,0.12,0,-0.25,0,82.29,0.0,1.6,0.0,83.88,0,-758.22,0,-0.7599999999999909
Dec 2017,266.09,0.62,0,0.98,0.04,0.15,1.76,0.05,0.39,0,-0.25,0,265.07,0.0,1.6,0.0,266.67,0,-760.05,0,-1.82999999999993
Jan 2018,635.81,1.92,0,2.29,0.04,0.15,1.76,0.05,0.94,0,-0.25,0,632.94,0.0,1.6,0.0,634.54,0,-761.62,0,-1.57000000000005
Feb 2018,820.33,2.74,0,3.11,0.04,0.15,1.76,0.05,1.21,0,-0.26,0,816.37,0.0,1.6,0.0,817.98,0,-762.64,0,-1.01999999999998
Mar 2018,623.48,2.1,0,2.47,0.04,0.15,1.76,0.05,0.92,0,-0.26,0,620.46,0.0,1.6,0.0,622.06,0,-763.39,0,-0.75
Apr 2018,499.81,1.69,0,2.07,0.04,0.15,1.76,0.05,0.74,0,-0.27,0,497.38,0.01,1.6,0.0,498.98,0,-764.45,0,-1.06000000000006
May 2018,630.89,1.74,0,2.12,0.11,0.23,1.9,0.06,0.93,0,-0.27,0,628.21,0.01,1.72,0.72,630.67,0,-765.69,0,-1.24000000000001
