date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,176.8,1.8,0.0,5.47,0.59,3.35,0.09,0.02,15.18,0,-13.65,0,159.83,12.74,0.79,0.0,173.36,268.76,1008.29,0.0,0.0
Feb 2016,113.25,4.28,0.0,5.89,0.76,3.26,0.09,0.02,9.72,0,-13.34,0,99.24,14.22,1.0,0.0,114.46,265.28,1009.74,-3.4800000000000204,1.4500000000000501
Mar 2016,395.25,22.07,1.73,12.33,4.47,0.41,0.09,0.02,33.93,0,-12.46,0,339.26,19.86,1.31,0.0,360.44,261.86,1006.05,-3.41999999999996,-3.69000000000005
Apr 2016,59.05,52.86,8.63,24.49,20.16,0.03,0.09,0.02,5.07,0,-11.84,0,1.13,28.7,2.53,0.0,32.35,264.68,1027.44,2.8199999999999905,21.390000000000104
May 2016,79.55,160.67,18.74,72.26,86.0,0.26,0.1,0.02,6.83,0,-12.32,0,-87.94,33.73,3.41,1.05,-49.76,282.36,1020.6,17.68,-6.84000000000003
Jun 2016,30.64,37.9,13.74,18.85,34.0,2.8,0.15,0.02,2.63,0,-14.77,0,-9.9,16.36,6.86,11.49,24.81,364.77,1013.98,82.41,-6.62
Jul 2016,457.4,6.94,1.37,10.74,5.47,14.14,0.13,0.02,39.26,0,-12.15,0,411.2,18.39,6.01,11.58,447.18,389.25,990.22,24.48,-23.76
Aug 2016,648.42,5.31,0.0,8.45,2.67,11.02,0.11,0.02,55.66,0,-12.09,0,587.45,17.3,4.57,9.52,618.84,374.68,1005.64,-14.57,15.42
Sep 2016,382.51,4.61,0.18,10.43,2.63,9.45,0.11,0.02,32.83,0,-12.71,0,345.06,13.89,3.69,6.88,369.53,361.85,1039.6,-12.83,33.9599999999999
Oct 2016,176.86,5.65,0.42,10.92,0.01,21.29,0.09,0.02,15.18,0,-10.09,0,156.03,26.52,2.09,0.0,184.64,351.43,1052.74,-10.42,13.1400000000001
Nov 2016,624.5,4.66,1.31,8.42,0.01,11.4,0.09,0.02,53.6,0,-11.39,0,566.23,20.34,0.94,0.0,587.51,328.13,1057.76,-23.3,5.01999999999998
Dec 2016,97.16,4.31,0.59,6.07,0.01,13.32,0.09,0.02,8.34,0,-10.7,0,84.51,22.84,0.6,0.0,107.95,315.88,1099.89,-12.25,42.1300000000001
Jan 2017,575.88,4.94,0.24,7.38,0.92,2.64,0.09,0.02,49.43,0,-12.77,0,521.51,12.28,0.61,0.0,534.41,302.05,1097.46,-13.83,-2.43000000000006
Feb 2017,303.57,9.17,0.36,7.63,1.31,2.5,0.09,0.02,26.06,0,-12.15,0,268.34,15.23,0.8,0.0,284.38,299.79,1134.05,-2.25999999999999,36.5899999999999
Mar 2017,519.16,33.43,2.32,15.58,6.75,0.03,0.09,0.02,44.56,0,-10.64,0,441.16,24.08,1.53,0.0,466.78,297.87,1147.88,-1.92000000000002,13.8300000000002
Apr 2017,242.04,98.63,27.37,41.35,44.03,0.03,0.09,0.02,20.78,0,-9.47,0,122.63,50.13,2.55,0.0,175.3,303.14,1181.73,5.26999999999998,33.8499999999999
May 2017,241.88,219.54,56.52,83.02,159.0,0.21,0.1,0.02,20.76,0,-14.5,0,1.58,48.76,3.91,1.23,55.47,344.67,1192.95,41.53,11.22
Jun 2017,70.95,58.64,56.52,33.48,79.66,32.73,0.14,0.02,6.09,0,-14.0,0,6.22,48.76,7.47,10.68,73.13,499.63,1197.91,154.96,4.96000000000004
Jul 2017,445.18,7.79,18.03,11.98,18.53,11.75,0.13,0.02,38.21,0,-13.06,0,399.18,20.11,6.89,11.19,437.37,539.21,1179.19,39.58,-18.72
Aug 2017,632.16,6.43,5.3,10.23,5.09,22.59,0.11,0.02,54.26,0,-9.13,0,571.47,28.13,5.74,9.81,615.15,539.22,1193.05,0.009999999999990909,13.8599999999999
Sep 2017,284.65,4.3,4.28,7.42,3.46,18.53,0.12,0.02,24.43,0,-9.4,0,255.93,25.63,4.48,6.55,292.58,516.06,1228.28,-23.1600000000001,35.23
Oct 2017,461.53,4.18,6.25,9.65,3.76,16.15,0.09,0.02,39.62,0,-10.18,0,417.74,23.35,2.05,0.0,443.14,496.61,1236.66,-19.449999999999896,8.380000000000111
Nov 2017,337.8,2.92,3.33,7.65,0.52,10.03,0.09,0.02,29.0,0,-10.59,0,305.89,18.7,0.99,0.0,325.58,482.24,1266.03,-14.37,29.3699999999999
Dec 2017,86.41,2.18,1.37,5.82,0.01,12.71,0.09,0.02,7.42,0,-9.89,0,76.81,20.32,0.61,0.0,97.75,471.81,1284.36,-10.43,18.3299999999999
Jan 2018,255.72,2.06,1.01,6.0,3.27,2.08,0.09,0.02,21.95,0,-12.27,0,231.7,8.15,0.83,0.0,240.69,458.57,1281.81,-13.24,-2.54999999999995
Feb 2018,169.4,3.64,1.01,6.19,4.83,2.14,0.09,0.02,14.54,0,-12.27,0,151.22,8.03,0.8,0.0,160.05,459.0,1291.42,0.430000000000007,9.61000000000013
Mar 2018,516.08,16.94,3.51,12.31,3.73,0.03,0.09,0.02,44.3,0,-11.1,0,454.84,15.55,1.68,0.0,472.06,460.97,1293.62,1.9700000000000302,2.19999999999982
Apr 2018,183.6,36.83,19.28,23.51,29.41,0.03,0.09,0.02,15.76,0,-13.42,0,131.02,16.63,3.24,0.0,150.89,463.06,1326.74,2.08999999999998,33.1200000000001
May 2018,139.98,106.78,47.36,57.18,69.48,0.45,0.1,0.02,12.02,0,-12.93,0,21.19,40.85,5.1,2.13,69.28,489.27,1329.01,26.21,2.26999999999998
Jun 2018,107.79,48.43,33.97,22.99,44.76,2.45,0.14,0.02,9.25,0,-12.2,0,50.11,29.31,7.65,10.67,97.74,553.29,1325.87,64.02,-3.1400000000001
Jul 2018,469.45,4.53,5.53,8.94,10.08,1.8,0.13,0.02,40.29,0,-11.93,0,424.63,4.77,7.21,11.52,448.13,588.07,1312.13,34.7800000000001,-13.7399999999998
Aug 2018,204.96,2.02,2.2,6.01,12.46,8.88,0.14,0.02,17.59,0,-11.08,0,185.35,5.71,6.7,10.01,207.77,589.24,1328.86,1.16999999999996,16.7299999999998
Sep 2018,285.64,1.4,0.0,6.12,12.61,19.45,0.12,0.02,24.52,0,-9.47,0,259.73,11.59,4.79,6.85,282.95,586.25,1325.25,-2.9900000000000095,-3.6099999999999
Oct 2018,292.53,1.83,0.0,7.3,0.01,18.68,0.09,0.02,25.11,0,-7.54,0,265.59,20.73,2.79,0.0,289.11,574.72,1333.36,-11.53,8.1099999999999
Nov 2018,268.33,2.43,0.0,6.67,0.01,12.84,0.09,0.02,23.03,0,-8.29,0,242.87,16.88,1.28,0.0,261.03,553.33,1350.85,-21.39,17.49
Dec 2018,157.06,2.58,0.0,6.01,0.01,13.5,0.09,0.02,13.48,0,-8.02,0,141.0,18.08,1.34,0.0,160.42,539.3,1365.52,-14.0300000000001,14.6700000000001
Jan 2019,228.3,3.25,0.06,6.03,4.49,2.97,0.09,0.02,19.6,0,-10.44,0,205.45,6.2,0.91,0.0,212.56,524.54,1370.91,-14.76,5.3900000000001
Feb 2019,485.77,4.1,0.24,6.99,4.86,2.18,0.09,0.02,41.7,0,-10.61,0,439.98,5.28,1.7,0.0,446.95,525.22,1379.99,0.6800000000000639,9.079999999999929
Mar 2019,181.81,13.89,10.0,9.85,9.25,0.03,0.09,0.02,15.61,0,-10.29,0,152.31,15.11,2.56,0.0,169.98,526.28,1411.01,1.0599999999999499,31.02
Apr 2019,254.41,48.18,20.47,30.69,31.84,0.03,0.09,0.02,21.84,0,-11.5,0,184.39,17.66,3.56,0.0,205.61,533.02,1416.25,6.740000000000009,5.240000000000009
May 2019,105.27,118.93,37.84,64.72,70.69,0.14,0.1,0.02,9.04,0,-11.14,0,-22.7,32.64,4.7,0.55,15.19,561.34,1426.5,28.3200000000001,10.25
Jun 2019,42.86,54.68,33.5,19.15,53.24,2.73,0.15,0.02,3.68,0,-10.38,0,-15.5,28.9,8.55,11.28,33.23,627.27,1423.77,65.93,-2.7300000000000204
Jul 2019,387.17,5.74,5.3,8.05,10.8,2.02,0.13,0.02,33.23,0,-10.36,0,348.19,4.57,7.81,11.63,372.19,669.35,1405.67,42.08,-18.0999999999999
Aug 2019,828.76,3.06,1.96,9.21,14.0,14.96,0.11,0.02,71.14,0,-9.41,0,754.56,6.18,5.75,9.36,775.85,670.44,1416.8,1.09000000000003,11.1299999999999
Sep 2019,420.88,2.1,1.78,7.19,1.11,18.79,0.11,0.02,36.13,0,-6.37,0,382.65,20.75,4.4,5.36,413.16,663.81,1469.08,-6.630000000000111,52.28
Oct 2019,502.92,2.52,6.78,8.74,4.52,16.12,0.09,0.02,43.17,0,-7.45,0,457.24,19.61,2.32,0.0,479.17,641.82,1493.39,-21.9899999999999,24.3100000000002
Nov 2019,222.76,2.29,5.89,6.88,2.88,9.78,0.09,0.02,19.12,0,-7.96,0,201.35,16.16,1.54,0.0,219.05,627.97,1529.03,-13.85,35.6399999999999
Dec 2019,188.03,1.89,2.44,6.17,0.01,11.24,0.09,0.02,16.14,0,-7.23,0,170.0,16.62,1.02,0.0,187.64,619.6,1540.11,-8.37,11.0799999999999
Jan 2020,103.97,1.66,1.61,5.53,2.61,1.78,0.09,0.02,8.92,0,-9.21,0,93.39,6.13,0.85,0.0,100.36,607.43,1548.95,-12.1700000000001,8.84000000000015
