date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,29.78,2.17,0.0,5.0,0.7,3.4,0.09,0.02,2.56,0,-13.52,0,25.05,13.38,0.94,0.0,39.37,268.76,1008.24,0.0,0.0
Feb 2016,310.58,2.4,0.0,6.04,0.72,3.2,0.09,0.02,26.66,0,-13.68,0,281.52,12.52,0.95,0.0,294.99,265.2,997.2,-3.56,-11.04
Mar 2016,137.22,3.95,0.83,6.49,5.4,2.43,0.09,0.02,11.78,0,-14.39,0,121.49,9.7,1.56,0.0,132.76,261.85,1010.11,-3.3499999999999703,12.91
Apr 2016,285.89,22.38,8.98,14.92,19.53,0.03,0.09,0.02,24.54,0,-15.3,0,238.97,12.24,2.45,0.0,253.66,263.33,1007.42,1.47999999999996,-2.69000000000005
May 2016,80.1,24.18,7.2,45.98,18.57,23.38,0.11,0.02,6.88,0,-15.99,0,49.04,6.21,4.1,3.02,62.37,280.46,1016.59,17.13,9.170000000000071
Jun 2016,176.7,9.31,0.65,24.26,9.68,20.38,0.15,0.02,15.17,0,-13.85,0,152.22,10.26,6.12,11.64,180.25,271.64,1004.37,-8.81999999999999,-12.22
Jul 2016,540.9,1.64,0.0,7.1,6.06,5.3,0.13,0.02,46.43,0,-14.17,0,492.83,7.94,4.8,11.31,516.88,254.94,993.92,-16.7,-10.45
Aug 2016,563.62,0.91,0.0,6.73,4.97,4.84,0.12,0.02,48.38,0,-14.11,0,514.34,8.15,3.84,9.3,535.63,251.03,1014.75,-3.91,20.83
Sep 2016,511.54,0.62,0.0,6.32,3.22,4.14,0.11,0.02,43.91,0,-13.84,0,467.01,9.07,2.72,6.06,484.86,247.42,1039.62,-3.6100000000000096,24.8699999999999
Oct 2016,135.1,0.58,0.0,5.08,1.31,3.5,0.09,0.02,11.6,0,-13.38,0,122.92,11.07,1.69,0.0,135.68,243.87,1063.54,-3.54999999999998,23.9200000000001
Nov 2016,134.13,1.16,0.0,5.44,0.24,5.15,0.09,0.02,11.51,0,-12.79,0,121.46,13.42,0.94,0.0,135.82,240.06,1061.68,-3.81,-1.8599999999999
Dec 2016,153.94,1.22,0.12,5.35,0.24,11.27,0.09,0.02,13.21,0,-11.67,0,139.51,18.7,0.47,0.0,158.68,234.28,1060.34,-5.78,-1.34000000000015
Jan 2017,337.71,0.66,0.0,5.67,0.42,3.51,0.09,0.02,28.99,0,-13.15,0,308.06,11.23,0.48,0.0,319.76,222.85,1061.8,-11.43,1.46000000000004
Feb 2017,120.44,0.86,0.12,1.76,0.52,2.5,0.09,0.02,10.34,0,-12.61,0,109.24,13.82,0.61,0.0,123.67,219.35,1077.57,-3.5,15.77
Mar 2017,155.28,3.42,2.26,5.42,3.39,0.03,0.09,0.02,13.33,0,-13.62,0,138.53,10.52,1.46,0.0,150.51,216.84,1075.22,-2.50999999999999,-2.3499999999999104
Apr 2017,66.74,16.26,7.85,17.47,9.19,0.03,0.09,0.02,5.73,0,-14.15,0,44.75,11.63,2.13,0.0,58.51,218.81,1074.86,1.97,-0.36000000000012705
May 2017,37.8,6.89,13.68,24.23,3.11,14.43,0.12,0.02,3.24,0,-12.97,0,27.66,20.63,4.06,4.92,57.28,225.92,1066.37,7.1099999999999905,-8.490000000000009
Jun 2017,137.29,8.47,6.13,10.47,12.84,3.11,0.15,0.02,11.78,0,-13.55,0,117.03,7.95,5.33,11.42,141.74,210.64,1051.62,-15.28,-14.75
