date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,277.18,5.36,1.55,8.49,3.6,3.31,0.11,0.02,23.79,0,-14.04,0,248.03,12.16,0.7,0.0,260.89,272.4,1007.08,0.0,0.0
Feb 2016,186.66,4.6,1.61,8.05,7.33,3.37,0.11,0.02,16.02,0,-14.71,0,166.04,8.91,0.99,0.0,175.94,272.09,1016.73,-0.310000000000002,9.64999999999998
Mar 2016,197.96,18.55,6.13,12.41,20.88,0.04,0.11,0.02,16.99,0,-15.86,0,162.41,7.29,1.55,0.0,171.25,275.16,1017.95,3.07000000000005,1.2200000000000302
Apr 2016,85.51,123.31,18.92,49.89,55.74,0.04,0.11,0.02,7.34,0,-10.07,0,-45.14,46.71,2.78,0.0,4.34,294.55,1018.98,19.39,1.0299999999999698
May 2016,15.05,170.01,23.62,78.01,106.4,1.16,0.14,0.02,1.29,0,-14.99,0,-156.26,25.38,4.9,3.63,-122.34,347.56,1016.16,53.01,-2.82000000000005
Jun 2016,128.7,56.47,11.13,45.07,25.68,38.1,0.18,0.02,11.05,0,-8.83,0,61.18,43.78,7.91,11.59,124.46,448.02,998.7,100.46,-17.4599999999999
Jul 2016,227.16,10.21,1.07,37.76,5.1,42.93,0.18,0.02,19.5,0,-11.32,0,197.46,22.67,7.49,12.34,239.96,427.84,989.17,-20.18,-9.53000000000009
Aug 2016,412.26,7.4,0.0,9.93,3.45,28.08,0.16,0.02,35.39,0,-9.3,0,369.47,31.4,5.5,10.2,416.58,382.68,984.84,-45.16,-4.32999999999993
Sep 2016,390.91,5.41,0.0,9.29,1.99,23.29,0.14,0.02,33.55,0,-10.01,0,351.94,27.43,3.67,6.62,389.67,352.69,1000.59,-29.99,15.75
Oct 2016,360.22,4.64,0.0,4.38,0.35,15.89,0.11,0.02,30.92,0,-10.22,0,324.67,26.02,1.95,0.0,352.63,327.83,1017.4,-24.86,16.8099999999999
Nov 2016,399.54,3.13,0.36,3.61,0.82,9.97,0.11,0.02,34.29,0,-11.33,0,362.11,20.35,0.87,0.0,383.33,310.44,1038.0,-17.39,20.6
Dec 2016,348.86,2.36,0.0,2.73,0.41,10.64,0.11,0.02,29.94,0,-11.09,0,316.56,20.94,0.64,0.0,338.14,300.52,1060.87,-9.92000000000002,22.8699999999999
Jan 2017,436.91,3.32,0.0,8.46,0.44,4.94,0.11,0.02,37.5,0,-12.84,0,396.08,12.21,0.6,0.0,408.89,289.74,1079.63,-10.78,18.7600000000002
Feb 2017,205.86,8.91,0.0,8.91,8.63,4.77,0.11,0.02,17.67,0,-13.36,0,179.29,9.5,0.95,0.0,189.75,284.74,1104.2,-5.0,24.5699999999999
Mar 2017,641.24,21.91,4.46,15.31,2.23,0.04,0.11,0.02,55.04,0,-11.83,0,564.3,20.69,1.67,0.0,586.66,287.74,1108.41,3.0,4.21000000000004
Apr 2017,729.5,84.9,26.48,42.49,37.73,0.04,0.11,0.02,62.62,0,-11.05,0,581.99,42.24,2.47,0.0,626.69,288.35,1151.52,0.610000000000014,43.10999999999989
May 2017,139.1,173.47,56.52,77.06,119.04,0.25,0.12,0.02,11.94,0,-14.62,0,-46.31,48.76,3.67,0.88,7.01,323.67,1202.99,35.32,51.47
Jun 2017,272.94,106.08,56.52,43.06,87.41,2.58,0.17,0.02,23.43,0,-14.04,0,143.43,48.76,7.26,11.12,210.57,438.89,1199.33,115.22,-3.66000000000008
Jul 2017,265.15,12.68,18.8,12.71,19.18,12.74,0.17,0.02,22.76,0,-12.29,0,229.71,24.61,7.59,11.47,273.38,516.6,1197.45,77.71,-1.87999999999988
Aug 2017,400.84,17.98,4.64,13.33,4.3,23.57,0.16,0.02,34.41,0,-7.4,0,348.45,35.97,6.15,9.65,400.21,515.61,1196.3,-0.9900000000000091,-1.15000000000009
Sep 2017,208.18,44.78,1.19,19.4,3.17,21.98,0.15,0.02,17.87,0,-3.99,0,145.53,49.37,4.98,7.23,207.11,490.33,1213.52,-25.28,17.22
Oct 2017,177.45,26.66,1.37,9.33,3.3,15.88,0.12,0.02,15.23,0,-6.38,0,135.56,37.66,2.43,0.0,175.65,466.68,1220.03,-23.65,6.509999999999991
Nov 2017,202.58,6.57,0.3,4.02,1.04,9.89,0.12,0.02,17.39,0,-9.53,0,178.63,21.22,1.21,0.0,201.06,451.76,1228.79,-14.92,8.759999999999991
Dec 2017,67.38,3.86,0.24,2.35,0.61,10.64,0.12,0.02,5.78,0,-9.49,0,57.74,21.28,0.78,0.0,79.8,441.8,1236.54,-9.959999999999981,7.75
Jan 2018,85.29,3.57,0.18,7.59,4.64,4.95,0.12,0.02,7.32,0,-12.04,0,74.4,8.52,0.89,0.0,83.8,431.08,1232.74,-10.72,-3.79999999999995
Feb 2018,118.32,4.66,0.36,8.04,4.62,4.67,0.12,0.02,10.16,0,-11.95,0,103.51,8.97,1.4,0.0,113.87,429.98,1227.92,-1.09999999999997,-4.819999999999941
Mar 2018,250.56,36.71,3.33,17.82,1.98,0.04,0.12,0.02,21.51,0,-8.37,0,192.35,28.65,2.03,0.0,223.02,428.64,1226.03,-1.34000000000003,-1.8900000000001
Apr 2018,214.25,237.5,9.22,78.66,166.97,0.04,0.12,0.02,18.39,0,-12.28,0,-41.64,13.42,3.54,0.0,-24.68,428.65,1239.08,0.009999999999990909,13.05
May 2018,30.53,136.88,16.24,79.16,64.27,1.42,0.14,0.02,2.62,0,-11.15,0,-108.96,22.25,6.96,4.58,-75.17,592.13,1245.09,163.48,6.009999999999991
Jun 2018,317.95,45.94,7.5,39.61,29.59,80.3,0.16,0.02,27.29,0,0.16,0,244.71,64.4,8.89,11.32,329.32,648.15,1231.86,56.02,-13.23
Jul 2018,189.45,10.59,0.06,18.64,5.24,57.89,0.18,0.02,16.26,0,-1.72,0,162.6,46.39,8.65,12.12,229.75,588.69,1247.84,-59.459999999999894,15.98
Aug 2018,662.59,9.84,0.06,12.22,2.28,26.42,0.14,0.02,56.87,0,-5.5,0,595.88,27.32,6.0,10.06,639.26,527.55,1250.1,-61.14000000000011,2.25999999999999
Sep 2018,334.53,8.04,0.0,14.02,2.29,27.09,0.14,0.02,28.71,0,-5.95,0,297.78,24.78,4.58,6.7,333.83,497.52,1291.3,-30.03,41.2
Oct 2018,1.64,7.08,0.0,11.76,0.02,23.63,0.12,0.02,0.14,0,-5.89,0,-5.58,24.82,2.49,0.0,21.73,468.27,1307.24,-29.25,15.9400000000001
Nov 2018,144.03,9.33,0.54,3.86,1.35,9.88,0.12,0.02,12.36,0,-6.68,0,122.34,21.22,1.21,0.0,144.76,442.26,1301.39,-26.01,-5.849999999999911
Dec 2018,152.12,6.8,0.0,3.08,0.68,10.52,0.12,0.02,13.06,0,-6.75,0,132.27,20.31,0.97,0.0,153.54,432.62,1306.98,-9.63999999999999,5.58999999999992
Jan 2019,62.07,14.62,0.0,9.72,8.98,4.57,0.12,0.02,5.33,0,-8.95,0,42.12,9.44,0.94,0.0,52.5,421.9,1313.19,-10.72,6.210000000000041
Feb 2019,35.16,21.69,0.0,11.47,1.77,5.54,0.12,0.02,3.02,0,-6.6,0,10.44,20.6,1.54,0.0,32.58,425.47,1309.47,3.57000000000005,-3.72000000000003
Mar 2019,126.71,39.08,0.0,17.43,1.63,3.06,0.12,0.02,10.88,0,-5.01,0,76.76,28.09,2.08,0.0,106.93,420.25,1305.79,-5.220000000000031,-3.68000000000006
Apr 2019,87.21,63.02,4.94,31.54,15.54,0.04,0.12,0.02,7.49,0,-5.99,0,16.7,26.91,3.44,0.0,47.06,416.84,1311.56,-3.41000000000003,5.769999999999981
May 2019,19.14,143.83,0.12,63.99,54.65,1.68,0.15,0.02,1.64,0,-3.9,0,-126.34,30.89,6.12,5.37,-83.96,428.98,1312.96,12.14,1.40000000000009
Jun 2019,259.1,48.56,0.0,41.1,41.33,24.72,0.17,0.02,22.24,0,-9.16,0,188.3,0.0,8.06,11.85,208.21,475.96,1305.21,46.98,-7.75
Jul 2019,267.14,10.84,0.0,34.47,4.76,40.3,0.17,0.02,22.93,0,-5.43,0,233.36,17.34,7.63,11.88,270.22,484.67,1306.29,8.71000000000004,1.0799999999999301
Aug 2019,404.27,9.84,0.0,10.67,3.47,27.92,0.16,0.02,34.7,0,-3.37,0,359.73,26.98,6.02,10.19,402.93,441.65,1311.76,-43.02,5.47000000000003
