date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,750.24,8.33,29.88,145.25,6.22,109.45,0.67,0.09,17.4,0,-4.43,0,724.51,0.63,5.27,0.0,730.4,1396.75,6351.8,0.0,0.0
Feb 2016,534.01,3.14,30.44,60.76,6.22,29.37,0.67,0.09,12.38,0,-4.45,0,518.48,0.42,5.27,0.0,524.17,1288.82,6364.2,-107.93,12.399999999999599
Mar 2016,208.66,1.17,36.51,34.52,6.22,4.17,0.67,0.09,4.84,0,-1.0,0,202.66,2.11,5.27,0.0,210.03,1260.98,6371.56,-27.8399999999999,7.36000000000058
Apr 2016,211.75,0.55,54.02,14.65,39.95,1.53,0.67,0.09,4.91,0,-1.72,0,206.28,3.21,5.27,0.15,214.91,1258.34,6374.82,-2.6400000000001,3.2599999999993097
May 2016,475.23,0.47,154.91,65.56,92.03,9.48,0.67,0.09,11.02,0,-2.13,0,463.74,9.4,15.78,11.77,500.68,1292.07,6377.29,33.73,2.47000000000025
Jun 2016,173.16,0.13,166.99,66.37,105.08,18.25,0.68,0.09,4.02,0,0.75,0,169.01,13.18,27.08,15.69,224.96,1359.42,6373.83,67.35000000000011,-3.46000000000004
Jul 2016,821.86,10.69,52.43,34.13,52.84,24.21,0.68,0.09,19.06,0,-4.29,0,792.11,4.64,31.72,17.14,845.62,1419.75,6362.32,60.32999999999989,-11.5100000000002
Aug 2016,205.33,0.17,41.46,29.7,52.82,41.26,0.68,0.09,4.76,0,-3.28,0,200.4,3.65,31.69,14.83,250.57,1417.24,6359.37,-2.50999999999999,-2.94999999999982
Sep 2016,363.74,1.02,32.33,38.5,35.4,37.7,0.68,0.09,8.44,0,-4.35,0,354.29,1.49,21.81,11.52,389.11,1397.7,6345.43,-19.54,-13.9399999999996
Oct 2016,1047.45,16.9,28.6,54.74,6.23,13.2,0.67,0.09,24.29,0,-4.21,0,1006.25,1.94,5.28,2.55,1016.02,1374.18,6337.41,-23.52,-8.02000000000044
Nov 2016,164.81,0.09,32.76,37.3,6.23,10.64,0.67,0.09,3.82,0,-2.81,0,160.9,2.76,5.28,0.0,168.94,1362.51,6354.37,-11.6700000000001,16.96
Dec 2016,455.04,4.6,29.88,92.6,6.23,61.59,0.67,0.09,10.55,0,-4.29,0,439.89,1.53,5.28,0.0,446.69,1353.41,6354.8,-9.09999999999991,0.43000000000029104
Jan 2017,627.99,7.94,29.75,41.21,6.24,6.06,0.67,0.09,14.56,0,-4.32,0,605.49,0.62,5.28,0.0,611.39,1293.35,6360.49,-60.0600000000002,5.6899999999996
Feb 2017,281.23,1.59,30.49,55.63,6.24,29.38,0.67,0.09,6.52,0,-1.96,0,273.12,1.55,5.28,0.0,279.95,1288.82,6370.15,-4.529999999999969,9.65999999999985
Mar 2017,434.76,2.43,33.31,36.2,6.24,4.18,0.68,0.09,10.08,0,-3.37,0,422.25,0.85,5.28,0.0,428.38,1260.98,6374.13,-27.8399999999999,3.9800000000004703
Apr 2017,236.69,0.62,75.64,33.89,39.98,1.54,0.68,0.09,5.49,0,-0.55,0,230.59,4.48,5.29,0.53,240.89,1258.34,6380.26,-2.6400000000001,6.130000000000111
May 2017,141.28,0.14,229.47,122.38,98.91,12.46,0.68,0.09,3.28,0,4.37,0,137.86,16.41,19.68,13.08,187.03,1292.07,6384.09,33.73,3.8299999999999303
Jun 2017,18.56,0.01,153.44,47.21,112.67,21.54,0.69,0.09,0.43,0,2.25,0,18.12,12.86,31.39,17.43,79.81,1359.42,6378.07,67.35000000000011,-6.02000000000044
Jul 2017,399.53,2.96,55.18,29.75,62.0,34.42,0.69,0.09,9.27,0,-4.08,0,387.3,4.89,36.9,17.91,447.0,1419.75,6362.73,60.32999999999989,-15.3400000000001
Aug 2017,727.72,8.41,39.02,32.41,49.91,33.75,0.68,0.09,16.88,0,-4.1,0,702.42,2.97,30.07,15.52,750.98,1411.02,6349.41,-8.730000000000018,-13.3199999999997
Sep 2017,787.8,9.73,32.83,49.66,31.56,36.02,0.68,0.09,18.27,0,-4.15,0,759.8,1.52,19.65,11.76,792.72,1397.7,6346.08,-13.319999999999899,-3.3299999999999303
Oct 2017,654.43,8.89,28.72,46.75,6.35,13.26,0.68,0.09,15.18,0,-4.18,0,630.37,1.95,5.35,1.98,639.65,1374.18,6347.85,-23.52,1.7700000000004399
Nov 2017,244.23,0.13,33.38,39.29,6.25,10.65,0.68,0.09,5.66,0,-3.73,0,238.44,2.34,5.29,0.0,246.08,1362.51,6356.29,-11.6700000000001,8.4399999999996
Dec 2017,537.33,7.48,29.75,95.18,6.25,61.6,0.68,0.09,12.46,0,-4.13,0,517.39,1.52,5.29,0.0,524.2,1353.41,6357.63,-9.09999999999991,1.34000000000015
Jan 2018,251.88,0.47,30.0,31.97,6.25,6.07,0.68,0.09,5.84,0,-2.91,0,245.57,1.22,5.3,0.0,252.09,1293.35,6365.38,-60.0600000000002,7.75
Feb 2018,183.75,1.04,30.87,54.27,6.26,29.39,0.68,0.09,4.26,0,-1.11,0,178.45,1.87,5.3,0.0,185.62,1288.82,6367.72,-4.529999999999969,2.34000000000015
Mar 2018,275.57,1.54,35.02,35.38,6.26,4.19,0.68,0.09,6.39,0,-2.21,0,267.64,1.33,5.3,0.0,274.27,1260.98,6370.29,-27.8399999999999,2.56999999999971
Apr 2018,259.7,0.67,60.03,20.98,39.99,1.55,0.68,0.09,6.02,0,-1.79,0,253.0,3.08,5.3,0.22,261.6,1258.34,6373.88,-2.6400000000001,3.5900000000001495
May 2018,33.78,0.03,280.32,164.92,101.13,13.45,0.68,0.09,0.78,0,7.43,0,32.97,20.33,20.92,13.8,88.01,1292.07,6377.31,33.73,3.43000000000029
Jun 2018,188.27,0.14,177.89,72.49,112.15,21.31,0.69,0.09,4.37,0,1.01,0,183.76,13.69,31.11,17.53,246.1,1359.42,6371.14,67.35000000000011,-6.17000000000007
Jul 2018,348.19,2.56,69.58,27.95,65.61,24.09,0.69,0.09,8.07,0,-3.49,0,337.55,6.16,34.81,17.05,395.58,1419.75,6358.38,60.32999999999989,-12.7600000000002
Aug 2018,1037.21,14.62,46.23,64.57,43.12,46.84,0.69,0.09,24.05,0,-3.51,0,998.53,3.52,26.22,14.85,1043.12,1427.05,6345.32,7.29999999999995,-13.0600000000004
Sep 2018,302.71,0.59,36.61,42.17,34.0,37.08,0.69,0.09,7.02,0,-3.58,0,295.1,1.69,21.03,10.95,328.78,1397.7,6350.42,-29.3499999999999,5.10000000000036
Oct 2018,188.92,0.08,29.02,34.61,9.34,14.55,0.68,0.09,4.38,0,-2.7,0,184.46,2.39,7.06,3.39,197.29,1374.18,6342.31,-23.52,-8.109999999999669
Nov 2018,469.27,4.63,34.47,44.91,6.27,10.66,0.68,0.09,10.88,0,-3.6,0,453.76,2.18,5.31,0.0,461.24,1362.51,6340.02,-11.6700000000001,-2.28999999999996
Dec 2018,204.9,0.12,30.0,86.14,6.27,61.61,0.68,0.09,4.75,0,-2.66,0,200.03,1.97,5.31,0.0,207.31,1353.41,6346.72,-9.09999999999991,6.69999999999982
Jan 2019,200.02,0.38,30.07,30.68,6.27,6.08,0.68,0.09,4.64,0,-1.86,0,195.01,1.43,5.31,0.0,201.75,1293.35,6348.22,-60.0600000000002,1.5
Feb 2019,587.71,5.58,31.04,62.8,6.28,29.4,0.68,0.09,13.63,0,-3.49,0,568.5,0.43,5.31,0.0,574.25,1288.82,6350.41,-4.529999999999969,2.1899999999996003
Mar 2019,41.72,0.23,34.6,29.78,6.28,4.2,0.69,0.09,0.97,0,0.62,0,40.52,2.35,5.31,0.0,48.18,1260.98,6359.95,-27.8399999999999,9.53999999999996
Apr 2019,315.1,0.82,68.04,28.9,40.01,1.56,0.69,0.09,7.31,0,-1.73,0,306.98,3.24,5.31,0.17,315.7,1258.34,6360.95,-2.6400000000001,1.0
May 2019,262.36,0.26,143.47,48.8,96.61,11.47,0.69,0.09,6.08,0,0.4,0,256.02,9.39,18.38,12.71,296.5,1292.07,6365.76,33.73,4.8100000000004
Jun 2019,48.27,0.04,298.77,178.39,112.75,21.58,0.7,0.09,1.12,0,5.79,0,47.11,23.46,31.44,17.46,119.47,1359.42,6358.94,67.35000000000011,-6.82000000000062
Jul 2019,71.51,0.06,103.52,49.17,71.92,26.84,0.7,0.09,1.66,0,-0.89,0,69.79,10.23,38.38,17.66,136.06,1419.75,6347.79,60.32999999999989,-11.149999999999599
Aug 2019,1277.85,19.76,51.88,77.0,38.83,44.98,0.69,0.09,29.63,0,-3.16,0,1228.46,3.95,23.79,14.59,1270.79,1427.05,6330.29,7.29999999999995,-17.5
Sep 2019,153.53,0.24,34.17,34.4,40.47,39.92,0.7,0.09,3.56,0,-2.47,0,149.73,1.94,24.67,12.34,188.67,1397.7,6341.58,-29.3499999999999,11.29
Oct 2019,668.65,9.4,28.53,44.57,9.14,14.46,0.69,0.09,15.51,0,-3.25,0,643.74,1.93,6.94,4.6,657.22,1374.18,6329.73,-23.52,-11.850000000000401
Nov 2019,658.83,9.36,35.47,50.26,6.29,10.67,0.69,0.09,15.28,0,-3.3,0,634.19,2.24,5.32,0.0,641.75,1362.51,6336.79,-11.6700000000001,7.0600000000004
Dec 2019,288.55,1.5,30.56,89.15,6.29,61.62,0.69,0.09,6.69,0,-3.32,0,280.36,1.56,5.32,0.0,287.25,1353.41,6348.18,-9.09999999999991,11.3900000000003
Jan 2020,525.66,5.42,30.56,38.47,6.29,6.09,0.69,0.09,12.19,0,-3.33,0,508.04,0.64,5.33,0.0,514.01,1293.35,6350.95,-60.0600000000002,2.7699999999995297
Feb 2020,210.21,1.19,31.23,55.24,6.29,29.41,0.69,0.09,4.88,0,-1.16,0,204.15,1.45,5.33,0.0,210.93,1288.82,6359.22,-4.529999999999969,8.27000000000044
Mar 2020,282.88,1.58,37.97,37.46,6.29,4.21,0.69,0.09,6.56,0,-1.37,0,274.74,1.37,5.33,0.0,281.43,1260.98,6362.34,-27.8399999999999,3.1199999999998904
Apr 2020,237.94,0.62,122.34,76.59,40.02,1.56,0.69,0.09,5.52,0,1.43,0,231.8,6.48,5.33,0.0,243.61,1258.34,6366.93,-2.6400000000001,4.59000000000015
May 2020,179.14,0.18,419.17,293.7,98.21,12.16,0.69,0.09,4.15,0,10.65,0,174.81,28.94,19.29,12.93,235.98,1292.07,6373.29,33.73,6.35999999999967
Jun 2020,265.9,0.2,405.12,283.94,102.54,17.14,0.7,0.09,6.17,0,5.79,0,259.53,30.2,25.67,15.35,330.75,1359.42,6374.57,67.35000000000011,1.27999999999975
Jul 2020,126.85,0.11,163.61,105.37,69.25,25.67,0.7,0.09,2.94,0,-0.74,0,123.79,15.52,36.88,17.13,193.32,1419.75,6370.57,60.32999999999989,-4.0
Aug 2020,133.59,0.11,80.54,72.95,52.66,51.01,0.7,0.09,3.1,0,-0.98,0,130.38,7.04,31.61,14.58,183.61,1427.05,6355.04,7.29999999999995,-15.5299999999997
Sep 2020,14.4,0.02,68.04,61.58,39.57,39.53,0.7,0.09,0.33,0,1.31,0,14.05,5.14,24.16,11.82,55.17,1397.7,6341.97,-29.3499999999999,-13.0699999999997
Oct 2020,860.82,15.43,36.68,58.84,7.44,13.73,0.69,0.09,19.96,0,-2.93,0,825.43,2.49,5.98,4.16,838.06,1374.18,6331.18,-23.52,-10.79
Nov 2020,242.09,1.22,42.37,48.3,6.29,10.67,0.69,0.09,5.61,0,-3.0,0,235.25,2.68,5.33,0.0,243.26,1362.51,6343.45,-11.6700000000001,12.269999999999499
Dec 2020,1032.85,16.97,31.23,104.93,6.29,61.62,0.69,0.09,23.95,0,-3.01,0,991.93,1.6,5.33,0.0,998.85,1353.41,6345.47,-9.09999999999991,2.0200000000004397
Jan 2021,708.21,8.07,31.16,41.43,6.29,6.09,0.69,0.09,16.42,0,-3.06,0,683.72,0.65,5.33,0.0,689.7,1293.35,6365.82,-60.0600000000002,20.3499999999995
Feb 2021,214.51,1.21,32.45,57.06,6.29,29.41,0.69,0.09,4.97,0,-1.49,0,208.32,1.2,5.33,0.0,214.85,1288.82,6378.58,-4.529999999999969,12.7600000000002
Mar 2021,71.49,0.4,37.78,33.2,6.29,4.21,0.69,0.09,1.66,0,0.66,0,69.43,2.23,5.33,0.0,76.99,1260.98,6381.47,-27.8399999999999,2.89000000000033
Apr 2021,180.94,0.47,152.84,102.21,40.67,1.85,0.69,0.09,4.2,0,3.64,0,176.28,8.64,5.7,2.0,192.61,1258.34,6383.19,-2.6400000000001,1.71999999999935
May 2021,204.08,0.2,204.92,102.28,96.97,11.62,0.69,0.09,4.73,0,3.45,0,199.14,14.04,18.59,12.56,244.34,1292.07,6388.43,33.73,5.24000000000069
Jun 2021,157.65,0.12,113.76,20.87,102.04,17.14,0.7,0.09,3.66,0,-0.41,0,153.87,8.53,25.18,16.84,204.42,1359.42,6383.44,67.35000000000011,-4.99000000000069
Jul 2021,981.61,15.78,43.3,37.64,50.74,30.17,0.7,0.09,22.76,0,-2.97,0,943.06,3.83,30.55,17.19,994.64,1419.75,6369.24,60.32999999999989,-14.1999999999998
Aug 2021,1330.92,21.26,43.05,54.19,37.73,27.83,0.7,0.09,30.87,0,-3.04,0,1278.79,3.27,23.18,14.49,1319.73,1410.39,6371.23,-9.3599999999999,1.9899999999997802
Sep 2021,977.96,14.93,36.31,60.02,26.51,33.83,0.7,0.09,22.68,0,-3.13,0,940.35,1.68,16.8,11.04,969.86,1397.7,6383.97,-12.6900000000001,12.740000000000698
Oct 2021,488.38,6.7,29.08,43.84,6.37,13.27,0.69,0.09,11.33,0,-3.13,0,470.35,1.97,5.37,1.45,479.14,1374.18,6391.88,-23.52,7.90999999999985
Nov 2021,519.05,7.01,39.49,51.56,6.29,10.67,0.69,0.09,12.04,0,-3.17,0,500.0,2.5,5.33,0.0,507.83,1362.51,6398.03,-11.6700000000001,6.14999999999964
Dec 2021,1381.02,27.18,31.04,115.18,6.29,61.62,0.69,0.09,32.03,0,-3.21,0,1321.81,1.59,5.33,0.0,1328.73,1353.41,6406.29,-9.09999999999991,8.26000000000022
Jan 2022,913.97,13.65,31.04,47.14,6.29,6.09,0.69,0.09,21.2,0,-3.31,0,879.13,0.65,5.33,0.0,885.11,1293.35,6434.51,-60.0600000000002,28.2200000000003
Feb 2022,207.52,1.17,33.42,57.2,6.29,29.41,0.69,0.09,4.81,0,-1.04,0,201.54,1.54,5.33,0.0,208.41,1288.82,6451.8,-4.529999999999969,17.29
Mar 2022,229.78,1.28,49.98,47.46,6.29,4.21,0.69,0.09,5.33,0,-0.33,0,223.16,2.04,5.33,0.0,230.54,1260.98,6454.97,-27.8399999999999,3.1700000000000697
Apr 2022,549.97,1.43,131.81,90.84,40.02,1.57,0.69,0.09,12.75,0,-1.59,0,535.79,5.53,5.33,0.56,547.21,1258.34,6459.37,-2.6400000000001,4.39999999999964
May 2022,19.85,0.02,92.85,11.33,80.54,8.1,0.7,0.09,0.46,0,1.76,0,19.37,7.34,13.08,12.25,52.05,1292.07,6469.38,33.73,10.010000000000199
Jun 2022,192.22,0.15,37.78,20.15,44.43,26.36,0.7,0.09,4.46,0,-2.88,0,187.62,2.59,26.92,15.76,232.89,1352.04,6458.74,59.97,-10.6400000000003
Jul 2022,1058.21,16.39,28.16,38.25,47.59,40.57,0.7,0.09,24.54,0,-3.22,0,1017.28,2.49,28.77,16.61,1065.15,1343.8,6443.94,-8.240000000000009,-14.8000000000002
Aug 2022,886.97,13.56,30.49,33.58,42.65,31.2,0.7,0.09,20.57,0,-3.3,0,852.84,2.32,25.96,14.5,895.62,1322.66,6448.04,-21.139999999999898,4.10000000000036
Sep 2022,721.57,8.8,30.67,24.76,30.8,14.16,0.7,0.09,16.73,0,-3.36,0,696.04,1.42,19.23,11.31,727.99,1308.76,6450.21,-13.9000000000001,2.17000000000007
Oct 2022,367.74,4.11,30.25,9.44,28.09,1.83,0.7,0.09,8.53,0,-3.4,0,355.1,2.05,5.68,2.02,364.86,1306.79,6451.67,-1.9700000000000302,1.46000000000004
