date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,30.97,0.06,32.63,133.43,5.52,109.1,0.53,0.09,0.72,0,0.07,0,30.2,2.78,4.77,0.0,37.75,1396.75,6358.59,0.0,0.0
Feb 2016,393.85,2.22,34.22,62.01,5.52,29.02,0.53,0.09,9.13,0,-3.12,0,382.49,1.05,4.78,0.0,388.32,1288.82,6358.95,-107.93,0.35999999999967297
Mar 2016,236.56,1.32,44.26,43.55,5.52,3.82,0.53,0.09,5.49,0,-1.56,0,229.75,1.9,4.78,0.0,236.42,1260.98,6364.53,-27.8399999999999,5.57999999999993
Apr 2016,330.49,0.86,79.87,40.15,39.5,1.29,0.53,0.09,7.66,0,-1.73,0,321.97,4.09,4.92,1.49,332.48,1258.34,6368.02,-2.6400000000001,3.4900000000006903
May 2016,80.3,0.08,118.59,18.86,103.8,14.6,0.53,0.09,1.86,0,1.51,0,78.36,9.11,22.28,13.33,123.08,1292.07,6372.02,33.73,4.0
Jun 2016,209.46,0.16,48.39,26.76,62.59,42.49,0.54,0.09,4.86,0,-2.34,0,204.44,4.03,37.1,17.67,263.24,1359.42,6361.63,67.35000000000011,-10.3900000000003
Jul 2016,756.09,7.77,35.82,38.19,66.91,60.5,0.53,0.09,17.53,0,-4.19,0,730.79,3.17,39.63,17.23,790.82,1342.86,6346.03,-16.5600000000002,-15.600000000000401
Aug 2016,753.4,7.87,33.5,33.59,54.27,44.81,0.53,0.09,17.47,0,-4.23,0,728.05,2.55,32.46,14.46,777.51,1310.09,6341.7,-32.77,-4.32999999999993
Sep 2016,1293.11,20.46,28.41,35.7,26.78,10.64,0.53,0.09,29.99,0,-4.28,0,1242.66,1.31,16.84,11.07,1271.88,1287.53,6340.04,-22.5599999999999,-1.65999999999985
Oct 2016,490.66,7.45,29.08,13.53,26.95,1.72,0.53,0.09,11.38,0,-4.2,0,471.83,1.97,5.5,3.0,482.3,1287.27,6354.25,-0.259999999999991,14.21
Nov 2016,127.68,0.07,30.25,2.63,28.09,1.18,0.53,0.09,2.96,0,-2.13,0,124.65,2.9,4.78,0.0,132.33,1307.43,6357.99,20.160000000000103,3.73999999999978
Dec 2016,359.97,2.72,29.21,66.98,5.53,37.83,0.53,0.09,8.35,0,-4.24,0,348.9,1.49,4.78,0.0,355.18,1330.0,6358.38,22.5699999999999,0.39000000000032703
Jan 2017,409.55,1.41,28.95,34.2,5.53,5.7,0.53,0.09,9.5,0,-4.27,0,398.64,0.61,4.78,0.0,404.03,1293.35,6362.05,-36.6500000000001,3.6700000000000697
Feb 2017,154.19,0.87,30.74,53.86,5.53,29.02,0.53,0.09,3.58,0,-0.81,0,149.74,2.06,4.78,0.0,156.58,1288.82,6366.85,-4.529999999999969,4.800000000000179
Mar 2017,255.84,1.43,33.75,33.81,5.53,3.83,0.53,0.09,5.93,0,-1.86,0,248.48,1.53,4.78,0.0,254.79,1260.98,6369.18,-27.8399999999999,2.3299999999999303
Apr 2017,90.34,0.23,71.54,27.47,40.45,1.7,0.53,0.09,2.1,0,0.68,0,88.01,4.87,5.46,2.21,100.56,1258.34,6372.81,-2.6400000000001,3.6300000000001096
May 2017,28.14,0.03,133.54,27.69,110.47,17.45,0.54,0.09,0.65,0,2.52,0,27.46,10.33,26.11,14.68,78.58,1292.07,6372.94,33.73,0.1299999999992
