date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,233.6,2.95,47.32,8.56,35.43,0.29,0.87,-1.3,6.17,0,-0.71,0,224.47,7.28,3.67,0.0,235.41,360.87,-259.47,0.0,0.0
Feb 2016,25.07,0.18,43.31,27.61,24.01,14.14,0.87,-1.3,0.66,0,-0.64,0,24.23,6.64,4.81,0.0,35.68,394.52,-256.17,33.65,3.3000000000000096
Mar 2016,192.01,1.89,74.46,108.92,0.01,42.9,0.87,-1.3,5.07,0,-1.11,0,185.04,11.43,7.37,0.0,203.85,401.76,-258.31,7.240000000000009,-2.13999999999999
Apr 2016,8.47,0.1,69.31,88.37,16.02,44.58,2.63,-0.81,0.22,0,-1.0,0,8.15,10.59,13.41,15.38,47.54,353.65,-256.51,-48.11,1.80000000000001
May 2016,57.53,0.55,152.13,99.63,35.52,3.53,3.32,-0.49,1.52,0,-2.2,0,55.46,23.25,14.99,26.2,119.9,315.12,-276.11,-38.53,-19.6
Jun 2016,31.07,0.34,61.36,127.9,10.03,84.71,3.9,-0.3,0.82,0,-0.87,0,29.92,9.35,17.86,33.39,90.51,335.93,-306.81,20.81,-30.7
Jul 2016,1683.27,19.61,104.5,144.23,3.27,37.94,2.49,-0.76,44.47,0,-1.63,0,1619.19,16.18,12.11,30.42,1677.9,247.6,-344.45,-88.33,-37.64
Aug 2016,1518.94,17.3,121.51,115.14,34.26,27.48,2.44,-0.79,40.13,0,-1.87,0,1461.51,18.77,9.59,27.14,1517.01,204.07,-335.28,-43.53,9.17000000000002
Sep 2016,1661.62,19.83,99.33,74.0,53.51,22.18,1.86,-0.97,43.89,0,-1.56,0,1597.89,15.39,7.27,21.79,1642.34,204.49,-327.4,0.420000000000016,7.88
Oct 2016,460.13,5.51,48.5,17.31,31.63,1.66,2.05,-0.96,12.16,0,-0.73,0,442.47,7.47,5.89,10.8,466.62,231.37,-309.67,26.88,17.73
Nov 2016,831.23,10.08,117.17,4.48,106.79,0.29,0.87,-1.31,21.96,0,-1.77,0,799.2,18.04,3.16,0.0,820.4,258.46,-312.06,27.09,-2.3899999999999904
Dec 2016,85.17,0.93,45.67,0.1,40.64,0.29,0.87,-1.3,2.25,0,-0.43,0,81.99,6.58,2.65,0.0,91.22,363.98,-294.05,105.52,18.01
Jan 2017,542.9,6.46,99.19,9.62,82.56,0.29,0.87,-1.3,14.34,0,-1.49,0,522.1,15.25,3.26,0.0,540.61,403.85,-294.4,39.87,-0.349999999999966
Feb 2017,305.7,3.15,80.83,28.41,44.65,0.29,0.87,-1.29,8.08,0,-1.21,0,294.48,12.42,4.59,0.0,311.49,485.03,-283.72,81.17999999999991,10.6799999999999
Mar 2017,568.52,5.65,138.74,109.48,41.93,26.27,0.88,-1.29,15.02,0,-2.08,0,547.85,21.33,8.56,0.0,577.74,526.96,-279.02,41.9300000000001,4.70000000000005
Apr 2017,183.06,1.88,150.89,87.99,45.1,1.22,2.05,-1.05,4.84,0,-2.22,0,176.34,23.13,12.52,6.43,218.42,536.22,-268.24,9.259999999999991,10.78
May 2017,212.33,1.99,199.13,99.48,77.4,3.33,3.19,-0.53,5.61,0,-2.9,0,204.72,30.48,18.53,25.95,279.68,570.68,-275.15,34.4599999999999,-6.90999999999997
Jun 2017,341.75,3.98,170.91,128.02,27.02,3.82,3.53,-0.4,9.03,0,-2.49,0,328.74,26.16,21.25,31.62,407.77,629.94,-302.12,59.260000000000105,-26.97
Jul 2017,1686.29,19.66,164.04,141.6,37.66,18.36,2.48,-0.74,44.55,0,-2.5,0,1622.09,25.29,17.9,30.02,1695.3,635.82,-331.13,5.88,-29.01
Aug 2017,1296.48,14.49,169.93,111.29,77.54,28.0,2.66,-0.69,34.25,0,-2.56,0,1247.74,26.15,15.55,27.68,1317.12,640.44,-322.32,4.62,8.81
Sep 2017,1203.89,14.27,103.62,66.34,57.49,20.34,2.25,-0.81,31.8,0,-1.58,0,1157.81,15.99,12.99,22.04,1208.83,677.77,-321.66,37.3299999999999,0.6599999999999681
Oct 2017,966.04,10.04,127.28,17.4,102.84,0.62,1.27,-1.19,25.52,0,-1.94,0,930.48,19.62,7.76,4.12,961.99,704.99,-316.54,27.22,5.12
Nov 2017,120.38,1.15,93.88,0.1,83.14,0.29,0.88,-1.27,3.18,0,-0.11,0,116.05,12.2,5.69,0.0,133.94,801.92,-299.54,96.92999999999991,17.0
Dec 2017,469.99,6.04,58.92,2.1,54.97,0.29,0.88,-1.27,12.42,0,-0.89,0,451.54,9.08,3.65,0.0,464.26,881.22,-298.62,79.3000000000001,0.9200000000000159
Jan 2018,336.71,3.92,69.89,8.2,56.21,0.29,0.88,-1.27,8.89,0,-1.05,0,323.9,10.75,4.8,0.0,339.44,934.39,-289.25,53.17,9.37
Feb 2018,297.34,3.57,66.42,28.66,32.4,0.3,0.88,-1.26,7.85,0,-0.99,0,285.92,10.21,6.51,0.0,302.64,987.66,-283.55,53.27,5.69999999999999
Mar 2018,456.45,4.64,128.74,108.85,33.02,26.34,0.88,-1.26,12.06,0,-1.92,0,439.76,19.78,11.51,0.0,471.05,1015.4,-278.84,27.74,4.71000000000004
Apr 2018,141.24,1.38,100.45,88.47,14.26,14.82,1.6,-1.09,3.73,0,-1.48,0,136.13,15.4,18.29,5.55,175.37,1012.71,-270.85,-2.68999999999994,7.98999999999995
May 2018,428.09,4.96,195.48,100.72,75.78,3.14,3.01,-0.55,11.31,0,-2.86,0,411.81,29.94,24.92,26.51,493.19,996.56,-276.83,-16.1500000000001,-5.97999999999996
Jun 2018,414.3,4.64,131.87,128.42,9.48,19.65,3.45,-0.41,10.94,0,-1.93,0,398.72,20.2,27.42,31.15,477.49,1047.85,-298.47,51.29,-21.64
Jul 2018,1242.32,13.98,117.51,138.31,3.99,27.14,2.93,-0.58,32.82,0,-1.79,0,1195.52,18.11,24.56,31.24,1269.44,1014.12,-324.46,-33.7299999999999,-25.99
Aug 2018,879.43,10.8,66.14,110.72,4.15,47.12,2.95,-0.56,23.23,0,-1.0,0,845.39,10.19,19.83,27.68,903.09,969.92,-328.19,-44.2,-3.7300000000000204
Sep 2018,1570.44,18.56,83.78,67.34,42.69,19.37,1.96,-0.9,41.49,0,-1.32,0,1510.39,13.0,14.99,21.94,1560.32,910.63,-337.15,-59.29,-8.959999999999981
Oct 2018,804.75,8.81,74.3,17.35,56.85,1.42,1.87,-0.98,21.26,0,-1.14,0,774.69,11.47,11.18,11.32,808.65,921.82,-321.78,11.1900000000001,15.37
Nov 2018,300.46,3.57,66.36,0.7,60.31,0.3,0.89,-1.26,7.94,0,-0.99,0,288.95,10.2,6.34,0.0,305.49,968.92,-315.83,47.099999999999895,5.94999999999999
Dec 2018,79.71,0.69,53.38,0.1,47.44,0.3,0.89,-1.26,2.11,0,0.01,0,76.92,6.8,5.98,0.0,89.7,1024.75,-311.04,55.83,4.78999999999996
Jan 2019,155.35,1.79,52.55,7.52,39.83,0.3,0.89,-1.26,4.1,0,-0.78,0,149.45,8.07,5.42,0.0,162.95,1068.07,-311.07,43.319999999999894,-0.0299999999999727
Feb 2019,397.53,4.42,92.32,28.41,55.83,0.31,0.9,-1.26,10.5,0,-1.38,0,382.61,14.19,9.55,0.07,406.41,1104.33,-309.9,36.26,1.17000000000002
Mar 2019,42.01,0.35,68.47,108.06,1.01,49.73,1.95,-1.07,1.11,0,-1.01,0,40.54,10.49,16.97,4.39,72.4,1152.46,-303.01,48.1300000000001,6.889999999999991
Apr 2019,211.67,2.1,125.93,88.21,25.12,2.74,2.76,-0.65,5.59,0,-1.84,0,203.98,19.28,20.93,20.64,264.83,1089.79,-310.31,-62.67000000000011,-7.30000000000001
May 2019,82.79,0.88,186.36,99.2,65.74,3.5,3.31,-0.46,2.19,0,-2.7,0,79.72,28.5,26.54,26.09,160.85,1094.64,-330.61,4.850000000000139,-20.3
Jun 2019,61.63,0.61,77.76,127.69,9.92,70.0,3.87,-0.27,1.63,0,-1.11,0,59.39,11.86,30.51,32.78,134.55,1134.11,-360.99,39.46999999999979,-30.38
Jul 2019,1042.46,11.5,91.19,137.61,4.35,51.94,3.14,-0.52,27.54,0,-1.39,0,1003.42,14.06,25.6,31.64,1074.72,1047.67,-397.4,-86.43999999999978,-36.41
Aug 2019,2178.73,24.68,175.51,114.23,87.97,26.42,2.0,-0.89,57.55,0,-2.71,0,2096.49,27.13,18.17,26.76,2168.55,978.13,-406.55,-69.5400000000001,-9.15000000000003
Sep 2019,2272.06,27.46,115.09,69.51,74.43,17.43,1.43,-1.06,60.02,0,-1.83,0,2184.58,17.88,14.78,20.78,2238.02,1024.42,-381.37,46.290000000000106,25.18
Oct 2019,966.59,10.95,103.81,17.8,83.11,0.58,1.19,-1.19,25.53,0,-1.59,0,930.1,16.02,10.06,3.97,960.15,1069.13,-346.45,44.71,34.92
Nov 2019,125.74,1.35,69.13,0.1,61.6,0.3,0.89,-1.26,3.32,0,-0.32,0,121.07,9.39,8.0,0.0,138.46,1143.98,-328.86,74.84999999999991,17.59
Dec 2019,355.45,4.29,69.09,0.74,63.35,0.3,0.9,-1.26,9.39,0,-1.04,0,341.77,10.62,5.52,0.0,357.91,1199.43,-328.01,55.45,0.850000000000023
Jan 2020,94.57,1.22,44.54,7.41,32.48,0.3,0.9,-1.25,2.5,0,-0.66,0,90.86,6.84,5.79,0.0,103.48,1259.12,-321.8,59.6899999999998,6.209999999999981
Feb 2020,701.48,8.5,106.47,29.56,70.93,0.3,0.9,-1.25,18.53,0,-1.61,0,674.44,16.39,8.21,0.0,699.04,1287.66,-322.12,28.5400000000002,-0.319999999999993
Mar 2020,199.31,2.09,86.22,108.53,0.01,32.18,0.9,-1.25,5.27,0,-1.28,0,191.96,13.23,13.75,0.0,218.93,1352.23,-307.34,64.5699999999999,14.78
Apr 2020,57.73,0.6,120.62,87.93,17.35,0.78,1.42,-1.13,1.53,0,-1.77,0,55.61,18.47,20.53,3.45,98.07,1308.46,-305.5,-43.77,1.8399999999999699
May 2020,259.77,2.68,131.15,100.49,25.55,10.37,3.17,-0.51,6.86,0,-1.91,0,250.23,20.08,29.35,25.99,325.65,1307.06,-311.75,-1.40000000000009,-6.25
Jun 2020,610.68,6.95,157.03,128.6,17.08,3.46,3.27,-0.46,16.13,0,-2.31,0,587.6,24.07,30.54,30.91,673.13,1296.56,-336.48,-10.5,-24.73
