date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,230.03,2.74,66.59,8.06,52.24,0.21,0.7,-1.3,6.08,0,-0.99,0,221.21,10.23,3.16,0.0,234.6,360.86,-250.08,0.0,0.0
Feb 2016,236.25,2.6,53.18,28.66,24.19,4.45,0.7,-1.3,6.24,0,-0.8,0,227.4,8.18,3.76,0.0,239.35,411.73,-246.99,50.87,3.09
Mar 2016,96.68,0.96,78.55,108.43,0.08,39.88,0.78,-1.28,2.55,0,-1.16,0,93.17,12.04,8.46,0.21,113.88,429.71,-243.55,17.98,3.44
Apr 2016,102.21,1.08,140.07,87.61,36.89,2.75,3.27,-0.66,2.7,0,-2.04,0,98.43,21.44,13.82,11.77,145.45,383.51,-244.42,-46.2,-0.869999999999976
May 2016,1.95,0.01,147.27,99.2,33.83,6.11,5.15,0.18,0.05,0,-2.1,0,1.88,22.46,20.22,28.99,73.55,407.76,-259.46,24.25,-15.04
Jun 2016,169.45,1.78,74.51,128.1,13.71,75.81,5.58,0.32,4.48,0,-1.05,0,163.2,11.34,21.5,33.55,229.6,420.24,-295.47,12.48,-36.01
Jul 2016,756.09,8.65,63.7,138.12,8.47,83.07,5.03,0.14,19.97,0,-0.94,0,727.47,9.77,18.84,33.72,789.8,341.89,-330.85,-78.35,-35.38
Aug 2016,1263.81,14.47,94.67,113.59,12.01,29.61,3.75,-0.29,33.39,0,-1.44,0,1215.96,14.6,12.4,28.25,1271.19,253.34,-350.42,-88.55,-19.57
Sep 2016,2605.24,32.62,99.38,81.39,57.11,20.37,1.4,-1.03,68.82,0,-1.61,0,2503.79,15.49,7.07,21.38,2547.72,227.38,-350.76,-25.96,-0.339999999999975
Oct 2016,1979.2,24.0,95.67,28.39,78.17,0.23,0.74,-1.3,52.28,0,-1.53,0,1902.92,14.88,4.47,7.44,1929.71,259.47,-307.36,32.09,43.4
Nov 2016,292.43,3.21,88.13,0.52,78.81,0.21,0.71,-1.3,7.73,0,-1.31,0,281.49,13.53,3.13,0.0,298.15,334.97,-266.08,75.5,41.28
