date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,789.34,11.54,0,16.6,0.48,0.5,1.91,0.58,7.94,0,-5.54,0,769.85,0.5,1.3,0.0,771.65,0,-3687.05,0,0.0
Feb 2016,45.45,0.53,0,0.73,0.5,0.52,1.92,0.59,0.46,0,-0.21,0,44.45,0.03,1.32,0.0,45.81,0,-3685.97,0,1.08000000000038
Mar 2016,414.97,5.86,0,8.94,1.03,2.18,6.15,1.0,4.17,0,-2.23,0,404.93,0.3,4.0,0.02,409.24,0,-3687.05,0,-1.08000000000038
Apr 2016,49.86,0.65,0,0.37,1.34,3.09,13.32,3.26,0.5,0,2.0,0,48.7,0.03,8.32,1.44,58.49,0,-3690.27,0,-3.2199999999998
May 2016,182.92,2.5,0,2.7,3.04,4.22,14.5,3.95,1.84,0,0.85,0,178.58,0.13,9.38,2.45,190.54,0,-3699.27,0,-9.0
Jun 2016,146.3,1.87,0,1.04,3.27,4.89,17.08,4.5,1.47,0,2.39,0,142.95,0.06,10.97,4.2,158.18,0,-3709.59,0,-10.3200000000002
Jul 2016,3409.47,45.47,0,59.56,8.45,5.94,9.79,3.34,34.3,0,-18.4,0,3329.69,1.81,8.96,3.88,3344.35,0,-3722.51,0,-12.9200000000001
Aug 2016,2606.99,34.85,0,45.54,8.95,6.26,10.57,3.66,26.23,0,-14.82,0,2545.91,1.44,9.59,3.48,2560.43,0,-3716.95,0,5.5600000000004
Sep 2016,3575.42,48.68,0,66.66,5.28,3.79,6.58,2.16,35.97,0,-21.4,0,3490.77,1.93,5.91,2.7,3501.31,0,-3715.92,0,1.02999999999975
Oct 2016,1181.46,16.3,0,22.74,3.19,3.24,9.09,2.54,11.89,0,-7.09,0,1153.28,0.7,6.5,1.1,1161.57,0,-3708.47,0,7.450000000000269
Nov 2016,2099.35,28.96,0,41.5,0.48,0.51,1.92,0.58,21.12,0,-13.77,0,2049.27,1.25,1.31,0.0,2051.83,0,-3711.32,0,-2.85000000000036
Dec 2016,292.04,3.7,0,4.79,0.48,0.51,1.92,0.58,2.94,0,-1.21,0,285.41,0.14,1.31,0.0,286.86,0,-3705.3,0,6.019999999999981
Jan 2017,1584.23,22.65,0,33.05,0.48,0.51,1.92,0.58,15.94,0,-11.37,0,1545.64,1.01,1.31,0.0,1547.95,0,-3704.91,0,0.39000000000032703
Feb 2017,799.57,11.28,0,16.71,0.48,0.51,1.92,0.58,8.04,0,-5.92,0,780.25,0.52,1.31,0.0,782.08,0,-3701.68,0,3.2300000000000204
Mar 2017,1524.79,20.94,0,32.5,0.57,0.57,1.98,0.6,15.34,0,-12.61,0,1488.52,1.05,1.38,0.0,1490.94,0,-3700.89,0,0.7899999999999641
