date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,1760.78,24.22,0,34.72,0.48,0.5,1.91,0.58,17.72,0,-11.51,0,1718.84,1.04,1.3,0.0,1721.17,0,-3685.63,0,0.0
Feb 2016,1135.64,15.65,0,22.62,0.48,0.5,1.91,0.58,11.43,0,-7.64,0,1108.57,0.69,1.3,0.0,1110.56,0,-3680.75,0,4.88000000000011
Mar 2016,191.65,2.6,0,4.22,0.72,0.76,2.37,0.66,1.93,0,-1.73,0,187.12,0.16,1.66,0.0,188.95,0,-3678.28,0,2.4699999999998
Apr 2016,226.89,3.15,0,4.03,1.75,3.92,18.32,4.66,2.28,0,1.13,0,221.46,0.17,11.48,0.46,233.57,0,-3679.8,0,-1.51999999999998
May 2016,850.55,11.81,0,16.31,5.1,6.18,20.13,5.65,8.56,0,-4.0,0,830.18,0.58,13.41,2.27,846.43,0,-3690.51,0,-10.71
Jun 2016,505.23,7.17,0,7.71,6.03,7.69,25.0,6.93,5.08,0,0.83,0,492.98,0.29,16.41,3.93,513.61,0,-3702.7,0,-12.1899999999996
Jul 2016,1991.46,26.22,0,35.07,8.67,8.5,21.47,6.1,20.04,0,-10.18,0,1945.2,1.16,15.55,4.01,1965.92,0,-3718.79,0,-16.0900000000001
Aug 2016,577.12,7.37,0,7.78,6.28,7.73,24.09,6.67,5.81,0,0.75,0,563.94,0.29,15.96,3.54,583.74,0,-3728.32,0,-9.530000000000198
Sep 2016,895.75,12.03,0,15.54,5.33,6.28,19.79,5.6,9.01,0,-3.07,0,874.71,0.52,13.23,2.9,891.36,0,-3742.72,0,-14.399999999999599
Oct 2016,2100.29,28.27,0,41.91,4.59,4.11,10.68,3.12,21.13,0,-15.47,0,2050.88,1.35,8.04,0.94,2061.22,0,-3753.87,0,-11.1500000000001
Nov 2016,193.99,2.63,0,3.52,0.48,0.51,1.92,0.58,1.95,0,-0.97,0,189.41,0.11,1.31,0.0,190.83,0,-3756.71,0,-2.8400000000001495
Dec 2016,1311.89,18.64,0,26.24,0.48,0.51,1.92,0.58,13.2,0,-8.36,0,1280.05,0.79,1.31,0.0,1282.15,0,-3757.07,0,-0.36000000000012705
Jan 2017,1203.44,16.45,0,23.52,0.48,0.51,1.92,0.58,12.11,0,-7.75,0,1174.88,0.71,1.31,0.0,1176.89,0,-3753.56,0,3.51000000000022
Feb 2017,522.77,7.15,0,10.47,0.52,0.54,1.95,0.59,5.26,0,-3.63,0,510.36,0.33,1.34,0.0,512.03,0,-3750.54,0,3.0199999999999796
Mar 2017,551.44,7.57,0,12.03,1.19,3.13,8.75,1.24,5.55,0,-2.93,0,538.32,0.41,5.58,0.01,544.32,0,-3750.27,0,0.26999999999998203
Apr 2017,304.15,4.15,0,5.99,1.42,3.89,13.45,2.56,3.06,0,0.43,0,296.94,0.22,8.41,0.29,305.86,0,-3755.18,0,-4.90999999999985
May 2017,94.55,1.26,0,0.78,2.79,5.69,23.76,5.97,0.95,0,3.31,0,92.34,0.07,14.9,2.66,109.96,0,-3762.87,0,-7.69000000000005
Jun 2017,17.26,0.21,0,0.16,0.87,5.97,28.91,6.38,0.17,0,5.14,0,16.87,0.01,17.43,4.49,38.81,0,-3779.07,0,-16.2000000000003
Jul 2017,1415.01,18.39,0,23.81,7.89,8.78,24.31,6.65,14.24,0,-5.33,0,1382.39,0.81,16.77,4.25,1404.21,0,-3800.78,0,-21.71
Aug 2017,1634.8,22.06,0,28.84,8.45,8.15,21.25,6.2,16.45,0,-8.06,0,1596.3,0.98,15.34,3.63,1616.25,0,-3813.8,0,-13.02
Sep 2017,1446.67,19.42,0,27.47,5.79,6.31,18.63,5.3,14.55,0,-8.44,0,1412.69,0.91,12.81,2.99,1429.39,0,-3824.08,0,-10.2799999999997
Oct 2017,1946.05,25.67,0,36.19,4.22,3.95,9.92,2.76,19.58,0,-11.91,0,1900.8,1.11,7.43,0.91,1910.26,0,-3834.28,0,-10.200000000000301
Nov 2017,787.92,10.58,0,14.47,0.48,0.51,1.93,0.58,7.93,0,-4.27,0,769.41,0.42,1.31,0.0,771.15,0,-3834.69,0,-0.409999999999854
Dec 2017,2090.51,28.39,0,37.67,0.48,0.51,1.93,0.58,21.03,0,-10.29,0,2041.09,1.05,1.32,0.0,2043.45,0,-3832.38,0,2.3099999999999503
Jan 2018,376.92,4.81,0,6.59,0.48,0.52,1.93,0.58,3.79,0,-1.95,0,368.32,0.2,1.32,0.0,369.84,0,-3822.99,0,9.390000000000331
Feb 2018,318.74,4.36,0,6.5,0.5,0.53,1.94,0.59,3.21,0,-2.33,0,311.18,0.21,1.33,0.0,312.72,0,-3822.5,0,0.48999999999978205
Mar 2018,1124.62,15.16,0,22.02,1.87,3.4,8.63,1.31,11.31,0,-6.0,0,1098.15,0.67,5.79,0.02,1104.62,0,-3822.98,0,-0.48000000000001797
Apr 2018,129.49,1.73,0,2.12,1.74,4.06,19.06,4.85,1.3,0,1.81,0,126.46,0.12,11.89,0.54,139.01,0,-3825.0,0,-2.01999999999998
May 2018,53.14,0.6,0,0.33,1.48,5.36,24.39,5.59,0.53,0,4.12,0,52.01,0.03,14.93,2.9,69.86,0,-3836.64,0,-11.6399999999999
Jun 2018,318.19,4.06,0,3.09,6.08,8.23,27.0,7.36,3.2,0,2.98,0,310.93,0.15,17.49,4.44,333.0,0,-3853.68,0,-17.04
Jul 2018,1092.05,13.71,0,15.8,7.1,8.38,23.94,6.46,10.99,0,-1.32,0,1067.35,0.51,16.2,4.09,1088.14,0,-3871.58,0,-17.9000000000001
Aug 2018,3062.38,41.34,0,55.48,11.08,8.37,15.77,5.06,30.81,0,-18.65,0,2990.23,1.81,13.41,3.46,3008.91,0,-3883.48,0,-11.9000000000001
Sep 2018,295.77,3.39,0,3.13,4.67,6.43,21.22,5.74,2.98,0,1.87,0,289.41,0.15,13.72,2.69,305.96,0,-3885.48,0,-2.0
Oct 2018,867.55,10.06,0,11.42,3.68,4.18,13.2,3.74,8.73,0,-1.18,0,848.76,0.32,8.95,1.21,859.23,0,-3898.8,0,-13.320000000000201
Nov 2018,573.09,7.66,0,11.23,0.93,0.84,2.26,0.66,5.77,0,-4.02,0,559.66,0.36,1.69,0.0,561.71,0,-3901.91,0,-3.10999999999967
Dec 2018,711.53,8.87,0,11.26,0.48,0.52,1.95,0.58,7.16,0,-2.66,0,695.5,0.31,1.32,0.0,697.14,0,-3901.75,0,0.159999999999854
Jan 2019,174.56,2.34,0,3.44,0.48,0.52,1.95,0.58,1.76,0,-1.17,0,170.46,0.12,1.32,0.0,171.9,0,-3898.61,0,3.13999999999987
Feb 2019,1183.5,16.8,0,24.74,0.48,0.52,1.95,0.58,11.91,0,-8.67,0,1154.8,0.77,1.32,0.0,1156.89,0,-3899.39,0,-0.779999999999745
Mar 2019,67.49,0.84,0,0.83,0.66,1.25,4.84,1.16,0.68,0,0.57,0,65.97,0.03,3.1,0.06,69.16,0,-3897.52,0,1.86999999999989
Apr 2019,225.43,3.01,0,3.3,3.82,5.34,18.59,5.08,2.27,0,1.08,0,220.15,0.16,11.99,1.8,234.1,0,-3900.01,0,-2.49000000000024
May 2019,355.49,4.91,0,5.96,4.9,6.77,23.19,6.32,3.58,0,0.57,0,347.01,0.26,15.0,2.63,364.9,0,-3911.97,0,-11.9599999999996
Jun 2019,165.57,2.36,0,1.45,4.71,7.71,28.53,7.4,1.67,0,3.81,0,161.54,0.1,18.13,4.49,184.27,0,-3927.34,0,-15.370000000000301
Jul 2019,569.67,6.79,0,6.2,6.54,8.5,26.53,7.18,5.73,0,2.33,0,557.15,0.22,17.4,4.24,579.0,0,-3947.49,0,-20.1499999999996
Aug 2019,3503.37,48.37,0,64.72,12.13,8.63,14.82,4.97,35.25,0,-21.93,0,3419.75,2.08,13.35,3.44,3438.62,0,-3963.02,0,-15.5300000000002
Sep 2019,186.13,2.0,0,1.12,3.75,6.25,23.18,5.95,1.87,0,3.31,0,182.25,0.07,14.73,3.14,200.19,0,-3962.99,0,0.0300000000002001
Oct 2019,2090.95,29.52,0,42.82,5.12,4.78,12.92,3.76,21.04,0,-14.99,0,2040.4,1.36,9.49,1.46,2052.7,0,-3978.18,0,-15.1900000000001
Nov 2019,829.33,10.9,0,16.12,0.83,0.77,2.24,0.66,8.34,0,-5.79,0,810.09,0.51,1.64,0.0,812.24,0,-3982.75,0,-4.57000000000016
Dec 2019,498.57,6.2,0,8.36,0.48,0.53,1.96,0.58,5.02,0,-2.36,0,487.35,0.25,1.33,0.0,488.93,0,-3981.78,0,0.9699999999998
Jan 2020,1455.99,20.44,0,29.22,0.48,0.53,1.96,0.58,14.65,0,-9.61,0,1420.91,0.87,1.33,0.0,1423.11,0,-3980.5,0,1.2800000000001999
Feb 2020,924.66,12.92,0,18.17,0.48,0.53,1.96,0.58,9.3,0,-5.75,0,902.44,0.54,1.33,0.0,904.31,0,-3976.84,0,3.6599999999998505
Mar 2020,530.44,7.3,0,10.93,0.48,0.53,1.96,0.58,5.34,0,-3.93,0,517.8,0.35,1.33,0.0,519.49,0,-3974.66,0,2.18000000000029
Apr 2020,118.99,1.59,0,2.32,0.87,3.72,12.76,2.11,1.2,0,2.01,0,116.2,0.1,7.81,0.13,124.24,0,-3974.63,0,0.0299999999997453
May 2020,119.36,1.63,0,1.08,3.3,5.88,23.34,6.01,1.2,0,3.05,0,116.53,0.08,14.75,2.56,133.92,0,-3982.21,0,-7.57999999999993
Jun 2020,155.41,2.05,0,1.69,4.4,7.17,26.55,6.9,1.56,0,3.0,0,151.8,0.12,16.88,3.91,172.72,0,-3997.84,0,-15.6300000000001
Jul 2020,907.35,12.25,0,14.11,7.07,8.59,25.77,7.0,9.13,0,-0.82,0,885.97,0.47,17.25,4.15,907.84,0,-4016.83,0,-18.9899999999998
Aug 2020,279.38,3.15,0,1.82,5.42,7.55,25.45,6.88,2.81,0,3.35,0,273.42,0.1,16.45,3.6,293.57,0,-4031.44,0,-14.6100000000001
Sep 2020,329.88,3.64,0,2.2,4.95,6.66,21.67,5.9,3.32,0,3.08,0,322.92,0.08,14.05,3.07,340.12,0,-4047.46,0,-16.02
Oct 2020,220.04,2.63,0,3.66,4.0,5.64,19.58,5.33,2.21,0,0.41,0,215.2,0.2,12.6,1.68,229.69,0,-4059.89,0,-12.429999999999799
Nov 2020,191.98,2.44,0,3.57,0.82,1.09,4.06,1.08,1.93,0,-0.99,0,187.62,0.13,2.71,0.03,190.49,0,-4073.2,0,-13.3099999999999
Dec 2020,3518.33,50.7,0,68.81,0.48,0.53,1.97,0.58,35.4,0,-20.03,0,3432.24,1.97,1.34,0.0,3435.55,0,-4075.27,0,-2.07000000000016
Jan 2021,1376.86,19.29,0,28.2,0.48,0.53,1.97,0.58,13.85,0,-9.72,0,1343.71,0.86,1.34,0.0,1345.92,0,-4061.3,0,13.9699999999998
Feb 2021,375.03,5.11,0,7.48,0.5,0.54,1.99,0.59,3.77,0,-2.57,0,366.15,0.24,1.35,0.0,367.75,0,-4058.56,0,2.74000000000024
Mar 2021,41.74,0.59,0,0.58,0.65,3.38,11.29,1.71,0.42,0,2.71,0,40.73,0.03,6.85,0.08,47.69,0,-4058.75,0,-0.19000000000005499
