date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,38.43,0.55,0,0.62,0.48,0.5,1.91,0.58,0.39,0,-0.08,0,37.5,0.03,1.3,0.0,38.83,0,-3685.4,0,0.0
Feb 2016,888.61,12.58,0,18.27,0.48,0.5,1.91,0.58,8.94,0,-6.23,0,867.08,0.56,1.3,0.0,868.95,0,-3686.42,0,-1.01999999999998
Mar 2016,194.89,2.63,0,4.19,0.73,0.82,2.7,0.74,1.96,0,-1.62,0,190.3,0.15,1.87,0.02,192.33,0,-3685.03,0,1.38999999999987
Apr 2016,78.59,0.98,0,1.13,1.65,3.02,12.94,3.41,0.79,0,1.14,0,76.82,0.08,8.17,1.01,86.08,0,-3686.66,0,-1.6299999999996497
May 2016,18.4,0.18,0,0.14,0.59,3.25,15.36,3.33,0.19,0,2.69,0,18.04,0.01,9.37,2.8,30.22,0,-3695.28,0,-8.62000000000035
Jun 2016,495.09,6.54,0,7.83,4.42,5.4,16.87,4.67,4.98,0,-0.59,0,483.56,0.29,11.21,4.46,499.52,0,-3707.24,0,-11.9599999999996
Jul 2016,2445.1,31.84,0,41.35,8.15,6.11,11.62,3.84,24.6,0,-12.82,0,2388.66,1.28,9.83,3.97,2403.73,0,-3719.51,0,-12.270000000000401
Aug 2016,1913.73,24.56,0,32.19,7.34,5.83,11.86,3.74,19.25,0,-10.19,0,1869.92,1.04,9.63,3.45,1884.04,0,-3719.48,0,0.0300000000002001
Sep 2016,4870.42,68.09,0,95.45,3.32,2.43,5.0,1.65,49.0,0,-31.09,0,4753.33,2.83,4.24,2.6,4763.0,0,-3721.98,0,-2.5
Oct 2016,310.76,3.92,0,5.92,2.5,3.35,11.65,3.2,3.13,0,-1.39,0,303.7,0.25,7.61,1.32,312.87,0,-3710.01,0,11.9699999999998
Nov 2016,72.42,0.99,0,1.34,0.61,0.79,2.92,0.79,0.73,0,-0.22,0,70.7,0.05,1.95,0.02,72.72,0,-3718.05,0,-8.03999999999996
Dec 2016,229.04,3.08,0,5.17,0.48,0.51,1.92,0.58,2.3,0,-2.26,0,223.66,0.2,1.31,0.0,225.16,0,-3719.7,0,-1.64999999999964
Jan 2017,677.0,9.67,0,14.72,0.48,0.51,1.92,0.58,6.81,0,-5.5,0,660.52,0.48,1.31,0.0,662.3,0,-3720.99,0,-1.2899999999999598
Feb 2017,416.4,5.5,0,7.91,0.48,0.51,1.92,0.58,4.19,0,-2.63,0,406.71,0.25,1.31,0.0,408.27,0,-3721.02,0,-0.0300000000002001
Mar 2017,617.12,8.15,0,12.74,1.26,1.17,3.1,0.87,6.21,0,-5.11,0,602.76,0.42,2.32,0.04,605.54,0,-3720.79,0,0.230000000000018
Apr 2017,27.96,0.34,0,0.27,0.87,2.87,12.98,2.95,0.28,0,2.06,0,27.34,0.02,8.02,2.0,37.38,0,-3721.95,0,-1.15999999999985
May 2017,560.23,8.24,0,10.11,3.61,4.47,14.19,3.89,5.64,0,-1.34,0,546.35,0.32,9.44,2.92,559.04,0,-3731.65,0,-9.70000000000027
Jun 2017,83.5,0.99,0,0.62,2.33,4.43,17.46,4.34,0.84,0,2.41,0,81.68,0.05,11.02,4.27,97.03,0,-3740.57,0,-8.920000000000071
Jul 2017,2080.31,27.09,0,36.22,7.42,6.22,13.28,4.03,20.93,0,-11.49,0,2032.28,1.16,10.46,4.05,2047.96,0,-3754.72,0,-14.149999999999599
Aug 2017,2106.88,28.49,0,38.43,7.99,6.15,12.12,3.88,21.2,0,-13.05,0,2057.19,1.27,10.07,3.42,2071.95,0,-3758.59,0,-3.87000000000035
Sep 2017,131.77,1.61,0,0.97,2.78,4.1,14.38,3.82,1.33,0,1.9,0,128.84,0.05,9.24,2.96,141.09,0,-3762.1,0,-3.50999999999976
Oct 2017,2028.27,27.01,0,38.11,4.28,3.03,6.73,2.36,20.41,0,-13.54,0,1980.85,1.17,5.63,1.03,1988.68,0,-3772.39,0,-10.29
Nov 2017,185.74,2.4,0,3.16,0.6,0.6,2.01,0.6,1.87,0,-0.86,0,181.47,0.1,1.41,0.0,182.98,0,-3770.92,0,1.4699999999998001
Dec 2017,1007.12,13.08,0,16.95,0.48,0.51,1.93,0.58,10.13,0,-4.31,0,983.91,0.47,1.32,0.0,985.69,0,-3771.32,0,-0.40000000000009095
Jan 2018,1648.61,23.02,0,33.18,0.48,0.52,1.93,0.58,16.59,0,-11.13,0,1609.01,1.0,1.32,0.0,1611.33,0,-3766.85,0,4.470000000000249
Feb 2018,1317.92,18.53,0,29.29,0.48,0.52,1.93,0.58,13.26,0,-11.69,0,1286.13,0.97,1.32,0.0,1288.42,0,-3762.74,0,4.11000000000013
Mar 2018,1202.28,16.08,0,24.36,0.48,0.52,1.94,0.58,12.1,0,-9.03,0,1174.1,0.78,1.32,0.0,1176.2,0,-3762.52,0,0.2199999999998
Apr 2018,629.81,8.41,0,13.07,1.99,3.0,9.83,2.3,6.34,0,-4.1,0,615.06,0.46,6.51,0.61,622.65,0,-3760.81,0,1.71000000000004
May 2018,920.92,12.81,0,18.66,4.27,4.71,14.26,4.07,9.27,0,-6.07,0,898.85,0.65,9.76,3.16,912.42,0,-3766.7,0,-5.88999999999987
Jun 2018,602.26,8.21,0,9.93,4.53,5.35,16.33,4.55,6.06,0,-1.24,0,588.0,0.34,10.97,4.31,603.62,0,-3776.87,0,-10.1700000000001
Jul 2018,2407.24,31.65,0,42.59,8.04,6.46,12.76,3.91,24.22,0,-13.87,0,2351.37,1.36,10.43,4.09,2367.24,0,-3788.15,0,-11.2800000000002
Aug 2018,1663.04,22.18,0,28.74,6.93,5.81,12.87,3.95,16.73,0,-8.62,0,1624.13,0.93,10.05,3.47,1638.58,0,-3790.74,0,-2.58999999999969
Sep 2018,898.13,11.25,0,13.26,3.87,4.18,11.97,3.41,9.04,0,-2.07,0,877.84,0.37,8.25,2.99,889.45,0,-3795.02,0,-4.2800000000002
Oct 2018,1390.42,18.47,0,24.55,3.79,3.2,8.4,2.68,13.99,0,-7.41,0,1357.96,0.73,6.32,1.38,1366.4,0,-3799.6,0,-4.57999999999993
Nov 2018,1629.09,22.73,0,33.01,0.53,0.55,1.98,0.59,16.39,0,-11.27,0,1589.97,1.01,1.36,0.0,1592.34,0,-3800.13,0,-0.5300000000002001
Dec 2018,58.17,0.71,0,0.85,0.48,0.52,1.95,0.58,0.59,0,-0.13,0,56.87,0.03,1.32,0.0,58.23,0,-3796.39,0,3.74000000000024
Jan 2019,1100.68,15.55,0,23.44,0.48,0.52,1.95,0.58,11.07,0,-8.6,0,1074.05,0.74,1.32,0.0,1076.12,0,-3797.3,0,-0.910000000000309
Feb 2019,699.96,9.89,0,13.78,0.48,0.52,1.95,0.58,7.04,0,-4.26,0,683.02,0.41,1.32,0.0,684.75,0,-3796.18,0,1.12000000000035
Mar 2019,972.12,13.71,0,21.5,0.7,0.67,2.11,0.63,9.78,0,-8.53,0,948.63,0.71,1.51,0.0,950.84,0,-3794.76,0,1.41999999999962
Apr 2019,220.69,2.95,0,4.48,1.66,2.92,12.5,3.28,2.22,0,-0.46,0,215.53,0.19,7.96,0.79,224.47,0,-3794.99,0,-0.22999999999956303
May 2019,498.74,6.74,0,10.37,3.52,4.32,14.18,3.98,5.02,0,-3.24,0,486.97,0.41,9.41,2.43,499.22,0,-3803.25,0,-8.26000000000022
