date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,38.43,0.55,0,0.65,0.48,0.58,2.09,0.58,0.39,0,-0.04,0,37.5,0.03,1.41,0.0,38.94,0,-3693.23,0,0.0
Feb 2016,888.61,12.58,0,18.3,0.48,0.58,2.09,0.58,8.94,0,-6.19,0,867.08,0.56,1.41,0.0,869.06,0,-3694.39,0,-1.15999999999985
Mar 2016,194.89,2.63,0,4.21,0.74,0.96,3.15,0.79,1.96,0,-1.51,0,190.3,0.15,2.14,0.02,192.61,0,-3693.15,0,1.2399999999997802
Apr 2016,78.59,0.98,0,0.95,2.01,3.91,16.81,4.34,0.79,0,1.85,0,76.82,0.08,10.56,1.01,88.47,0,-3695.07,0,-1.92000000000007
May 2016,18.4,0.18,0,0.15,0.66,4.2,20.03,4.34,0.19,0,3.56,0,18.04,0.01,12.15,2.8,33.0,0,-3705.9,0,-10.8299999999999
Jun 2016,495.09,6.54,0,7.47,5.38,6.94,22.04,5.99,4.98,0,0.35,0,483.56,0.28,14.48,4.46,502.79,0,-3720.65,0,-14.75
Jul 2016,2445.1,31.84,0,41.13,8.75,7.12,15.04,4.69,24.6,0,-12.19,0,2388.66,1.28,11.99,3.97,2405.89,0,-3735.82,0,-15.1700000000001
Aug 2016,1913.73,24.56,0,31.97,7.96,6.89,15.36,4.6,19.25,0,-9.53,0,1869.92,1.04,11.84,3.45,1886.25,0,-3737.74,0,-1.91999999999962
Sep 2016,4870.42,68.09,0,95.43,4.27,3.14,6.21,2.0,49.0,0,-31.3,0,4753.33,2.83,5.34,2.6,4764.09,0,-3742.23,0,-4.49000000000024
Oct 2016,310.76,3.92,0,5.71,3.03,4.3,15.09,4.05,3.13,0,-0.76,0,303.7,0.24,9.77,1.32,315.03,0,-3731.33,0,10.9000000000001
Nov 2016,72.42,0.99,0,1.36,0.62,0.94,3.44,0.85,0.73,0,-0.1,0,70.7,0.05,2.26,0.02,73.04,0,-3741.31,0,-9.980000000000018
Dec 2016,229.04,3.08,0,5.2,0.48,0.58,2.11,0.58,2.3,0,-2.22,0,223.66,0.2,1.42,0.0,225.28,0,-3743.29,0,-1.98000000000002
Jan 2017,677.0,9.67,0,14.75,0.48,0.58,2.11,0.58,6.81,0,-5.46,0,660.52,0.48,1.42,0.0,662.42,0,-3744.73,0,-1.4400000000000501
Feb 2017,416.4,5.5,0,7.94,0.48,0.58,2.11,0.58,4.19,0,-2.58,0,406.71,0.25,1.42,0.0,408.38,0,-3744.9,0,-0.170000000000073
Mar 2017,617.12,8.15,0,12.76,1.27,1.35,3.68,0.93,6.21,0,-4.96,0,602.76,0.42,2.67,0.04,605.89,0,-3744.82,0,0.0799999999999272
Apr 2017,27.96,0.34,0,0.28,0.93,3.66,16.85,3.77,0.28,0,2.78,0,27.34,0.02,10.34,2.0,39.7,0,-3746.35,0,-1.52999999999975
May 2017,560.23,8.24,0,9.83,4.33,5.71,18.47,4.96,5.64,0,-0.54,0,546.35,0.32,12.14,2.92,561.73,0,-3758.37,0,-12.02
Jun 2017,83.5,0.99,0,0.62,2.47,5.58,22.83,5.47,0.84,0,3.42,0,81.68,0.05,14.25,4.27,100.25,0,-3769.71,0,-11.3400000000001
Jul 2017,2080.31,27.09,0,35.97,8.11,7.42,17.26,4.98,20.93,0,-10.72,0,2032.28,1.16,12.96,4.05,2050.46,0,-3787.08,0,-17.3699999999999
Aug 2017,2106.88,28.49,0,38.22,8.57,7.19,15.7,4.75,21.2,0,-12.37,0,2057.19,1.27,12.33,3.42,2074.2,0,-3793.2,0,-6.119999999999889
Sep 2017,131.77,1.61,0,0.87,3.02,5.06,18.72,4.78,1.33,0,2.72,0,128.84,0.05,11.91,2.96,143.76,0,-3798.75,0,-5.55000000000018
Oct 2017,2028.27,27.01,0,38.03,4.6,3.48,8.52,2.84,20.41,0,-13.31,0,1980.85,1.17,6.79,1.03,1989.85,0,-3811.61,0,-12.8600000000001
Nov 2017,185.74,2.4,0,3.18,0.64,0.7,2.23,0.61,1.87,0,-0.83,0,181.47,0.1,1.56,0.0,183.13,0,-3811.22,0,0.39000000000032703
Dec 2017,1007.12,13.08,0,16.98,0.48,0.59,2.12,0.58,10.13,0,-4.27,0,983.91,0.47,1.43,0.0,985.81,0,-3811.79,0,-0.5700000000001639
Jan 2018,1648.61,23.02,0,33.21,0.48,0.59,2.12,0.58,16.59,0,-11.08,0,1609.01,1.0,1.43,0.0,1611.44,0,-3807.47,0,4.32000000000016
Feb 2018,1317.92,18.53,0,29.32,0.48,0.59,2.12,0.58,13.26,0,-11.65,0,1286.13,0.97,1.43,0.0,1288.53,0,-3803.5,0,3.9699999999998
Mar 2018,1202.28,16.08,0,24.39,0.48,0.59,2.13,0.58,12.1,0,-8.98,0,1174.1,0.78,1.44,0.0,1176.32,0,-3803.43,0,0.0700000000001637
Apr 2018,629.81,8.41,0,12.99,2.17,3.75,12.65,2.83,6.34,0,-3.45,0,615.06,0.46,8.23,0.61,624.36,0,-3801.87,0,1.5599999999999499
May 2018,920.92,12.81,0,18.38,5.0,5.93,18.56,5.16,9.27,0,-5.29,0,898.85,0.65,12.48,3.16,915.14,0,-3809.4,0,-7.5300000000002
Jun 2018,602.26,8.21,0,9.58,5.45,6.83,21.32,5.81,6.06,0,-0.33,0,588.0,0.34,14.12,4.31,606.77,0,-3822.0,0,-12.5999999999999
Jul 2018,2407.24,31.65,0,42.36,8.66,7.62,16.56,4.79,24.22,0,-13.11,0,2351.37,1.36,12.81,4.09,2369.63,0,-3836.08,0,-14.0799999999999
Aug 2018,1663.04,22.18,0,28.5,7.59,6.94,16.71,4.9,16.73,0,-7.9,0,1624.13,0.93,12.46,3.47,1641.0,0,-3840.83,0,-4.75
Sep 2018,898.13,11.25,0,13.01,4.54,5.25,15.51,4.3,9.04,0,-1.42,0,877.84,0.37,10.5,2.99,891.69,0,-3847.29,0,-6.460000000000041
Oct 2018,1390.42,18.47,0,24.42,4.14,3.8,10.75,3.29,13.99,0,-7.01,0,1357.96,0.73,7.8,1.38,1367.87,0,-3853.87,0,-6.57999999999993
Nov 2018,1629.09,22.73,0,33.04,0.54,0.64,2.18,0.59,16.39,0,-11.23,0,1589.97,1.01,1.49,0.0,1592.47,0,-3855.74,0,-1.86999999999989
Dec 2018,58.17,0.71,0,0.87,0.48,0.6,2.14,0.58,0.59,0,-0.08,0,56.87,0.03,1.44,0.0,58.35,0,-3852.16,0,3.5799999999999303
Jan 2019,1100.68,15.55,0,23.47,0.48,0.6,2.14,0.58,11.07,0,-8.55,0,1074.05,0.74,1.44,0.0,1076.24,0,-3853.21,0,-1.05000000000018
