date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,767.92,10.46,0,14.75,0.48,0.5,1.89,0.58,7.73,0,-4.71,0,749.74,0.44,1.29,0.0,751.47,0,-3684.6,0,0.0
Feb 2016,695.22,9.71,0,13.99,0.48,0.5,1.89,0.58,6.99,0,-4.69,0,678.52,0.43,1.29,0.0,680.24,0,-3682.89,0,1.71000000000004
Mar 2016,369.6,5.12,0,7.95,0.97,0.98,2.9,0.81,3.72,0,-3.09,0,360.76,0.27,2.08,0.02,363.13,0,-3681.89,0,1.0
Apr 2016,149.03,2.08,0,2.09,2.1,3.82,16.3,4.28,1.5,0,1.62,0,145.45,0.1,10.3,1.02,156.86,0,-3683.37,0,-1.48000000000002
May 2016,4.22,0.05,0,0.09,0.4,4.1,20.29,4.36,0.04,0,3.66,0,4.12,0.0,12.23,3.02,19.37,0,-3693.29,0,-9.920000000000071
Jun 2016,319.24,4.27,0,4.02,4.98,6.68,21.72,5.9,3.21,0,1.77,0,311.76,0.17,14.12,4.28,330.34,0,-3708.54,0,-15.25
Jul 2016,1893.95,24.76,0,32.0,7.83,7.42,17.91,5.13,19.06,0,-8.66,0,1850.14,1.02,13.19,4.25,1868.6,0,-3723.65,0,-15.1100000000001
Aug 2016,2339.35,31.57,0,39.91,8.98,7.09,14.3,4.51,23.54,0,-11.47,0,2284.25,1.24,11.69,3.56,2300.73,0,-3730.3,0,-6.650000000000089
Sep 2016,4662.82,63.41,0,84.02,3.29,2.39,5.06,1.71,46.91,0,-23.85,0,4552.5,2.34,4.25,2.66,4561.76,0,-3731.59,0,-1.2899999999999598
Oct 2016,4113.35,57.97,0,80.52,2.17,1.68,3.35,1.01,41.38,0,-25.39,0,4014.0,2.35,2.83,0.78,4019.96,0,-3714.54,0,17.0500000000002
Nov 2016,649.41,8.77,0,13.06,0.48,0.5,1.9,0.58,6.53,0,-4.7,0,634.11,0.42,1.3,0.0,635.82,0,-3701.67,0,12.8699999999999
Dec 2016,720.84,9.37,0,13.95,0.48,0.5,1.9,0.58,7.25,0,-5.01,0,704.22,0.46,1.3,0.0,705.97,0,-3701.15,0,0.519999999999982
Jan 2017,1872.49,26.41,0,37.97,0.48,0.5,1.9,0.58,18.84,0,-12.68,0,1827.24,1.14,1.3,0.0,1829.67,0,-3700.23,0,0.920000000000073
Feb 2017,550.72,7.58,0,11.18,0.48,0.5,1.9,0.58,5.54,0,-3.93,0,537.6,0.35,1.3,0.0,539.25,0,-3695.39,0,4.84000000000015
Mar 2017,2752.85,38.42,0,56.23,0.74,0.69,2.09,0.63,27.7,0,-19.57,0,2686.73,1.71,1.51,0.01,2689.96,0,-3695.09,0,0.299999999999727
Apr 2017,1756.71,23.74,0,36.76,3.65,3.63,10.98,3.05,17.67,0,-14.28,0,1715.3,1.24,7.95,0.34,1724.82,0,-3688.43,0,6.66000000000031
May 2017,44.65,0.55,0,0.47,1.4,4.17,18.69,4.38,0.45,0,2.81,0,43.66,0.04,11.54,2.34,57.57,0,-3693.3,0,-4.87000000000035
Jun 2017,862.28,11.74,0,14.79,5.75,6.62,19.84,5.55,8.68,0,-2.69,0,841.87,0.51,13.43,4.14,859.94,0,-3706.69,0,-13.3899999999999
Jul 2017,1834.75,24.41,0,31.89,7.73,7.38,18.11,5.18,18.46,0,-8.85,0,1791.88,1.02,13.28,4.12,1810.31,0,-3719.14,0,-12.4499999999998
Aug 2017,2581.96,34.65,0,44.74,9.53,7.13,13.59,4.46,25.98,0,-13.91,0,2521.33,1.41,11.53,3.5,2537.77,0,-3726.58,0,-7.44000000000005
Sep 2017,1463.17,19.8,0,27.32,4.96,5.14,14.28,4.06,14.72,0,-8.2,0,1428.66,0.86,10.04,2.79,1442.34,0,-3727.13,0,-0.550000000000182
Oct 2017,322.25,4.09,0,6.47,2.74,3.98,14.37,3.84,3.24,0,-1.42,0,314.91,0.28,9.28,1.09,325.57,0,-3733.62,0,-6.489999999999781
Nov 2017,531.67,6.91,0,9.54,0.51,0.52,1.93,0.59,5.35,0,-2.9,0,519.41,0.29,1.32,0.0,521.03,0,-3743.41,0,-9.78999999999996
Dec 2017,38.51,0.5,0,0.69,0.48,0.51,1.91,0.58,0.39,0,-0.2,0,37.62,0.03,1.3,0.0,38.95,0,-3742.3,0,1.10999999999967
Jan 2018,131.7,1.6,0,2.27,0.48,0.51,1.91,0.58,1.33,0,-0.73,0,128.78,0.08,1.3,0.0,130.17,0,-3743.44,0,-1.13999999999987
