date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,19.29,1.12,8.51,14.56,0.4,0.28,1.9,0.78,1.89,0,-5.69,0,16.28,0.63,1.25,0.0,18.16,0,-345.97,0,0.0
Feb 2016,210.04,12.2,11.13,29.82,0.4,0.28,1.9,0.78,20.57,0,-7.44,0,177.27,0.82,1.25,0.0,179.35,0,-350.89,0,-4.91999999999996
Mar 2016,90.73,5.27,12.91,25.74,0.4,0.28,1.9,0.78,8.88,0,-8.64,0,76.58,0.95,1.25,0.0,78.78,0,-338.89,0,12.0
Apr 2016,308.32,17.91,2.8,22.24,0.4,0.28,1.9,0.78,30.19,0,-1.87,0,260.22,0.21,1.25,0.0,261.68,0,-339.77,0,-0.8799999999999949
May 2016,112.59,6.54,5.89,15.32,1.68,1.06,1.92,0.78,11.03,0,-3.94,0,95.02,0.44,1.76,0.38,97.6,0,-312.57,0,27.2
Jun 2016,172.87,10.04,5.06,13.17,12.89,7.96,2.11,0.78,16.93,0,-3.38,0,145.9,0.37,6.26,3.24,155.78,0,-307.01,0,5.56
Jul 2016,346.84,20.14,0.59,17.62,9.1,5.63,2.05,0.78,33.96,0,-0.4,0,292.73,0.04,4.74,3.22,300.74,0,-298.04,0,8.96999999999997
Aug 2016,428.18,24.87,0.0,22.97,5.0,3.1,1.98,0.78,41.93,0,0.0,0,361.38,0.0,3.1,2.55,367.03,0,-268.96,0,29.08
Sep 2016,353.86,20.55,0.0,20.43,0.4,0.28,1.9,0.78,34.65,0,0.0,0,298.66,0.0,1.25,0.09,300.01,0,-230.79,0,38.17
Oct 2016,62.08,3.61,0.0,3.48,0.4,0.28,1.9,0.78,6.08,0,0.0,0,52.39,0.0,1.25,0.0,53.65,0,-197.35,0,33.44
Nov 2016,103.93,6.04,8.45,19.39,0.4,0.28,1.9,0.78,10.18,0,-5.65,0,87.71,0.62,1.25,0.0,89.59,0,-192.4,0,4.94999999999999
Dec 2016,74.32,4.32,8.45,17.67,0.4,0.28,1.9,0.78,7.28,0,-5.65,0,62.73,0.62,1.25,0.0,64.6,0,-189.0,0,3.4000000000000097
Jan 2017,201.21,11.69,8.45,25.04,0.4,0.28,1.9,0.78,19.7,0,-5.65,0,169.82,0.62,1.25,0.0,171.7,0,-188.5,0,0.5
Feb 2017,72.33,4.2,11.42,22.3,0.4,0.28,1.9,0.78,7.08,0,-7.64,0,61.05,0.84,1.25,0.0,63.14,0,-175.57,0,12.93
Mar 2017,99.78,5.8,13.39,27.02,0.4,0.28,1.91,0.78,9.77,0,-8.96,0,84.22,0.99,1.25,0.0,86.46,0,-177.26,0,-1.69
Apr 2017,79.31,4.61,7.32,16.15,0.4,0.28,1.91,0.78,7.77,0,-4.9,0,66.94,0.54,1.25,0.0,68.73,0,-177.57,0,-0.310000000000002
May 2017,74.08,4.3,7.56,15.13,3.25,2.03,1.95,0.78,7.25,0,-5.06,0,62.52,0.56,2.4,0.71,66.19,0,-175.83,0,1.73999999999998
Jun 2017,212.02,12.31,6.84,18.81,11.57,7.14,2.09,0.78,20.76,0,-4.58,0,178.94,0.51,5.73,3.17,188.35,0,-175.51,0,0.320000000000022
Jul 2017,222.26,12.91,0.89,9.59,12.41,7.66,2.1,0.78,21.76,0,-0.6,0,187.59,0.07,6.07,3.27,197.0,0,-163.81,0,11.7
Aug 2017,340.2,19.76,0.12,17.21,7.2,4.46,2.02,0.78,33.31,0,-0.08,0,287.13,0.01,3.98,2.66,293.78,0,-147.24,0,16.57
Sep 2017,31.21,1.81,0.0,1.39,1.81,1.39,2.09,0.52,3.06,0,0.0,0,26.34,0.0,2.0,1.98,30.32,0,-117.9,0,29.34
Oct 2017,344.88,20.03,0.0,19.91,0.4,0.28,1.91,0.78,33.77,0,0.0,0,291.08,0.0,1.25,0.0,292.33,0,-118.4,0,-0.5
Nov 2017,70.96,4.12,7.26,15.57,0.4,0.28,1.91,0.78,6.95,0,-4.86,0,59.89,0.54,1.25,0.0,61.68,0,-85.76,0,32.64
Dec 2017,161.08,9.36,8.75,23.18,0.4,0.28,1.91,0.78,15.77,0,-5.85,0,135.95,0.65,1.25,0.0,137.85,0,-84.79,0,0.969999999999999
Jan 2018,339.97,19.75,8.09,32.53,0.4,0.28,1.91,0.78,33.29,0,-5.41,0,286.93,0.6,1.25,0.0,288.78,0,-76.0,0,8.79000000000001
Feb 2018,252.88,14.69,10.83,31.83,0.4,0.28,1.91,0.78,24.76,0,-7.24,0,213.43,0.8,1.25,0.0,215.48,0,-49.25,0,26.75
Mar 2018,400.46,23.26,13.33,44.39,0.4,0.28,1.91,0.78,39.21,0,-8.92,0,337.98,0.99,1.25,0.0,340.22,0,-32.86,0,16.39
Apr 2018,543.88,31.59,2.62,35.64,0.4,0.28,1.91,0.78,53.26,0,-1.75,0,459.03,0.19,1.26,0.0,460.48,0,-3.69,0,29.17
May 2018,545.14,31.66,78.89,157.38,0.4,0.28,1.91,0.78,53.38,0,-52.78,0,460.1,5.83,1.26,0.46,467.65,0,46.69,0,50.38
