date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,161.47,0.07,0,0,0.52,0.45,0.79,0.04,0.47,0,0,0,160.93,0.0,0.81,0.0,161.75,0,-749.77,0,0.0
Feb 2016,5.42,0.0,0,0,0.02,0.22,0.79,0.04,0.02,0,0,0,5.4,0.19,0.56,0.0,6.15,0,-750.05,0,-0.27999999999997305
Mar 2016,111.56,0.04,0,0,0.46,0.42,0.8,0.04,0.33,0,0,0,111.19,0.0,0.79,0.01,111.99,0,-750.78,0,-0.7300000000000179
Apr 2016,8.29,0.0,0,0,0.1,0.26,1.42,0.25,0.02,0,0,0,8.26,0.16,1.02,1.85,11.29,0,-751.22,0,-0.44000000000005496
May 2016,24.45,0.01,0,0,0.19,0.3,1.51,0.28,0.07,0,0,0,24.37,0.12,1.12,2.3,27.91,0,-754.21,0,-2.9900000000000095
Jun 2016,30.98,0.01,0,0,0.24,0.32,1.68,0.34,0.09,0,0,0,30.88,0.09,1.25,2.92,35.15,0,-757.68,0,-3.46999999999991
Jul 2016,1182.45,0.34,0,0,0.76,0.53,1.21,0.25,3.45,0,0,0,1178.66,0.11,1.19,2.54,1182.51,0,-761.84,0,-4.16000000000008
Aug 2016,976.73,0.24,0,0,0.76,0.53,1.24,0.26,2.85,0,0,0,973.64,0.01,1.21,2.31,977.17,0,-761.9,0,-0.0599999999999454
Sep 2016,901.7,0.21,0,0,0.72,0.52,1.17,0.23,2.63,0,0,0,898.86,0.0,1.15,1.93,901.95,0,-762.34,0,-0.44000000000005496
Oct 2016,236.7,0.23,0,0,0.74,0.51,1.23,0.26,0.69,0,0,0,235.78,0.0,1.2,1.22,238.2,0,-762.59,0,-0.25
Nov 2016,505.4,0.08,0,0,0.52,0.45,0.8,0.04,1.47,0,0,0,503.85,0.01,0.82,0.0,504.68,0,-764.09,0,-1.5
Dec 2016,63.89,0.0,0,0,0.28,0.34,0.8,0.04,0.19,0,0,0,63.71,0.06,0.69,0.0,64.46,0,-763.37,0,0.720000000000027
Jan 2017,376.27,0.08,0,0,0.52,0.45,0.8,0.04,1.1,0,0,0,375.09,0.01,0.82,0.0,375.92,0,-763.94,0,-0.57000000000005
Feb 2017,200.43,0.07,0,0,0.52,0.45,0.8,0.04,0.58,0,0,0,199.78,0.01,0.82,0.0,200.6,0,-763.59,0,0.350000000000023
Mar 2017,397.84,0.07,0,0,0.52,0.46,0.8,0.04,1.16,0,0,0,396.61,0.01,0.82,0.0,397.44,0,-763.76,0,-0.16999999999995902
Apr 2017,113.01,0.11,0,0,0.51,0.4,1.24,0.25,0.33,0,0,0,112.57,0.0,1.1,1.27,114.94,0,-763.36,0,0.39999999999997704
May 2017,262.01,0.29,0,0,0.84,0.55,1.33,0.32,0.76,0,0,0,260.96,0.0,1.31,2.25,264.51,0,-765.29,0,-1.92999999999995
Jun 2017,347.73,0.35,0,0,0.93,0.58,1.49,0.39,1.01,0,0,0,346.37,0.0,1.44,2.74,350.55,0,-767.79,0,-2.5
