Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Estancia,GFDL,No Change,High,55.29,0,0,0,0.06,0.14,0.35,0,0.27,0,0.08,0,55.03,0,0.27,0,55.3,0,-1917.06,0,0,Low
Feb 2016,Estancia,GFDL,No Change,High,18.83,0,0,0,0.06,0.14,0.35,0,0.09,0,0.08,0,18.74,0,0.27,0,19.01,0,-1917.07,0,-0.00999999999999091,Low
Mar 2016,Estancia,GFDL,No Change,High,103.3,0,0,0,0.06,0.14,0.35,0,0.5,0,0.08,0,102.8,0,0.27,0,103.07,0,-1917.25,0,-0.180000000000064,Low
Apr 2016,Estancia,GFDL,No Change,High,2.56,0,0,0,0.23,0.65,2.3,0.23,0.01,0,0.42,0,2.55,0,1.64,0.6,4.79,0,-1917.02,0,0.230000000000018,Low
May 2016,Estancia,GFDL,No Change,High,39.9,0.01,0,0,2.16,3.25,12.23,2.03,0.19,0,1.09,0,39.7,0,9.12,2.73,51.55,0,-1919.25,0,-2.23000000000002,Low
Jun 2016,Estancia,GFDL,No Change,High,12.66,0,0,0,2.91,4.24,16.03,2.72,0.06,0,1.33,0,12.6,0,11.98,3.63,28.21,0,-1930.9,0,-11.6500000000001,Low
Jul 2016,Estancia,GFDL,No Change,High,557.58,0.1,0,0,1.59,2.43,9.11,1.48,2.67,0,0.94,0,554.81,0,6.79,3.35,564.95,0,-1946.45,0,-15.55,Low
Aug 2016,Estancia,GFDL,No Change,High,539.38,0.07,0,0,1.15,2.05,7.63,1.13,2.59,0,0.97,0,536.73,0,5.61,2.88,545.22,0,-1953.82,0,-7.36999999999989,Low
Sep 2016,Estancia,GFDL,No Change,High,404.41,0.06,0,0,1.29,2,7.47,1.2,1.94,0,0.77,0,402.41,0,5.56,2.37,410.34,0,-1959.65,0,-5.83000000000015,Low
Oct 2016,Estancia,GFDL,No Change,High,122.61,0,0,0,0.3,0.71,2.53,0.29,0.59,0,0.41,0,122.02,0,1.83,0.6,124.44,0,-1965.58,0,-5.92999999999984,Low
Nov 2016,Estancia,GFDL,No Change,High,283.29,0,0,0,0.06,0.14,0.35,0,1.36,0,0.08,0,281.94,0,0.27,0,282.21,0,-1967.42,0,-1.84000000000015,Low
