Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Estancia,MPIM,No Change,High,159.83,0,0,0,0.06,0.14,0.35,0,0.77,0,0.08,0,159.06,0,0.27,0,159.33,0,-1916.02,0,0,High
Feb 2016,Estancia,MPIM,No Change,High,251.86,0,0,0,0.06,0.14,0.35,0,1.21,0,0.08,0,250.65,0,0.27,0,250.92,0,-1915.52,0,0.5,High
Mar 2016,Estancia,MPIM,No Change,High,57.37,0,0,0,0.06,0.14,0.35,0,0.28,0,0.08,0,57.1,0,0.27,0,57.37,0,-1914.58,0,0.940000000000055,High
Apr 2016,Estancia,MPIM,No Change,High,11.35,0,0,0,0.06,0.16,0.45,0.01,0.05,0,0.1,0,11.3,0,0.34,0.04,11.68,0,-1914.58,0,0,High
May 2016,Estancia,MPIM,No Change,High,518.23,0.09,0,0,0.41,2.05,7.55,0.69,2.48,0,1.73,0,515.65,0,5.22,2.52,523.39,0,-1914.9,0,-0.320000000000164,High
Jun 2016,Estancia,MPIM,No Change,High,173.45,0.03,0,0,3.81,5.51,20.9,3.57,0.83,0,1.73,0,172.59,0,15.63,3.22,191.44,0,-1920.07,0,-5.16999999999985,High
Jul 2016,Estancia,MPIM,No Change,High,513.51,0.09,0,0,2.4,4.03,15.21,2.37,2.46,0,1.72,0,510.96,0,11.21,3.34,525.51,0,-1938.06,0,-17.99,High
Aug 2016,Estancia,MPIM,No Change,High,175.81,0.02,0,0,3.58,5.25,19.9,3.37,0.84,0,1.69,0,174.95,0,14.86,2.84,192.65,0,-1950.06,0,-12,High
Sep 2016,Estancia,MPIM,No Change,High,311.04,0.04,0,0,2.57,3.72,14.04,2.39,1.49,0,1.19,0,309.5,0,10.51,2.35,322.36,0,-1966.89,0,-16.8300000000002,High
Oct 2016,Estancia,MPIM,No Change,High,513.92,0.01,0,0,0.06,0.14,0.35,0,2.46,0,0.09,0,511.45,0,0.27,0.29,512.01,0,-1978.22,0,-11.3299999999999,High
Nov 2016,Estancia,MPIM,No Change,High,47.79,0,0,0,0.06,0.14,0.35,0,0.23,0,0.08,0,47.56,0,0.27,0,47.83,0,-1976.3,0,1.92000000000007,High
Dec 2016,Estancia,MPIM,No Change,High,125.81,0,0,0,0.06,0.14,0.35,0,0.6,0,0.08,0,125.21,0,0.27,0,125.48,0,-1976.35,0,-0.0499999999999545,High
Jan 2017,Estancia,MPIM,No Change,High,124.9,0,0,0,0.06,0.14,0.35,0,0.6,0,0.08,0,124.3,0,0.27,0,124.57,0,-1976.01,0,0.339999999999918,High
Feb 2017,Estancia,MPIM,No Change,High,121.26,0,0,0,0.06,0.14,0.35,0,0.58,0,0.08,0,120.68,0,0.27,0,120.95,0,-1975.69,0,0.319999999999936,High
Mar 2017,Estancia,MPIM,No Change,High,151.86,0,0,0,0.06,0.14,0.35,0,0.73,0,0.08,0,151.13,0,0.27,0,151.4,0,-1975.38,0,0.309999999999945,High
Apr 2017,Estancia,MPIM,No Change,High,122.98,0,0,0,0.06,0.14,0.35,0,0.59,0,0.08,0,122.39,0,0.27,0.02,122.69,0,-1974.92,0,0.460000000000036,High
May 2017,Estancia,MPIM,No Change,High,307.84,0.06,0,0,1.57,3.43,12.85,1.72,1.48,0,1.92,0,306.31,0,9.27,2.74,318.31,0,-1974.63,0,0.289999999999964,High
Jun 2017,Estancia,MPIM,No Change,High,115.73,0.02,0,0,4.23,6.17,23.41,3.98,0.55,0,1.96,0,115.15,0,17.48,3.53,136.17,0,-1985.1,0,-10.4699999999998,High
Jul 2017,Estancia,MPIM,No Change,High,233.48,0.04,0,0,3.94,5.84,22.13,3.73,1.12,0,1.93,0,232.32,0,16.51,3.51,252.34,0,-2005.54,0,-20.4400000000001,High
Aug 2017,Estancia,MPIM,No Change,High,476.78,0.06,0,0,2.31,3.79,14.3,2.25,2.29,0,1.55,0,474.43,0,10.56,2.99,487.98,0,-2024.4,0,-18.8600000000001,High
Sep 2017,Estancia,MPIM,No Change,High,413.26,0.06,0,0,1.95,3.13,11.76,1.87,1.98,0,1.24,0,411.22,0,8.71,2.38,422.31,0,-2035.61,0,-11.2099999999998,High
Oct 2017,Estancia,MPIM,No Change,High,243.99,0,0,0,0.19,0.58,2.04,0.19,1.17,0,0.4,0,242.82,0,1.45,0.42,244.69,0,-2044.65,0,-9.04000000000019,High
Nov 2017,Estancia,MPIM,No Change,High,98.36,0,0,0,0.06,0.14,0.35,0,0.47,0,0.08,0,97.89,0,0.27,0,98.17,0,-2045.35,0,-0.699999999999818,High
Dec 2017,Estancia,MPIM,No Change,High,99.09,0,0,0,0.06,0.14,0.35,0,0.48,0,0.08,0,98.62,0,0.27,0,98.89,0,-2045.16,0,0.189999999999827,High
Jan 2018,Estancia,MPIM,No Change,High,62.89,0,0,0,0.06,0.14,0.35,0,0.3,0,0.08,0,62.59,0,0.27,0,62.86,0,-2044.95,0,0.210000000000036,High
Feb 2018,Estancia,MPIM,No Change,High,71.8,0,0,0,0.06,0.14,0.35,0,0.34,0,0.08,0,71.46,0,0.27,0,71.73,0,-2044.93,0,0.0199999999999818,High
Mar 2018,Estancia,MPIM,No Change,High,66.48,0,0,0,0.06,0.14,0.36,0,0.32,0,0.08,0,66.16,0,0.27,0,66.43,0,-2044.86,0,0.0700000000001637,High
Apr 2018,Estancia,MPIM,No Change,High,42.17,0,0,0,0.06,0.22,0.66,0.02,0.2,0,0.16,0,41.97,0,0.48,0.09,42.54,0,-2044.81,0,0.0499999999999545,High
May 2018,Estancia,MPIM,No Change,High,10.48,0,0,0,4.07,5.95,22.56,3.84,0.05,0,1.88,0,10.43,0,16.85,3.05,30.33,0,-2045.18,0,-0.370000000000118,High
Jun 2018,Estancia,MPIM,No Change,High,140.18,0.02,0,0,4.15,6.11,23.19,3.93,0.67,0,1.98,0,139.48,0,17.3,3.58,160.36,0,-2065.02,0,-19.8399999999999,High
Jul 2018,Estancia,MPIM,No Change,High,243.39,0.04,0,0,3.65,5.56,21.06,3.49,1.17,0,1.96,0,242.18,0,15.66,3.39,261.23,0,-2085.21,0,-20.1900000000001,High
Aug 2018,Estancia,MPIM,No Change,High,620.17,0.08,0,0,1.81,3.02,11.35,1.76,2.97,0,1.29,0,617.11,0,8.38,2.91,628.4,0,-2103.05,0,-17.8400000000001,High
Sep 2018,Estancia,MPIM,No Change,High,152.74,0.02,0,0,2.83,4.35,16.42,2.7,0.73,0,1.54,0,151.98,0,12.21,2.24,166.42,0,-2111.28,0,-8.23000000000002,High
Oct 2018,Estancia,MPIM,No Change,High,266.43,0,0,0,0.46,1.05,3.8,0.47,1.28,0,0.59,0,265.14,0,2.75,0.79,268.68,0,-2124.97,0,-13.6899999999996,High
Nov 2018,Estancia,MPIM,No Change,High,129.07,0,0,0,0.06,0.14,0.36,0,0.62,0,0.08,0,128.46,0,0.28,0,128.73,0,-2127.22,0,-2.25,High
Dec 2018,Estancia,MPIM,No Change,High,179.42,0,0,0,0.06,0.14,0.36,0,0.86,0,0.08,0,178.56,0,0.28,0,178.84,0,-2126.88,0,0.339999999999691,High
Jan 2019,Estancia,MPIM,No Change,High,59.08,0,0,0,0.06,0.14,0.36,0,0.28,0,0.08,0,58.8,0,0.28,0,59.07,0,-2126.29,0,0.590000000000146,High
Feb 2019,Estancia,MPIM,No Change,High,270.58,0,0,0,0.06,0.14,0.36,0,1.3,0,0.08,0,269.28,0,0.28,0,269.56,0,-2126.29,0,0,High
Mar 2019,Estancia,MPIM,No Change,High,5.35,0,0,0,0.06,0.14,0.36,0,0.03,0,0.08,0,5.33,0,0.28,0,5.6,0,-2125.27,0,1.01999999999998,High
Apr 2019,Estancia,MPIM,No Change,High,132.64,0,0,0,0.06,0.14,0.36,0,0.64,0,0.08,0,132,0,0.28,0.02,132.3,0,-2125.52,0,-0.25,High
May 2019,Estancia,MPIM,No Change,High,181.97,0.03,0,0,1.99,3.62,13.6,2.02,0.87,0,1.66,0,181.06,0,9.96,2.38,193.4,0,-2125.18,0,0.340000000000146,High
Jun 2019,Estancia,MPIM,No Change,High,62.88,0.01,0,0,4.6,6.68,25.37,4.33,0.3,0,2.1,0,62.56,0,18.95,3.65,85.17,0,-2136.61,0,-11.4300000000003,High
Jul 2019,Estancia,MPIM,No Change,High,165.5,0.03,0,0,4.39,6.31,23.96,4.12,0.79,0,1.96,0,164.68,0,17.92,3.56,186.15,0,-2158.9,0,-22.29,High
Aug 2019,Estancia,MPIM,No Change,High,678.38,0.09,0,0,1.57,2.81,10.53,1.56,3.25,0,1.33,0,675.04,0,7.72,2.92,685.69,0,-2179.56,0,-20.6599999999999,High
Sep 2019,Estancia,MPIM,No Change,High,16.51,0,0,0,3.92,5.68,21.53,3.68,0.08,0,1.76,0,16.43,0,16.09,2.55,35.08,0,-2186.86,0,-7.30000000000018,High
Oct 2019,Estancia,MPIM,No Change,High,447.31,0.01,0,0,0.18,0.59,2.04,0.18,2.14,0,0.42,0,445.16,0,1.45,0.81,447.42,0,-2205.42,0,-18.5599999999999,High
Nov 2019,Estancia,MPIM,No Change,High,87.91,0,0,0,0.06,0.14,0.36,0,0.42,0,0.08,0,87.49,0,0.28,0,87.77,0,-2205.53,0,-0.110000000000127,High
Dec 2019,Estancia,MPIM,No Change,High,137.88,0,0,0,0.06,0.14,0.36,0,0.66,0,0.08,0,137.22,0,0.28,0,137.5,0,-2205.39,0,0.140000000000327,High
Jan 2020,Estancia,MPIM,No Change,High,118.18,0,0,0,0.06,0.14,0.36,0,0.57,0,0.08,0,117.61,0,0.28,0,117.89,0,-2205.01,0,0.379999999999654,High
Feb 2020,Estancia,MPIM,No Change,High,112.7,0,0,0,0.06,0.14,0.36,0,0.54,0,0.08,0,112.16,0,0.28,0,112.44,0,-2204.72,0,0.290000000000418,High
Mar 2020,Estancia,MPIM,No Change,High,93.13,0,0,0,0.06,0.14,0.36,0,0.45,0,0.08,0,92.68,0,0.28,0,92.96,0,-2204.46,0,0.259999999999764,High
Apr 2020,Estancia,MPIM,No Change,High,41.19,0,0,0,0.06,0.14,0.36,0,0.2,0,0.08,0,40.99,0,0.28,0.01,41.27,0,-2204.29,0,0.170000000000073,High
May 2020,Estancia,MPIM,No Change,High,203.68,0.04,0,0,1.85,3.34,12.52,1.86,0.98,0,1.53,0,202.66,0,9.17,2.29,214.13,0,-2204.38,0,-0.0900000000001455,High
Jun 2020,Estancia,MPIM,No Change,High,267.75,0.04,0,0,3.09,4.76,17.99,2.96,1.28,0,1.71,0,266.42,0,13.37,3.18,282.97,0,-2214.83,0,-10.4499999999998,High
