Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Estancia,MPIM,High,Low,159.83,0,0,0,0.09,0.2,0.49,0,0.77,0,0.12,0,159.06,0,0.37,0,159.43,0,-1920.98,0,0,High
Feb 2016,Estancia,MPIM,High,Low,251.86,0,0,0,0.09,0.2,0.49,0,1.21,0,0.12,0,250.65,0,0.37,0,251.02,0,-1920.58,0,0.400000000000091,High
Mar 2016,Estancia,MPIM,High,Low,57.37,0,0,0,0.09,0.21,0.49,0,0.28,0,0.12,0,57.1,0,0.37,0,57.47,0,-1919.74,0,0.839999999999918,High
Apr 2016,Estancia,MPIM,High,Low,11.35,0,0,0,0.09,0.23,0.59,0.01,0.05,0,0.14,0,11.3,0,0.44,0.04,11.78,0,-1919.83,0,-0.0899999999999181,High
May 2016,Estancia,MPIM,High,Low,518.23,0.09,0,0,0.44,2.12,7.68,0.69,2.48,0,1.77,0,515.65,0,5.32,2.52,523.49,0,-1920.26,0,-0.430000000000064,High
Jun 2016,Estancia,MPIM,High,Low,173.45,0.03,0,0,3.84,5.58,21.04,3.57,0.83,0,1.77,0,172.59,0,15.72,3.22,191.54,0,-1925.53,0,-5.26999999999998,High
Jul 2016,Estancia,MPIM,High,Low,513.51,0.09,0,0,2.43,4.1,15.35,2.37,2.46,0,1.76,0,510.96,0,11.31,3.34,525.61,0,-1943.61,0,-18.0799999999999,High
Aug 2016,Estancia,MPIM,High,Low,175.81,0.02,0,0,3.61,5.32,20.04,3.37,0.84,0,1.73,0,174.95,0,14.96,2.84,192.75,0,-1955.71,0,-12.1000000000001,High
Sep 2016,Estancia,MPIM,High,Low,311.04,0.04,0,0,2.6,3.79,14.18,2.39,1.49,0,1.23,0,309.5,0,10.61,2.35,322.46,0,-1972.65,0,-16.9400000000001,High
Oct 2016,Estancia,MPIM,High,Low,513.92,0.01,0,0,0.09,0.21,0.49,0,2.46,0,0.13,0,511.45,0,0.37,0.29,512.11,0,-1984.07,0,-11.4199999999998,High
Nov 2016,Estancia,MPIM,High,Low,47.79,0,0,0,0.09,0.21,0.49,0,0.23,0,0.12,0,47.56,0,0.37,0,47.93,0,-1982.26,0,1.80999999999995,High
Dec 2016,Estancia,MPIM,High,Low,125.81,0,0,0,0.09,0.21,0.49,0,0.6,0,0.12,0,125.21,0,0.37,0,125.58,0,-1982.4,0,-0.1400000000001,High
Jan 2017,Estancia,MPIM,High,Low,124.9,0,0,0,0.09,0.21,0.49,0,0.6,0,0.12,0,124.3,0,0.37,0,124.67,0,-1982.17,0,0.230000000000018,High
Feb 2017,Estancia,MPIM,High,Low,121.26,0,0,0,0.09,0.21,0.49,0,0.58,0,0.12,0,120.68,0,0.37,0,121.06,0,-1981.94,0,0.230000000000018,High
Mar 2017,Estancia,MPIM,High,Low,151.86,0,0,0,0.09,0.21,0.49,0,0.73,0,0.12,0,151.13,0,0.37,0,151.5,0,-1981.73,0,0.210000000000036,High
Apr 2017,Estancia,MPIM,High,Low,122.98,0,0,0,0.09,0.21,0.49,0,0.59,0,0.12,0,122.39,0,0.37,0.02,122.79,0,-1981.38,0,0.349999999999909,High
May 2017,Estancia,MPIM,High,Low,307.84,0.06,0,0,1.6,3.5,12.99,1.72,1.48,0,1.96,0,306.31,0,9.37,2.74,318.41,0,-1981.19,0,0.190000000000055,High
Jun 2017,Estancia,MPIM,High,Low,115.73,0.02,0,0,4.26,6.24,23.55,3.98,0.55,0,2,0,115.15,0,17.58,3.53,136.27,0,-1991.76,0,-10.5699999999999,High
Jul 2017,Estancia,MPIM,High,Low,233.48,0.04,0,0,3.97,5.91,22.28,3.73,1.12,0,1.97,0,232.32,0,16.61,3.51,252.44,0,-2012.3,0,-20.54,High
Aug 2017,Estancia,MPIM,High,Low,476.78,0.06,0,0,2.34,3.86,14.44,2.25,2.29,0,1.59,0,474.43,0,10.66,2.99,488.08,0,-2031.27,0,-18.97,High
Sep 2017,Estancia,MPIM,High,Low,413.26,0.06,0,0,1.98,3.2,11.9,1.87,1.98,0,1.28,0,411.22,0,8.81,2.38,422.41,0,-2042.57,0,-11.3,High
Oct 2017,Estancia,MPIM,High,Low,243.99,0,0,0,0.22,0.65,2.18,0.19,1.17,0,0.44,0,242.82,0,1.55,0.42,244.79,0,-2051.72,0,-9.14999999999986,High
Nov 2017,Estancia,MPIM,High,Low,98.36,0,0,0,0.09,0.21,0.5,0,0.47,0,0.12,0,97.89,0,0.38,0,98.27,0,-2052.52,0,-0.800000000000182,High
Dec 2017,Estancia,MPIM,High,Low,99.09,0,0,0,0.09,0.21,0.5,0,0.48,0,0.12,0,98.62,0,0.38,0,98.99,0,-2052.43,0,0.0900000000001455,High
Jan 2018,Estancia,MPIM,High,Low,62.89,0,0,0,0.09,0.21,0.5,0,0.3,0,0.12,0,62.59,0,0.38,0,62.96,0,-2052.33,0,0.0999999999999091,High
Feb 2018,Estancia,MPIM,High,Low,71.8,0,0,0,0.09,0.21,0.5,0,0.34,0,0.12,0,71.46,0,0.38,0,71.84,0,-2052.4,0,-0.0700000000001637,High
Mar 2018,Estancia,MPIM,High,Low,66.48,0,0,0,0.09,0.21,0.5,0,0.32,0,0.12,0,66.16,0,0.38,0,66.54,0,-2052.44,0,-0.0399999999999636,High
Apr 2018,Estancia,MPIM,High,Low,42.17,0,0,0,0.09,0.29,0.81,0.02,0.2,0,0.2,0,41.97,0,0.58,0.09,42.64,0,-2052.5,0,-0.0599999999999454,High
May 2018,Estancia,MPIM,High,Low,10.48,0,0,0,4.1,6.02,22.71,3.84,0.05,0,1.92,0,10.43,0,16.95,3.05,30.43,0,-2052.97,0,-0.4699999999998,High
Jun 2018,Estancia,MPIM,High,Low,140.18,0.02,0,0,4.18,6.18,23.33,3.93,0.67,0,2.02,0,139.48,0,17.41,3.58,160.47,0,-2072.91,0,-19.9400000000001,High
Jul 2018,Estancia,MPIM,High,Low,243.39,0.04,0,0,3.68,5.63,21.2,3.49,1.17,0,2,0,242.18,0,15.76,3.39,261.33,0,-2093.2,0,-20.29,High
Aug 2018,Estancia,MPIM,High,Low,620.17,0.08,0,0,1.84,3.09,11.49,1.76,2.97,0,1.33,0,617.11,0,8.48,2.91,628.5,0,-2111.14,0,-17.9400000000001,High
Sep 2018,Estancia,MPIM,High,Low,152.74,0.02,0,0,2.86,4.42,16.56,2.7,0.73,0,1.58,0,151.98,0,12.31,2.24,166.53,0,-2119.48,0,-8.34000000000015,High
Oct 2018,Estancia,MPIM,High,Low,266.43,0,0,0,0.49,1.12,3.94,0.47,1.28,0,0.63,0,265.14,0,2.85,0.79,268.78,0,-2133.27,0,-13.79,High
Nov 2018,Estancia,MPIM,High,Low,129.07,0,0,0,0.09,0.21,0.5,0,0.62,0,0.12,0,128.46,0,0.38,0,128.84,0,-2135.63,0,-2.36000000000013,High
Dec 2018,Estancia,MPIM,High,Low,179.42,0,0,0,0.09,0.21,0.5,0,0.86,0,0.12,0,178.56,0,0.38,0,178.94,0,-2135.39,0,0.240000000000236,High
Jan 2019,Estancia,MPIM,High,Low,59.08,0,0,0,0.09,0.21,0.5,0,0.28,0,0.12,0,58.8,0,0.38,0,59.18,0,-2134.91,0,0.480000000000018,High
Feb 2019,Estancia,MPIM,High,Low,270.58,0,0,0,0.09,0.21,0.5,0,1.3,0,0.12,0,269.28,0,0.38,0,269.66,0,-2135.01,0,-0.100000000000364,High
