Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Estancia,UKMO,High,High,93.01,0,0,0,0.06,0.14,0.35,0,0.45,0,0.08,0,92.57,0,0.27,0,92.84,0,-1912.33,0,0,No Change
Feb 2016,Estancia,UKMO,High,High,114,0,0,0,0.06,0.14,0.35,0,0.55,0,0.08,0,113.45,0,0.27,0,113.73,0,-1912.16,0,0.169999999999845,No Change
Mar 2016,Estancia,UKMO,High,High,45.6,0,0,0,0.06,0.14,0.35,0,0.22,0,0.08,0,45.38,0,0.27,0,45.66,0,-1911.88,0,0.279999999999973,No Change
Apr 2016,Estancia,UKMO,High,High,68.01,0,0,0,0.16,0.4,1.33,0.12,0.33,0,0.24,0,67.69,0,0.97,0.29,68.95,0,-1911.94,0,-0.0599999999999454,No Change
May 2016,Estancia,UKMO,High,High,4.67,0,0,0,3.24,4.75,17.97,3.05,0.02,0,1.5,0,4.64,0,13.42,2.99,21.06,0,-1912.87,0,-0.929999999999836,No Change
Jun 2016,Estancia,UKMO,High,High,110.45,0.02,0,0,3.38,5.05,19.12,3.2,0.53,0,1.69,0,109.91,0,14.25,3.58,127.73,0,-1929.26,0,-16.3900000000001,No Change
Jul 2016,Estancia,UKMO,High,High,248.8,0.04,0,0,3.24,4.86,18.39,3.07,1.19,0,1.66,0,247.57,0,13.7,3.7,264.97,0,-1946.55,0,-17.29,No Change
Aug 2016,Estancia,UKMO,High,High,476.38,0.06,0,0,2.04,3.17,11.93,1.94,2.28,0,1.19,0,474.04,0,8.87,3.05,485.95,0,-1962.71,0,-16.1600000000001,No Change
Sep 2016,Estancia,UKMO,High,High,609.26,0.09,0,0,1.35,1.76,6.57,1.18,2.92,0,0.49,0,606.25,0,4.99,2.29,613.53,0,-1972.28,0,-9.56999999999994,No Change
Oct 2016,Estancia,UKMO,High,High,517.74,0.01,0,0,0.06,0.17,0.45,0.01,2.48,0,0.11,0,515.25,0,0.34,0.39,515.98,0,-1976.55,0,-4.26999999999998,No Change
Nov 2016,Estancia,UKMO,High,High,159.14,0,0,0,0.06,0.14,0.36,0,0.76,0,0.08,0,158.38,0,0.28,0,158.66,0,-1974.79,0,1.75999999999999,No Change
Dec 2016,Estancia,UKMO,High,High,147.88,0,0,0,0.06,0.14,0.36,0,0.71,0,0.08,0,147.17,0,0.28,0,147.45,0,-1974.31,0,0.480000000000018,No Change
Jan 2017,Estancia,UKMO,High,High,213.88,0,0,0,0.06,0.14,0.36,0,1.03,0,0.08,0,212.86,0,0.28,0,213.13,0,-1973.87,0,0.440000000000055,No Change
Feb 2017,Estancia,UKMO,High,High,110.36,0,0,0,0.06,0.14,0.36,0,0.53,0,0.08,0,109.83,0,0.28,0,110.11,0,-1973.12,0,0.75,No Change
Mar 2017,Estancia,UKMO,High,High,404.05,0,0,0,0.06,0.14,0.36,0,1.94,0,0.08,0,402.11,0,0.28,0,402.39,0,-1972.87,0,0.25,No Change
Apr 2017,Estancia,UKMO,High,High,481.84,0.01,0,0,0.06,0.14,0.36,0,2.31,0,0.08,0,479.52,0,0.28,0.05,479.85,0,-1971.21,0,1.65999999999985,No Change
