Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Jemez_y_Sangre,GFDL,High,Low,48.84,19.65,30.34,52.45,0.8,0.79,2.13,0.01,1.54,0,-2.53,0,27.65,0.04,1.9,0,29.6,2.7,-107.33,0,0,No Change
Feb 2016,Jemez_y_Sangre,GFDL,High,Low,28.94,16.93,32.38,51.94,0.71,0.79,2.13,0.01,0.91,0,-2.61,0,11.1,0.06,1.91,0,13.07,2.94,-110.44,0.24,-3.11,No Change
Mar 2016,Jemez_y_Sangre,GFDL,High,Low,127.54,36.99,53.26,92.97,0.65,0.79,2.14,0.01,4.02,0,-2.69,0,86.52,0.11,1.92,0,88.55,3.08,-114.26,0.14,-3.82000000000001,No Change
Apr 2016,Jemez_y_Sangre,GFDL,High,Low,11.8,33.17,49.19,83.92,2.02,0.8,2.17,0.03,0.37,0,-2.88,0,-21.74,0.1,1.97,0.06,-19.61,3.15,-115.05,0.0699999999999998,-0.789999999999992,No Change
May 2016,Jemez_y_Sangre,GFDL,High,Low,38.1,54.9,140.8,196.26,4.46,2.2,2.48,0.19,1.2,0,-3.06,0,-18,0.24,3.13,0.98,-13.66,4.54,-119.76,1.39,-4.71000000000001,No Change
Jun 2016,Jemez_y_Sangre,GFDL,High,Low,15.17,22.34,65.35,80.87,27.12,17.11,2.89,0.26,0.48,0,-3.34,0,-7.66,0.16,12.65,3.92,9.07,5.96,-124.89,1.42,-5.13,No Change
Jul 2016,Jemez_y_Sangre,GFDL,High,Low,319.1,57.85,37.12,91.75,17.98,11.5,2.59,0.14,10.06,0,-3.42,0,251.18,0.16,8.93,3.91,264.18,5.96,-134.31,0,-9.42,No Change
Aug 2016,Jemez_y_Sangre,GFDL,High,Low,370.91,75.48,35.6,110.84,10.68,6.99,2.44,0.11,11.7,0,-3.65,0,283.73,0.2,6.02,3.23,293.18,5.96,-134.02,0,0.289999999999992,No Change
Sep 2016,Jemez_y_Sangre,GFDL,High,Low,234.64,61.49,27.02,88.67,10.58,6.93,2.46,0.12,7.4,0,-3.94,0,165.75,0.13,5.99,2.4,174.26,5.96,-131.52,0,2.5,No Change
Oct 2016,Jemez_y_Sangre,GFDL,High,Low,81.22,33.4,13.83,51.6,0.63,0.81,2.19,0.03,2.56,0,-4.24,0,45.26,0.05,1.98,0.11,47.39,5.96,-132.8,0,-1.28,No Change
Nov 2016,Jemez_y_Sangre,GFDL,High,Low,271.28,73.81,41.32,119.83,0.57,0.93,2.16,0.01,8.56,0,-4.42,0,188.91,0.07,1.93,0,190.91,5.96,-136.74,0,-3.94,No Change
Dec 2016,Jemez_y_Sangre,GFDL,High,Low,35.07,24.48,24.29,53.94,0.57,0.98,2.16,0.01,1.11,0,-4.8,0,9.49,0.03,1.92,0,11.44,5.83,-134.75,-0.13,1.99000000000001,No Change
Jan 2017,Jemez_y_Sangre,GFDL,High,Low,182.48,57.99,42.82,105.55,0.9,0.8,2.16,0.01,5.76,0,-4.91,0,118.74,0.06,1.93,0,120.73,5.64,-140.58,-0.19,-5.83000000000001,No Change
Feb 2017,Jemez_y_Sangre,GFDL,High,Low,140.3,38.11,42.97,86.42,0.58,0.8,2.17,0.01,4.43,0,-5.2,0,97.76,0.08,1.93,0,99.77,5.96,-141.89,0.32,-1.30999999999997,No Change
Mar 2017,Jemez_y_Sangre,GFDL,High,Low,252.4,72.22,62.05,139.73,0.6,0.8,2.17,0.01,7.96,0,-5.39,0,172.21,0.13,1.95,0,174.29,5.96,-144.81,0,-2.92000000000002,No Change
Apr 2017,Jemez_y_Sangre,GFDL,High,Low,99.82,79.49,69.79,155.05,0.61,0.81,2.17,0.01,3.15,0,-5.73,0,17.19,0.14,1.97,0,19.3,5.96,-144.4,0,0.409999999999997,No Change
May 2017,Jemez_y_Sangre,GFDL,High,Low,140.26,62.81,168.35,236.42,2.41,1.87,2.32,0.09,4.42,0,-6.09,0,73.03,0.29,2.77,0.92,77.01,5.96,-149.14,0,-4.73999999999998,No Change
Jun 2017,Jemez_y_Sangre,GFDL,High,Low,68.08,59.88,180.17,236.93,24.74,15.66,2.83,0.22,2.15,0,-6.4,0,6.05,0.44,11.69,3.65,21.83,5.96,-153.96,0,-4.82000000000002,No Change
Jul 2017,Jemez_y_Sangre,GFDL,High,Low,327.3,71.63,100.8,172.33,17.64,11.3,2.6,0.14,10.32,0,-6.68,0,245.34,0.44,8.81,3.78,258.37,5.96,-164.47,0,-10.51,No Change
Aug 2017,Jemez_y_Sangre,GFDL,High,Low,343.4,92.28,74.25,169.41,11.43,7.69,2.5,0.12,10.83,0,-7.03,0,240.29,0.41,6.36,3.33,250.39,5.96,-167.07,0,-2.59999999999999,No Change
Sep 2017,Jemez_y_Sangre,GFDL,High,Low,182.71,50.02,48.68,102.12,12.26,8.4,2.54,0.13,5.76,0,-7.51,0,126.93,0.23,6.69,2.3,136.16,5.72,-168.98,-0.24,-1.91,No Change
Oct 2017,Jemez_y_Sangre,GFDL,High,Low,279.33,64.63,50.5,122.76,0.78,0.81,2.19,0.01,8.81,0,-7.78,0,205.88,0.19,1.96,0,208.03,5.28,-175.43,-0.44,-6.45000000000002,No Change
Nov 2017,Jemez_y_Sangre,GFDL,High,Low,112.72,47.41,57.45,113.54,0.72,1.35,2.19,0.01,3.56,0,-8.15,0,61.76,0.1,1.95,0,63.81,5.46,-176.58,0.18,-1.15000000000001,No Change
Dec 2017,Jemez_y_Sangre,GFDL,High,Low,62.33,21.2,37.28,67.5,0.72,1.36,2.19,0.01,1.97,0,-8.43,0,39.16,0.04,1.95,0,41.15,5.05,-183.35,-0.41,-6.76999999999998,No Change
Jan 2018,Jemez_y_Sangre,GFDL,High,Low,116.93,21.57,45.58,75.81,0.67,0.82,2.2,0.01,3.69,0,-8.57,0,91.67,0.06,1.96,0,93.69,4.64,-191.99,-0.41,-8.64000000000001,No Change
Feb 2018,Jemez_y_Sangre,GFDL,High,Low,79.42,15.65,50.07,74.46,0.7,0.82,2.2,0.01,2.5,0,-8.72,0,61.26,0.09,1.96,0,63.31,4.71,-199.05,0.0700000000000003,-7.06,No Change
